"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79"
"K",77,77,77,77,77,78,78,78,78,78,79,80,85,87,87,88,89,93,92,98,101,98,99,96,93,108,109,108,114,103,78,71,69,68,69,72,71,74,72,74,59,59,61,55,53,56,56,57,55,57,56,52,52,49,48,51,50,48,48,40,25,21,20,18,16,10,8,8,5,4,3,3,2,2,2,2,3,2,2
"IncDrugs",371,371,371,371,371,384,384,384,383,384,376,388,391,391,387,390,390,390,394,394,404,403,404,393,387,404,408,406,408,388,321,307,299,293,294,291,288,288,287,287,243,234,234,218,217,218,214,215,212,209,206,194,195,187,186,184,170,166,167,151,117,108,101,87,74,43,39,36,30,24,20,19,15,14,13,13,14,13,13
"EnrichedClusters",4,4,4,4,4,5,5,5,5,5,4,5,9,10,10,11,11,5,6,7,7,6,7,6,7,10,11,11,11,11,11,9,9,10,9,13,12,13,9,11,11,14,15,12,9,10,10,10,9,9,6,7,7,8,7,7,5,4,5,4,3,3,4,4,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"Percentage",5.19,5.19,5.19,5.19,5.19,6.41,6.41,6.41,6.41,6.41,5.06,6.25,10.59,11.49,11.49,12.5,12.36,5.38,6.52,7.14,6.93,6.12,7.07,6.25,7.53,9.26,10.09,10.19,9.65,10.68,14.1,12.68,13.04,14.71,13.04,18.06,16.9,17.57,12.5,14.86,18.64,23.73,24.59,21.82,16.98,17.86,17.86,17.54,16.36,15.79,10.71,13.46,13.46,16.33,14.58,13.73,10,8.33,10.42,10,12,14.29,20,22.22,18.75,10,12.5,12.5,20,25,33.33,33.33,0,0,0,0,0,0,0
"EnrichedClustersDT",7,7,7,7,7,8,8,9,9,8,7,8,13,14,14,15,16,17,18,19,19,17,17,16,8,19,21,21,23,23,18,11,10,11,10,13,13,14,11,9,8,10,12,11,11,9,7,8,8,8,6,6,4,3,3,2,2,2,2,2,2,2,3,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"PercentageDT",9.09,9.09,9.09,9.09,9.09,10.26,10.26,11.54,11.54,10.26,8.86,10,15.29,16.09,16.09,17.05,17.98,18.28,19.57,19.39,18.81,17.35,17.17,16.67,8.6,17.59,19.27,19.44,20.18,22.33,23.08,15.49,14.49,16.18,14.49,18.06,18.31,18.92,15.28,12.16,13.56,16.95,19.67,20,20.75,16.07,12.5,14.04,14.55,14.04,10.71,11.54,7.69,6.12,6.25,3.92,4,4.17,4.17,5,8,9.52,15,16.67,18.75,10,12.5,12.5,20,25,33.33,33.33,0,0,0,0,0,0,0
"Pval_ATC",6.14709204110811e-07,6.14709204110811e-07,6.14709204110811e-07,6.14709204110811e-07,2.11097121756864e-06,1.39768101266924e-06,1.39768101266924e-06,1.39768101266924e-06,1.19441359002267e-06,1.39768101266924e-06,2.14457584073077e-06,1.23276271776169e-06,2.7528177814606e-06,7.70609575129889e-07,2.70983992293109e-06,1.36165663320121e-06,1.72252662861137e-07,1.40210182876281e-07,4.8279581284188e-14,2.58049529755352e-06,6.49213227799391e-12,4.21398962743671e-14,3.43480570982386e-17,3.1211011574664e-16,5.87106707153245e-14,4.62769293199834e-07,1.25091662005219e-07,9.46220946374387e-08,6.08449954062851e-09,6.72086533127046e-06,1.33201568104435e-05,0.000697065591583868,0.000360884658844229,1.99710873459035e-06,1.26024342911057e-05,0.000440953910194242,6.84624205589298e-05,0.000410210153827529,0.000288842090581661,0.000233868527877451,9.59800838286582e-05,0.000445832887779652,0.000187869997843018,0.000593662806262414,0.000200853790416653,0.000900941909455056,0.295191489702835,0.00844438153773849,0.0010499784155722,0.000936623351736319,0.000866281104029459,0.00575092897833232,0.0213571669417247,0.000279161991595238,1.77193041141558e-05,1.24494048031119e-05,9.25551839144006e-06,5.72764301798382e-06,2.48556294022165e-06,1.32472606372574e-06,7.32682173048255e-06,1.28675777821842e-05,7.32682173048255e-06,1.81564953591976e-07,0.000196564555623201,3.00307611130459e-05,3.00307611130459e-05,3.00307611130459e-05,3.00307611130459e-05,8.88541845221322e-06,0.0314767744944379,0.0498855120245548,1,1,1,1,1,1,1
"Pval_DT",8.62016009121662e-08,8.62016009121662e-08,8.62016009121662e-08,8.62016009121662e-08,3.44905501575654e-07,7.80579200245216e-12,7.80579200245216e-12,7.80579200245216e-12,4.1376120971936e-10,7.80579200245216e-12,3.62741530819445e-07,4.40113489574101e-10,1.63034447306007e-07,5.02437193633801e-08,1.10081895720628e-08,1.08559566947148e-08,2.28577549351949e-09,1.7729461157109e-09,7.72428069354964e-19,6.26524534256515e-07,1.12475069639312e-13,5.92998649901429e-16,5.25198763195341e-19,3.65257384609927e-17,1.04557845185145e-11,3.58467046862329e-09,3.11791964559884e-09,8.05184270704196e-11,5.41087984022348e-12,9.22752000110041e-10,2.31492980775809e-08,3.11207557424436e-07,2.19884989366037e-07,1.71752570501085e-10,3.60675650762898e-08,7.7429111261959e-08,2.3313682959999e-10,8.76366338144641e-08,4.06831898242517e-08,1.23549834109292e-06,1.70104336164759e-09,1.22115980263025e-08,2.97013548284864e-06,3.97822194890395e-08,4.93293003353827e-10,1.34085946188339e-06,0.000179848688777231,4.55255664681951e-05,5.21977850973285e-05,8.7378341836416e-05,4.04858957790273e-08,1.68101550054728e-08,0.000253394456332605,0.000922962200065087,1.32218514431576e-07,2.34509901354961e-07,7.8156858410973e-08,3.32309964640573e-08,2.75057407956341e-06,7.92003216563246e-07,5.97027350872801e-07,1.72283918669979e-06,1.15197751877229e-07,7.8156858410973e-08,3.89667543941738e-10,3.14658198168091e-05,3.14658198168091e-05,3.14658198168091e-05,3.14658198168091e-05,3.14658198168091e-05,0.0395948427777367,0.0395948427777367,1,1,1,1,1,1,1
"ARIndex",0.233425845485673,0.233425845485673,0.233425845485673,0.233425845485673,0.221520422887103,0.215195145982187,0.215195145982187,0.215195145982187,0.214621151526369,0.215195145982187,0.220605444381835,0.214135071010538,0.206115899015822,0.206322746196467,0.218753104490611,0.218896127726831,0.218460070208485,0.217265337903813,0.265128900033391,0.231570387018586,0.265291837975759,0.294273476297934,0.315371839125138,0.313124611462765,0.338523329720264,0.291303411918884,0.286193419157765,0.290643099312874,0.285974914953608,0.285011043457586,0.343393432695604,0.374239220995092,0.370760548031548,0.382548288245816,0.379327711302415,0.370958713377514,0.374906182711935,0.389492698771415,0.381020712275197,0.373879759877541,0.392717455961414,0.365272466528222,0.36588491619988,0.358538235680912,0.400217150388613,0.351341110538223,0.354532116832831,0.35066335415179,0.348641661553433,0.355997728950915,0.358734015468801,0.365257130613427,0.346463159679836,0.420570766857706,0.412666559810641,0.459320555292956,0.511486169908925,0.531948103444543,0.51289438008252,0.579445416770594,0.616311676423009,0.589106292966684,0.570651831508407,0.643445333289674,0.614465237639383,0.698840008754651,0.638312752704623,0.657777777777778,0.791730788960706,0.84390243902439,0.840336134453782,0.826097160291012,0.754716981132076,0.912162162162162,1,1,0.646258503401361,0.796875,0.796875
"Overlap_ATC",0.264705882352941,0.264705882352941,0.264705882352941,0.264705882352941,0.235294117647059,0.294117647058824,0.294117647058824,0.264705882352941,0.264705882352941,0.264705882352941,0.235294117647059,0.264705882352941,0.264705882352941,0.264705882352941,0.264705882352941,0.235294117647059,0.264705882352941,0.264705882352941,0.294117647058824,0.323529411764706,0.323529411764706,0.323529411764706,0.323529411764706,0.323529411764706,0.294117647058824,0.323529411764706,0.323529411764706,0.323529411764706,0.294117647058824,0.294117647058824,0.294117647058824,0.235294117647059,0.264705882352941,0.264705882352941,0.235294117647059,0.205882352941176,0.264705882352941,0.147058823529412,0.176470588235294,0.147058823529412,0.147058823529412,0.147058823529412,0.147058823529412,0.147058823529412,0.147058823529412,0.147058823529412,0.147058823529412,0.147058823529412,0.147058823529412,0.147058823529412,0.147058823529412,0.147058823529412,0.117647058823529,0.147058823529412,0.117647058823529,0.0882352941176471,0.0882352941176471,0.0882352941176471,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.0588235294117647,0.0294117647058824,0.0294117647058824,0.0294117647058824,0.0294117647058824,0.0294117647058824,0.0294117647058824,0.0294117647058824,0,0,0,0,0,0,0
"Overlap_DT",0.304347826086957,0.304347826086957,0.304347826086957,0.304347826086957,0.260869565217391,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.260869565217391,0.478260869565217,0.521739130434783,0.521739130434783,0.521739130434783,0.478260869565217,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.478260869565217,0.478260869565217,0.391304347826087,0.434782608695652,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.434782608695652,0.478260869565217,0.434782608695652,0.391304347826087,0.434782608695652,0.347826086956522,0.391304347826087,0.434782608695652,0.391304347826087,0.434782608695652,0.391304347826087,0.391304347826087,0.434782608695652,0.391304347826087,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.173913043478261,0.173913043478261,0.173913043478261,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0,0,0,0,0,0,0
