"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74"
"K",47,47,47,47,48,56,61,66,72,77,78,79,82,80,80,82,89,92,126,112,111,124,145,139,147,152,160,162,149,152,158,164,174,175,176,178,167,183,178,161,160,161,169,178,186,199,137,133,138,134,127,128,137,142,142,98,33,10,6,6,4,3,3,2,2,1,1,1,1,1,1,1,1,1
"IncDrugs",1295,1295,1295,1295,1291,1293,1288,1281,1262,1246,1252,1254,1256,1250,1239,1228,1224,1207,991,1208,1208,1206,1016,1216,1199,1211,1204,1000,1169,1175,1168,1178,1158,1132,1107,1125,1095,1106,1009,1009,1005,986,1004,994,1003,978,831,794,795,781,698,638,656,637,617,488,218,69,49,47,38,32,27,19,17,11,11,11,10,10,10,9,9,9
"EnrichedClusters",2,2,2,2,2,2,2,2,2,2,2,2,14,16,17,19,22,21,33,25,27,29,33,28,25,27,27,27,21,25,25,25,22,24,21,18,19,22,22,18,21,16,18,22,21,20,19,18,18,21,18,17,17,14,15,11,4,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"Percentage",4.26,4.26,4.26,4.26,4.17,3.57,3.28,3.03,2.78,2.6,2.56,2.53,17.07,20,21.25,23.17,24.72,22.83,26.19,22.32,24.32,23.39,22.76,20.14,17.01,17.76,16.88,16.67,14.09,16.45,15.82,15.24,12.64,13.71,11.93,10.11,11.38,12.02,12.36,11.18,13.12,9.94,10.65,12.36,11.29,10.05,13.87,13.53,13.04,15.67,14.17,13.28,12.41,9.86,10.56,11.22,12.12,20,16.67,33.33,50,33.33,0,0,0,0,0,0,0,0,0,0,0,0
"EnrichedClustersDT",0,0,0,0,0,0,0,1,1,1,1,1,7,7,7,6,6,10,12,8,6,6,13,7,13,8,10,15,11,11,11,9,19,19,16,15,14,22,20,16,14,14,17,16,15,11,11,13,18,20,17,15,15,13,14,9,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PercentageDT",0,0,0,0,0,0,0,1.52,1.39,1.3,1.28,1.27,8.54,8.75,8.75,7.32,6.74,10.87,9.52,7.14,5.41,4.84,8.97,5.04,8.84,5.26,6.25,9.26,7.38,7.24,6.96,5.49,10.92,10.86,9.09,8.43,8.38,12.02,11.24,9.94,8.75,8.7,10.06,8.99,8.06,5.53,8.03,9.77,13.04,14.93,13.39,11.72,10.95,9.15,9.86,9.18,18.18,20,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pval_ATC",0.999989057085696,0.999989057085696,0.999989057085696,0.999989057085696,0.999725999164379,0.999993322964497,0.999988836637796,0.999661332493772,0.999876665468644,0.998501584008613,0.95052318599185,0.851059425550271,0.274963720661422,0.110226271657638,0.0569181919958643,0.0179418434213851,0.025105429465402,0.0370179531992521,3.33277166608299e-12,0.00193651824080539,0.000237794731919091,5.47007970992115e-05,7.57339315004386e-17,0.000357678940468037,4.44999119879194e-05,1.20731003956449e-05,1.04810712233699e-05,7.1848231771222e-16,3.56352404063394e-09,4.65312357113127e-11,1.40984752148108e-09,2.70166967718772e-11,1.36673229266875e-13,1.61045071300139e-13,4.66463742573178e-14,4.01221740350622e-12,1.60063223013863e-12,5.4274157652955e-17,4.44633155560503e-09,5.40366897506697e-08,4.88164381631536e-07,1.80727169948091e-13,6.25743291490199e-11,1.37772310809682e-12,3.20422873386563e-14,1.21269184298111e-11,4.03620416170033e-05,0.000237517099895931,0.000729519879533829,3.47167500605644e-12,7.64235964104884e-12,1.82446648633915e-17,1.82564127412542e-13,5.95797419275752e-08,1.22466502850345e-08,1.69082905322338e-07,0.00425590323423549,0.000752500410876527,0.0498855120245548,3.00307611130459e-05,0.0498855120245548,0.0314767744944379,1,1,1,1,1,1,1,1,1,1,1,1
"Pval_DT",0.000589537464024523,0.000589537464024523,0.000589537464024523,0.000589537464024523,0.0370625586579438,0.000217727004268708,0.677040900642283,0.462339339897938,0.197620806988739,0.0024266672474684,7.64557799610312e-05,4.26212720770871e-05,1.98559851225044e-07,6.59015430650973e-10,3.18520270687012e-12,1.0023690003941e-11,1.73436346822122e-13,1.59661334675176e-15,3.49364581901813e-27,1.03007010034685e-15,7.03823341638663e-17,8.46335896393433e-16,3.21957279799692e-22,1.91774013798018e-20,5.29988276581702e-18,6.14763540022495e-18,2.16288727740076e-18,1.4377860361622e-14,5.51036613403553e-15,3.18057426207842e-19,7.30648169408117e-19,8.38208042815846e-20,1.52694342122164e-22,5.10329244943035e-15,3.61477620958819e-12,1.17958682538667e-16,9.42420360576387e-16,4.47979948019339e-20,9.21615910887399e-09,4.90194484057769e-07,8.81158587446941e-05,8.59957290185059e-14,1.97040728632822e-14,1.69411333342199e-16,5.33243820357172e-18,1.59990338218144e-10,0.000497034682276445,0.00333014323533123,0.00153175794941621,4.86805521677128e-16,2.96831690579006e-12,3.65303894138561e-12,4.26047198508562e-10,2.0448647226282e-08,2.55083628762429e-08,3.66484420161382e-05,5.7783314905651e-05,0.0709237206640218,1,0.149222483865336,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ARIndex",0.0468446224146461,0.0468446224146461,0.0468446224146461,0.0468446224146461,0.047954516107184,0.0514417612057637,0.0546739668442091,0.0638088971956789,0.0715484181057646,0.0808002041692128,0.0853491230112296,0.0896655699127594,0.0907429969053676,0.0952565384388134,0.0974612487890857,0.104024266919062,0.106197099291903,0.112897509593529,0.155440138645593,0.12091588820692,0.125530682092999,0.128348458809722,0.164311128681558,0.13593531467568,0.141994316191779,0.14396063907997,0.145925986203822,0.174833954317188,0.152258356707828,0.151587263050992,0.15267684517354,0.14929852250056,0.15564183632931,0.160688390527411,0.173816106304622,0.165795240496024,0.16247826830832,0.163088293814315,0.18466517122706,0.166562359194267,0.152228674980519,0.177021726098978,0.174068920945053,0.192332608502926,0.187453367179156,0.143262140901219,0.178384327949739,0.183934622044746,0.206598557000315,0.265456221006024,0.291692504907878,0.342022259503418,0.280498651324432,0.286468604681213,0.293267155301773,0.313147013079069,0.454867474047575,0.551763951777922,0.514729332773814,0.440811086766351,0.372130165701737,0.394545671073002,0.325598581140999,0.321260233192756,0.416666666666667,0,0,0,0,0,0,0,0,0
"Overlap_ATC",0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.205882352941176,0.235294117647059,0.235294117647059,0.235294117647059,0.294117647058824,0.235294117647059,0.558823529411765,0.352941176470588,0.411764705882353,0.5,0.647058823529412,0.617647058823529,0.529411764705882,0.5,0.558823529411765,0.558823529411765,0.529411764705882,0.529411764705882,0.558823529411765,0.558823529411765,0.617647058823529,0.617647058823529,0.558823529411765,0.558823529411765,0.558823529411765,0.529411764705882,0.441176470588235,0.588235294117647,0.558823529411765,0.558823529411765,0.558823529411765,0.588235294117647,0.617647058823529,0.617647058823529,0.5,0.411764705882353,0.441176470588235,0.588235294117647,0.470588235294118,0.470588235294118,0.411764705882353,0.323529411764706,0.323529411764706,0.323529411764706,0.205882352941176,0.0294117647058824,0.0294117647058824,0.0294117647058824,0.0294117647058824,0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0,0
"Overlap_DT",0,0,0,0,0,0,0,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.260869565217391,0.391304347826087,0.347826086956522,0.347826086956522,0.347826086956522,0.478260869565217,0.521739130434783,0.347826086956522,0.347826086956522,0.391304347826087,0.521739130434783,0.391304347826087,0.434782608695652,0.391304347826087,0.391304347826087,0.521739130434783,0.478260869565217,0.434782608695652,0.434782608695652,0.304347826086957,0.652173913043478,0.565217391304348,0.608695652173913,0.695652173913043,0.695652173913043,0.695652173913043,0.652173913043478,0.608695652173913,0.521739130434783,0.565217391304348,0.565217391304348,0.521739130434783,0.521739130434783,0.521739130434783,0.304347826086957,0.347826086956522,0.434782608695652,0.608695652173913,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.434782608695652,0.304347826086957,0.0434782608695652,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
