"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"K",2,6,10,14,18,22,26,30,34,38,42,46,50,54,58,62,66,70,74,78,82,86,90,94,98,102,106,110,114,118,122,126,130,134,138,142,146,150,154,158,162,166,170,174,178,182,186,190,194,198,202,206,210,214,218,222,226,230,234,238,242,246,250,254,258,262,266,270,274,278,282,286,290,294,298,302,306,310,314,318,322,326,330,334,338,342,346,350,354,358,362,366,370,374,378,382,386,390,394,398
"IncDrugs",1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1308,1308,1308,1308,1308,1308,1307,1307,1307,1307,1307,1307,1306,1305,1305,1305,1305,1305,1304,1303,1302,1301,1301,1299,1299,1298,1297,1297,1295,1294,1294,1291,1290,1288,1286,1284,1283,1282,1281,1280,1279,1278,1278,1276,1273,1272,1271,1269
"EnrichedClusters",0,0,1,1,1,2,3,3,3,3,3,3,5,6,10,11,16,13,21,23,23,26,28,27,29,28,28,28,28,28,28,27,29,29,27,27,27,29,29,29,29,29,28,28,30,30,30,31,31,33,35,37,39,39,38,39,39,39,38,38,37,37,37,38,38,37,37,37,37,37,36,39,39,37,36,37,37,37,36,35,35,35,36,35,35,35,34,33,33,34,34,37,37,36,37,37,33,33,33,33
"Percentage",0,0,10,7.14,5.56,9.09,11.54,10,8.82,7.89,7.14,6.52,10,11.11,17.24,17.74,24.24,18.57,28.38,29.49,28.05,30.23,31.11,28.72,29.59,27.45,26.42,25.45,24.56,23.73,22.95,21.43,22.31,21.64,19.57,19.01,18.49,19.33,18.83,18.35,17.9,17.47,16.47,16.09,16.85,16.48,16.13,16.32,15.98,16.67,17.33,17.96,18.66,18.31,17.51,17.65,17.33,17.03,16.38,16.1,15.42,15.16,14.92,15.08,14.9,14.34,14.12,13.91,13.7,13.5,13,13.93,13.78,12.94,12.41,12.67,12.5,12.37,11.92,11.44,11.36,11.25,11.43,11.08,10.97,10.9,10.53,10.15,10.06,10.27,10.18,10.98,10.88,10.5,10.66,10.6,9.43,9.35,9.27,9.22
"EnrichedClustersDT",0,0,1,1,1,2,6,6,12,15,15,15,15,15,14,15,16,15,18,19,21,21,22,22,21,22,21,21,21,21,20,19,19,18,18,18,17,17,16,16,17,15,14,16,15,15,15,18,18,18,18,18,19,20,19,19,20,19,19,18,18,18,18,17,17,17,17,17,16,16,16,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"PercentageDT",0,0,10,7.14,5.56,9.09,23.08,20,35.29,39.47,35.71,32.61,30,27.78,24.14,24.19,24.24,21.43,24.32,24.36,25.61,24.42,24.44,23.4,21.43,21.57,19.81,19.09,18.42,17.8,16.39,15.08,14.62,13.43,13.04,12.68,11.64,11.33,10.39,10.13,10.49,9.04,8.24,9.2,8.43,8.24,8.06,9.47,9.28,9.09,8.91,8.74,9.09,9.39,8.76,8.6,8.89,8.3,8.19,7.63,7.5,7.38,7.26,6.75,6.67,6.59,6.49,6.39,5.93,5.84,5.78,5,4.95,4.9,4.83,4.79,4.73,4.68,4.64,4.25,4.22,4.18,4.13,4.11,4.08,4.05,4.02,4,3.96,3.93,3.89,3.86,3.82,3.79,3.75,3.72,3.71,3.68,3.65,3.63
"Pval_ATC",0.441364148574866,0.110906457496388,4.26167300193873e-05,0.000170009474875741,0.00287977096367656,0.00181560908223066,0.00589966247256444,0.000220076149556962,7.7969487925419e-05,0.000138288214809235,1.08721769138493e-05,4.30086811903941e-06,1.91431660169042e-06,3.73409256617056e-07,3.02757548210773e-08,2.75180908519858e-09,1.44740675611957e-11,2.11646395745317e-11,8.36911926199248e-11,2.56123233528545e-10,2.38081823942216e-10,8.92077720518725e-10,2.05543285591206e-10,2.39968164143401e-10,9.96562345155178e-11,9.05089561008205e-11,6.28853850233324e-11,3.01911820886176e-09,5.02147710083216e-09,1.27019852422284e-09,7.62847703908432e-10,1.48070285862106e-09,1.50777144270604e-09,1.11846798850006e-10,1.52012505405461e-09,2.13397029325242e-10,2.36308162747859e-09,1.91850698400435e-09,5.63680630368311e-09,2.60016345195102e-09,2.00096653908197e-08,1.23224465188043e-08,8.23541723533736e-09,1.36932973398055e-08,2.27597197015346e-09,1.25670927789395e-09,1.16949990429804e-09,3.61823039491316e-08,3.56752372896303e-08,1.15307782588596e-08,6.24076126864166e-09,1.35370574387109e-08,5.91665080911561e-08,5.64255335671155e-08,6.08288961507526e-08,9.39655649277116e-07,5.00297569195405e-07,1.52709830251906e-07,2.55202728526925e-07,7.80941855561452e-08,7.0517663565954e-08,2.39600785416345e-08,1.59185979801065e-08,3.66606977782178e-08,2.00780928376584e-08,1.5806890102702e-08,1.89982644469777e-08,6.80562746564456e-09,5.04658260882833e-09,2.6849321074822e-09,8.49762159509978e-09,6.61093421065649e-09,6.61093421065649e-09,8.85659037563053e-09,1.14531212874885e-08,2.00643021311174e-08,9.73822859496481e-09,8.94496763938686e-09,6.78678089110674e-09,2.11510517209249e-08,1.25484641311416e-07,6.39341737355792e-08,3.84308429676089e-08,6.15823098292374e-08,7.81601124719121e-08,5.92005093047956e-08,8.63991306210739e-08,4.11977346894243e-07,4.77264315750507e-07,2.59297082230181e-07,1.49058572593595e-07,1.80795541038323e-07,1.73386896471647e-07,2.53862038767449e-07,2.5630266164069e-07,1.83149488425015e-07,1.59887549658662e-06,1.16752371076283e-06,8.87465143150885e-07,5.30518055227282e-07
"Pval_DT",0.294874876248381,0.0558053180419362,0.00212321286295802,0.295995132932229,0.159212588331178,0.0703311914371921,0.023362642420672,0.00224984063903502,0.00047968882570361,0.000383407418578359,0.000438169771957891,0.000165067351318484,0.000281726494237815,6.70017634004512e-05,6.49403332885503e-05,1.8633613788164e-05,4.84480362525364e-06,7.50173190956658e-06,3.71689186536876e-06,9.7577713169474e-06,1.21857655406781e-05,5.15715474448738e-06,5.61590662775387e-06,4.07262619478167e-06,4.67507418129236e-06,1.87575265480897e-06,1.98406140614933e-06,1.44536207434343e-06,1.12177160367535e-06,2.12154803962918e-07,3.24644343715347e-07,9.29846903011248e-07,1.56270871295981e-06,2.80015401571415e-06,1.95026569285401e-06,2.76668993146374e-06,1.96891863393071e-05,1.59941416051945e-05,2.40319639138604e-05,3.17027552149588e-05,0.00440420609269324,0.00587342177118916,0.00727969590798869,0.00546346082398024,0.0064083615322389,0.00536175490297767,0.00467426656362377,0.00433921141179582,0.00413540438432299,0.00272967476179476,0.00148492218692028,0.000953793294478585,0.00289951068334339,0.00193243198020491,0.00372672462031844,0.00311438089809933,0.00114772263911641,0.00183076331256755,0.00168723861744893,0.00318992384770107,0.00301018535858208,0.00223438649785511,0.00210162310316986,0.00514124998627369,0.00476297592597129,0.00399564609310502,0.00376400819499576,0.0030712767682107,0.00391334630173065,0.00345406900588529,0.00297603877361292,0.00690442171725783,0.00690442171725783,0.00539515980977499,0.00245519495371252,0.00182735350399617,0.0014890522186953,0.0012716378890927,0.000942710892258229,0.00175502316477772,0.00116437141707199,0.000872725984827556,0.00082260011932123,0.000729701274794829,0.000686729439029722,0.000686729439029722,0.000666070882382325,0.000552983228379679,0.000442310926650784,0.00032852236895263,0.000267634207847109,0.000216814093614225,0.000145146416517749,0.000134636357707114,9.14763476988809e-05,9.14763476988809e-05,8.79198000479848e-05,8.79198000479848e-05,7.48820653969505e-05,6.90277142289713e-05
"ARIndex",0.0131738339750723,0.0307064815429121,0.039462465051138,0.0531125298263651,0.0582028591516512,0.0646736836251256,0.0682667006972564,0.0808512432419763,0.0833766945458813,0.0829396128066898,0.0897850897600244,0.0925981663183175,0.0939853503420467,0.102441580432256,0.107446997934833,0.111660513148275,0.114537038727492,0.117602260257782,0.119939100069071,0.119597786222264,0.120406804581385,0.122125431400125,0.123130728294684,0.123875874646777,0.124139882496544,0.125726550111691,0.127104269166998,0.128478978640551,0.128456798309643,0.131224307050647,0.132020870912325,0.131267289659379,0.129321066932821,0.130667291573903,0.130661932674125,0.1320856984217,0.132311109233197,0.133020867280254,0.134043544950272,0.131796414537489,0.122836978516815,0.123180707980526,0.123141746990566,0.123353582942328,0.122767432066099,0.123060576937945,0.12341622490386,0.121556126815136,0.121586496140576,0.121523295894403,0.121880669313475,0.12205658635141,0.117741509598891,0.11656469304671,0.116697016119863,0.116952735808642,0.116507945602557,0.113873658803855,0.113858703466594,0.113764216885974,0.11325795623949,0.113026831967824,0.113053642937542,0.111349462019106,0.111779756116102,0.111645393556153,0.111366786691204,0.110843026791082,0.11046967371949,0.109601730770116,0.108100287372722,0.107950647238873,0.107295018839814,0.107408941463871,0.107850349341756,0.107605684140445,0.107426789378955,0.10724003802869,0.107501832005208,0.107469398153304,0.107164061915195,0.107168868308905,0.107449215049129,0.107328715832781,0.105113380031414,0.105049457438045,0.104729643684264,0.104868625528728,0.104236611435983,0.10380323223594,0.1029481655047,0.102105111457479,0.102041915446143,0.102172433013016,0.101312929146539,0.101530318110893,0.101283544136922,0.101294216457836,0.10111751194929,0.100997084820893
"Overlap_ATC",0,0,0.0625,0.0625,0.0625,0.125,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.25,0.4375,0.4375,0.5625,0.5,0.5625,0.5625,0.5625,0.5625,0.625,0.625,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125
"Overlap_DT",0,0,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.173913043478261,0.173913043478261,0.304347826086957,0.478260869565217,0.478260869565217,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.565217391304348,0.565217391304348,0.565217391304348,0.608695652173913,0.608695652173913,0.608695652173913,0.608695652173913,0.565217391304348,0.565217391304348,0.565217391304348,0.608695652173913,0.608695652173913,0.608695652173913,0.608695652173913,0.608695652173913,0.608695652173913,0.608695652173913,0.608695652173913,0.565217391304348,0.565217391304348,0.565217391304348,0.565217391304348,0.565217391304348,0.521739130434783,0.521739130434783,0.434782608695652,0.434782608695652,0.434782608695652,0.434782608695652,0.434782608695652,0.434782608695652,0.434782608695652,0.565217391304348,0.565217391304348,0.565217391304348,0.565217391304348,0.565217391304348,0.565217391304348,0.565217391304348,0.565217391304348,0.565217391304348,0.565217391304348,0.565217391304348,0.565217391304348,0.565217391304348,0.565217391304348,0.565217391304348,0.565217391304348,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.434782608695652,0.434782608695652,0.434782608695652,0.434782608695652,0.434782608695652,0.434782608695652,0.434782608695652,0.434782608695652,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087
