"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"K",2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180,182,184,186,188,190,192,194,196,198,200,202,204,206,208,210,212,214,216,218,220,222,224,226,228,230,232,234,236,238,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400
"IncDrugs",1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1307,1307,1307,1307,1306,1306,1305,1305,1305,1305,1305,1305,1305,1304,1304,1304,1304,1303,1303,1302,1301,1300,1299,1298,1298,1298,1297,1296,1295,1295,1295,1294,1292,1291,1290,1290,1288,1288,1287,1287,1287,1286,1286,1286,1285,1284,1284,1284,1284,1284,1282,1281,1280,1280,1280,1280,1280,1278,1276,1275,1275,1275,1275,1274,1274,1273,1271,1270,1269,1269,1268,1267,1267,1264,1264,1263,1263,1263,1263,1262,1260,1260,1258,1258,1257,1257,1253,1252,1252,1252,1252,1251,1250,1249,1248,1247,1246,1246,1246,1245,1243,1242,1241,1240,1240,1238,1236,1235,1235,1233,1231,1227,1226,1226,1224,1223,1221,1219,1216,1214,1214,1213,1211,1209,1207,1205,1202,1200,1200,1198,1198,1196,1196,1194,1194,1194,1192,1190,1190,1189,1187,1185,1185,1184,1181,1179,1177,1176,1176,1175,1174
"EnrichedClusters",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,7,7,7,10,11,10,11,11,10,10,10,11,11,11,11,11,11,12,13,13,14,14,13,13,13,13,13,13,13,13,13,13,13,15,13,13,14,16,16,16,16,19,19,19,19,19,19,19,19,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,25,26,25,25,25,25,25,25,28,25,24,24,24,24,23,22,23,21,21,21,21,22,23,23,23,23,23,22,27,27,27,22,26,20,20,20,20,20,20,20,20,20,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,25,25,25,25,25,24,24,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,20,20,20
"Percentage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,2.78,2.7,2.56,2.44,2.33,2.22,4.26,14.29,13.73,13.21,18.18,19.3,16.95,18.03,17.46,15.38,14.93,14.49,15.49,15.07,14.67,14.29,13.92,13.58,14.46,15.29,14.94,15.73,15.38,13.98,13.68,13.4,13.27,13,12.75,12.5,12.38,12.15,12.04,11.82,13.39,11.4,11.21,11.86,13.33,13.22,13.01,12.8,14.96,14.84,14.62,14.5,14.39,14.29,14.18,14.07,18.25,17.99,17.86,17.73,17.61,17.36,17.12,17.01,17.01,16.89,16.11,15.89,15.89,15.69,15.58,15.38,15.19,15.72,16.15,15.34,15.24,15.15,14.97,14.79,14.62,16.18,14.45,13.79,13.71,13.56,13.41,12.71,12.02,12.57,11.48,11.41,11.29,11.17,11.58,12.04,11.92,11.86,11.86,11.79,11.22,13.64,13.57,13.5,10.89,12.94,9.85,9.8,9.71,9.62,9.52,9.48,9.48,9.39,9.39,12.09,12.04,11.47,11.57,11.52,11.42,11.31,11.21,11.16,11.11,11.06,11.01,10.96,10.92,10.82,10.73,10.68,10.68,10.64,10.59,10.55,10.46,10.46,10.46,10.42,10.74,10.74,10.74,10.83,10.79,10.7,10.29,10.25,10.25,10.25,10.29,9.88,9.8,9.35,9.35,8.94,8.94,8.94,8.98,8.98,8.91,8.91,8.84,8.84,8.76,8.76,8.7,8.63,8.63,8.63,8.17,8.14,8.14,8.14,8.08,8.05,8.08,8.08,8.08,8.05,7.6,7.58,7.55
"EnrichedClustersDT",0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,4,4,5,5,6,6,6,7,7,8,8,7,7,10,10,8,8,8,10,10,11,11,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,14,14,13,13,12,13,14,14,14,14,14,14,16,16,12,12,14,14,14,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11,11,11,12,13,13,15,15,15,15,14,14,13,13,13,13,13,13,13,13,13,13,13,13,12,12,11,11,11,11,11,11,11,11,11,11,11,9,10,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9
"PercentageDT",0,25,16.67,12.5,10,8.33,7.14,6.25,5.56,5,4.55,8.33,7.69,7.14,6.67,6.25,11.76,11.11,10.81,12.82,12.2,13.95,13.33,12.77,14.29,13.73,15.09,14.55,12.28,11.86,16.39,15.87,12.31,11.94,11.59,14.08,13.7,14.67,14.29,13.92,13.58,13.25,12.94,12.64,12.36,13.19,12.9,12.63,12.37,12.24,12,12.75,12.5,12.38,13.08,12.96,11.82,11.61,10.53,11.21,11.86,11.67,11.57,11.38,11.2,11.02,12.5,12.31,9.16,9.09,10.53,10.45,10.37,9.49,9.35,9.29,9.22,9.15,8.33,8.22,8.16,8.16,8.11,7.38,7.28,7.28,7.19,7.14,7.05,6.96,7.55,8.07,7.98,9.15,9.09,8.98,8.88,8.19,8.09,7.51,7.47,7.43,7.34,7.26,7.18,7.1,7.1,7.1,7.07,6.99,6.91,6.32,6.28,5.7,5.67,5.67,5.64,5.61,5.56,5.53,5.5,5.45,5.47,5.42,4.41,4.85,5.29,5.24,5.21,5.21,5.16,5.16,5.12,5.09,5.05,5.09,5.07,5.02,5.43,5.38,5.36,5.33,5.31,5.29,5.26,5.24,5.19,5.15,5.13,5.13,5.11,5.08,5.06,5.02,5.02,5.02,5,4.96,4.96,4.96,5,4.98,4.94,4.94,4.92,4.92,4.92,4.94,4.53,4.49,4.47,4.47,4.07,4.07,4.07,4.08,4.08,4.05,4.05,4.02,4.02,3.98,3.98,3.95,3.92,3.92,3.92,3.89,3.88,3.88,3.88,3.85,3.83,3.85,3.85,3.85,3.83,3.8,3.79,3.4
"Pval_ATC",1,0.995690952979162,0.949996819107038,0.983560556355815,0.990438355211695,0.992118860458594,0.823811689307256,0.201953447332688,0.112994609825558,0.000188821369430167,2.19059745675252e-09,1.78751574587587e-09,1.86766109490556e-09,1.61680418734136e-07,1.53781535410782e-07,1.12881205794474e-07,6.78943489318398e-58,1.47531646914441e-60,7.95728750572867e-61,4.74111423587148e-61,6.3602120153139e-64,1.18411966648853e-53,2.28859561093291e-27,1.43799724598617e-27,1.27907086762948e-29,7.91868271816451e-30,3.07284134056663e-37,5.21647771111295e-37,6.77252361858252e-46,1.16312189581513e-45,9.40450021246886e-25,8.9982276458005e-25,2.56805848844992e-24,2.6673569338415e-24,2.42589029320771e-23,1.52643843766854e-24,1.50356572690268e-24,1.62430576916372e-23,1.44749267204683e-23,1.42596879046136e-23,9.51398410010091e-13,7.10269695439052e-13,4.72464363328986e-13,4.12113487373607e-13,3.70005533178311e-13,2.13350374172982e-16,8.22894524329441e-16,6.76141987846324e-16,6.28748246249759e-16,9.60634419641066e-16,1.40879983969491e-15,2.20567977994959e-17,1.93126912934746e-17,1.68190463781762e-17,4.72213836202382e-14,5.87682541119134e-14,6.11392538738798e-14,4.52905937306167e-14,3.14854142164888e-14,1.24499417327571e-08,8.15858392162244e-07,1.11060042715486e-06,1.10858738896287e-06,1.08536377233428e-06,1.06063148766314e-06,6.17310717229766e-07,3.68781685401355e-07,3.67398497676836e-07,1.59771166272259e-06,1.59771166272259e-06,2.23878706206814e-06,2.14345510341818e-06,2.06939597890583e-06,6.6928593357248e-07,6.37499254988323e-07,1.00654259379588e-06,9.71025729520456e-07,9.0355086986405e-07,1.35524801087815e-06,1.07940236388598e-06,1.17749677720056e-06,1.13578256841275e-06,9.24794270401543e-07,9.80324985365953e-07,7.86988847139712e-07,7.49275584089611e-07,7.22131101113219e-07,6.54265855002327e-07,4.97655874042395e-07,4.28078184617044e-07,9.8197250212668e-09,1.91226588767394e-06,1.10152679122573e-06,4.58062585381748e-06,4.12850477938234e-06,4.49114320641948e-06,3.1967975253343e-09,1.00157467779989e-08,6.36082230986349e-09,8.32290937393017e-09,1.06772771875415e-08,9.5865684718982e-09,1.14406967440883e-08,1.06200900089679e-08,6.34695009527874e-08,3.31383688217966e-07,4.16542349785159e-07,5.22708940996773e-07,4.9012267094764e-07,3.05653379267628e-07,2.72328394195016e-07,4.77308409843655e-07,2.44379838661662e-07,1.45221106049788e-07,1.37769816158601e-07,1.37769816158601e-07,1.61023846769547e-07,2.47804516358395e-07,1.63282986764114e-07,1.63282986764114e-07,1.63282986764114e-07,2.04557605704552e-07,2.47195696735446e-07,3.53820250318386e-07,6.17148431514936e-07,5.86766897074588e-07,1.87101007619644e-06,3.91350978399999e-06,3.41501543520273e-06,3.02878248548389e-06,3.77694600327299e-06,3.77694600327299e-06,2.86876034138402e-06,4.54769212232193e-06,2.80659553571253e-06,2.80659553571253e-06,2.3098868855336e-06,2.22974233540461e-06,1.10172771296941e-06,8.68243810490932e-08,6.74414968042238e-08,6.32879673429653e-08,5.81302659233211e-08,4.89986218898857e-08,4.49659450887526e-08,2.49894003157773e-08,1.95942430424839e-08,1.97449961090943e-08,1.57907261265369e-08,1.47613326145225e-08,1.20462263157814e-08,6.54977192905886e-09,6.09214386852483e-09,5.80435072184985e-09,5.80435072184985e-09,5.80435072184985e-09,5.14104857355522e-09,2.71192618463082e-09,2.4546256712421e-09,6.45312890526212e-09,6.45312890526212e-09,8.44753065451205e-09,7.66963751871689e-09,1.05247580354525e-08,8.47522574051956e-09,1.00669969470232e-08,9.36495340481803e-09,8.71018025649033e-09,1.22421883524333e-08,9.62503444983628e-09,1.45840073992627e-08,1.42394527783586e-08,3.33305246063196e-08,3.03446367367046e-08,1.4898781801721e-07,1.45589206019068e-07,1.18162981452021e-07,1.15440702380778e-07,6.41297808264185e-07,5.74573790890193e-07,9.44732748916088e-07,9.04710402731758e-07,8.1158948529945e-07,6.81300130337652e-07,3.69571981122976e-10,3.48025075838347e-10,3.37712443889452e-10,3.03986740734843e-10,1.80855938192335e-08,1.75972734538399e-08,1.84837363632808e-08,1.74964631151547e-08,3.32763860552171e-08,3.23913981856963e-08,3.23913981856963e-08,2.67992930613023e-08,2.20134605681679e-08,6.72622592285055e-08,6.37774991308848e-08,4.62320826131886e-08
"Pval_DT",0.101363965227853,0.0017418751724974,0.0916647290327624,0.0705315953076896,0.071213253383578,0.0534810293782619,0.00585102850493281,5.33134502625468e-06,1.09132032987776e-05,0.000166792605565499,1.41717823057788e-08,1.09851604247905e-08,9.52940120586760e-09,7.24685981191432e-05,7.9498376352264e-05,8.14785638751526e-05,7.13479574945721e-08,2.78392753667665e-08,2.68051306071607e-08,1.52725023499543e-07,4.00046712176494e-08,1.16010533020251e-08,2.35214835171571e-05,3.15557986998228e-05,2.58233393664924e-05,1.81034971478079e-05,0.00117693151972612,0.000932459778391887,0.000226625440522836,0.000163967850796575,1.97467048722799e-05,1.94937284758662e-05,5.23634046352639e-05,4.95512094758235e-05,9.33283162333007e-06,5.94753655533586e-06,5.90583270492729e-06,4.87898783392203e-06,5.50944791185118e-07,5.46582478484991e-07,5.35618392193984e-09,4.49841565866063e-09,3.92451415605648e-09,3.92451415605648e-09,4.69820254320354e-09,3.47224484376259e-11,1.14984009507495e-10,8.83606337063540e-11,6.24750699348417e-11,6.24750699348417e-11,5.246251012321e-11,1.77821709470945e-09,1.60468725072148e-09,1.60468725072148e-09,4.11283993977679e-11,3.88564981380407e-11,9.37832294437956e-11,1.01071931991635e-10,9.33617724991356e-11,6.34657347707761e-13,1.31447127187475e-10,3.21270988168253e-11,2.73626936077693e-11,2.56552128040812e-11,2.2544485950468e-11,2.73557557266407e-11,1.32340699105011e-11,1.32340699105011e-11,7.95155549294115e-11,7.95155549294115e-11,2.03312616248677e-10,1.93720465120584e-10,1.81608604967927e-10,1.84107542220321e-11,1.7746651141795e-11,1.44886449344381e-11,1.39620931425626e-11,1.32068517696876e-11,7.3120073520153e-11,7.05266361366518e-11,6.32685628332534e-11,6.10137722887436e-11,5.67348640195143e-11,7.55396352418734e-11,6.18407065321973e-11,5.54148621140122e-11,5.54148621140122e-11,5.44086332099622e-11,4.2831406692728e-11,3.83288375921491e-11,1.92679314867776e-13,7.20983079122581e-15,3.438880871187e-15,5.77677947184837e-16,4.93900930040512e-16,4.68704587159967e-16,1.24111886935141e-15,2.18842824814244e-15,2.31725881195031e-15,5.42304256203313e-15,5.27403164534836e-15,4.71682629268699e-15,4.10040574398245e-15,3.66439398154722e-15,2.92352813603711e-15,1.34059922648683e-12,1.30654704570301e-12,1.20933865902476e-12,1.09055834275192e-12,1.53082618241265e-12,1.49177403789789e-12,2.09360230289421e-12,1.46330549553915e-11,2.69966050579934e-11,2.50474989767185e-11,2.50474989767185e-11,2.10128712504583e-11,2.0490345064934e-11,1.29721291509347e-11,1.29721291509347e-11,1.29721291509347e-11,1.29721291509347e-11,1.20118075315116e-11,1.11202675403221e-11,2.22857755425712e-11,1.913295308169e-11,1.11090522920105e-12,9.02603681758901e-13,7.10666899533124e-13,6.49406539083686e-13,5.41835164470089e-13,5.41835164470089e-13,5.09972021623909e-13,4.94727777868587e-13,3.12667722248538e-13,3.12667722248538e-13,1.90195780988776e-13,1.78637178216311e-13,6.63313696494041e-13,7.79865208480793e-12,5.75650557100246e-12,5.58332378431147e-12,5.58332378431147e-12,5.25190257516847e-12,5.25190257516847e-12,3.00933644120966e-12,2.82683453784281e-12,2.19793130469779e-12,2.19793130469779e-12,2.19793130469779e-12,1.99885258405203e-12,3.34404345537404e-11,3.34404345537404e-11,3.24262335196923e-11,3.14416281274948e-11,3.14416281274948e-11,2.86572105311231e-11,2.16543360163721e-11,1.97100520583543e-11,1.85083388649539e-11,1.85083388649539e-11,1.85083388649539e-11,1.68369359863146e-11,1.68369359863146e-11,1.43689068419736e-11,1.26488671092512e-11,1.2250861766854e-11,1.2250861766854e-11,3.15246557785647e-11,3.15246557785647e-11,2.53059583359146e-11,2.53059583359146e-11,4.88398562621197e-11,4.58881924619425e-11,2.60569116259911e-12,2.51647163458759e-12,2.34677890997707e-12,2.26612128769685e-12,1.38223194182299e-12,1.33381899264234e-12,1.11526260211728e-12,1.03788392874391e-12,9.31440103403021e-13,8.05772706362617e-13,4.96180199430018e-15,4.54538777251417e-15,4.54538777251417e-15,3.48916925193158e-15,3.35396817934858e-15,3.35396817934858e-15,2.79984459154897e-15,2.79984459154897e-15,7.53574284556271e-15,7.20711917734379e-15,7.20711917734379e-15,6.02589282395129e-15,4.8106670458006e-15,1.03483523579552e-14,1.03483523579552e-14,2.89476862457304e-14
"ARIndex",0.00454149179219386,0.00801374922403337,0.0127814723326097,0.0128889339057752,0.0127833774097045,0.013078833954467,0.0149674000253495,0.017496413419517,0.0194301484172584,0.0204998892118859,0.0220178876451555,0.0221185225380663,0.0221123212747484,0.0264102821425405,0.02649744159541,0.0264488009355426,0.0543523693656103,0.0548297731310972,0.054854689396563,0.0554488674375834,0.0559844621685119,0.0565321262763306,0.0627048577305036,0.062930518704868,0.0637756021373859,0.0636249582703157,0.0705808903418051,0.0708174859554771,0.0734007720922581,0.0736140012141107,0.083892439685584,0.0839250093700158,0.0836603426128738,0.0836627837733464,0.0861288254699702,0.0892566407556994,0.0893009042908906,0.0891091940390707,0.0909833073385667,0.0908081751647253,0.0987713621260593,0.0988711314330978,0.0989800674363784,0.0990073506455152,0.0991304280505986,0.103581048546442,0.103550140613702,0.103728991437502,0.103439302607666,0.103475825806795,0.103635140516356,0.110662896491703,0.110722146904529,0.110594325468625,0.125726532336212,0.125840654188333,0.126001807271139,0.126244505253267,0.12611394636271,0.126921784220931,0.125867873700305,0.126783393267426,0.126893676784204,0.126844823091934,0.126995839518208,0.126722981496368,0.134622658632966,0.134883210907606,0.134886810391392,0.134930331874174,0.135076886254013,0.135167277931193,0.135249047942295,0.141985477823718,0.14119997657169,0.141355215882139,0.141287926960461,0.140453550506673,0.138198935347435,0.137653902092753,0.137930481777052,0.137985717982071,0.138025717294573,0.13865006963797,0.13871391445158,0.138828964336594,0.138736030936937,0.138812803449931,0.138824570094123,0.13889099628892,0.138977632297547,0.147554443725673,0.147422807349067,0.149231853901659,0.149349044743083,0.149009692309705,0.15628503158142,0.156178768344809,0.158772869250182,0.158680538631509,0.158712268340722,0.158807518452659,0.158955867369584,0.158863868619269,0.159304332504275,0.15218962909786,0.151998681431658,0.151962729561419,0.151952987374486,0.151562753820934,0.151657805163579,0.151745916141426,0.14903357115624,0.149049020821396,0.148921643379434,0.148900317488437,0.148908762363109,0.148999036104829,0.149313011242042,0.149286301265984,0.148084113953419,0.148168992678545,0.148211460849279,0.148023534794375,0.147973429796162,0.147794585058529,0.150522644294911,0.150752510260492,0.150884935161187,0.150279059010765,0.150039516490717,0.149936888271976,0.149581384093766,0.149219184810797,0.150017368445912,0.150029002870068,0.149977325313374,0.150023914664031,0.150457934744574,0.151894236991114,0.151968374583428,0.152011154134008,0.151819842460582,0.151042377772992,0.151158179804221,0.150899784486189,0.150768459372617,0.150218212940035,0.149848115536519,0.149884632947968,0.149969895036854,0.151447355503852,0.151321873935436,0.150545625637265,0.150444683119187,0.149859974047051,0.150238587883946,0.1504958513873,0.150348806300194,0.150451862289078,0.150394219110314,0.150118994561859,0.149881804937754,0.149785561273675,0.149631520288609,0.149644445085836,0.149548013887858,0.149580186740489,0.149618808619859,0.149657576342153,0.149148600353511,0.148652082432083,0.14832694800631,0.148300815636332,0.150609262963611,0.150629246309248,0.150936184474985,0.150839648369837,0.151148095136132,0.150996088681984,0.150556777165515,0.150623830370847,0.15067750700698,0.150244911845649,0.165924172824338,0.165817423966837,0.16561289358627,0.165684329452462,0.167090471626589,0.167197271912115,0.167063216259671,0.167186671640037,0.166713009706227,0.166737684484541,0.166230265892715,0.166295982043763,0.165600704413073,0.165007532963725,0.164889844905222,0.165216139246977
"Overlap_ATC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.3125,0.3125,0.3125,0.4375,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.375,0.375,0.375,0.375,0.375,0.5,0.5,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4375,0.4375,0.4375,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5625,0.625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.625,0.625,0.625,0.625,0.625,0.625,0.5625,0.5,0.5625,0.5,0.5,0.5,0.5,0.5,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.625,0.625,0.625,0.5625,0.625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.6875,0.6875,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
