"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"K",2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180,182,184,186,188,190,192,194,196,198,200
"IncDrugs",1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309
"EnrichedClusters",0,0,0,0,1,2,2,2,2,7,9,9,9,14,20,21,20,22,23,23,24,24,25,26,26,25,26,26,25,25,25,26,27,26,25,25,25,24,24,23,23,23,23,24,24,24,23,23,23,23,23,22,21,21,21,21,21,21,21,21,21,20,20,21,21,22,22,21,20,20,20,20,20,20,20,19,19,19,19,20,20,20,19,18,18,18,17,17,17,17,17,17,17,17,17,17,17,18,18,18
"Percentage",0,0,0,0,10,16.67,14.29,12.5,11.11,35,40.91,37.5,34.62,50,66.67,65.62,58.82,61.11,60.53,57.5,57.14,54.55,54.35,54.17,52,48.08,48.15,46.43,43.1,41.67,40.32,40.62,40.91,38.24,35.71,34.72,33.78,31.58,30.77,28.75,28.05,27.38,26.74,27.27,26.67,26.09,24.47,23.96,23.47,23,22.55,21.15,19.81,19.44,19.09,18.75,18.42,18.1,17.8,17.5,17.21,16.13,15.87,16.41,16.15,16.67,16.42,15.44,14.49,14.29,14.08,13.89,13.7,13.51,13.33,12.5,12.34,12.18,12.03,12.5,12.35,12.2,11.45,10.71,10.59,10.47,9.77,9.66,9.55,9.44,9.34,9.24,9.14,9.04,8.95,8.85,8.76,9.18,9.09,9
"EnrichedClustersDT",0,0,0,0,1,1,1,1,1,2,2,6,6,6,6,6,12,14,15,14,15,15,15,15,15,15,15,14,14,14,15,15,16,15,15,16,18,19,19,21,21,21,21,19,22,22,22,22,21,22,22,21,21,21,21,21,21,21,21,20,20,19,19,19,19,18,18,18,18,18,18,18,17,17,17,16,16,16,16,17,17,17,15,14,14,14,16,16,15,15,15,15,15,18,18,18,18,18,18,18
"PercentageDT",0,0,0,0,10,8.33,7.14,6.25,5.56,10,9.09,25,23.08,21.43,20,18.75,35.29,38.89,39.47,35,35.71,34.09,32.61,31.25,30,28.85,27.78,25,24.14,23.33,24.19,23.44,24.24,22.06,21.43,22.22,24.32,25,24.36,26.25,25.61,25,24.42,21.59,24.44,23.91,23.4,22.92,21.43,22,21.57,20.19,19.81,19.44,19.09,18.75,18.42,18.1,17.8,16.67,16.39,15.32,15.08,14.84,14.62,13.64,13.43,13.24,13.04,12.86,12.68,12.5,11.64,11.49,11.33,10.53,10.39,10.26,10.13,10.62,10.49,10.37,9.04,8.33,8.24,8.14,9.2,9.09,8.43,8.33,8.24,8.15,8.06,9.57,9.47,9.38,9.28,9.18,9.09,9
"Pval_ATC",0.695833140874003,0.614507124947232,0.477939810594383,0.221266567439126,0.0961597706464377,0.078069966329617,0.126669568977967,0.0696727092343029,0.0758792345318701,0.0394737503771272,0.0305406488657295,0.0179124443707893,0.0155260771381197,0.00257773834850168,0.000110700775073884,7.0352103595533e-05,5.20391226243602e-05,0.000369611158346207,0.000281278610257519,0.000138494318843937,7.18424129264203e-05,4.2441967629448e-05,3.68936604252352e-05,2.6878143390899e-05,1.451282723243e-05,5.00818604315187e-05,9.01322773387409e-05,2.88806026012807e-05,3.19939484526279e-05,2.7432107503821e-05,8.75531918889022e-06,1.12177456651321e-05,8.16259898917087e-06,1.312147889e-05,5.32665174355622e-06,4.82828145516269e-06,3.91484293765385e-06,5.96573974475643e-06,5.22081911633313e-06,5.66062853464498e-06,5.10882757244695e-06,2.33421278109684e-06,1.95021794824602e-06,9.68631508865479e-07,5.99686092958338e-07,5.63253923301216e-07,9.52503648994871e-07,8.24378941651877e-07,5.30266435142132e-07,4.15821217098998e-07,2.02210233367443e-07,3.62914170004481e-07,4.90591033233295e-07,3.1402780836623e-07,2.93397153031332e-07,8.82851762694667e-07,6.43381671719338e-07,6.38616805500654e-07,5.09858827575145e-07,2.56264047036939e-07,2.04636157416058e-07,6.17123510026845e-07,5.44368843877563e-07,1.33762035560194e-06,8.72096231755252e-07,3.75806213739701e-07,3.54115342637514e-07,6.96988039588139e-07,1.30424128823866e-06,8.29423722061447e-07,6.44193194048641e-07,5.20175486067016e-07,4.52936618466078e-07,3.48239227797465e-07,3.21556074856631e-07,4.45538216717473e-07,3.1408430418962e-07,3.00146994256399e-07,1.82306128737531e-07,2.01859119938641e-05,1.79651378365058e-05,1.418025122432e-05,3.14319288098751e-05,4.84346312080247e-05,4.42581039649769e-05,4.2616610436399e-05,7.01555831628933e-05,6.76037180365015e-05,4.45807337488476e-05,4.22301235405031e-05,3.84609581196471e-05,3.1073038812947e-05,2.96178758059969e-05,5.63668972592086e-06,5.38240131272116e-06,5.28367551142564e-06,4.63791726805578e-06,3.11112936845151e-06,2.82375290022219e-06,1.68577190608664e-06
"Pval_DT",0.294874876248381,0.656069200118949,0.0558053180419362,0.061402657906865,0.00212321286295802,0.0331106516843404,0.295995132932229,0.245657344209777,0.159212588331178,0.150264666583431,0.0703311914371921,0.0257620212103902,0.023362642420672,0.00470395288325963,0.00224984063903502,0.00159804161719028,0.00047968882570361,0.000712010325467314,0.000383407418578359,0.000244934324145545,0.000438169771957891,0.000222813852576401,0.000165067351318484,0.000185961655130099,0.000281726494237815,0.000598437757363084,6.70017634004512e-05,7.25296919928695e-05,6.49403332885503e-05,6.73733948725608e-05,1.8633613788164e-05,2.64076714085072e-05,4.84480362525364e-06,1.32232550507783e-05,7.50173190956658e-06,5.60647304830715e-06,3.71689186536876e-06,3.21109463766371e-05,9.7577713169474e-06,1.30080889585432e-05,1.21857655406781e-05,5.43247013249207e-06,5.15715474448738e-06,4.71900657223741e-06,5.61590662775387e-06,5.42079787503733e-06,4.07262619478167e-06,3.72026854989898e-06,4.67507418129236e-06,3.00943846337718e-06,1.87575265480897e-06,2.80555333481352e-06,1.98406140614933e-06,1.47454044822745e-06,1.44536207434343e-06,1.04616352467882e-06,1.12177160367535e-06,1.09891054270812e-06,2.12154803962918e-07,1.94774378019354e-07,3.24644343715347e-07,9.71541463552209e-07,9.29846903011248e-07,2.7157063697246e-06,1.56270871295981e-06,3.4186943406271e-06,2.80015401571415e-06,2.23591695332488e-06,1.95026569285401e-06,3.38915977116339e-06,2.76668993146374e-06,2.30445899357568e-06,1.96891863393071e-05,1.81259257798002e-05,1.59941416051945e-05,4.18061220797318e-05,2.40319639138604e-05,2.30424305232152e-05,3.17027552149588e-05,0.00480349645128123,0.00440420609269324,0.00347407615253071,0.00587342177118916,0.00780471165259177,0.00727969590798869,0.00727969590798869,0.00546346082398024,0.00515013046806755,0.0064083615322389,0.00604207961262334,0.00536175490297767,0.00497006197532806,0.00467426656362377,0.00455140895385368,0.00433921141179582,0.00433921141179582,0.00413540438432299,0.00297242002826004,0.00272967476179476,0.00169051335157649
"ARIndex",0.0131738339750723,0.0189299465086299,0.0307064815429121,0.0373043756751909,0.039462465051138,0.0466774174104859,0.0531125298263651,0.055706965758828,0.0582028591516512,0.0627389041011546,0.0646736836251256,0.0671778396923538,0.0682667006972564,0.0743921641857965,0.0808512432419763,0.0819770166436218,0.0833766945458813,0.0803022137374196,0.0829396128066898,0.0875837771723868,0.0897850897600244,0.0908762847961486,0.0925981663183175,0.092661663294927,0.0939853503420467,0.0964194528647495,0.102441580432256,0.105598977039802,0.107446997934833,0.107719341917915,0.111660513148275,0.113190513757645,0.114537038727492,0.114956381441102,0.117602260257782,0.118815731259565,0.119939100069071,0.120114605217895,0.119597786222264,0.119987507557656,0.120406804581385,0.121459222849785,0.122125431400125,0.12339573174179,0.123130728294684,0.123359191948485,0.123875874646777,0.12391799953591,0.124139882496544,0.124670200901164,0.125726550111691,0.12608865345547,0.127104269166998,0.12822152835957,0.128478978640551,0.129108360902934,0.128456798309643,0.128669627988492,0.131224307050647,0.132307180539996,0.132020870912325,0.131028929154026,0.131267289659379,0.130104949693096,0.129321066932821,0.13011722634841,0.130667291573903,0.130823595050903,0.130661932674125,0.13171657337519,0.1320856984217,0.131958247597603,0.132311109233197,0.132842708634524,0.133020867280254,0.134195332739604,0.134043544950272,0.133528087352686,0.131796414537489,0.122874358181279,0.122836978516815,0.123031972691574,0.123180707980526,0.122819100885949,0.123141746990566,0.123217381180506,0.123353582942328,0.123563854810017,0.122767432066099,0.12291046365499,0.123060576937945,0.123285717425719,0.12341622490386,0.121369208591619,0.121556126815136,0.12163934106373,0.121586496140576,0.121188836470032,0.121523295894403,0.121813261747023
"Overlap_ATC",0,0,0,0,0.0294117647058824,0.0882352941176471,0.0882352941176471,0.0882352941176471,0.0882352941176471,0.176470588235294,0.235294117647059,0.264705882352941,0.264705882352941,0.264705882352941,0.470588235294118,0.470588235294118,0.352941176470588,0.529411764705882,0.529411764705882,0.558823529411765,0.558823529411765,0.558823529411765,0.529411764705882,0.529411764705882,0.529411764705882,0.529411764705882,0.529411764705882,0.529411764705882,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.470588235294118,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.411764705882353,0.411764705882353,0.411764705882353,0.411764705882353,0.411764705882353,0.411764705882353,0.411764705882353,0.411764705882353,0.411764705882353,0.382352941176471,0.382352941176471,0.441176470588235,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235
