"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"K",69,93,127,151,193,222,261,310,362,396,441,482,532,571,614,633,652,677,694,722,753,768,792,808,824,844,853,866,875
"IncDrugs",1273,1273,1272,1268,1257,1246,1215,1182,1136,1116,1081,1049,1004,966,930,909,892,863,844,818,783,765,737,719,699,679,667,655,641
"EnrichedClusters",2,1,1,2,0,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Percentage",6.06,1.75,1.11,1.82,0,0.63,0.6,0.55,1.59,1.48,0.47,0.45,0.44,0.44,0.43,0.43,0.43,0.43,0.44,0.43,0.44,0.45,0.45,0.46,0.47,0.47,0.47,0.47,0.48
"EnrichedClustersDT",0,0,3,3,4,3,4,5,5,6,6,6,6,5,6,5,5,5,5,4,4,5,5,5,4,4,4,3,3
"PercentageDT",0,0,3.33,2.73,2.84,1.89,2.4,2.73,2.65,2.96,2.82,2.7,2.64,2.19,2.55,2.15,2.13,2.16,2.18,1.73,1.76,2.23,2.27,2.29,1.87,1.87,1.9,1.42,1.45
"Pval_ATC",0.0741946004128261,0.99999900822751,0.0278994579622916,0.0293766339276469,0.544574926528031,0.237175055853137,0.459526524920987,0.684995912156879,0.997869857978519,0.737564154070389,0.985440511475578,0.98462341921209,0.62719052875075,0.0203910847303015,0.00513807573104673,0.0186535611655495,0.0587176262872039,0.0451606633428221,0.00348546941941021,0.0447461859776804,0.0300514423935008,0.00995096578188319,0.00103569005517798,0.000405490757486698,7.03724597456982e-05,0.000273741977091617,3.72871562684522e-05,5.36380598961634e-05,8.96183398181697e-06
"Pval_DT",5.13726922165633e-11,2.52855266358384e-05,1.02689068646949e-06,5.28758767948124e-08,3.99153183245426e-08,8.32226701576033e-07,3.35670327206327e-08,1.42095870599121e-13,2.20140168860309e-13,4.90961595207825e-18,1.66709169490531e-19,3.44500846106732e-14,4.72338233754395e-17,9.84318729175771e-19,5.76546066724921e-25,1.52921201482993e-25,1.76388318859973e-25,4.35118645967667e-21,9.94424242730713e-23,2.48505295257603e-20,1.73312697332256e-18,3.29322429859349e-21,2.70600790890129e-24,2.87800134869367e-23,1.41580731695319e-20,5.17469616264997e-14,3.03150254550889e-14,3.83903400028225e-11,2.73041865775106e-11
"ARIndex",0.00654784242138864,0.0204176416439638,0.0900223105811091,0.106352793985247,0.109642498624692,0.11012215900303,0.115813253488268,0.133774002348109,0.144331126866429,0.152023071559695,0.155558704704279,0.160757049794103,0.154192228002254,0.147677249391752,0.139578275184361,0.133184751055846,0.13198014036003,0.123403649924832,0.122485426797322,0.110873277163638,0.106597776454954,0.101615588876356,0.0965454708052718,0.0909310591068482,0.0855503662061095,0.0762381653279757,0.0735031352016895,0.0662895577120153,0.065793718565076
"Overlap_ATC",1,0.5,0.5,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Overlap_DT",0,0,0.217391304347826,0.260869565217391,0.304347826086957,0.347826086956522,0.347826086956522,0.521739130434783,0.478260869565217,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.521739130434783,0.478260869565217,0.391304347826087,0.347826086956522,0.391304347826087,0.391304347826087,0.391304347826087,0.347826086956522,0.347826086956522,0.347826086956522,0.304347826086957,0.304347826086957
