"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"K",17,35,58,83,110,144,180,214,253,291,334,372,405,445,468,503,528,550,565,593,617,636,660,677,692,708,721,734,743
"IncDrugs",1302,1302,1302,1299,1292,1278,1245,1225,1201,1168,1134,1100,1071,1028,1009,975,950,932,915,886,860,841,814,800,785,772,758,742,733
"EnrichedClusters",0,2,5,6,8,10,9,11,10,9,9,9,10,10,9,9,10,12,10,12,11,11,11,12,11,11,12,12,11
"Percentage",0,7.14,9.8,8.22,8.6,8.85,7.76,8.46,6.9,6,5.66,5.52,5.99,6.1,5.36,5.33,5.92,6.94,5.85,7.06,6.55,6.55,6.67,7.14,6.55,6.43,7.06,7.19,6.59
"EnrichedClustersDT",0,0,2,1,3,3,4,3,5,3,3,5,5,5,5,5,5,6,6,5,4,4,4,4,4,4,5,5,5
"PercentageDT",0,0,3.92,1.37,3.23,2.65,3.45,2.31,3.45,2,1.89,3.07,2.99,3.05,2.98,2.96,2.96,3.47,3.51,2.94,2.38,2.38,2.42,2.38,2.38,2.34,2.94,2.99,2.99
"Pval_ATC",0.167537579927435,0.232537106867133,0.00384578147652865,0.000488127985749035,0.00132839391523904,7.93648530536868e-05,0.0604218277307486,0.000695174454399789,3.30533578487592e-06,4.96007623311719e-07,6.49281025140157e-09,3.61821488178527e-09,1.0219473297761e-07,5.30614391924646e-09,2.93952575400277e-13,1.52086301405461e-14,1.01151421634706e-16,3.09968213994552e-17,6.55326143525568e-18,2.12247443068659e-20,1.80259766430208e-17,4.2768856507847e-19,2.82259057457422e-18,7.99689658043641e-21,7.0165570274124e-22,1.02211759151859e-21,2.24366523627856e-24,6.99662449103606e-22,1.16727162680872e-22
"Pval_DT",0.000944656413153046,0.0372820244767757,5.39506894953716e-06,1.8803625039303e-10,1.64694923081382e-09,5.23105807128427e-12,6.79420663207771e-08,5.7225941830079e-10,8.79245246987839e-14,4.69675803499659e-14,9.37316181887391e-14,1.63196141738907e-15,1.7522344652652e-12,1.12411948684379e-14,8.0073943691707e-14,8.98325439756403e-17,1.79604365528612e-16,2.60264078365718e-15,8.63381366837794e-17,3.03379421489425e-19,5.75278734444946e-18,5.99112027834834e-19,1.90706642991502e-21,1.14294339118892e-21,8.0850225837703e-23,4.11358760291662e-23,4.50818311860292e-25,2.57604105828754e-22,2.36998992661253e-22
"ARIndex",0.00238035480239498,0.00932144217845204,0.0621669216742786,0.0899639143757235,0.106683434723089,0.113498999263608,0.107838858802987,0.121024396627562,0.1310622843595,0.135212470963332,0.139138918122242,0.142845631589673,0.142273296998981,0.150567027342439,0.155561660235493,0.163230950009397,0.16627283380262,0.166964508814867,0.167392220851742,0.168554759846064,0.16881463471273,0.166744765053475,0.170764220583863,0.17072986130935,0.170135495555709,0.16292490318147,0.166611510614454,0.161360357055754,0.158450613889156
"Overlap_ATC",0,0.027027027027027,0.0810810810810811,0.108108108108108,0.135135135135135,0.162162162162162,0.243243243243243,0.27027027027027,0.243243243243243,0.216216216216216,0.216216216216216,0.189189189189189,0.216216216216216,0.216216216216216,0.189189189189189,0.189189189189189,0.189189189189189,0.216216216216216,0.189189189189189,0.243243243243243,0.216216216216216,0.216216216216216,0.189189189189189,0.216216216216216,0.216216216216216,0.243243243243243,0.27027027027027,0.27027027027027,0.216216216216216
"Overlap_DT",0,0,0.0434782608695652,0.260869565217391,0.217391304347826,0.217391304347826,0.260869565217391,0.260869565217391,0.391304347826087,0.260869565217391,0.260869565217391,0.347826086956522,0.347826086956522,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.434782608695652,0.434782608695652,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.434782608695652,0.434782608695652,0.434782608695652,0.521739130434783,0.521739130434783,0.521739130434783
"Silhouette",-0.110847121352791,-0.113703659105518,-0.118902212333441,-0.128158417573533,-0.145807822122585,-0.158929376479173,-0.188748206608144,-0.189360500779528,-0.192521753990848,-0.190727360077453,-0.193414203614316,-0.190414951560335,-0.187699859850432,-0.184976515867405,-0.182140917042694,-0.176079736055398,-0.174449328679142,-0.172142341614172,-0.168646677879077,-0.165977956100438,-0.161084057647535,-0.159227682964193,-0.152800786825981,-0.151089122771685,-0.150609245695895,-0.147042445623687,-0.144680553632511,-0.139592889201735,-0.140749460737856
