"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"K",10,27,49,70,88,105,109,121,132,136,144,147,152,148,151,152,153,157,155,156,155,156,155,158,157,160,159,156,156
"IncDrugs",1294,1289,1278,1269,1262,1243,1212,1190,1161,1128,1093,1057,1030,987,966,932,908,891,874,848,824,806,784,772,756,745,730,714,705
"EnrichedClusters",0,0,0,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Percentage",0,0,0,1.43,1.14,0.95,1.83,1.65,1.52,1.47,1.39,1.36,1.32,0.68,0.66,0.66,0.65,0.64,0.65,0.64,0.65,0.64,0.65,0.63,0.64,0.62,0.63,0.64,0.64
"EnrichedClustersDT",0,0,2,1,3,2,3,2,4,2,2,4,4,5,5,5,5,6,6,5,4,4,4,4,4,4,5,5,5
"PercentageDT",0,0,4.08,1.43,3.41,1.9,2.75,1.65,3.03,1.47,1.39,2.72,2.63,3.38,3.31,3.29,3.27,3.82,3.87,3.21,2.58,2.56,2.58,2.53,2.55,2.5,3.14,3.21,3.21
"Pval_ATC",0.999345522291914,1.30131518165536e-08,0.0654405175829705,0.151315061651956,0.00360442904106404,0.0558259984510888,0.0517290157304416,0.0386245385026672,0.00055209927087577,0.000371280977672398,0.000574206598653177,0.000800924728371378,0.046025374683293,0.222924102071364,0.00265130979191087,8.05992831223274e-05,6.70447873342981e-07,1.89792511194312e-07,1.83785004510003e-07,2.35828294921555e-09,8.4358501453939e-07,4.19256458975453e-08,2.28105559549794e-06,3.44649142526749e-06,9.08606190144366e-07,5.12468648378238e-05,7.40858770482385e-06,8.95892822905856e-05,7.32166624201982e-05
"Pval_DT",1.87081847168045e-05,0.00888444715058011,2.00965871108865e-06,7.75544094864835e-11,1.70307897606719e-09,5.59982878282347e-12,7.35624882659752e-08,6.28501595158016e-10,1.09966578118502e-13,6.06475908898188e-14,1.24165688531687e-13,2.23780982517145e-15,2.3861487331029e-12,9.0409799381644e-15,6.49322599062708e-14,7.0707403146503e-17,1.40728655019679e-16,2.08248338969866e-15,6.78449453651331e-17,2.24298184158657e-19,4.248399040032e-18,4.4223078736946e-19,1.35070341399246e-21,8.68218026219324e-22,6.24090863419215e-23,3.36305072365759e-23,3.30594217639977e-25,1.92291596337528e-22,1.69551792876966e-22
"ARIndex",0.00283789589415941,0.00946171721325367,0.0635487059233485,0.0924627585453578,0.108994880708765,0.117005523995945,0.110864178667757,0.124329260309104,0.134529416571601,0.13758002783055,0.141777722821452,0.145570290669623,0.146640165796118,0.155372720520557,0.160849099924785,0.16904139389456,0.172335728571454,0.173287906648965,0.173855624565385,0.175442944338244,0.17603334351104,0.174185696548263,0.176543611359482,0.177196986011001,0.176665212383771,0.169481144316776,0.173535234465113,0.168171256214535,0.165167171218041
"Overlap_ATC",0,0,0,1,1,1,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Overlap_DT",0,0,0.0869565217391304,0.260869565217391,0.217391304347826,0.217391304347826,0.260869565217391,0.260869565217391,0.391304347826087,0.260869565217391,0.260869565217391,0.347826086956522,0.347826086956522,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.434782608695652,0.434782608695652,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.434782608695652,0.434782608695652,0.434782608695652,0.521739130434783,0.521739130434783,0.521739130434783
