"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"K",2,6,10,14,18,22,26,30,34,38,42,46,50,54,58,62,66,70,74,78,82,86,90,94,98,102,106,110,114,118,122,126,130,134,138,142,146,150,154,158,162,166,170,174,178,182,186,190,194,198,202,206,210,214,218,222,226,230,234,238,242,246,250,254,258,262,266,270,274,278,282,286,290,294,298,302,306,310,314,318,322,326,330,334,338,342,346,350,354,358,362,366,370,374,378,382,386,390,394,398
"IncDrugs",1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1308,1307,1307,1307,1306,1306,1305,1304,1304,1300,1298,1297,1294,1289,1287,1285,1285,1283,1281,1278,1275,1272,1268,1265,1260,1258,1256,1253,1252,1249,1247,1244,1241,1237,1235,1233,1231,1229,1225,1222,1218,1213,1210,1206,1201,1198,1194,1191,1187,1183,1180,1176,1172,1167,1162,1159,1154,1151,1146,1142,1138,1135,1132,1128
"EnrichedClusters",0,1,1,3,7,6,6,9,10,9,14,15,14,15,15,19,23,20,19,17,17,15,16,14,17,17,18,16,16,15,15,13,14,22,29,31,31,32,34,30,30,29,30,31,30,30,31,31,30,29,28,28,28,29,30,29,28,28,28,28,28,26,26,26,26,26,26,26,26,26,28,28,27,27,27,27,28,29,30,30,30,30,30,30,29,29,28,28,28,28,27,27,27,27,27,27,28,28,28,27
"Percentage",0,16.67,10,21.43,38.89,27.27,23.08,30,29.41,23.68,33.33,32.61,28,27.78,25.86,30.65,34.85,28.57,25.68,21.79,20.73,17.44,17.78,14.89,17.35,16.67,16.98,14.55,14.04,12.71,12.3,10.32,10.77,16.42,21.01,21.83,21.38,21.62,22.37,19.23,18.87,17.79,18.07,18.34,17.34,17.34,17.71,17.42,16.76,16.29,15.56,15.38,15.05,15.43,15.79,15.18,14.58,14.51,14.51,14.43,14.51,13.33,13.2,13.13,12.94,12.87,12.75,12.68,12.62,12.62,13.46,13.33,12.74,12.62,12.62,12.56,13.02,13.55,13.95,13.95,14.02,13.95,13.95,13.89,13.43,13.43,12.9,12.9,12.9,12.96,12.56,12.5,12.56,12.5,12.56,12.56,13.02,12.96,12.9,12.44
"EnrichedClustersDT",0,1,3,6,9,10,11,13,15,14,13,13,15,14,14,17,17,17,19,19,19,20,20,20,19,19,17,16,16,17,17,18,18,16,16,16,15,15,15,17,15,16,15,15,15,15,15,16,16,16,15,15,16,15,13,14,14,14,14,14,15,15,15,15,15,14,14,14,14,14,14,14,14,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,13,13,12,13,13,13,13,13,13,13,13,13
"PercentageDT",0,16.67,30,42.86,50,45.45,42.31,43.33,44.12,36.84,30.95,28.26,30,25.93,24.14,27.42,25.76,24.29,25.68,24.36,23.17,23.26,22.22,21.28,19.39,18.63,16.04,14.55,14.04,14.41,13.93,14.29,13.85,11.94,11.59,11.27,10.34,10.14,9.87,10.9,9.43,9.82,9.04,8.88,8.67,8.67,8.57,8.99,8.94,8.99,8.33,8.24,8.6,7.98,6.84,7.33,7.29,7.25,7.25,7.22,7.77,7.69,7.61,7.58,7.46,6.93,6.86,6.83,6.8,6.8,6.73,6.67,6.6,6.07,6.07,6.05,6.51,6.54,6.51,6.51,6.54,6.51,6.51,6.48,6.48,6.48,6.45,6.45,5.99,6.02,5.58,6.02,6.05,6.02,6.05,6.05,6.05,6.02,5.99,5.99
"Pval_ATC",1.92010311905676e-27,3.70613704973952e-20,6.66544930275094e-18,1.15254761945161e-26,1.50400379938854e-24,1.64424732502851e-18,4.15674439266947e-21,2.73545606279867e-14,1.17489665612216e-15,4.11685175231241e-17,1.16872214552971e-22,1.06010620146725e-19,7.64753784062248e-19,4.90845150154841e-22,4.39442194919785e-24,1.10723578450151e-25,2.31990188557188e-24,2.26234681229685e-26,1.13486646288615e-27,2.0360537457062e-27,4.08325401800879e-28,1.0862000070507e-25,8.73123549855956e-28,4.18544905834248e-27,5.57612514597961e-26,5.99834643502137e-26,5.22296141861411e-24,6.30091379575786e-23,6.21993220992011e-23,1.77089096795449e-22,5.49685457529382e-22,8.80592608880615e-22,7.303319778259e-19,4.33223477771748e-18,1.37285415509717e-18,2.36595097598622e-17,9.43883626059801e-17,1.57984667810379e-17,2.65917076913553e-17,3.82482228934679e-15,4.97709958628215e-16,4.93433006162346e-16,6.89977234504444e-17,4.90780371022095e-17,3.83318769080664e-18,7.12070266968863e-18,1.07479543391427e-19,3.81215488677657e-20,1.41616310768059e-20,8.29546399272778e-21,4.35834013089325e-21,7.02504436836505e-22,7.49076771874923e-21,1.65256758842849e-21,5.96243269375198e-22,8.70945112851148e-22,1.57540769766332e-21,3.56861834314968e-21,3.13962796681081e-21,3.06292414046145e-21,1.60529667833843e-21,9.00613146846813e-20,4.25506996128159e-20,4.23539702886751e-21,7.05318840523348e-21,2.29727697723232e-20,1.25124589935875e-20,5.19682221059876e-21,8.68262890628263e-21,7.94912464603168e-21,7.47097471468948e-21,5.0114003029604e-20,2.0362887906985e-20,4.57138064988264e-21,3.63358410159316e-21,4.434588018829e-21,3.86123186608023e-21,5.62493861277463e-21,8.64603458134919e-22,9.9064719487446e-23,2.60536383685931e-23,1.2259802394199e-23,4.66070224326256e-24,2.15068163034922e-24,3.3820640267957e-24,2.35366922299508e-24,3.54264571076974e-23,4.08765240975883e-23,2.22118016733054e-23,1.0824970055452e-23,1.53385463561359e-23,8.68433469435479e-24,1.74632113821106e-23,2.88833499184431e-23,2.88833499184431e-23,1.91153053922001e-23,8.307291653765e-24,9.08041622400363e-24,8.61588387619139e-24,1.29007328418549e-23
"Pval_DT",0.000738710221201409,1.31528848662496e-14,5.65940827976017e-16,2.54625292304705e-23,2.1247352091812e-27,4.80343082214336e-33,1.0490437751622e-35,1.76897909337745e-36,4.62170493991716e-39,2.02244862685958e-41,5.97629828500071e-43,4.9170245659367e-44,2.38073438206872e-35,1.13726371201492e-35,2.47716245069338e-36,3.42218173000345e-40,1.47708083568871e-39,5.22449604848895e-37,6.8168628500817e-39,3.45664926613703e-40,3.24233434981931e-40,4.05181643889347e-36,1.98044440330176e-38,1.30160489360449e-38,9.06026715146162e-40,1.11364289130768e-39,1.83994466623784e-39,6.0881796964236e-39,1.17136938056577e-39,5.17180795930452e-41,2.58820788752361e-41,1.30541806065218e-42,3.03757992760798e-36,8.7427381069303e-36,1.27154626894353e-37,1.10633459463733e-37,1.81140086668486e-37,6.71629652648036e-38,2.48121204718228e-38,2.78832091452377e-38,4.85014310045734e-37,5.04087838340867e-39,8.64055215312673e-39,8.64055215312673e-39,4.35067086853516e-40,3.12115366112177e-40,9.32744683189963e-41,4.41639032655753e-41,4.12469623817296e-41,2.07575752113628e-41,2.84778100824712e-41,1.23339452935177e-41,1.25059379550579e-42,3.21748271629662e-42,1.26628386237265e-41,2.12503530109596e-41,1.2017080322112e-41,1.30594456562441e-41,9.77983751546755e-42,5.88017339808878e-42,4.48644851831438e-43,2.65600758151267e-43,1.56680502056236e-43,1.4525907836703e-43,1.07235292507414e-43,6.98778461282486e-43,5.55237700413616e-43,4.40877744025023e-43,2.77389630660919e-43,2.37544011525136e-43,1.48898083828763e-43,8.60328495579545e-44,4.08589080400987e-45,6.03948447211788e-45,5.12255696471257e-45,2.05804194676832e-45,2.85515234510944e-46,2.62351068134432e-46,1.02820287722667e-46,8.66162800253435e-47,5.52676712276128e-46,3.59590756407644e-46,8.94475559414933e-47,4.04543826438929e-47,3.09977534942274e-47,1.81507770805546e-47,5.62196374723386e-48,4.68721705822737e-48,1.78408041871903e-47,1.62955725814727e-47,6.7733938987496e-47,3.59684715572527e-47,1.31662387245844e-47,1.44334323170161e-47,1.44334323170161e-47,1.44334323170161e-47,9.10681169984599e-48,9.10681169984599e-48,6.89930508092711e-48,5.22182225379863e-48
"ARIndex",0.0241072385512043,0.102448279483821,0.16542749650887,0.226595530590513,0.266890841559035,0.355751233753621,0.383983324426853,0.45622411405324,0.486555055319094,0.510174429916616,0.543016497503954,0.571073000837539,0.629696020896405,0.652263072044305,0.680171022794139,0.679220880006974,0.729041476395484,0.793236392625582,0.821854956455636,0.841976280961777,0.862267304113608,0.89312698580003,0.915119039100837,0.931122727180234,0.956821521394153,0.961040004477709,0.976523877337225,0.944063784242734,0.934582501968967,0.925045924774041,0.903623221385699,0.880392654348756,0.839861469422535,0.832903563485881,0.819134373688274,0.798335102184491,0.793071007381655,0.785717743068117,0.780174951441912,0.74776185637147,0.713856767820982,0.717018240869081,0.704336522919662,0.705395563486762,0.68891310977679,0.688537003624227,0.679079761294134,0.673413826321724,0.670381608977891,0.670334965944249,0.667020236734194,0.663528539938485,0.661277503227503,0.657754090621845,0.64967659428468,0.648024146403027,0.646683920918122,0.641269229586024,0.640575612979052,0.640618416734151,0.639781616393781,0.631179377203593,0.63016967818344,0.625322050610199,0.621065090590143,0.619772915319364,0.617073683131135,0.612976533653838,0.610678857276087,0.610136018625138,0.606777649552782,0.602068478592527,0.593406399712218,0.591841654832402,0.591564364150551,0.590582974818402,0.588262747334983,0.588503584523546,0.584941860718497,0.58198478931335,0.578964337013641,0.5751892065741,0.57347194597499,0.571675163812125,0.571843118214624,0.571640099033945,0.56974528207125,0.568159145306177,0.566379178822414,0.565028223212062,0.564924950680595,0.562762425091457,0.561122804570171,0.555755423731965,0.553754685639269,0.552934861355595,0.551611898630268,0.548822415924382,0.548326345882403,0.547461141631252
"Overlap_ATC",0,0.0625,0.125,0.25,0.3125,0.375,0.375,0.4375,0.4375,0.4375,0.5,0.5625,0.4375,0.5625,0.625,0.75,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.875,0.8125,0.9375,0.9375,1,0.875,0.875,0.875,0.875,0.8125,0.8125,0.875,0.9375,0.9375,0.9375,0.9375,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.8125,0.8125,0.8125,0.875,0.875,0.875,0.875
