"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"K",2,6,10,14,18,22,26,30,34,38,42,46,50,54,58,62,66,70,74,78,82,86,90,94,98,102,106,110,114,118,122,126,130,134,138,142,145,148,152,156,159,163,166,169,173,173,175,178,179,178,180,182,186,188,190,191,192,193,193,194,193,195,197,198,201,202,204,205,206,206,208,210,212,214,214,215,215,214,215,215,214,215,215,216,216,216,217,217,217,216,215,216,215,216,215,215,215,216,217,217
"IncDrugs",1284,1215,1190,1172,1171,1165,1168,1159,1161,1168,1170,1182,1188,1195,1202,1205,1202,1211,1218,1220,1223,1224,1225,1228,1231,1233,1234,1237,1238,1242,1245,1247,1249,1252,1255,1258,1263,1265,1265,1266,1269,1273,1273,1273,1274,1274,1276,1276,1274,1272,1273,1273,1274,1274,1273,1273,1274,1272,1268,1265,1260,1258,1256,1253,1252,1249,1247,1244,1241,1237,1235,1233,1231,1229,1225,1222,1218,1213,1210,1206,1201,1198,1194,1191,1187,1183,1180,1176,1172,1167,1162,1159,1154,1151,1146,1142,1138,1135,1132,1128
"EnrichedClusters",0,1,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,5,4,4,4,4,4,4,4,5,2,2,2,2,2,2,3,2,2,2,2,2,2,2,8,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Percentage",0,16.67,10,7.14,5.56,4.55,3.85,6.67,5.88,5.26,7.14,6.52,6,5.56,6.9,6.45,6.06,7.14,5.41,5.13,4.88,4.65,4.44,4.26,4.08,4.9,1.89,1.82,1.75,1.69,1.64,1.59,2.31,1.49,1.45,1.41,1.38,1.35,1.32,1.28,5.03,1.23,1.2,1.18,1.16,1.16,1.14,1.69,1.68,1.69,1.67,1.65,1.61,1.6,1.58,1.57,1.56,1.55,1.55,2.06,2.07,1.54,1.52,1.52,1.49,1.49,1.47,1.46,1.46,1.46,1.44,1.43,1.42,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.39,1.39,1.39,1.38,1.38,1.38,1.39,1.4,1.39,1.4,1.39,1.4,1.4,1.4,1.39,1.38,1.38
"EnrichedClustersDT",0,1,3,6,7,10,12,12,12,12,12,12,13,13,14,16,18,17,18,18,18,19,19,19,18,18,16,16,16,17,17,17,17,16,16,16,16,16,16,17,15,16,15,15,15,15,15,16,16,16,15,15,16,15,13,14,14,14,14,14,15,15,15,15,15,14,14,14,14,14,14,14,14,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,13,13,12,13,13,13,13,13,13,13,13,13
"PercentageDT",0,16.67,30,42.86,38.89,45.45,46.15,40,35.29,31.58,28.57,26.09,26,24.07,24.14,25.81,27.27,24.29,24.32,23.08,21.95,22.09,21.11,20.21,18.37,17.65,15.09,14.55,14.04,14.41,13.93,13.49,13.08,11.94,11.59,11.27,11.03,10.81,10.53,10.9,9.43,9.82,9.04,8.88,8.67,8.67,8.57,8.99,8.94,8.99,8.33,8.24,8.6,7.98,6.84,7.33,7.29,7.25,7.25,7.22,7.77,7.69,7.61,7.58,7.46,6.93,6.86,6.83,6.8,6.8,6.73,6.67,6.6,6.07,6.07,6.05,6.51,6.54,6.51,6.51,6.54,6.51,6.51,6.48,6.48,6.48,6.45,6.45,5.99,6.02,5.58,6.02,6.05,6.02,6.05,6.05,6.05,6.02,5.99,5.99
"Pval_ATC",0.640545254810605,0.158392945752739,4.48467365880243e-07,4.99034662584687e-10,3.26411434484534e-12,1.59819413206789e-10,1.76767201800159e-12,9.10469763255504e-14,3.17784840135912e-15,4.88784603527316e-15,1.2892363836187e-17,5.32482469489522e-18,7.89963298764424e-13,5.63539294168816e-14,9.01827224321973e-15,9.18554521983138e-18,1.67422978341867e-15,3.22943689502711e-18,4.14514854804046e-19,5.00493776965942e-19,1.504509938447e-17,2.56113061399355e-16,2.88007703869544e-18,1.78146106944837e-18,2.63207959891309e-16,4.11468847612182e-16,2.50254826935513e-16,2.08810880315993e-17,1.57728975106722e-17,2.93119734685311e-17,4.16867484517686e-18,1.79311384871066e-17,3.70332880059762e-15,4.34234334636056e-15,1.884924412457e-14,2.59601731547843e-14,5.11739190091325e-14,7.11473744346576e-15,1.05702400546041e-14,5.51900580114272e-14,6.85277574257693e-16,6.25983113614711e-14,8.66347616387197e-15,2.06015808911047e-15,1.44469955800421e-15,1.44469955800421e-15,2.85163468387811e-16,2.28781138363734e-16,7.91845826889569e-17,1.3816337253594e-16,7.63286017966556e-17,8.83579296893102e-17,2.35351009852568e-15,8.66698914803946e-16,2.85784969520471e-16,7.01109690861254e-16,2.47677730895107e-15,2.7189780025947e-15,2.25561851264258e-15,2.54227825473442e-15,9.88574278196006e-16,5.38216896560594e-15,1.73829287235467e-15,1.55161364363787e-16,1.05133275262232e-16,5.79007153848841e-17,2.20497888431669e-17,2.57446194832985e-17,1.70492083016548e-17,2.18684397715069e-17,5.9811893178564e-17,1.54983201785228e-16,7.94633549089767e-18,1.03977047334955e-18,7.12940785573919e-19,9.25283378122781e-19,1.11707494146295e-18,1.62690358100408e-18,5.18598994271403e-19,2.30443008525345e-20,2.51959685523537e-21,1.12722718065988e-21,2.23008305330263e-22,6.0478837113048e-23,6.24335475037351e-23,5.40519424459268e-23,1.39596524939243e-22,1.3633402797277e-22,7.59949383792102e-23,3.52226101438189e-23,4.89872589438129e-23,1.82443873298342e-23,2.18747105539059e-23,6.44968150668003e-23,6.44968150668003e-23,3.14240061120963e-23,3.14398371326618e-23,1.71326953651546e-23,9.59341025918818e-24,1.4695377892033e-23
"Pval_DT",6.20178547031888e-05,1.4791671975311e-15,5.0878015310687e-21,1.76805684102938e-21,5.77303689302206e-28,6.13506917025925e-36,4.60839821103826e-38,2.92905565845466e-39,8.10729539698965e-42,7.5273603705494e-44,1.07270804385594e-44,1.56846478969921e-45,2.18276407613851e-36,1.18955109796519e-36,7.1096677196295e-37,8.84874381706657e-41,7.39775519187194e-43,2.43941042436444e-40,3.20356456827541e-42,5.93431673529603e-44,1.20697241953906e-43,4.13891523990953e-39,1.39612087067121e-41,9.44580351938595e-42,8.38680854087757e-43,1.2550570098244e-42,1.69861030418735e-42,6.86674340969084e-42,2.82444731059566e-42,2.52133078946894e-43,9.87788365977217e-44,1.39380444176681e-44,5.30773343028184e-38,7.25674678150327e-38,4.53083011323045e-39,3.76757403255686e-39,2.60162565253175e-39,1.31332136573715e-39,8.79168975815785e-40,1.07927748061602e-39,1.22203706399976e-38,4.93454648778781e-40,8.41689947628298e-40,8.41689947628298e-40,4.72842517575166e-41,4.72842517575166e-41,1.68729416418278e-41,7.85527762389837e-42,7.32510306716552e-42,7.32510306716552e-42,9.99147319334851e-42,4.93065648868463e-42,7.56849437702094e-43,1.94954020280354e-42,7.70333864703909e-42,1.84351922495267e-41,1.2017080322112e-41,1.30594456562441e-41,9.77983751546755e-42,5.88017339808878e-42,4.48644851831438e-43,2.65600758151267e-43,1.56680502056236e-43,1.4525907836703e-43,1.07235292507414e-43,6.98778461282486e-43,5.55237700413616e-43,4.40877744025023e-43,2.77389630660919e-43,2.37544011525136e-43,1.48898083828763e-43,8.60328495579545e-44,4.08589080400987e-45,6.03948447211788e-45,5.12255696471257e-45,2.05804194676832e-45,2.85515234510944e-46,2.62351068134432e-46,1.02820287722667e-46,8.66162800253435e-47,5.52676712276128e-46,3.59590756407644e-46,8.94475559414933e-47,4.04543826438929e-47,3.09977534942274e-47,1.81507770805546e-47,5.62196374723386e-48,4.68721705822737e-48,1.78408041871903e-47,1.62955725814727e-47,6.7733938987496e-47,3.59684715572527e-47,1.31662387245844e-47,1.44334323170161e-47,1.44334323170161e-47,1.44334323170161e-47,9.10681169984599e-48,9.10681169984599e-48,6.89930508092711e-48,5.22182225379863e-48
"ARIndex",0.0246547812618185,0.107149148774983,0.180082193035646,0.247745506939925,0.287076096992856,0.389632685408511,0.413662875605535,0.490812835873607,0.521855448590872,0.542545948516593,0.576168304369425,0.597842505881914,0.65836167322139,0.678002816985628,0.701822586017275,0.698195795786129,0.745453504131148,0.808774470970518,0.83473312032455,0.85395657044563,0.870375463571617,0.9016642289969,0.923492119743168,0.937213601809119,0.964704950669845,0.967387081397571,0.979945260342477,0.951935841144049,0.942915117386837,0.936070490383111,0.915593146903794,0.897310603585168,0.857009501624793,0.851556782893518,0.840924100840029,0.825342107177993,0.821317977774008,0.814861776624068,0.810610731802047,0.775481637410723,0.74457444962932,0.748212521238836,0.735139658632947,0.736756089666972,0.720170393759795,0.720170393759795,0.711814731280346,0.705827173779094,0.702582889148788,0.704580609981227,0.701791400457449,0.697671443015051,0.695388667075069,0.691948299380235,0.687608800282362,0.686457259294808,0.685639267917984,0.68156987690498,0.680951965319382,0.681196553868509,0.680373365626404,0.671461400872446,0.670489082162228,0.665479278991625,0.661084745982141,0.659886806576507,0.657095784640504,0.65291391643649,0.650550493139245,0.650000391435039,0.646524293502753,0.641742050690756,0.632765436218196,0.631300295638298,0.631024378741097,0.630043862695402,0.62762606736092,0.6278874167772,0.624206550001505,0.621177212196375,0.618044257620628,0.614128943395864,0.612450784497968,0.610593530445064,0.610800075126684,0.610614392127659,0.608668581134041,0.607022549242776,0.605179353220935,0.603788682751527,0.603789901134074,0.60155297227462,0.599852506324248,0.594328205344938,0.592252886214452,0.591420032832702,0.590045146764549,0.587149868702637,0.586655924539514,0.585766182307993
"Overlap_ATC",0,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
