MOLECULE_NAME,MECHANISM_OF_ACTION,TARGET_NAME
Levocabastine,Histamine H1 receptor antagonist,Histamine H1 receptor
Fluphenazine Enanthate,Dopamine D2 receptor antagonist,Dopamine D2 receptor
Triflupromazine,Dopamine D2 receptor antagonist,Dopamine D2 receptor
Propranolol,Beta-1 adrenergic receptor antagonist,Beta-1 adrenergic receptor
Metoprolol,Beta-1 adrenergic receptor antagonist,Beta-1 adrenergic receptor
Aripiprazole,Serotonin 1a (5-HT1a) receptor partial agonist,Serotonin 1a (5-HT1a) receptor
Monobenzone,Tyrosinase inhibitor,Tyrosinase
Insulin Susp Isophane Beef/Pork,Insulin receptor agonist,Insulin receptor
Insulin Lispro,Insulin receptor agonist,Insulin receptor
Almotriptan,Serotonin 1d (5-HT1d) receptor agonist,Serotonin 1d (5-HT1d) receptor
Olanzapine,Serotonin 2a (5-HT2a) receptor antagonist,Serotonin 2a (5-HT2a) receptor
Methixene,Serotonin 2c (5-HT2c) receptor antagonist,Serotonin 2c (5-HT2c) receptor
Remifentanil,Mu opioid receptor agonist,Mu opioid receptor
Diazoxide,"Potassium channel, inwardly rectifying, subfamily J, member 8 opener","Potassium channel, inwardly rectifying, subfamily J, member 8"
Doxycycline,Matrix metalloproteinase-1 inhibitor,Matrix metalloproteinase-1
Regorafenib,Tyrosine-protein kinase TIE-2 inhibitor,Tyrosine-protein kinase TIE-2
Roflumilast,Phosphodiesterase 4 inhibitor,Phosphodiesterase 4
Mirtazapine,Adrenergic receptor alpha-2 antagonist,Adrenergic receptor alpha-2
Levonordefrin,Adrenergic receptor alpha-2 agonist,Adrenergic receptor alpha-2
Aminosalicylic Acid,Cyclooxygenase inhibitor,Cyclooxygenase
Olsalazine,Cyclooxygenase inhibitor,Cyclooxygenase
Clevidipine,Voltage-gated L-type calcium channel blocker,Voltage-gated L-type calcium channel
Verapamil,Voltage-gated L-type calcium channel blocker,Voltage-gated L-type calcium channel
Pindolol,Beta-2 adrenergic receptor partial agonist,Beta-2 adrenergic receptor
Albendazole,Tubulin inhibitor,Tubulin
Tioconazole,Cytochrome P450 51 inhibitor,Cytochrome P450 51
Posaconazole,Cytochrome P450 51 inhibitor,Cytochrome P450 51
Darifenacin,Muscarinic acetylcholine receptor M2 antagonist,Muscarinic acetylcholine receptor M2
Fomepizole,Alcohol dehydrogenase class I inhibitor,Alcohol dehydrogenase class I
Deferasirox,Iron chelating agent,Iron
Bexarotene,Retinoid X receptor agonist,Retinoid X receptor
Sulfisoxazole Acetyl,Bacterial dihydropteroate synthase inhibitor,Bacterial dihydropteroate synthase
Imipenem,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Pyrethrins,Voltage-sensitive sodium channel alpha-subunit blocker,Voltage-sensitive sodium channel alpha-subunit
Telavancin,Cell outer membrane inhibitor,Cell outer membrane
Decitabine,DNA inhibitor,DNA
Carphenazine,Dopamine D2 receptor antagonist,Dopamine D2 receptor
Sevoflurane,Potassium channel subfamily K member 9 opener,Potassium channel subfamily K member 9
Methsuximide,Voltage-gated T-type calcium channel blocker,Voltage-gated T-type calcium channel
Cryptenamine Tannates,Unknown,
Bay-1125976,Serine/threonine-protein kinase AKT inhibitor,Serine/threonine-protein kinase AKT
Ce-245677,Tyrosine-protein kinase TIE-2 inhibitor,Tyrosine-protein kinase TIE-2
Msc-2363318a,Serine/threonine-protein kinase AKT3 inhibitor,Serine/threonine-protein kinase AKT3
Sad448,Cannabinoid CB1 receptor agonist,Cannabinoid CB1 receptor
Vantictumab,Frizzled-1 antagonist,Frizzled-1
Prs-211375,Cannabinoid CB2 receptor agonist,Cannabinoid CB2 receptor
Pratosartan,Solute carrier family 22 member 8 inhibitor,Solute carrier family 22 member 8
Donitriptan,Serotonin 1b (5-HT1b) receptor agonist,Serotonin 1b (5-HT1b) receptor
Incb-9471,C-C chemokine receptor type 5 antagonist,C-C chemokine receptor type 5
Cobimetinib,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,Dual specificity mitogen-activated protein kinase kinase 1
Otenabant,Cannabinoid CB1 receptor antagonist,Cannabinoid CB1 receptor
Siponimod,Sphingosine 1-phosphate receptor Edg-1 agonist,Sphingosine 1-phosphate receptor Edg-1
Dupilumab,Interleukin-4 receptor subunit alpha antagonist,Interleukin-4 receptor subunit alpha
Ridaforolimus,Serine/threonine-protein kinase mTOR inhibitor,Serine/threonine-protein kinase mTOR
