"inst_3630" "inst_3633" "inst_3733" "inst_3736" "inst_4289" "inst_4292" "inst_4755" "inst_4758"
"1007_s_at" 12344 18597 6220 11570 14899 16929 13791 7926
"1053_at" 13552 20997 14295 11145 18524 12093 16875 9141
"117_at" 1279 6653 1308 16033 7522 2428 784 13583
"121_at" 15125 10457 4168 20276 20009 16646 13621 18609
"1255_g_at" 7808 6524 10734 17910 8233 7966 5853 14242
"1294_at" 1688 1072 348 218 17020 1493 607 20487
"1316_at" 19060 15593 2986 21668 833 11816 18893 17506
"1320_at" 14217 21649 598 2621 646 11352 2467 17511
"1405_i_at" 7900 8100 13137 19246 7186 5428 705 15000
"1431_at" 12984 1020 1467 14133 11552 15785 13018 5182
"1438_at" 19450 12784 5553 7441 12479 15553 10892 2541
"1487_at" 20157 10208 16954 7741 19491 19560 21186 6031
"1494_f_at" 12337 21714 18987 20941 15298 1118 15329 10139
"1598_g_at" 2657 9780 8303 11917 18578 11920 2241 1695
"160020_at" 17557 168 19281 9092 20197 18444 669 20557
"1729_at" 20536 12316 21474 21960 20254 20766 21356 7537
"1773_at" 13742 14928 737 7234 4955 15903 17068 5101
"177_at" 10688 8585 3002 7704 20683 20410 14303 134
"179_at" 13880 10397 1841 7444 21541 13819 14630 4483
"1861_at" 11760 11593 18306 12601 16806 3690 12489 21397
"200000_s_at" 3564 19914 7599 12219 19810 17852 11595 18031
"200001_at" 4273 15909 7645 12235 13691 10370 11497 16807
"200002_at" 3892 8591 6993 12232 2778 2241 11069 17109
"200003_s_at" 6824 4581 10350 16493 6737 5948 11158 12482
"200004_at" 13116 12590 8177 9940 14726 16336 12045 6101
"200005_at" 11204 14896 7515 11174 11431 14437 12843 9894
"200006_at" 4239 12361 14321 13932 3911 3889 4863 17311
"200007_at" 3675 11403 15284 13462 4186 10527 11114 9042
"200008_s_at" 5164 9850 2842 4644 11618 11442 14377 17321
"200009_at" 12608 11092 4328 8769 12432 12132 11810 8952
"200010_at" 4296 2998 6574 11569 4709 2403 4381 10190
"200011_s_at" 5029 19126 5724 12707 14091 16511 4517 6154
"200012_x_at" 3659 2158 7639 21121 4172 10464 4078 19585
"200013_at" 5172 3000 7829 12751 3248 3494 11124 7891
"200014_s_at" 12340 12956 14529 7318 13538 4014 11818 18143
"200015_s_at" 12496 13552 16317 8262 13241 14181 15412 5878
"200016_x_at" 12591 9617 17541 13910 11197 10971 12515 7958
"200017_at" 6911 4682 10432 16587 6836 6062 7184 12631
"200018_at" 6903 4673 10427 16579 6831 6052 4272 10298
"200019_s_at" 4035 9607 7297 13738 3062 3561 4266 18919
"200020_at" 21298 16239 19580 12365 17593 19847 21112 9296
"200021_at" 10869 4776 10509 20355 6935 10434 7302 12769
"200022_at" 6837 4593 7795 12759 4107 2166 4835 10076
"200023_s_at" 3973 14460 16337 12474 4815 12050 4518 10004
"200024_at" 3733 8897 8269 20427 2607 1815 3552 17261
