"inst_6384" "inst_6389" "inst_6426"
"1007_s_at" 14355 5536 17590
"1053_at" 15020 7999 15736
"117_at" 7387 3037 12825
"121_at" 19185 3904 14262
"1255_g_at" 6766 14312 11269
"1294_at" 13986 19140 721
"1316_at" 20378 9246 21049
"1320_at" 9017 19452 8375
"1405_i_at" 13912 17981 7907
"1431_at" 12879 7449 8537
"1438_at" 3528 13199 3212
"1487_at" 19159 3014 6151
"1494_f_at" 8450 7636 19369
"1598_g_at" 14693 20279 16913
"160020_at" 21478 4720 4394
"1729_at" 17062 19969 1283
"1773_at" 1089 3711 1982
"177_at" 22032 547 3066
"179_at" 2689 7253 18079
"1861_at" 9050 10907 4637
"200000_s_at" 9710 8655 16742
"200001_at" 9903 10566 5596
"200002_at" 8435 13228 14554
"200003_s_at" 5849 16076 5582
"200004_at" 8795 12570 18410
"200005_at" 12552 8183 15267
"200006_at" 3892 12618 15443
"200007_at" 11646 12010 4850
"200008_s_at" 2757 8607 1949
"200009_at" 8660 9867 15048
"200010_at" 5851 12428 3663
"200011_s_at" 14936 6482 5124
"200012_x_at" 3186 18808 6760
"200013_at" 5755 15956 14778
"200014_s_at" 10146 10905 14376
"200015_s_at" 12537 7640 16127
"200016_x_at" 5753 15955 14642
"200017_at" 5984 16248 15380
"200018_at" 5967 16230 14722
"200019_s_at" 5934 16182 14625
"200020_at" 15316 13196 16762
"200021_at" 6135 16439 10709
"200022_at" 5871 18517 5859
"200023_s_at" 10700 11888 6577
"200024_at" 5937 18416 14189
"200025_s_at" 5966 13122 16006
"200026_at" 6142 16444 14209
"200027_at" 10483 11903 18392
"200028_s_at" 15571 13161 15520
"200029_at" 5916 18757 13838
"200030_s_at" 8553 18755 6310
"200031_s_at" 5957 16212 10238
"200032_s_at" 5988 16253 14718
"200033_at" 8902 18833 17982
"200034_s_at" 5856 13736 6440
"200035_at" 10810 4621 17778
"200036_s_at" 5836 12867 5562
"200037_s_at" 11074 10695 15054
"200038_s_at" 6104 12144 13886
"200039_s_at" 11007 11155 18044
"200040_at" 10870 8210 16378
"200041_s_at" 10899 7510 5168
"200042_at" 14538 10072 15549
"200043_at" 3508 10340 20001
"200044_at" 14410 6349 17929
"200045_at" 14524 5744 16266
"200046_at" 12248 12722 18328
"200047_s_at" 12515 12034 17096
"200048_s_at" 9639 10287 16138
"200049_at" 16000 12597 18081
"200050_at" 3032 12644 18439
"200051_at" 9514 7554 15262
"200052_s_at" 10380 9187 5658
"200053_at" 14072 12476 2869
"200054_at" 20303 11200 17010
"200055_at" 15872 11581 16093
"200056_s_at" 19123 8858 3973
"200057_s_at" 10289 12643 15833
"200058_s_at" 12159 9075 5348
"200059_s_at" 9551 11286 6784
"200060_s_at" 14810 9181 20951
"200061_s_at" 5954 16210 10235
"200062_s_at" 5830 16051 9929
"200063_s_at" 6026 16310 4347
"200064_at" 8664 12594 16292
"200065_s_at" 8275 12621 15669
"200066_at" 15944 4578 1748
"200067_x_at" 11923 8954 16536
"200068_s_at" 10852 10858 14444
"200069_at" 19706 8181 19477
"200070_at" 17398 10540 20914
"200071_at" 17489 11681 17707
"200072_s_at" 9892 9744 15348
"200073_s_at" 12143 13065 4477
"200074_s_at" 9121 12915 15051
"200075_s_at" 8498 8675 16832
"200076_s_at" 10548 10100 16290
"200077_s_at" 3005 18841 5123
"200078_s_at" 17139 9777 17146
"200079_s_at" 10934 10784 14796
"200080_s_at" 3722 12261 17030
"200081_s_at" 8370 13381 13791
"200082_s_at" 6014 16287 6771
"200083_at" 16139 7914 17776
"200084_at" 14344 11737 15077
"200085_s_at" 9988 7355 5683
"200086_s_at" 8300 11014 5398
"200087_s_at" 10242 9864 18843
"200088_x_at" 5843 16069 5700
"200089_s_at" 3952 11563 14256
"200090_at" 18723 7283 14117
