"inst_1743" "inst_2893" "inst_5455" "inst_6355"
"1007_s_at" 967 3612 6756 7310
"1053_at" 21911 20103 7385 9359
"117_at" 22116 682 13037 13496
"121_at" 20322 4944 17247 7637
"1255_g_at" 6710 11019 12231 13367
"1294_at" 21568 5048 16284 135
"1316_at" 16156 2446 5895 7165
"1320_at" 7842 19687 15233 4167
"1405_i_at" 4429 10477 11476 16586
"1431_at" 7332 3558 18145 4487
"1438_at" 5788 5445 18874 18160
"1487_at" 15794 19276 3185 7584
"1494_f_at" 20234 1500 17950 2905
"1598_g_at" 298 5078 20947 8690
"160020_at" 17622 19430 19447 18940
"1729_at" 21222 1956 5269 2782
"1773_at" 507 20364 8435 412
"177_at" 19073 468 506 12977
"179_at" 22115 2763 2162 2263
"1861_at" 9974 20597 7946 1700
"200000_s_at" 15199 6070 19142 9076
"200001_at" 1654 6376 7924 5529
"200002_at" 3364 16425 8160 7232
"200003_s_at" 15529 9588 11246 9011
"200004_at" 16640 15025 7409 9836
"200005_at" 4284 6654 5405 8008
"200006_at" 19708 6850 6135 17813
"200007_at" 18387 6581 6990 17987
"200008_s_at" 4251 16703 5129 19810
"200009_at" 16295 7232 6885 17671
"200010_at" 15656 15165 16847 17917
"200011_s_at" 3149 6242 17707 7344
"200012_x_at" 4118 14129 17341 18259
"200013_at" 15406 16957 8241 18090
"200014_s_at" 17098 7621 6975 9788
"200015_s_at" 3841 19326 7445 9310
"200016_x_at" 14944 15142 9219 9092
"200017_at" 18232 15404 11341 9053
"200018_at" 3277 16322 15749 9526
"200019_s_at" 3500 15550 9326 9233
"200020_at" 4666 16208 15984 18285
"200021_at" 3763 16332 15934 12654
"200022_at" 2544 7514 8458 7268
"200023_s_at" 4717 15124 4701 17857
"200024_at" 1003 15110 7436 7488
"200025_s_at" 3919 7459 7912 7380
"200026_at" 20370 15323 18937 8528
"200027_at" 15825 3689 8212 17938
"200028_s_at" 18539 4526 7331 9757
"200029_at" 4048 5392 16987 9052
"200030_s_at" 15182 15964 7581 17554
"200031_s_at" 3781 9671 11330 9262
"200032_s_at" 18530 17030 11344 7650
"200033_at" 16688 17554 3934 17862
"200034_s_at" 16565 18046 16486 8518
"200035_at" 22129 2526 20305 8798
"200036_s_at" 17524 18430 8514 18383
"200037_s_at" 16401 14647 4836 8388
"200038_s_at" 15237 7357 16268 8030
"200039_s_at" 15916 16054 6974 17771
"200040_at" 20959 17498 16963 6192
"200041_s_at" 16720 15413 5655 5392
"200042_at" 19264 16751 6169 6786
"200043_at" 16808 15639 6271 1232
"200044_at" 21217 15705 5187 4666
"200045_at" 3610 14242 16492 9304
"200046_at" 19187 14229 3127 7644
"200047_s_at" 17488 17491 3914 7022
"200048_s_at" 3641 15240 9407 6772
"200049_at" 15448 2711 17402 7563
"200050_at" 17575 18256 16875 19241
"200051_at" 1241 19643 18116 6149
"200052_s_at" 15474 15785 16334 7456
"200053_at" 4518 4024 19092 1867
"200054_at" 20228 18901 9020 8551
"200055_at" 16880 6386 16856 7725
"200056_s_at" 16891 17167 3939 7720
"200057_s_at" 18388 4796 7498 17764
"200058_s_at" 3261 4753 16482 17577
"200059_s_at" 3538 5131 9464 6885
"200060_s_at" 4500 3965 5625 4532
