"inst_3044" "inst_3382" "inst_4664" "inst_5259" "inst_5624"
"1007_s_at" 22086 11183 16561 3599 4001
"1053_at" 15243 16990 6838 19291 5504
"117_at" 20116 4563 65 7377 12696
"121_at" 6162 1443 20401 17286 3428
"1255_g_at" 7458 9070 12444 10244 11854
"1294_at" 15143 2047 5008 21382 717
"1316_at" 12136 20079 17956 18988 3715
"1320_at" 8825 3998 18250 20665 15051
"1405_i_at" 17592 4729 2231 12682 13128
"1431_at" 1591 21921 16651 4022 16795
"1438_at" 2622 2565 21246 15839 1503
"1487_at" 4469 14381 1306 14688 19852
"1494_f_at" 21028 3110 1851 14247 1515
"1598_g_at" 22189 20563 19585 19926 7279
"160020_at" 1307 359 2322 19381 652
"1729_at" 15844 18087 18650 16051 18670
"1773_at" 1686 21799 16249 20853 4099
"177_at" 2494 653 2361 352 5432
"179_at" 3394 2914 18619 21955 1021
"1861_at" 19380 3571 6458 1601 18446
"200000_s_at" 15267 13466 7620 13748 18201
"200001_at" 14787 15714 8318 14268 6976
"200002_at" 12440 10899 5673 6549 14256
"200003_s_at" 7969 6568 10572 8777 10189
"200004_at" 14145 12363 3131 15564 15359
"200005_at" 15881 13530 16837 13501 16189
"200006_at" 5218 11129 5750 4779 4060
"200007_at" 4231 13227 5272 6422 6071
"200008_s_at" 17843 3395 8205 5497 17070
"200009_at" 14947 4478 7885 4641 14409
"200010_at" 6047 4309 3832 13617 15840
"200011_s_at" 17677 15250 7441 5540 8338
"200012_x_at" 12585 11284 17585 5451 17239
"200013_at" 4230 3812 7817 13383 6919
"200014_s_at" 4947 13978 6431 15014 7411
"200015_s_at" 13933 12392 3716 19309 17160
"200016_x_at" 7914 12682 16050 13713 14784
"200017_at" 8052 6709 8597 8950 10300
"200018_at" 8041 6693 10656 17878 10291
"200019_s_at" 13907 12511 8331 17195 6126
"200020_at" 20553 13818 6029 6281 18718
"200021_at" 14805 16540 10783 9135 10441
"200022_at" 7980 3860 6894 5643 10209
"200023_s_at" 14035 15415 6789 6118 14190
"200024_at" 5661 4117 7170 5714 7598
"200025_s_at" 8040 11763 8101 13438 7304
