"inst_578" "inst_624"
"1007_s_at" 1886 16064
"1053_at" 20553 18664
"117_at" 17153 5513
"121_at" 4286 16368
"1255_g_at" 14666 8937
"1294_at" 20767 19476
"1316_at" 9264 12115
"1320_at" 15905 4118
"1405_i_at" 11287 8720
"1431_at" 12536 6196
"1438_at" 1365 1853
"1487_at" 17779 16868
"1494_f_at" 3270 750
"1598_g_at" 2711 14812
"160020_at" 19316 19184
"1729_at" 405 14514
"1773_at" 17697 19137
"177_at" 11396 10538
"179_at" 21233 662
"1861_at" 2305 817
"200000_s_at" 4031 17456
"200001_at" 15831 18070
"200002_at" 16145 14240
"200003_s_at" 18787 2087
"200004_at" 18562 19186
"200005_at" 20042 17501
"200006_at" 18826 18918
"200007_at" 19881 14625
"200008_s_at" 18288 15161
"200009_at" 19880 18440
"200010_at" 21043 17780
"200011_s_at" 20413 15482
"200012_x_at" 16024 1790
"200013_at" 18160 14499
"200014_s_at" 4129 17704
"200015_s_at" 16474 17104
"200016_x_at" 15283 15156
"200017_at" 22107 297
"200018_at" 20318 2010
"200019_s_at" 19282 2351
"200020_at" 18625 15839
"200021_at" 1997 18062
"200022_at" 18267 15439
"200023_s_at" 16396 16545
"200024_at" 18651 2506
"200025_s_at" 18083 2600
"200026_at" 21293 20837
"200027_at" 17395 19720
"200028_s_at" 3398 16111
"200029_at" 15923 14955
"200030_s_at" 4465 16336
"200031_s_at" 16083 14099
"200032_s_at" 19678 15914
"200033_at" 19564 17713
"200034_s_at" 19898 17969
"200035_at" 1793 871
"200036_s_at" 18804 15507
"200037_s_at" 18449 18534
"200038_s_at" 18863 2305
"200039_s_at" 18567 14245
"200040_at" 21821 19442
"200041_s_at" 18741 19170
"200042_at" 17112 557
"200043_at" 15797 16854
"200044_at" 20768 19113
"200045_at" 18333 18636
"200046_at" 20029 16012
"200047_s_at" 17616 17479
"200048_s_at" 15720 18674
"200049_at" 16593 15359
"200050_at" 15344 20855
"200051_at" 886 15617
"200052_s_at" 21679 19161
"200053_at" 4590 1635
"200054_at" 2207 14452
"200055_at" 4600 15830
"200056_s_at" 17767 20403
"200057_s_at" 16834 19532
"200058_s_at" 19452 18406
"200059_s_at" 17491 18057
"200060_s_at" 4457 15502
"200061_s_at" 2323 2103
