"inst_6553" "inst_6558" "inst_6594" "inst_6599"
"1007_s_at" 5537 19286 16842 5049
"1053_at" 20179 21483 5681 17720
"117_at" 3628 526 27 25
"121_at" 20633 18929 3464 9690
"1255_g_at" 9703 12053 7951 11316
"1294_at" 16483 745 18595 2328
"1316_at" 17794 6211 21966 9678
"1320_at" 12792 13279 12160 6262
"1405_i_at" 10113 12506 12899 15541
"1431_at" 17928 7619 3643 16075
"1438_at" 19656 21919 1650 22144
"1487_at" 1547 6065 2759 6877
"1494_f_at" 2419 21352 15916 3039
"1598_g_at" 18608 5442 13988 20302
"160020_at" 15548 1118 13545 8365
"1729_at" 16613 2040 19546 9261
"1773_at" 22053 16722 20908 8801
"177_at" 11325 11179 15305 20689
"179_at" 2375 20141 39 7322
"1861_at" 19621 18535 18989 6659
"200000_s_at" 14681 21308 3388 5106
"200001_at" 17611 21053 14888 18510
"200002_at" 13861 15639 15464 8488
"200003_s_at" 8575 17119 9387 9813
"200004_at" 12989 17765 4744 6943
"200005_at" 14620 15335 5534 7284
"200006_at" 12780 7048 5019 9013
"200007_at" 15023 6003 13596 7289
"200008_s_at" 20310 22209 19223 17590
"200009_at" 12843 6883 5998 8693
"200010_at" 12966 17624 5367 6652
"200011_s_at" 14958 18898 5595 8776
"200012_x_at" 4589 15824 5197 19092
"200013_at" 4805 16219 13156 9014
"200014_s_at" 5249 5539 13050 8425
"200015_s_at" 14014 5983 17497 5213
"200016_x_at" 5422 5811 14922 6708
"200017_at" 8996 15510 9734 13906
"200018_at" 4021 15634 14039 9165
"200019_s_at" 4656 5789 13061 9333
"200020_at" 12616 3130 19007 6071
"200021_at" 9455 11937 10138 14374
"200022_at" 15069 17760 2829 18318
"200023_s_at" 14888 15272 14080 8640
"200024_at" 3658 17233 5348 10165
"200025_s_at" 13917 6516 15071 6755
"200026_at" 4769 7098 13371 14396
"200027_at" 16005 6088 14883 5139
"200028_s_at" 14576 4083 13350 5174
"200029_at" 3409 5199 5437 19293
"200030_s_at" 5156 18316 13407 17535
"200031_s_at" 8912 16920 9648 13832
"200032_s_at" 3431 5963 5421 13910
"200033_at" 5104 17096 17465 7790
"200034_s_at" 2645 17286 13243 10164
"200035_at" 15039 2678 20138 4269
"200036_s_at" 16147 17405 15901 17458
"200037_s_at" 13324 4026 17755 5845
"200038_s_at" 13228 16783 3470 8415
"200039_s_at" 12696 3497 15029 5844
"200040_at" 13548 15553 16111 4664
"200041_s_at" 17705 17764 5616 9231
"200042_at" 15331 15835 14590 8984
"200043_at" 19875 16845 17700 17422
"200044_at" 4726 6278 14308 6746
"200045_at" 4326 18359 4167 8771
"200046_at" 17239 6286 15328 4729
"200047_s_at" 18403 2398 18459 7186
"200048_s_at" 14771 16842 15875 7451
"200049_at" 17798 17997 18118 4638
"200050_at" 2695 6395 13277 2543
"200051_at" 15751 5004 17383 8905
"200052_s_at" 17480 19077 15537 5898
"200053_at" 18984 1859 1813 668
"200054_at" 16984 3570 6268 18253
"200055_at" 15708 3525 5804 9537
"200056_s_at" 20009 18442 15918 6883
"200057_s_at" 12895 6916 13053 9991
"200058_s_at" 12723 16852 5074 8683
"200059_s_at" 17613 20242 13044 18124
"200060_s_at" 16780 2867 19877 3222
"200061_s_at" 8909 6578 9646 13829
"200062_s_at" 8541 10856 9334 13454
"200063_s_at" 9138 5965 9861 14060
"200064_at" 2859 18551 2003 6555
"200065_s_at" 13321 18834 2655 9876
"200066_at" 15404 6134 5395 3713
"200067_x_at" 5586 15619 13751 5226
"200068_s_at" 5371 5367 13324 8321
