"inst_838" "inst_955"
"1007_s_at" 14204 16803
"1053_at" 15179 14173
"117_at" 11124 8121
"121_at" 2606 606
"1255_g_at" 7764 4555
"1294_at" 6742 12988
"1316_at" 6128 8205
"1320_at" 6344 9647
"1405_i_at" 1275 10189
"1431_at" 6438 6739
"1438_at" 2998 19326
"1487_at" 14856 18927
"1494_f_at" 8479 9358
"1598_g_at" 20064 1018
"160020_at" 10527 10201
"1729_at" 19548 18105
"1773_at" 20326 21888
"177_at" 12272 10552
"179_at" 20337 14533
"1861_at" 20848 20750
"200000_s_at" 14306 2444
"200001_at" 15643 18146
"200002_at" 4090 14567
"200003_s_at" 7642 13920
"200004_at" 14412 15825
"200005_at" 4733 3275
"200006_at" 4010 16225
"200007_at" 14672 3165
"200008_s_at" 4413 3752
"200009_at" 4607 13779
"200010_at" 14636 13841
"200011_s_at" 17604 15993
"200012_x_at" 4240 1959
"200013_at" 3014 13412
"200014_s_at" 15254 14137
"200015_s_at" 16788 3261
"200016_x_at" 14493 3336
"200017_at" 8017 16434
"200018_at" 4731 3810
"200019_s_at" 16518 3363
"200020_at" 15825 15232
"200021_at" 7790 3026
"200022_at" 15394 13866
"200023_s_at" 16688 15216
"200024_at" 14367 3941
"200025_s_at" 14666 16064
"200026_at" 15111 3320
"200027_at" 4582 16672
"200028_s_at" 14468 16095
"200029_at" 4214 3081
"200030_s_at" 14962 13711
"200031_s_at" 7999 3557
"200032_s_at" 7658 4000
"200033_at" 17649 3854
"200034_s_at" 4185 13692
"200035_at" 1064 18597
"200036_s_at" 14608 14996
"200037_s_at" 17576 19654
"200038_s_at" 7487 15380
"200039_s_at" 17256 15877
"200040_at" 15033 17752
"200041_s_at" 15963 16542
"200042_at" 16157 19389
"200043_at" 16151 16515
"200044_at" 19421 18404
"200045_at" 17850 13976
"200046_at" 20495 20916
"200047_s_at" 20617 13999
"200048_s_at" 15286 15174
"200049_at" 19777 19770
"200050_at" 16101 17853
"200051_at" 3498 20615
"200052_s_at" 14546 16184
"200053_at" 15702 20594
"200054_at" 19676 16439
"200055_at" 14766 15113
"200056_s_at" 21502 17705
"200057_s_at" 15303 13700
"200058_s_at" 14894 3620
"200059_s_at" 17566 16782
"200060_s_at" 17435 16624
"200061_s_at" 7747 2614
"200062_s_at" 7439 7829
"200063_s_at" 7758 2416
"200064_at" 3435 13501
"200065_s_at" 15100 13548
"200066_at" 3972 2831
"200067_x_at" 16026 18542
"200068_s_at" 14212 3862
"200069_at" 17343 13528
"200070_at" 1377 19219
"200071_at" 14772 19330
"200072_s_at" 3243 16487
"200073_s_at" 15181 16223
"200074_s_at" 2297 14873
"200075_s_at" 17144 18155
"200076_s_at" 17114 20825
"200077_s_at" 16233 15449
"200078_s_at" 16543 19903
"200079_s_at" 2771 14228
"200080_s_at" 3633 18402
"200081_s_at" 14293 14278
"200082_s_at" 4345 3641
"200083_at" 18578 1789
"200084_at" 16932 17248
"200085_s_at" 3685 14394
"200086_s_at" 14685 3896
"200087_s_at" 16479 16884
"200088_x_at" 7928 7506
"200089_s_at" 4788 14196
"200090_at" 4808 1630
"200091_s_at" 14476 13544
"200092_s_at" 3378 1643
"200093_s_at" 4378 14988
"200094_s_at" 16570 13615
"200095_x_at" 8006 3228
"200096_s_at" 2015 3759
"200097_s_at" 16599 17268
"200098_s_at" 3578 18091
"200099_s_at" 7911 13838
"200593_s_at" 3472 13702
"200594_x_at" 17974 13732
"200595_s_at" 16159 13509
"200596_s_at" 14218 16833
"200597_at" 20073 14813
"200598_s_at" 15250 16340
"200599_s_at" 15522 17273
"200600_at" 12561 12097
