"inst_6559" "inst_6585" "inst_6589" "inst_7044" "inst_7048" "inst_7101" "inst_7106"
"1007_s_at" 5495 14937 5995 4908 3295 17864 2833
"1053_at" 4599 13381 20212 16811 20073 20867 4150
"117_at" 12598 11503 10268 14649 8118 9038 9117
"121_at" 15247 19475 6962 21044 5135 21135 4464
"1255_g_at" 7823 9641 13852 11068 8476 9533 10652
"1294_at" 19155 6847 5705 10787 11306 12482 7710
"1316_at" 17809 3002 20366 19564 734 6414 9829
"1320_at" 12555 6023 14162 8775 12818 8808 6608
"1405_i_at" 9196 5940 9602 12483 8636 9722 10803
"1431_at" 8752 10860 16841 14876 21758 7530 14917
"1438_at" 3126 9146 21522 14411 22121 10964 2010
"1487_at" 3093 15236 5926 1319 18632 2660 3922
"1494_f_at" 3215 14453 13770 7578 10815 8420 17753
"1598_g_at" 1616 15421 17611 4885 16017 20981 2324
"160020_at" 4550 19370 9768 7818 3486 492 21219
"1729_at" 2724 2432 17637 16916 17731 988 4516
"1773_at" 4049 21011 17192 1677 20398 12719 1684
"177_at" 10931 11222 15756 17118 17892 7641 16591
"179_at" 5720 21970 22050 22090 959 17159 6814
"1861_at" 15239 16597 19230 18916 19873 19354 6150
"200000_s_at" 15930 17225 15199 7089 16336 21931 15337
"200001_at" 15879 20862 20826 9149 20199 21049 2228
"200002_at" 15679 14596 15459 7224 12909 5792 18722
"200003_s_at" 15048 4184 4301 5184 13360 17361 18014
"200004_at" 6247 15882 6828 6008 15686 5834 17341
"200005_at" 4108 13701 14752 5256 14010 4434 5883
"200006_at" 6178 13884 6950 8498 14704 5344 7108
"200007_at" 17897 4972 5212 6578 15924 3209 18883
"200008_s_at" 21566 21668 21412 2792 22193 22217 4076
"200009_at" 5734 14387 16776 17099 17296 16041 6335
"200010_at" 5077 4773 15117 8366 14979 5003 17448
"200011_s_at" 19462 19451 16048 4225 17113 3364 17678
"200012_x_at" 15089 3146 6334 17195 13049 16092 5016
"200013_at" 3681 12645 5994 4804 14557 4725 15312
"200014_s_at" 16398 13150 17227 6422 14354 5659 4201
"200015_s_at" 16842 15849 3505 5888 4699 1786 20198
"200016_x_at" 15980 5151 6406 7767 5306 5622 17262
"200017_at" 6047 9035 11242 6759 13407 2689 19674
"200018_at" 4017 12921 5751 5645 4510 3120 16024
"200019_s_at" 4074 4545 5798 5769 3109 3035 19033
"200020_at" 13800 12706 6951 5279 3526 2225 15682
"200021_at" 10477 9504 11717 19417 1794 4022 7322
"200022_at" 15208 15067 15924 18116 14549 16300 17915
"200023_s_at" 6071 14193 7292 2257 5098 2179 19558
"200024_at" 4792 14322 15244 8688 4881 15677 5865
"200025_s_at" 14772 12833 5007 6275 4384 2328 18994
"200026_at" 15265 15034 11742 7682 4120 4566 6521
"200027_at" 14438 12763 17754 6748 5022 5014 15637
"200028_s_at" 2559 2625 6479 5724 3543 3108 17057
"200029_at" 6224 12606 4752 18143 3854 16658 4829
