"inst_1322" "inst_3258" "inst_4242" "inst_4826"
"1007_s_at" 17105 1287 15994 14724
"1053_at" 18793 9311 18775 18608
"117_at" 1984 14255 11036 12060
"121_at" 17128 20290 14570 18030
"1255_g_at" 11017 12681 8721 8884
"1294_at" 3868 19783 20166 20095
"1316_at" 2435 19314 20695 19693
"1320_at" 9300 12389 7174 10248
"1405_i_at" 3647 11017 11004 8725
"1431_at" 11021 2792 5456 9382
"1438_at" 12893 1194 3604 21939
"1487_at" 16641 1689 13567 21246
"1494_f_at" 5248 5805 647 1521
"1598_g_at" 18694 20817 19027 21641
"160020_at" 549 13785 976 795
"1729_at" 15885 1188 5729 18438
"1773_at" 3603 4105 2889 2582
"177_at" 16016 15616 20283 1395
"179_at" 717 19755 5708 22205
"1861_at" 20371 4793 13549 16579
"200000_s_at" 3409 4326 17855 21088
"200001_at" 16236 3410 18895 18365
"200002_at" 4241 8412 3579 15076
"200003_s_at" 3821 7488 7298 14717
"200004_at" 17131 5923 17481 4491
"200005_at" 5604 5169 5074 17340
"200006_at" 4437 9138 4997 4763
"200007_at" 16348 18567 3160 5993
"200008_s_at" 17540 7485 3920 20247
"200009_at" 5536 4646 12325 14975
"200010_at" 16364 9107 12344 19838
"200011_s_at" 3886 3090 17090 16960
"200012_x_at" 4375 18625 4217 13753
"200013_at" 15298 9998 3606 14475
"200014_s_at" 4544 7923 5071 5792
"200015_s_at" 16222 5294 14987 13775
"200016_x_at" 15958 9816 11240 5643
"200017_at" 15836 12864 7348 4150
"200018_at" 4122 12840 7345 6263
"200019_s_at" 5379 8749 4840 18327
"200020_at" 19120 6223 13534 14845
"200021_at" 17648 18529 7393 8585
"200022_at" 15996 8819 2685 14247
"200023_s_at" 16225 5597 4576 14900
"200024_at" 5342 8355 13891 5889
"200025_s_at" 15374 18924 4359 5980
"200026_at" 5554 9912 15776 4397
"200027_at" 4760 18967 4071 4031
"200028_s_at" 2609 7607 14788 13581
"200029_at" 5431 18441 3310 14429
"200030_s_at" 16526 6989 13531 14219
"200031_s_at" 5174 12820 7342 14204
"200032_s_at" 15679 12869 5677 5152
"200033_at" 17133 10035 12701 2621
"200034_s_at" 17627 7173 14095 16471
"200035_at" 1622 709 16861 21293
"200036_s_at" 4227 18565 3177 5726
"200037_s_at" 16070 6668 5322 2849
"200038_s_at" 15875 9911 6111 13983
"200039_s_at" 3530 7776 5869 15987
"200040_at" 15376 6655 15861 5309
"200041_s_at" 3432 8285 16496 16408
"200042_at" 3461 3370 14637 14889
"200043_at" 4805 5888 15896 14628
"200044_at" 16248 4160 11355 5802
"200045_at" 3439 4316 17055 18853
"200046_at" 3302 5660 5258 15116
"200047_s_at" 15323 9567 11868 2392
"200048_s_at" 3695 5177 12153 5614
"200049_at" 2126 17662 18764 20712
"200050_at" 18658 1447 3492 1142
"200051_at" 2356 4448 4393 20547
"200052_s_at" 3690 5280 12776 16404
"200053_at" 15817 21016 3326 21165
"200054_at" 3280 4331 15393 15379
"200055_at" 2251 4638 12972 16311
"200056_s_at" 20677 8132 12653 2809
"200057_s_at" 4286 9577 11864 4186
"200058_s_at" 5622 7019 15434 17288
"200059_s_at" 5233 8884 5794 4504
