"inst_7516" "inst_7520" "inst_7542" "inst_7547"
"1007_s_at" 13135 8632 14774 3327
"1053_at" 17820 20605 13555 15582
"117_at" 8048 12002 926 4260
"121_at" 4024 6862 17264 21419
"1255_g_at" 8764 11783 8412 10247
"1294_at" 12007 20329 1570 15961
"1316_at" 20014 4112 19090 1341
"1320_at" 18284 15855 11100 19994
"1405_i_at" 10961 14039 4206 10377
"1431_at" 5331 12305 1240 8421
"1438_at" 4387 19974 22041 220
"1487_at" 15010 2425 12916 21083
"1494_f_at" 19314 22012 5905 12782
"1598_g_at" 21302 1740 21811 1489
"160020_at" 17772 4628 3686 968
"1729_at" 14036 1492 15671 2574
"1773_at" 7764 3122 16216 3879
"177_at" 12314 17516 10224 1102
"179_at" 22142 111 4278 21821
"1861_at" 4351 3966 19538 2442
"200000_s_at" 14837 9931 20150 4479
"200001_at" 16972 6211 17139 15843
"200002_at" 6060 10049 12563 4579
"200003_s_at" 14545 10210 5294 15318
"200004_at" 18600 19363 13813 15272
"200005_at" 13036 6665 16875 15448
"200006_at" 14717 6898 14177 6314
"200007_at" 13836 17853 13876 7022
"200008_s_at" 20407 22196 14133 3528
"200009_at" 14752 3639 13372 14171
"200010_at" 13523 10657 14326 6985
"200011_s_at" 15456 9838 19632 5505
"200012_x_at" 12832 18080 12021 5899
"200013_at" 5333 7974 5120 15951
"200014_s_at" 13983 5664 15448 5456
"200015_s_at" 17412 3261 18254 14475
"200016_x_at" 12906 18240 12836 16438
"200017_at" 14325 9584 4463 17127
"200018_at" 14661 18316 3652 14299
"200019_s_at" 4678 18798 12093 6583
"200020_at" 3501 10205 17567 6550
"200021_at" 15790 19512 11881 14241
"200022_at" 5704 17869 4032 4023
"200023_s_at" 15741 6919 15395 18364
"200024_at" 4716 9165 5131 5463
"200025_s_at" 5957 8347 5380 15947
"200026_at" 4865 10359 4098 6319
"200027_at" 17575 6315 18026 15262
"200028_s_at" 12649 5234 18251 16830
"200029_at" 5799 10038 5361 17444
"200030_s_at" 12432 18517 12183 6486
"200031_s_at" 13125 18424 4186 14423
"200032_s_at" 5644 8846 3398 16177
"200033_at" 13994 19100 3729 5446
"200034_s_at" 13534 7331 4110 14688
"200035_at" 19519 18215 17748 15225
"200036_s_at" 13767 18314 12670 15205
"200037_s_at" 15524 7417 12400 6292
"200038_s_at" 12733 10719 4673 3267
"200039_s_at" 17674 6585 16841 5420
"200040_at" 16229 9803 15771 6442
"200041_s_at" 12734 4177 16066 14919
"200042_at" 12683 5697 15083 4619
"200043_at" 16646 8955 18317 4547
"200044_at" 18075 18937 17583 18273
"200045_at" 14144 8020 19185 3372
"200046_at" 16982 4538 13686 15487
"200047_s_at" 17115 7365 16837 5934
"200048_s_at" 12981 4272 15352 15479
"200049_at" 20697 5043 5200 20507
"200050_at" 2809 7742 14816 4302
"200051_at" 13369 4146 15492 18245
"200052_s_at" 16842 7537 14380 6366
"200053_at" 17767 10795 12830 1663
"200054_at" 15167 2965 16858 14372
"200055_at" 15495 3413 20440 15106
"200056_s_at" 19279 19190 13534 15800
"200057_s_at" 5788 9119 12610 6484
"200058_s_at" 18861 8491 18835 14626
"200059_s_at" 17071 19939 13653 6837
"200060_s_at" 18465 7136 18243 15507
"200061_s_at" 4867 18922 5524 7489
"200062_s_at" 12524 18971 3950 6791
"200063_s_at" 3673 20041 3681 4595
"200064_at" 15510 19003 12052 6139
"200065_s_at" 5772 10798 15567 17545
"200066_at" 5511 8806 4255 17050
"200067_x_at" 12939 8471 14098 2915
"200068_s_at" 15336 8623 17387 16530
"200069_at" 14042 3799 15731 4733
"200070_at" 4674 2928 15175 17496
"200071_at" 17879 9075 16422 4921
"200072_s_at" 13908 9222 13976 5538
"200073_s_at" 17473 5403 15811 6727
"200074_s_at" 5213 9917 14064 4899
"200075_s_at" 14226 2158 16739 15015
"200076_s_at" 3558 5064 14612 18199
"200077_s_at" 13502 10924 12030 7324
"200078_s_at" 2728 7276 19359 5924
"200079_s_at" 14254 5084 17826 17328
"200080_s_at" 15994 17620 5485 18593
"200081_s_at" 12904 19489 12294 15683
"200082_s_at" 13003 18065 4022 6255
"200083_at" 17619 4962 15853 16146
"200084_at" 16143 10690 15989 5278
"200085_s_at" 5536 6347 14245 14878
"200086_s_at" 6086 8445 15386 5709
"200087_s_at" 4618 9662 14094 4915
"200088_x_at" 5137 18217 12385 6514
"200089_s_at" 13557 6331 13187 5567
"200090_at" 13305 18305 17980 19595
"200091_s_at" 13610 10850 4667 16552
"200092_s_at" 5453 10176 4191 5586
"200093_s_at" 16459 7391 15185 16634
"200094_s_at" 14120 10077 13983 6970
"200095_x_at" 5219 18545 4904 4969
"200096_s_at" 17050 19475 19899 4029
