"inst_6394" "inst_6399" "inst_6423" "inst_6428"
"1007_s_at" 12048 15152 16658 17399
"1053_at" 15846 14136 14415 4805
"117_at" 16545 15488 8348 10969
"121_at" 21280 1087 3954 3872
"1255_g_at" 4557 3460 8052 11575
"1294_at" 21125 10700 19715 12553
"1316_at" 12621 21186 3302 18380
"1320_at" 1186 21658 11017 9904
"1405_i_at" 6011 6297 11031 12910
"1431_at" 20995 1606 868 3013
"1438_at" 13361 19170 3504 20772
"1487_at" 13794 12973 13945 2636
"1494_f_at" 19516 2000 3411 18812
"1598_g_at" 15571 16565 3398 21147
"160020_at" 20783 5503 4872 6961
"1729_at" 14968 18457 20925 2241
"1773_at" 2184 9615 1330 1966
"177_at" 19518 21717 18749 13753
"179_at" 7822 1329 2887 21908
"1861_at" 15545 9327 1827 19251
"200000_s_at" 16193 13654 15835 19364
"200001_at" 12933 11053 6816 7489
"200002_at" 7344 10492 13118 16876
"200003_s_at" 4959 5492 9894 16572
"200004_at" 8442 8313 6887 8028
"200005_at" 10772 11178 6926 18086
"200006_at" 5209 10967 13039 9488
"200007_at" 11610 9215 15154 5877
"200008_s_at" 8658 12327 5678 133
"200009_at" 3186 10943 11975 5588
"200010_at" 7274 8631 11917 4439
"200011_s_at" 13913 12897 17188 7313
"200012_x_at" 4912 2764 6895 16663
"200013_at" 4870 5385 12370 18246
"200014_s_at" 10720 14815 14474 6981
"200015_s_at" 12682 12633 17904 8253
"200016_x_at" 4868 5381 12885 8989
"200017_at" 5096 5650 10006 17001
"200018_at" 5086 5637 9994 16580
"200019_s_at" 5049 5579 6958 8625
"200020_at" 16937 11909 17982 9199
"200021_at" 5243 5821 10142 13616
"200022_at" 4980 8533 6534 6708
"200023_s_at" 13235 11981 14997 16696
"200024_at" 5053 5586 5230 16671
"200025_s_at" 5084 8034 9992 17872
"200026_at" 5250 5832 10148 17683
"200027_at" 10485 9747 14943 9305
"200028_s_at" 10958 12403 12168 19093
"200029_at" 5032 2888 12104 19293
"200030_s_at" 3305 3403 7101 9131
"200031_s_at" 5070 5621 9986 13075
"200032_s_at" 5100 5654 10009 17356
"200033_at" 8316 8046 6266 8096
"200034_s_at" 4966 2689 13041 17061
"200035_at" 14340 18112 19259 19347
"200036_s_at" 4946 8670 14242 9114
"200037_s_at" 7883 3022 18275 5964
"200038_s_at" 5211 10919 12338 17308
"200039_s_at" 9139 17269 12274 16759
"200040_at" 11933 14089 16837 9178
"200041_s_at" 12311 13598 12873 7873
"200042_at" 14403 15716 4378 19379
"200043_at" 7629 9506 16192 16976
"200044_at" 13544 16721 18317 17057
"200045_at" 16693 16064 18314 19279
"200046_at" 12698 14731 7067 16611
"200047_s_at" 10342 10916 16907 4394
"200048_s_at" 8876 14143 13075 7567
"200049_at" 20985 21309 21484 21619
"200050_at" 2992 2566 16258 1186
"200051_at" 12385 19577 12909 17031
"200052_s_at" 10811 15367 13282 5938
"200053_at" 8721 20445 16662 20066
"200054_at" 15320 3077 13488 3859
"200055_at" 13641 14472 13855 17894
"200056_s_at" 17741 15793 18841 16544
"200057_s_at" 7702 9982 15184 16801
"200058_s_at" 10989 14270 13109 8430
"200059_s_at" 11157 10707 12917 4972
"200060_s_at" 15915 15231 13117 19558
"200061_s_at" 5068 5619 9983 13073
"200062_s_at" 4941 5472 9874 12753
"200063_s_at" 5141 5707 10043 7704
"200064_at" 2798 3191 4371 6165
"200065_s_at" 7404 8558 6552 8399
"200066_at" 10873 13543 6481 1428
"200067_x_at" 12121 12985 16154 3723
"200068_s_at" 10184 10997 13093 7820
"200069_at" 19426 18000 20180 8999
"200070_at" 7971 16896 6118 5547
"200071_at" 19077 20072 12095 4418
"200072_s_at" 12343 11811 13762 7734
"200073_s_at" 13790 9649 16281 5471
"200074_s_at" 8701 9814 14716 5575
"200075_s_at" 12691 14733 12801 9003
"200076_s_at" 18779 15687 13449 19874
"200077_s_at" 3060 2019 13506 7459
"200078_s_at" 17901 14243 16093 6183
"200079_s_at" 8434 17313 6931 4412
"200080_s_at" 2993 2290 13520 8246
"200081_s_at" 8027 8999 15518 17088
"200082_s_at" 5127 5688 12988 16737
"200083_at" 14425 8934 15191 9577
"200084_at" 13776 11306 20262 3252
"200085_s_at" 11258 11656 12383 8833
"200086_s_at" 8489 11258 12753 9269
"200087_s_at" 8789 10877 14638 18532
"200088_x_at" 4953 5484 9887 16560
"200089_s_at" 5182 9552 13000 16975
"200090_at" 9123 14092 21332 9008
"200091_s_at" 4999 2648 6071 18165
"200092_s_at" 5153 5722 10052 19808
"200093_s_at" 9524 9132 15814 5035
"200094_s_at" 5129 10287 18878 8977
"200095_x_at" 5226 5803 10124 9531
"200096_s_at" 12214 9873 15256 5280
"200097_s_at" 9379 15012 15937 5791
"200098_s_at" 15066 13415 16965 6735
"200099_s_at" 5156 5727 10055 7564
"200593_s_at" 11052 13086 19775 18415
"200594_x_at" 9721 8698 14393 4515
"200595_s_at" 11023 15232 15622 17559
"200596_s_at" 12602 9153 16238 7258
"200597_at" 20324 17447 6783 19994
"200598_s_at" 8069 10726 15786 2489
"200599_s_at" 8216 1671 6075 5645
"200600_at" 13181 9030 11457 7625
"200601_at" 19832 12081 20194 1069
"200602_at" 13509 8847 13510 16864
"200603_at" 11412 10122 17740 3108
"200604_s_at" 7652 16379 12919 4197
"200605_s_at" 12341 19181 19818 7699
"200606_at" 9219 17490 16835 5699
"200607_s_at" 10834 14938 19002 6079
"200608_s_at" 11570 8530 17102 7750
"200609_s_at" 9438 18978 17323 3956
"200610_s_at" 13949 9368 17476 6895
"200611_s_at" 14800 14476 18529 6296
"200612_s_at" 15203 9158 22256 4942
"200613_at" 10633 11646 12757 6707
"200614_at" 4963 10058 6173 5867
"200615_s_at" 13344 17018 6699 17114
"200616_s_at" 10367 14341 16935 16680
"200617_at" 14965 10112 12118 9138
"200618_at" 11859 11458 12552 8568
"200619_at" 13792 16101 19768 18041
"200620_at" 8462 14122 12729 6154
"200621_at" 11345 15190 13959 7647
"200622_x_at" 8776 12487 15513 3746
"200623_s_at" 15396 13223 19808 20997
"200624_s_at" 18134 17433 19292 18593
"200625_s_at" 9345 12418 14277 6137
