"inst_313" "inst_608"
"1007_s_at" 15200 13105
"1053_at" 20697 4051
"117_at" 13014 1114
"121_at" 6234 15408
"1255_g_at" 19046 10112
"1294_at" 12367 13935
"1316_at" 18157 16148
"1320_at" 11358 2135
"1405_i_at" 10592 11481
"1431_at" 19476 16833
"1438_at" 19817 4371
"1487_at" 11248 17304
"1494_f_at" 11957 13650
"1598_g_at" 2503 15760
"160020_at" 2035 729
"1729_at" 2712 4727
"1773_at" 17994 17173
"177_at" 21987 20026
"179_at" 16089 18889
"1861_at" 14449 13647
"200000_s_at" 2337 15857
"200001_at" 5443 14062
"200002_at" 12090 4321
"200003_s_at" 15280 6365
"200004_at" 5926 14624
"200005_at" 5189 5916
"200006_at" 18094 5775
"200007_at" 10952 5884
"200008_s_at" 11473 5464
"200009_at" 14034 12236
"200010_at" 19423 17243
"200011_s_at" 14272 6069
"200012_x_at" 4285 4286
"200013_at" 12651 12471
"200014_s_at" 12621 15287
"200015_s_at" 5356 15557
"200016_x_at" 5200 18232
"200017_at" 1855 14374
"200018_at" 14753 5679
"200019_s_at" 17985 18103
"200020_at" 12252 13630
"200021_at" 5654 4135
"200022_at" 4829 12691
"200023_s_at" 13309 6024
"200024_at" 4341 17491
"200025_s_at" 11074 3476
"200026_at" 18767 1367
"200027_at" 13886 5324
"200028_s_at" 12327 17658
"200029_at" 1519 4489
"200030_s_at" 3408 16631
"200031_s_at" 11856 16854
"200032_s_at" 13311 13937
"200033_at" 12148 4631
"200034_s_at" 14228 5655
"200035_at" 1338 6341
"200036_s_at" 6065 15329
"200037_s_at" 15457 14222
"200038_s_at" 16891 13172
"200039_s_at" 14779 6073
"200040_at" 15799 5454
"200041_s_at" 12088 3997
"200042_at" 13974 13968
"200043_at" 12109 5860
"200044_at" 1648 16759
"200045_at" 11826 15485
"200046_at" 15944 4167
"200047_s_at" 17392 14445
"200048_s_at" 11661 12451
"200049_at" 17581 2121
"200050_at" 19035 2735
"200051_at" 11841 2471
"200052_s_at" 16026 12351
"200053_at" 16008 4550
"200054_at" 5160 15020
"200055_at" 16951 2110
"200056_s_at" 17865 3053
"200057_s_at" 16684 13242
"200058_s_at" 6282 15838
"200059_s_at" 16296 4293
"200060_s_at" 12710 15449
"200061_s_at" 5298 5205
"200062_s_at" 13285 4731
"200063_s_at" 5229 4554
"200064_at" 15759 6301
"200065_s_at" 4252 12635
"200066_at" 16494 5215
"200067_x_at" 18705 13546
"200068_s_at" 12282 5398
"200069_at" 15058 18070
"200070_at" 4262 4426
"200071_at" 17516 12900
"200072_s_at" 16985 19393
"200073_s_at" 19313 20022
"200074_s_at" 13861 4599
"200075_s_at" 11750 2241
"200076_s_at" 3470 2984
"200077_s_at" 13881 15592
"200078_s_at" 16478 16393
"200079_s_at" 6249 6435
"200080_s_at" 17065 560
"200081_s_at" 11564 15795
"200082_s_at" 11289 12204
"200083_at" 12049 16626
"200084_at" 4738 5199
"200085_s_at" 10779 14764
"200086_s_at" 15261 12690
"200087_s_at" 14362 4658
"200088_x_at" 5584 4755
"200089_s_at" 11311 4789
"200090_at" 15701 12663
"200091_s_at" 14548 13149
"200092_s_at" 14138 4660
"200093_s_at" 13172 14642
"200094_s_at" 2896 1795
"200095_x_at" 2638 3917
"200096_s_at" 19558 15605
"200097_s_at" 16821 3139
"200098_s_at" 12835 17756
"200099_s_at" 15358 15631
"200593_s_at" 16228 13472
"200594_x_at" 11112 17153
"200595_s_at" 12498 5773
"200596_s_at" 15598 810
"200597_at" 21322 1915
"200598_s_at" 19691 19882
"200599_s_at" 14291 6056
"200600_at" 9530 8050
"200601_at" 17789 417
"200602_at" 688 18291
"200603_at" 18154 3920
"200604_s_at" 4255 13962
"200605_s_at" 13359 6142
"200606_at" 3878 13872
"200607_s_at" 16297 14800
"200608_s_at" 2428 15870
"200609_s_at" 13337 17623
"200610_s_at" 3106 4385
"200611_s_at" 4856 19835
"200612_s_at" 890 15140
"200613_at" 5457 20482
"200614_at" 3643 13005
"200615_s_at" 2604 14608
"200616_s_at" 16266 1787
"200617_at" 2965 17523
"200618_at" 12940 14696
"200619_at" 1733 6160
"200620_at" 16750 4079
"200621_at" 6281 4525
"200622_x_at" 4980 12552
"200623_s_at" 3832 4319
"200624_s_at" 2406 3958
"200625_s_at" 17089 4237
"200626_s_at" 14278 13988
"200627_at" 2365 4926
"200628_s_at" 1876 3357
"200629_at" 20944 17716
"200630_x_at" 21534 12223
"200631_s_at" 16249 16686
"200632_s_at" 17049 20616
"200633_at" 12668 5055
"200634_at" 1336 14826
"200635_s_at" 2996 846
"200636_s_at" 853 18125
"200637_s_at" 18600 12440
"200638_s_at" 2607 4378
"200639_s_at" 3486 919
"200640_at" 3488 2858
"200641_s_at" 3785 15812
"200642_at" 3304 4760
"200643_at" 1356 15353
"200644_at" 14165 13129
"200645_at" 18167 12518
"200646_s_at" 15287 19280
"200647_x_at" 2680 6411
"200648_s_at" 18858 12915
"200649_at" 17072 15818
"200650_s_at" 4372 13447
"200651_at" 11701 15748
"200652_at" 14540 3144
"200653_s_at" 17294 4105
"200654_at" 5621 17844
"200655_s_at" 5778 15213
"200656_s_at" 12346 4868
"200657_at" 12426 2285
"200658_s_at" 19352 17969
"200659_s_at" 14379 17606
"200660_at" 10936 1352
"200661_at" 15543 18263
"200662_s_at" 5600 16700
"200663_at" 6016 14538
"200664_s_at" 16313 5036
"200665_s_at" 10350 8294
"200666_s_at" 1942 14015
"200667_at" 12501 16824
"200668_s_at" 14459 14689
"200669_s_at" 15925 5970
"200670_at" 14478 14525
"200671_s_at" 3 234
"200672_x_at" 15256 2099
"200673_at" 10742 3945
"200674_s_at" 10889 14482
"200675_at" 14590 3870
"200676_s_at" 20649 16308
"200677_at" 12308 15344
"200678_x_at" 12538 14632
"200679_x_at" 12250 2193
"200680_x_at" 10793 12132
"200681_at" 5185 5635
"200682_s_at" 15484 2563
"200683_s_at" 1692 4294
"200684_s_at" 11795 3465
"200685_at" 1727 12283
"200686_s_at" 5617 3211
