"inst_3824" "inst_3827" "inst_3907" "inst_3910" "inst_4381" "inst_4384" "inst_4559" "inst_4562"
"1007_s_at" 7168 10199 4657 19267 15150 9610 15375 6518
"1053_at" 4935 8802 4723 6777 12946 7160 7307 5075
"117_at" 20869 11098 9917 17216 9660 15702 9427 7130
"121_at" 12120 13210 4634 5945 9716 11349 2273 9387
"1255_g_at" 13776 16614 9665 14977 15661 15015 11938 17043
"1294_at" 3964 8587 16238 12583 3507 6415 4073 19222
"1316_at" 4817 12361 6413 11158 867 1929 788 9574
"1320_at" 2271 1984 5887 1300 5725 830 13202 5921
"1405_i_at" 4030 18660 10502 15921 15792 12927 11841 12615
"1431_at" 21451 8194 515 4906 14325 22009 1256 19564
"1438_at" 20521 10982 20479 18417 12849 3340 20955 20808
"1487_at" 1638 6684 2796 4519 1502 7912 7228 3614
"1494_f_at" 4327 12602 1775 128 307 7907 7771 21281
"1598_g_at" 4495 7478 18738 10253 928 1356 20474 9461
"160020_at" 4791 3815 8268 623 22228 7225 19912 4543
"1729_at" 1848 11353 2699 8816 20671 5148 19908 4066
"1773_at" 12719 6529 5106 6585 8553 1928 16526 7923
"177_at" 15809 462 21792 21964 6565 12397 21143 5098
"179_at" 12804 3962 15596 6717 5356 1710 18068 20855
"1861_at" 7919 20018 4633 5255 2978 21009 7201 1964
"200000_s_at" 6157 7788 2841 2855 13473 6542 18448 4368
"200001_at" 10327 13060 7891 9207 11114 6939 16422 9799
"200002_at" 19484 20303 8573 19891 20192 14390 15561 11299
"200003_s_at" 14668 15968 11197 14517 16840 16305 9654 14785
"200004_at" 11143 10794 16279 10234 10321 8910 16429 8895
"200005_at" 7505 9852 8462 10860 11055 11578 19642 7404
"200006_at" 12052 14473 8442 10300 14487 13535 6799 11328
"200007_at" 13144 13844 6837 9123 12070 13723 7778 12085
"200008_s_at" 11432 2361 18405 20226 6146 3244 6392 9793
"200009_at" 13110 8987 16059 12143 14226 13004 17276 10413
"200010_at" 19248 13715 7571 11739 14609 13041 14022 7876
"200011_s_at" 9158 13257 17050 7205 7395 11484 18277 8317
"200012_x_at" 18910 20416 15599 19246 21072 20694 16864 20975
"200013_at" 12667 13864 17320 12172 16763 16219 5403 19108
"200014_s_at" 9354 10570 18315 11470 13135 21442 5122 10781
"200015_s_at" 11922 12521 4842 5451 12547 10452 7705 6847
"200016_x_at" 14590 15899 17263 11710 16760 16216 7412 11119
"200017_at" 14767 16068 11300 14612 16955 16433 9758 14875
"200018_at" 14760 16056 11286 14600 16944 16422 15114 11742
"200019_s_at" 11628 13685 5303 8513 16910 16385 17966 19045
"200020_at" 10579 9219 7931 10946 11019 10951 18834 8406
"200021_at" 14868 16177 11406 14724 17078 16565 9867 14978
"200022_at" 19607 19413 11211 14525 16859 16325 6409 12668
"200023_s_at" 9382 20615 5982 4706 12507 13293 17406 11725
"200024_at" 12551 14398 6589 12344 20655 14319 7605 19680
"200025_s_at" 18456 19949 15576 12476 16942 16420 6336 11687
"200026_at" 14872 16182 5991 9464 17083 16569 5034 20164
"200027_at" 12609 13980 8868 8273 12152 13488 15005 11019
"200028_s_at" 12701 12105 19911 19091 12168 20512 17749 6809
"200029_at" 18856 20100 20449 19913 15109 19932 7311 20337
"200030_s_at" 18250 20171 16956 19197 14662 13218 15528 11934
"200031_s_at" 14751 16048 11278 14594 16936 16413 9733 14855
"200032_s_at" 14772 16073 11303 14615 16959 16438 15295 12547
"200033_at" 12639 13518 17467 7873 13421 12093 7815 9459
"200034_s_at" 13157 20279 17581 18649 15137 20046 5239 10699
"200035_at" 3256 2444 3915 2033 6029 4553 16983 12872
"200036_s_at" 10930 13299 3862 5456 14738 14146 4739 19026
"200037_s_at" 11725 11644 15877 12283 12034 10606 5425 7860
"200038_s_at" 11801 14201 11386 14704 17047 16538 7651 19041
"200039_s_at" 12007 19773 5455 10405 13806 14539 15933 9040
"200040_at" 18089 11493 5186 8963 13626 12195 15015 8236
"200041_s_at" 8363 12993 18380 7140 11894 10492 15150 11941
"200042_at" 8301 11801 7358 10888 10347 6968 7116 10131
"200043_at" 11209 12620 8890 20660 6342 10785 14934 9967
"200044_at" 19027 11384 16270 11189 11586 11422 15033 8362
"200045_at" 10390 10896 3941 9227 12706 11642 19073 8068
"200046_at" 11702 19920 16866 7756 10727 10332 5773 7456
"200047_s_at" 12341 13559 19213 10614 12710 13383 14851 8235
"200048_s_at" 11651 13321 6377 9925 13954 13581 15660 10294
"200049_at" 18100 12768 20039 7271 4452 5674 7513 2312
"200050_at" 5190 7873 8796 10628 12744 9836 15864 9448
"200051_at" 5026 2617 3649 5243 12631 8321 19392 8622
"200052_s_at" 8273 8775 8017 11869 11745 7963 4886 7085
"200053_at" 8811 6974 555 20410 5952 8220 7544 9255
"200054_at" 5622 7359 19920 12236 13834 10780 17972 12882
"200055_at" 18962 13427 5132 11143 11105 13713 7435 12680
"200056_s_at" 6473 3808 4610 1530 5201 5963 4190 8055
"200057_s_at" 18578 19828 16516 10324 14334 19974 15824 11923
"200058_s_at" 9316 12571 7401 11678 11020 11282 16232 5309
"200059_s_at" 10651 19485 4956 9396 11290 11398 3753 12408
"200060_s_at" 11334 10947 7310 19752 11378 13606 15238 5937
"200061_s_at" 14750 16047 11276 18811 16934 16411 9732 14854
"200062_s_at" 14653 15954 11181 14502 16828 16288 9637 14768
"200063_s_at" 14803 16104 11337 14655 16988 16471 9787 14904
"200064_at" 18679 12448 7289 11729 13775 12784 7836 9514
"200065_s_at" 18665 13664 7821 9819 13596 13226 16588 12538
"200066_at" 6349 2971 16941 1687 11278 2508 15512 9263
"200067_x_at" 10270 19720 15901 10138 9494 12225 7194 12601
"200068_s_at" 18646 12526 19878 19854 13197 13424 17010 9176
"200069_at" 5255 8477 21141 7643 7525 3646 15656 3592
"200070_at" 6861 11771 4438 3202 5122 4828 7819 9539
"200071_at" 19277 6945 5886 18410 3241 8541 2708 8260
"200072_s_at" 11580 8839 15992 9624 7331 7765 19675 10912
"200073_s_at" 11805 10972 7623 20815 7859 10015 4982 9140
"200074_s_at" 12469 14024 7222 11413 14967 14004 6255 12764
"200075_s_at" 6434 11655 4957 5895 12756 11894 15481 11174
"200076_s_at" 6295 10124 20056 19997 12102 10514 3415 10260
"200077_s_at" 19000 20815 7810 18583 14184 13647 6089 10395
"200078_s_at" 9342 7973 5343 4339 10753 6800 7026 7957
"200079_s_at" 9649 12322 3924 4400 15108 11896 17678 8393
"200080_s_at" 18782 19988 7894 8781 14537 13879 4661 12167
"200081_s_at" 12525 8817 18818 18541 13857 12859 5710 10291
"200082_s_at" 14789 16095 11324 14638 16978 16459 6679 19519
"200083_at" 12718 8489 9297 11577 12947 8298 20286 4682
"200084_at" 9788 11379 17457 12076 8072 10711 4943 4227
"200085_s_at" 6641 12671 15293 10360 14221 13151 15915 10729
"200086_s_at" 7296 19479 7766 10899 20393 19906 14255 11003
"200087_s_at" 19201 11425 19021 18735 9348 7237 5044 6942
"200088_x_at" 14663 15963 11191 14512 16837 16301 9651 20070
"200089_s_at" 11958 11718 7679 9253 14193 12012 4413 11708
"200090_at" 4905 10050 17844 7348 14751 20170 5752 11723
"200091_s_at" 12003 13073 2803 3590 12919 11289 3657 8283
"200092_s_at" 13022 13960 18242 18659 16996 21099 4020 19988
"200093_s_at" 13097 19450 8690 4689 7398 9363 4223 3577
"200094_s_at" 10876 19520 15729 11740 14945 12722 16025 12327
"200095_x_at" 14860 16168 11397 14713 17060 16550 9852 14964
"200096_s_at" 5158 12007 16029 19179 14775 20363 6031 4078
"200097_s_at" 18814 9714 15848 11712 11610 10773 3818 7414
"200098_s_at" 7670 13078 15281 8324 13215 12468 6205 8897
"200099_s_at" 14812 16113 11345 14660 16998 16481 5587 12470
"200593_s_at" 12304 3811 9289 12399 5331 6908 6408 8268
"200594_x_at" 18775 10963 17885 18693 8223 12863 6993 8612
"200595_s_at" 8107 3215 19002 9285 4698 9677 6713 6564
"200596_s_at" 10350 5205 6910 18841 13812 12959 18129 10035
"200597_at" 5043 1404 19538 21346 9603 13774 6712 5523
"200598_s_at" 9407 12846 17989 8326 8166 8384 6945 3847
"200599_s_at" 13083 6153 5160 3409 7673 5190 14787 8849
"200600_at" 11544 12518 10794 17302 18896 19431 4494 4234
"200601_at" 9767 11848 15337 7484 12241 9973 3769 2012
"200602_at" 20182 8083 17833 20204 13904 12027 15332 9661
"200603_at" 18507 8159 15879 8524 8212 6253 4406 8459
"200604_s_at" 19793 2928 18838 18482 8423 7743 4535 6767
"200605_s_at" 18455 4637 19324 20606 6584 11867 6707 11410
"200606_at" 8052 20403 19060 12070 8517 10764 6675 5833
"200607_s_at" 10802 8280 16475 6466 5055 8373 5734 9977
"200608_s_at" 10070 10919 15934 4119 6993 6269 3267 5322
"200609_s_at" 11969 13243 8657 8656 12886 12530 18412 20407
"200610_s_at" 19092 14314 8687 18759 8759 11722 5085 9378
"200611_s_at" 18581 11331 7184 10050 7925 10246 7615 10783
"200612_s_at" 12481 2609 17924 2167 5222 12429 19465 2443
"200613_at" 5742 13537 6440 11957 14455 12086 15301 9065
"200614_at" 11404 9703 5745 6476 20262 16310 15741 11966
"200615_s_at" 11824 7595 18862 19721 8983 20532 13984 12041
"200616_s_at" 3485 12240 17451 9878 14439 13147 17714 9606
"200617_at" 19404 10623 18657 19367 8468 11693 19864 9990
"200618_at" 9034 13235 9017 12233 11836 10828 18583 4534
"200619_at" 6170 5825 20354 10547 10569 11442 14286 11180
"200620_at" 10858 8968 7849 7147 7729 13480 14799 7096
"200621_at" 7316 11775 6912 9831 11268 12300 15223 7400
"200622_x_at" 6568 13124 4574 8061 10191 6945 7167 5753
"200623_s_at" 2610 6556 3459 2604 20687 13409 20978 10734
"200624_s_at" 12776 1652 17439 10930 3495 4296 2531 6318
"200625_s_at" 11538 9667 4389 8415 12626 11767 19921 7989
"200626_s_at" 18662 9064 18236 18439 13339 3963 6314 2836
"200627_at" 18908 13917 8437 9775 14633 12641 6456 11097
"200628_s_at" 2084 6391 19142 8762 11609 7861 2965 6283
"200629_at" 11237 13678 4223 2668 7266 9080 18613 6835
"200630_x_at" 11825 19663 15835 7497 12748 12640 5797 9249
"200631_s_at" 10920 14110 16904 12519 14396 14517 16984 12498
"200632_s_at" 11036 12859 5777 1977 1003 13530 19038 6067
"200633_at" 14749 16046 11275 14592 16933 16410 9731 14853
"200634_at" 12209 12019 16464 18812 12949 12090 7714 8215
"200635_s_at" 3683 8877 4512 3491 6104 4933 7804 654
"200636_s_at" 5046 9394 5744 9670 10677 13933 20296 12333
"200637_s_at" 7206 9130 5055 5770 5149 7690 16359 9205
"200638_s_at" 18331 12414 15639 19090 12035 12142 6580 10606
"200639_s_at" 10313 12866 16467 7827 10636 11736 4383 11566
"200640_at" 19066 13108 18437 19719 11623 13109 15469 10937
"200641_s_at" 11305 6189 20016 19969 6069 6960 1817 19793
"200642_at" 12336 13696 7098 10513 14639 14281 6641 11833
"200643_at" 8472 14471 4093 6349 8249 1421 6862 8340
"200644_at" 18137 12765 8892 11856 8161 13223 4953 8756
"200645_at" 11402 13043 9171 9723 11927 10382 7257 5468
"200646_s_at" 19483 13786 16621 9194 6837 2921 5927 10787
"200647_x_at" 6576 8426 7025 10660 14604 13803 17675 19618
"200648_s_at" 11375 2110 5629 1641 6507 8622 19329 20672
"200649_at" 6650 8216 2465 6425 12233 8665 18519 4726
"200650_s_at" 14614 15920 8153 8078 16786 16242 9604 14733
"200651_at" 11811 13662 11379 14698 17041 16527 4308 10827
"200652_at" 7208 3810 8056 20582 8144 10810 14246 3331
"200653_s_at" 9168 13166 8213 7751 14280 8438 7760 5710
"200654_at" 13036 11274 6819 9421 10883 11193 6821 7055
"200655_s_at" 11978 11892 8052 9777 14711 19957 6817 12159
"200656_s_at" 18625 7442 15701 10958 10314 3344 4725 4193
"200657_at" 18084 19932 17543 19243 20346 16311 15057 12926
"200658_s_at" 12190 5839 6800 10298 10905 7022 15655 3401
"200659_s_at" 11942 10714 18662 18992 11210 7724 20273 5766
"200660_at" 18156 12943 3266 5126 14953 13196 15406 11435
"200661_at" 3957 8063 7694 7663 11222 8680 19693 9698
"200662_s_at" 10135 20157 7093 5207 10788 11311 16483 8855
"200663_at" 12037 19981 18817 19549 14152 12235 5585 9530
"200664_s_at" 5108 7532 8421 8361 4765 6119 3949 9632
"200665_s_at" 5075 16447 10630 14851 17522 446 1459 3812
"200666_s_at" 12329 8314 15448 9629 11345 8209 2949 6644
"200667_at" 18861 14152 7152 10595 11236 13445 16202 10211
"200668_s_at" 12047 13515 8445 8289 13582 13186 17122 8349
"200669_s_at" 9387 8067 18399 11867 8081 8924 5985 8457
"200670_at" 12817 12057 5898 4798 5608 10748 908 9100
"200671_s_at" 21073 13347 20030 5845 21634 12708 347 11618
"200672_x_at" 21619 1978 19095 11411 3878 20118 21470 19182
"200673_at" 8568 12759 16101 8523 10336 7705 5215 6280
"200674_s_at" 18460 20077 11349 14666 17005 16489 18141 21018
"200675_at" 9025 14464 18483 10777 7824 9330 19241 4123
"200676_s_at" 18367 6754 21367 10804 8252 7395 20701 1180
"200677_at" 11180 19651 9267 7744 11856 12148 7204 11034
"200678_x_at" 5448 9587 5222 6912 12193 7386 17809 8182
"200679_x_at" 18371 12310 9320 8597 14083 12442 4818 7397
"200680_x_at" 14862 16171 11399 14716 17069 16557 3774 19843
"200681_at" 13079 13914 15625 11044 10456 11900 5554 10709
"200682_s_at" 8563 7031 7716 12256 13041 11006 7261 11096
"200683_s_at" 6483 5357 16869 9536 13386 10363 18431 6538
"200684_s_at" 19419 9896 6018 9875 9424 8460 7187 11100
"200685_at" 4203 2254 9009 1768 11044 11964 18180 8197
"200686_s_at" 5215 6907 4714 5838 4810 6678 5410 7386
"200687_s_at" 4753 3624 4889 4254 10972 12526 15725 3973
"200688_at" 10723 7805 5272 18376 9351 7875 4689 20149
"200689_x_at" 12958 19767 16027 12241 17057 16547 17891 12810
"200690_at" 6630 9914 17837 5291 14426 7172 16123 4506
"200691_s_at" 11448 10369 17142 11749 14803 20324 17280 12048
"200692_s_at" 7836 3809 2839 3799 13618 5687 2855 6100
"200693_at" 12059 13424 7912 11218 9692 11116 6309 4538
"200694_s_at" 7099 8109 15401 7895 10259 6902 17521 3983
"200695_at" 7124 5428 8332 7072 13441 4767 17690 12791
"200696_s_at" 20490 11453 3175 4301 11593 5396 20550 10419
"200697_at" 12018 13521 4045 7358 13091 8261 19183 9427
"200698_at" 19050 7469 15415 20613 6989 11904 4018 10978
"200699_at" 18251 8660 20291 20638 12496 5589 14722 5209
"200700_s_at" 18011 6112 17629 11419 7953 11649 14648 19392
"200701_at" 12693 12049 6660 12632 4444 6272 14862 6550
"200702_s_at" 7524 7406 15883 12425 7132 5497 7094 1662
"200703_at" 12722 13303 7325 8714 12839 12124 5054 9322
"200704_at" 12680 19833 4132 5955 10487 8116 21727 7371
"200705_s_at" 18174 19603 6624 10438 20617 19976 6684 19420
"200706_s_at" 8745 1976 7380 19783 4306 13500 18477 2632
"200707_at" 3746 5155 4324 4168 12608 13195 20229 19582
"200708_at" 12082 11318 8650 10288 11838 12216 17323 9038
"200709_at" 20103 11688 19997 8783 11733 8711 5633 7321
"200710_at" 6340 9525 5253 9833 6145 5225 17622 12579
"200711_s_at" 10504 8558 5244 3079 11011 13256 6840 7783
"200712_s_at" 11625 7097 6585 6004 5112 3419 3675 9288
"200713_s_at" 11367 14472 17097 11060 12069 13619 7222 9234
"200714_x_at" 7035 8680 5356 8607 5999 7337 18911 2124
"200715_x_at" 18000 13163 15799 18783 12239 12377 5586 11032
"200716_x_at" 14851 16161 11387 14705 17048 16539 15913 19416
"200717_x_at" 14747 16044 11273 14590 16931 16407 9730 14852
"200718_s_at" 19541 19980 19463 19065 16882 16355 16285 12213
"200719_at" 10260 4348 19022 8200 9032 9086 7619 3563
"200720_s_at" 7752 12794 8641 12338 6880 5365 14709 7264
"200721_s_at" 11683 10636 6324 12527 6022 8966 17878 6825
"200722_s_at" 9264 8859 19725 9312 4090 8725 4331 19880
"200723_s_at" 10330 10440 19053 18682 10233 9558 6956 10172
"200724_at" 895 1849 267 732 20568 3683 15521 21599
"200725_x_at" 18121 20844 9245 18464 20609 16363 15263 20744
"200726_at" 10312 6697 3621 19422 9139 12835 3746 9212
"200727_s_at" 11428 3039 7635 3617 2110 2851 630 1820
"200728_at" 18943 4308 19061 7787 7524 7310 1596 8719
"200729_s_at" 12740 9710 6580 5882 8952 7085 4662 2825
"200730_s_at" 13019 642 19234 20045 2223 5062 7052 2534
"200731_s_at" 18885 1899 21790 12539 4940 3276 5005 5190
"200732_s_at" 9484 5720 19215 20046 9195 10061 14186 9101
"200733_s_at" 12542 14382 4786 5790 7186 5351 3937 221
"200734_s_at" 8570 13213 4849 4659 13689 20126 18503 20362
"200735_x_at" 14807 16110 11340 14656 16993 16476 5392 12558
"200736_s_at" 20331 13547 12769 16751 15524 18991 13960 11778
"200737_at" 5156 5023 4288 9250 2516 2460 4914 3542
"200738_s_at" 18869 19388 15983 18686 12882 13399 7369 19685
"200739_s_at" 11416 13231 15580 10677 10648 8334 16147 19513
"200740_s_at" 18207 19571 16498 8721 14859 13870 3926 9735
"200741_s_at" 14654 15955 11182 14503 16829 16290 9638 14770
"200742_s_at" 18204 9253 19298 10852 8101 13469 15944 10078
"200743_s_at" 7023 9236 15557 10561 5071 7496 17344 8284
"200744_s_at" 10506 3922 8624 7152 7485 7872 14459 19206
"200745_s_at" 13064 10813 16798 9105 8328 10705 14291 6168
"200746_s_at" 11511 8737 2343 4453 6730 10908 16899 7314
"200747_s_at" 18288 12606 2299 6882 12838 10070 18189 5163
"200748_s_at" 14870 16179 8414 12166 20459 13388 7381 20061
"200749_at" 10363 9596 6729 3183 11953 7889 16029 6604
"200750_s_at" 14727 16027 11248 14564 16899 16374 5787 19431
"200751_s_at" 10293 4841 18024 10417 6256 5392 3319 3785
"200752_s_at" 11141 5459 15936 4162 13668 10848 17725 7634
"200753_x_at" 7155 10483 6809 3075 9472 5289 5700 8322
"200754_x_at" 11742 13417 18005 19430 13638 13668 17801 19100
"200755_s_at" 19281 7706 20061 12207 7377 8418 7583 7836
"200756_x_at" 10454 2047 20834 9928 3249 2992 2530 12796
"200757_s_at" 18905 6606 16897 10720 8436 6459 16515 5975
"200758_s_at" 5069 4070 8651 20474 6822 6301 6575 4173
"200759_x_at" 5638 11305 3591 18418 9602 10142 14397 10271
"200760_s_at" 8560 5468 17318 18404 5919 7068 4857 4806
"200761_s_at" 3825 10148 7516 9716 12568 6336 16791 5035
"200762_at" 12299 12537 3462 6366 8242 8782 15788 9948
"200763_s_at" 14820 16124 11353 14671 17006 16492 9802 14918
"200764_s_at" 20711 21122 2347 21914 7205 6842 8266 17571
"200765_x_at" 17303 15789 7633 10642 13255 10589 9598 13913
"200766_at" 8552 14189 6605 2152 12988 11873 20349 9194
"200767_s_at" 19156 7700 17045 3098 9429 3682 7556 2879
"200768_s_at" 7130 4765 9271 7059 6169 9185 16414 9216
"200769_s_at" 19986 1626 19620 19298 3950 4513 1425 7125
"200770_s_at" 4706 3255 16220 11037 9518 6724 20871 3354
"200771_at" 7896 9341 15483 8266 14617 5412 19580 7835
"200772_x_at" 14775 16079 11306 14620 14952 20111 6269 9386
"200773_x_at" 18247 14022 15605 12067 13878 13556 7622 12416
"200774_at" 11030 12239 16165 12101 13387 13343 14484 9644
"200775_s_at" 9868 11590 18119 11998 14130 13334 20636 10824
"200776_s_at" 18465 8010 17271 20449 6415 6217 2271 19378
"200777_s_at" 10700 10768 7993 11261 15003 10481 14308 11795
"200778_s_at" 11441 9419 17780 19069 10761 11204 6767 12795
"200779_at" 9939 8805 7995 8412 12770 10849 5416 11776
"200780_x_at" 18963 14192 17366 10213 20930 14399 14565 12479
"200781_s_at" 18575 19667 11255 19946 16907 16382 6589 19656
"200782_at" 12319 19699 4838 8701 8726 7410 15347 7344
"200783_s_at" 18223 10644 16384 3074 12495 7067 5237 3012
"200784_s_at" 19193 21390 11516 12971 18297 18994 17066 2068
"200785_s_at" 20991 22239 10147 17454 19430 19579 10165 14220
"200786_at" 8520 19753 7723 9692 12660 12122 15853 9844
"200787_s_at" 2013 3780 5189 9034 8619 14661 6733 11281
"200788_s_at" 12262 7928 4505 6369 12187 8808 7865 7681
"200789_at" 2279 1709 4646 4820 3439 2813 3569 4437
"200790_at" 14771 16072 16445 6471 9762 9322 14212 11260
"200791_s_at" 18549 8741 9031 20042 12691 12721 17466 4098
"200792_at" 12744 12073 15996 9018 13106 10745 17543 9210
"200793_s_at" 7787 13528 2319 12058 4067 2317 18335 3942
