"inst_3689" "inst_3692" "inst_4711" "inst_4714" "inst_7388" "inst_7390"
"1007_s_at" 17270 15979 17162 6361 17687 3396
"1053_at" 17286 8083 8589 1278 5294 15876
"117_at" 8680 1584 10764 13521 2620 12302
"121_at" 2598 4862 6515 17323 20458 3291
"1255_g_at" 8483 10796 15506 13361 10537 8208
"1294_at" 2032 840 20858 22051 119 8677
"1316_at" 3672 6200 2161 475 21551 4159
"1320_at" 19925 741 2177 16463 9702 13649
"1405_i_at" 9240 9768 19439 1166 15564 13872
"1431_at" 6786 4138 1838 20554 9923 8432
"1438_at" 21936 699 8987 19721 16469 796
"1487_at" 7070 7005 2382 1614 6019 6553
"1494_f_at" 8026 19033 5369 2173 424 8872
"1598_g_at" 1468 20496 19453 19226 1609 3738
"160020_at" 17879 19042 518 21131 5619 2218
"1729_at" 15367 3492 19219 4973 6776 17755
"1773_at" 6119 1341 20328 19801 6144 19775
"177_at" 494 12969 362 3032 14362 8761
"179_at" 8025 2716 387 1111 21120 21191
"1861_at" 4240 5948 4936 4406 3672 6057
"200000_s_at" 7131 4706 20608 3683 6947 6727
"200001_at" 6578 5776 6934 5450 7559 17659
"200002_at" 5427 14058 8946 4494 5980 14570
"200003_s_at" 10043 10099 10347 7411 16842 4546
"200004_at" 15457 7015 17652 7302 17074 17990
"200005_at" 18940 15463 7686 6497 6269 6917
"200006_at" 15057 14046 6307 6956 6745 15982
"200007_at" 5979 7732 5160 7475 15783 19909
"200008_s_at" 18813 1996 5188 18990 16022 18952
"200009_at" 16405 6504 8671 17917 8002 14511
"200010_at" 16360 3881 9456 3884 7147 15716
"200011_s_at" 7690 14579 5489 4073 4712 17183
"200012_x_at" 7342 14439 18704 7439 7108 4680
"200013_at" 6608 5686 9097 5399 7425 5976
"200014_s_at" 14557 5595 5292 5653 6881 18937
"200015_s_at" 4179 7881 8973 15501 5107 18743
"200016_x_at" 15495 17199 19120 17340 17578 17052
"200017_at" 10138 10200 9280 6433 16556 6468
"200018_at" 10128 10185 18047 6717 7602 6759
"200019_s_at" 6923 16722 18872 7874 5356 5661
"200020_at" 7118 6569 20298 5756 15776 6672
"200021_at" 10238 10303 17969 16508 16045 21227
"200022_at" 15076 5257 9972 7594 4685 4229
"200023_s_at" 8446 18307 8901 17164 6167 17156
"200024_at" 6204 6464 17118 6424 6976 5258
"200025_s_at" 6320 15792 16997 8119 7520 18516
"200026_at" 10244 10308 9818 6839 7891 14449
"200027_at" 15544 17029 6159 7348 17557 16602
"200028_s_at" 4126 17932 6276 14832 7693 18753
"200029_at" 5980 8405 17493 16548 16026 14954
"200030_s_at" 6813 6622 17355 15414 15921 16606
"200031_s_at" 10121 10179 17383 15430 7869 5288
"200032_s_at" 16328 10203 16945 6217 6835 5325
"200033_at" 6886 4509 9774 6914 16829 16961
"200034_s_at" 6122 5710 10356 6252 15818 15650
"200035_at" 15477 16426 20496 7828 2778 2465
"200036_s_at" 7213 16171 9790 15117 6354 4773
"200037_s_at" 14482 18022 4650 5469 16197 17588
"200038_s_at" 8164 7272 9944 16382 16388 6872
"200039_s_at" 18356 14147 17947 14917 6597 4365
"200040_at" 18071 17818 10314 5419 18044 14692
"200041_s_at" 14611 8196 7627 18047 4625 3550
"200042_at" 19969 7014 18565 16140 19125 17402
"200043_at" 1758 3644 4239 2029 17010 15297
"200044_at" 6171 15042 7019 18477 3814 15238
"200045_at" 14950 7306 9748 7654 4172 6731
"200046_at" 5551 6143 4857 5343 4861 17950
"200047_s_at" 8177 8570 5543 16312 17108 17053
"200048_s_at" 14746 17338 8163 6962 6761 6369
"200049_at" 2556 4234 1158 5121 17096 20990
"200050_at" 19163 15864 8618 2603 18825 15777
"200051_at" 15213 14234 18670 6918 5160 17462
"200052_s_at" 19573 4410 8229 6517 16713 17440
"200053_at" 17850 3003 9169 2393 20960 18370
"200054_at" 16073 3930 8464 4125 20314 20646
