"inst_6563" "inst_6568" "inst_6573"
"1007_s_at" 14619 16317 5759
"1053_at" 21257 2714 5694
"117_at" 9858 2365 12825
"121_at" 17101 18109 8550
"1255_g_at" 8340 14233 13410
"1294_at" 3228 10206 4286
"1316_at" 15788 15561 20914
"1320_at" 11965 13427 13113
"1405_i_at" 11394 7981 15718
"1431_at" 184 10101 21903
"1438_at" 7491 10661 8910
"1487_at" 3039 18500 7906
"1494_f_at" 18340 2060 12488
"1598_g_at" 19600 16747 21707
"160020_at" 12863 21452 12274
"1729_at" 16138 393 17998
"1773_at" 9372 10590 5528
"177_at" 7290 15962 15192
"179_at" 11651 20857 15442
"1861_at" 16090 2818 1148
"200000_s_at" 20384 15261 1094
"200001_at" 17903 6541 748
"200002_at" 14804 4909 8233
"200003_s_at" 15111 7078 8356
"200004_at" 15257 2837 4284
"200005_at" 12591 6362 6970
"200006_at" 3539 6158 6969
"200007_at" 16392 20982 6250
"200008_s_at" 22253 458 31
"200009_at" 18505 4685 6505
"200010_at" 14703 5720 6190
"200011_s_at" 16347 15341 3166
"200012_x_at" 4536 16504 20506
"200013_at" 12908 4362 7914
"200014_s_at" 14952 15129 8087
"200015_s_at" 15835 16707 7248
"200016_x_at" 14586 16781 19935
"200017_at" 3041 17332 8553
"200018_at" 3994 5065 8735
"200019_s_at" 3643 15160 20284
"200020_at" 17562 19629 20548
"200021_at" 9284 11897 19687
"200022_at" 15600 3640 6248
"200023_s_at" 18513 4369 6421
"200024_at" 14038 7175 4498
"200025_s_at" 3368 16093 18959
"200026_at" 3580 6938 9430
"200027_at" 14146 17245 6447
"200028_s_at" 3200 7581 19562
"200029_at" 13865 16014 18219
"200030_s_at" 17675 3880 3506
"200031_s_at" 8657 11335 18839
"200032_s_at" 2246 6068 19104
"200033_at" 20756 4202 4917
"200034_s_at" 12586 5239 8751
"200035_at" 3339 17281 18828
"200036_s_at" 16459 15828 6708
"200037_s_at" 15196 16049 8340
"200038_s_at" 17520 3781 5708
"200039_s_at" 16060 15602 8462
"200040_at" 16948 18968 8474
"200041_s_at" 4788 5511 4011
"200042_at" 14490 15631 7244
"200043_at" 2385 20137 18428
"200044_at" 15977 6267 4298
"200045_at" 13804 6542 6375
"200046_at" 13003 6732 5372
"200047_s_at" 19471 20528 19353
"200048_s_at" 4413 18079 9171
