"inst_2976" "inst_3538" "inst_6357"
"1007_s_at" 13503 17615 21629
"1053_at" 21068 9520 4841
"117_at" 10348 15350 13645
"121_at" 10789 5764 6087
"1255_g_at" 2551 12386 12879
"1294_at" 11327 5790 10402
"1316_at" 10509 19825 9138
"1320_at" 2695 14281 6789
"1405_i_at" 11557 10709 17332
"1431_at" 1337 184 20723
"1438_at" 9625 9257 6012
"1487_at" 11478 8097 2450
"1494_f_at" 5244 15266 19040
"1598_g_at" 10497 1378 7190
"160020_at" 935 10009 2647
"1729_at" 13204 3001 19357
"1773_at" 10924 21257 1401
"177_at" 1322 15478 6624
"179_at" 16203 21390 157
"1861_at" 10999 17833 18569
"200000_s_at" 13332 19293 10056
"200001_at" 16351 17466 7225
"200002_at" 11905 19055 10639
"200003_s_at" 10603 17185 18447
"200004_at" 14275 7631 9301
"200005_at" 19301 8672 9494
"200006_at" 15348 8828 9916
"200007_at" 16198 6493 18938
"200008_s_at" 21608 7264 8408
"200009_at" 16664 17764 9835
"200010_at" 10478 18627 20539
"200011_s_at" 20543 19061 19868
"200012_x_at" 1005 19894 18943
"200013_at" 11731 9430 7189
"200014_s_at" 21307 8814 5996
"200015_s_at" 15566 7754 8388
"200016_x_at" 10550 9212 8198
"200017_at" 10361 9809 10218
"200018_at" 4987 10191 20671
"200019_s_at" 12797 18108 19481
"200020_at" 17296 17624 19600
"200021_at" 1306 19714 14049
"200022_at" 11251 17934 19715
"200023_s_at" 13648 5916 9222
"200024_at" 11329 17083 18610
"200025_s_at" 1921 9381 10325
"200026_at" 5230 18492 9877
"200027_at" 15718 4234 7613
"200028_s_at" 15783 17149 9676
"200029_at" 1051 18803 18641
"200030_s_at" 15357 10053 18600
"200031_s_at" 4963 18602 19315
"200032_s_at" 5019 9590 8311
"200033_at" 17544 6846 10634
"200034_s_at" 11264 10048 8307
"200035_at" 13905 20477 20847
"200036_s_at" 12242 19565 10820
"200037_s_at" 15062 6691 7371
"200038_s_at" 5196 18472 10545
"200039_s_at" 18320 8225 9646
"200040_at" 15590 4977 6774
"200041_s_at" 18994 9020 10060
"200042_at" 19143 6824 19132
"200043_at" 17832 3807 21169
"200044_at" 14029 6409 6612
"200045_at" 17375 18021 8645
"200046_at" 18996 17352 10164
"200047_s_at" 20384 17104 6176
"200048_s_at" 15258 7402 6208
"200049_at" 12438 17514 19391
"200050_at" 18550 10003 8406
"200051_at" 11747 5864 21359
"200052_s_at" 17066 19148 9182
"200053_at" 20904 9889 21952
"200054_at" 15746 20248 18839
"200055_at" 15035 19413 19003
"200056_s_at" 16121 4630 2616
"200057_s_at" 14584 7330 8882
"200058_s_at" 16550 19549 9118
"200059_s_at" 12847 5857 10834
"200060_s_at" 16819 10243 9211
"200061_s_at" 4961 18437 19250
"200062_s_at" 1886 12135 13751
"200063_s_at" 1325 17815 10827
"200064_at" 16797 6059 9893
"200065_s_at" 15562 10204 18350
"200066_at" 14406 10032 21041
"200067_x_at" 13686 7472 19024
"200068_s_at" 14442 8127 7964
"200069_at" 15710 2773 7070
"200070_at" 792 7543 8267
"200071_at" 21239 6957 9326
"200072_s_at" 16876 8494 19847
"200073_s_at" 11695 3412 7421
"200074_s_at" 10692 18265 19237
"200075_s_at" 12818 10241 7493
"200076_s_at" 19089 5296 9659
"200077_s_at" 10689 8492 18531
"200078_s_at" 17217 8958 9058
"200079_s_at" 18936 8915 18389
"200080_s_at" 1602 5301 9420
"200081_s_at" 11440 18849 18915
"200082_s_at" 10454 9885 18612
"200083_at" 15214 5700 8624
"200084_at" 16301 3873 9141
"200085_s_at" 12810 18085 10809
"200086_s_at" 11654 8350 9404
"200087_s_at" 18438 5168 8018
"200088_x_at" 4786 17669 19109
"200089_s_at" 1542 9665 9896
"200090_at" 16055 6758 6479
"200091_s_at" 1925 6952 19887
"200092_s_at" 958 19341 6511
"200093_s_at" 19446 5626 8725
"200094_s_at" 11789 17630 3575
"200095_x_at" 2039 12265 14032
"200096_s_at" 21109 5748 8279
"200097_s_at" 17023 4246 8028
"200098_s_at" 15419 9794 9727
"200099_s_at" 5109 18637 10807
"200593_s_at" 13800 17865 7757
"200594_x_at" 15807 7309 7086
"200595_s_at" 19899 6407 6731
"200596_s_at" 18021 6194 20615
"200597_at" 17050 17844 18991
"200598_s_at" 19563 17115 7750
"200599_s_at" 12799 6350 19312
"200600_at" 15573 2830 8499
"200601_at" 20017 17718 1758
"200602_at" 18866 774 3906
"200603_at" 18219 3652 6383
"200604_s_at" 22183 4393 10171
"200605_s_at" 19718 9075 6465
"200606_at" 1017 4547 7465
"200607_s_at" 20134 8910 9173
"200608_s_at" 13673 4728 5198
"200609_s_at" 16173 18940 21745
"200610_s_at" 12889 2921 19213
"200611_s_at" 16462 21128 8088
"200612_s_at" 17837 18011 19771
"200613_at" 18908 18275 10869
"200614_at" 16852 17668 18244
"200615_s_at" 18488 5581 8666
"200616_s_at" 17976 18269 18487
"200617_at" 14637 17052 9899
"200618_at" 15328 6657 20242
"200619_at" 15585 3305 10856
"200620_at" 15724 6679 19678
"200621_at" 12259 19393 4803
"200622_x_at" 21665 8196 18912
"200623_s_at" 19472 17239 18814
"200624_s_at" 21477 6252 4866
"200625_s_at" 14387 6223 4637
"200626_s_at" 17616 1177 21381
"200627_at" 12951 3897 9504
"200628_s_at" 21191 19528 6238
"200629_at" 20963 19296 9894
"200630_x_at" 12837 17269 7303
"200631_s_at" 17904 9786 9387
"200632_s_at" 11995 17136 8096
"200633_at" 11742 12200 13870
"200634_at" 20283 10267 20483
"200635_s_at" 5774 17742 11118
"200636_s_at" 8330 8084 21460
"200637_s_at" 5017 20108 6162
