"inst_2188" "inst_3683" "inst_4705" "inst_6043" "inst_7382"
"1007_s_at" 21145 15644 4107 12553 16970
"1053_at" 7115 18976 2849 14707 10441
"117_at" 11127 4645 9631 6691 8205
"121_at" 4903 11001 20397 13725 1971
"1255_g_at" 15760 5673 10358 7302 4758
"1294_at" 10662 21032 20899 1469 10092
"1316_at" 20767 4140 20402 956 14888
"1320_at" 16427 11793 13888 17492 3790
"1405_i_at" 7033 8244 16337 9061 10219
"1431_at" 1149 10793 1282 20360 3596
"1438_at" 4115 10101 1811 20369 10712
"1487_at" 11030 20791 15609 11260 16309
"1494_f_at" 21263 949 1549 21774 9105
"1598_g_at" 5056 9858 4727 20627 17693
"160020_at" 21883 10124 4615 1082 14463
"1729_at" 18989 18053 14528 19065 12802
"1773_at" 11282 20742 15085 16574 21464
"177_at" 19934 3954 1133 5940 6705
"179_at" 18969 19339 20538 20687 17225
"1861_at" 6641 3510 15116 10800 13676
"200000_s_at" 20327 2808 13981 10551 13891
"200001_at" 5677 13151 13738 16729 16420
"200002_at" 7537 13294 13671 3553 11949
"200003_s_at" 14011 5920 5942 5167 1449
"200004_at" 7778 13809 13753 9521 13813
"200005_at" 10260 10969 5969 13269 20346
"200006_at" 10050 9821 13802 9753 13426
"200007_at" 5290 9908 17616 12787 11152
"200008_s_at" 18987 19532 15398 14307 12428
"200009_at" 9805 14446 5530 11448 13300
"200010_at" 13889 11843 3401 9696 13820
"200011_s_at" 6962 16794 5108 10695 20896
"200012_x_at" 11245 2773 14581 2770 1407
"200013_at" 9603 10381 5626 3680 10570
"200014_s_at" 3586 12086 14687 11567 18532
"200015_s_at" 5783 14609 18122 14951 13446
"200016_x_at" 13748 10750 13167 9480 11359
"200017_at" 13786 6011 14184 5259 1862
"200018_at" 13974 6002 5502 5251 2034
"200019_s_at" 18206 3533 4928 3233 1844
"200020_at" 18716 4362 5241 12277 15808
"200021_at" 20958 6098 8163 5352 1059
"200022_at" 13807 4186 3660 5181 11036
"200023_s_at" 7391 10517 17047 11999 19315
"200024_at" 19199 9783 5111 9498 1416
"200025_s_at" 13912 10042 15676 3251 10480
"200026_at" 13835 6101 5790 5353 2298
"200027_at" 18102 11127 17954 13216 17432
"200028_s_at" 11384 11101 17881 11993 19133
"200029_at" 14007 12249 3366 10714 10647
"200030_s_at" 18794 9763 12816 10307 12294
"200031_s_at" 13771 5995 4618 5244 1614
"200032_s_at" 13952 6012 5022 5262 1674
"200033_at" 18405 12899 5187 9995 14741
"200034_s_at" 9346 11815 13422 2265 1599
"200035_at" 9428 9967 3882 2327 14544
"200036_s_at" 10266 10656 13274 9414 10800
"200037_s_at" 11486 20028 15729 9623 15211
"200038_s_at" 13750 13371 12719 5332 1993
"200039_s_at" 9771 11649 15538 13934 12593
"200040_at" 7491 15855 13275 13635 17069
"200041_s_at" 9703 18065 4824 13714 14819
"200042_at" 7866 3523 14431 11779 13110
"200043_at" 17902 2924 18613 11650 11525
"200044_at" 4954 13737 5954 14393 15422
"200045_at" 5856 13675 5413 13985 20236
"200046_at" 9076 15519 14668 14594 17254
"200047_s_at" 11336 13000 13640 12465 16609
"200048_s_at" 9692 11120 12967 10995 14090
"200049_at" 3921 18362 19758 20096 17616
"200050_at" 21021 18834 16601 2063 14887
"200051_at" 11382 3722 14792 3353 16615
"200052_s_at" 17904 19659 14183 16388 14970
"200053_at" 21350 2860 21717 17368 11672
"200054_at" 8711 15415 5133 17874 16804
"200055_at" 9874 16080 15232 15258 16572
"200056_s_at" 2559 18231 20328 12786 13688
"200057_s_at" 9166 11110 14879 12583 12520
"200058_s_at" 7349 11854 14059 13631 13678
"200059_s_at" 7790 12355 16689 9640 11627
"200060_s_at" 11099 20484 13659 10498 17230
"200061_s_at" 13798 5994 5400 5242 832
"200062_s_at" 13745 5908 7910 5153 948
"200063_s_at" 13780 6035 8088 5286 777
"200064_at" 17868 11471 5002 10334 12344
"200065_s_at" 18739 9826 4137 13096 14025
"200066_at" 19222 13619 1187 10489 13210
"200067_x_at" 6247 13804 16149 15444 19332
"200068_s_at" 9024 11554 5959 12318 18443
"200069_at" 18683 17333 14335 19077 17359
"200070_at" 2054 9848 5716 20126 631
"200071_at" 2717 19391 17486 16712 20054
"200072_s_at" 18604 12376 2788 14755 12967
"200073_s_at" 6786 17099 18816 11176 11902
"200074_s_at" 10210 12981 13237 3572 11264
"200075_s_at" 8319 10148 5759 11692 13536
"200076_s_at" 3091 18129 5228 12383 13882
"200077_s_at" 10713 4260 15635 3518 11125
"200078_s_at" 17952 13231 15842 12590 18401
"200079_s_at" 7507 12489 5113 15465 17033
"200080_s_at" 7230 13996 15880 2399 870
"200081_s_at" 18131 10706 4387 3294 11574
"200082_s_at" 13791 9969 4097 5276 1738
"200083_at" 5966 11404 20004 12973 21406
"200084_at" 7054 16818 15569 14081 16927
"200085_s_at" 9529 9756 13212 13278 13965
"200086_s_at" 5434 9957 14894 10412 16476
"200087_s_at" 6721 16348 16642 16853 14629
"200088_x_at" 13997 5916 7924 5163 11048
"200089_s_at" 10973 13685 13835 9531 10722
"200090_at" 7742 3333 19333 13476 14854
"200091_s_at" 10152 10330 16008 2028 623
"200092_s_at" 19394 12366 5694 3558 693
"200093_s_at" 9375 16702 19067 13721 12604
"200094_s_at" 7694 14393 14641 10410 14139
"200095_x_at" 13986 6089 8156 5341 1658
"200096_s_at" 19306 16218 16218 12127 19521
"200097_s_at" 6645 20972 14078 16118 14135
"200098_s_at" 7893 12503 16479 15490 16233
"200099_s_at" 13797 3480 5533 5297 2224
"200593_s_at" 17892 14873 13669 19993 12291
"200594_x_at" 7903 15857 12841 14478 16612
"200595_s_at" 6063 18503 16131 12497 20130
"200596_s_at" 19097 12990 1421 3132 14578
"200597_at" 18803 15882 14670 21004 20043
"200598_s_at" 21046 15370 19601 3165 14661
"200599_s_at" 19868 16977 3256 11555 12231
"200600_at" 5340 15406 9780 8377 18258
"200601_at" 504 19092 19135 13310 18842
"200602_at" 9083 15896 21968 9768 15039
"200603_at" 4589 18444 16927 3529 12277
"200604_s_at" 18942 3112 13704 12075 18247
"200605_s_at" 9812 17237 5151 18759 16684
"200606_at" 6428 18912 18105 10692 18921
"200607_s_at" 19362 12952 19376 10062 11312
"200608_s_at" 5465 17737 15795 12942 11185
"200609_s_at" 2987 14345 16963 12544 21061
"200610_s_at" 8284 15837 14374 15563 12565
"200611_s_at" 5044 18530 14921 12593 14122
"200612_s_at" 516 1763 13522 17631 13690
"200613_at" 10170 11717 3872 13146 15302
"200614_at" 8903 10350 4623 3060 11740
"200615_s_at" 8483 16038 2495 18304 20669
"200616_s_at" 17905 11311 17796 11824 17423
"200617_at" 4248 10918 4699 14828 17036
"200618_at" 2771 10168 5122 14798 20645
"200619_at" 8829 11226 15839 9848 19469
"200620_at" 6102 2794 4837 13535 12558
"200621_at" 4210 15634 15905 11483 15089
"200622_x_at" 8226 12037 13467 17577 12022
"200623_s_at" 9163 11291 2414 13614 15839
"200624_s_at" 7812 20512 5611 18724 18285
"200625_s_at" 6996 3971 5270 10294 14315
"200626_s_at" 10978 4365 5637 9446 19367
"200627_at" 18201 10999 5465 2275 2376
"200628_s_at" 20535 18890 19857 10320 11136
"200629_at" 7656 12669 18637 13842 20154
