"inst_3118" "inst_5056" "inst_5475" "inst_6497"
"1007_s_at" 21900 2632 5020 13147
"1053_at" 18296 17654 19128 13163
"117_at" 6510 6684 7547 9185
"121_at" 4630 3721 3440 3983
"1255_g_at" 10771 11272 7668 8398
"1294_at" 2671 9212 15894 15622
"1316_at" 716 19474 21574 2312
"1320_at" 10924 1176 7539 8915
"1405_i_at" 18647 10388 7891 6702
"1431_at" 210 3130 769 21207
"1438_at" 11910 2350 18430 11934
"1487_at" 2806 17520 4585 4618
"1494_f_at" 882 1785 20568 20802
"1598_g_at" 21715 4682 5358 18937
"160020_at" 19959 3128 16072 21063
"1729_at" 4633 5761 21158 16926
"1773_at" 21535 19478 16223 20395
"177_at" 5412 2620 2088 1579
"179_at" 378 21822 345 1915
"1861_at" 21272 16474 4911 5677
"200000_s_at" 15552 13762 18661 17329
"200001_at" 18821 5412 6884 14045
"200002_at" 5959 15284 6746 16029
"200003_s_at" 9462 8773 6969 14569
"200004_at" 6549 13215 15838 14558
"200005_at" 6044 6068 6201 4914
"200006_at" 7186 14754 6341 15916
"200007_at" 4342 14257 5843 15595
"200008_s_at" 5027 17280 14290 2929
"200009_at" 6865 5921 16263 5360
"200010_at" 14172 14830 16480 5225
"200011_s_at" 16656 5820 4999 3547
"200012_x_at" 7333 4359 14278 4408
"200013_at" 15341 15879 14068 15149
"200014_s_at" 14319 14575 16888 16505
"200015_s_at" 5815 20037 16836 14998
"200016_x_at" 7028 6920 5930 14735
"200017_at" 9611 19165 14151 12942
"200018_at" 9597 17043 5958 4187
"200019_s_at" 14452 6464 15666 13002
"200020_at" 3922 4979 19061 14010
"200021_at" 6398 8946 15237 8289
"200022_at" 5026 14098 14535 3944
"200023_s_at" 4386 13956 19252 15520
"200024_at" 6064 15948 18382 13545
"200025_s_at" 14968 6883 5853 13419
"200026_at" 9751 14345 14435 5976
"200027_at" 6722 15990 15460 15076
"200028_s_at" 16630 3552 6986 17018
"200029_at" 15137 13361 15198 14319
"200030_s_at" 7092 14644 5962 5324
"200031_s_at" 9586 8849 14997 13051
"200032_s_at" 9615 16351 6735 4620
"200033_at" 4230 13693 2857 13355
"200034_s_at" 6694 16609 14999 14982
"200035_at" 4064 4234 19703 1304
"200036_s_at" 6406 18797 15386 15787
"200037_s_at" 16501 13295 4102 6140
"200038_s_at" 9723 14197 16547 5627
"200039_s_at" 14235 17516 16485 13104
"200040_at" 7101 15292 14192 14119
"200041_s_at" 15592 5114 15938 14447
"200042_at" 15489 12629 5487 4063
"200043_at" 6337 18431 14009 16758
"200044_at" 6110 16013 15626 16256
"200045_at" 17988 5812 18119 14311
"200046_at" 4989 14680 14056 4143
"200047_s_at" 14454 19503 3645 16688
"200048_s_at" 6391 18910 15687 16928
"200049_at" 3780 13107 6510 15954
"200050_at" 5657 15118 2353 3966
"200051_at" 16419 20257 18323 15126
"200052_s_at" 7007 6591 15796 15858
"200053_at" 19764 6770 16279 19244
"200054_at" 7356 6573 14179 16711
"200055_at" 16287 14390 19060 16057
"200056_s_at" 14840 17960 16779 15215
"200057_s_at" 4853 5408 5046 5286
"200058_s_at" 15653 13378 17632 17524
"200059_s_at" 5420 15109 6265 6053
"200060_s_at" 14952 18440 14300 15689
"200061_s_at" 9584 8848 6335 13655
"200062_s_at" 9444 8764 8840 8093
"200063_s_at" 9651 15211 15090 13295
"200064_at" 3905 3885 16576 5872
"200065_s_at" 5488 5605 17837 14107
"200066_at" 6372 19017 17547 4697
"200067_x_at" 16925 15033 15866 15328
"200068_s_at" 14405 6560 14685 14556
"200069_at" 17381 13741 18030 19709
"200070_at" 2901 6255 18553 5465
"200071_at" 16864 15054 14229 18954
"200072_s_at" 14100 5692 14144 18696
"200073_s_at" 7362 17629 14866 18138
"200074_s_at" 16845 15445 15565 16565
"200075_s_at" 6618 18300 15614 16800
"200076_s_at" 15001 17581 2243 4377
"200077_s_at" 6218 13263 14209 14309
"200078_s_at" 4752 19044 14976 13741
"200079_s_at" 6036 14805 3166 5023
"200080_s_at" 7144 5245 3425 15491
"200081_s_at" 14265 15348 15926 15424
"200082_s_at" 7025 17801 14069 6003
"200083_at" 15048 5389 19138 5301
"200084_at" 15111 18097 5547 14035
"200085_s_at" 14904 13798 16704 15134
"200086_s_at" 16385 18326 16403 13155
"200087_s_at" 4203 14787 6386 17716
"200088_x_at" 9454 12807 6921 4088
"200089_s_at" 5738 16636 16277 16150
"200090_at" 20107 17524 6643 2915
"200091_s_at" 16446 21505 6472 18233
"200092_s_at" 14288 14361 5182 15392
"200093_s_at" 5506 17659 6371 16882
"200094_s_at" 15200 15242 19515 17748
"200095_x_at" 9728 8937 14905 8279
"200096_s_at" 3823 20514 16221 16954
"200097_s_at" 15221 13840 3969 5087
"200098_s_at" 17632 15610 15037 15979
"200099_s_at" 9667 13965 14113 8242
"200593_s_at" 15715 18992 14665 18022
"200594_x_at" 15946 6898 14423 14546
"200595_s_at" 5970 13379 16373 19242
"200596_s_at" 16506 17204 4567 20851
"200597_at" 4355 3803 3176 18143
"200598_s_at" 16332 21009 4808 16470
"200599_s_at" 4475 13723 2722 17261
"200600_at" 16411 13060 13617 124
"200601_at" 3931 15668 4176 13930
"200602_at" 19508 15145 17013 3868
"200603_at" 4182 18430 5424 15830
"200604_s_at" 5139 19350 5231 3312
"200605_s_at" 3630 20270 6543 14668
"200606_at" 2882 19386 14184 4479
"200607_s_at" 14752 15092 3529 13967
"200608_s_at" 6499 20843 15268 16388
"200609_s_at" 2452 2302 14306 16675
"200610_s_at" 6597 12625 15093 19794
"200611_s_at" 15160 6911 17948 15513
"200612_s_at" 19461 19302 20862 21247
"200613_at" 4930 6520 15273 13237
"200614_at" 4051 17664 6487 16582
"200615_s_at" 4791 13432 15655 18240
"200616_s_at" 14092 14077 5902 5801
"200617_at" 14224 6039 20708 13820
"200618_at" 5126 2410 4709 2863
"200619_at" 19843 3990 18785 16704
"200620_at" 16045 18193 6148 3292
"200621_at" 4343 18697 6885 16085
"200622_x_at" 14189 16663 20096 14590
"200623_s_at" 20988 13242 17482 19172
"200624_s_at" 3761 14727 5035 3261
"200625_s_at" 3089 17116 16393 3347
"200626_s_at" 16050 18836 1381 2249
"200627_at" 14979 18294 4305 3371
"200628_s_at" 15732 16149 4807 13243
"200629_at" 17288 16755 18868 5274
"200630_x_at" 7272 14027 2803 4491
"200631_s_at" 5835 4133 14886 13951
"200632_s_at" 14748 1677 14489 17318
"200633_at" 14549 8847 15669 8183
