"inst_2961" "inst_3523" "inst_5444" "inst_6343"
"1007_s_at" 1229 16760 5717 15123
"1053_at" 1411 19862 5357 19362
"117_at" 14774 8902 15363 11277
"121_at" 5302 15790 9197 2450
"1255_g_at" 11479 8402 15681 9257
"1294_at" 2637 7303 19949 5454
"1316_at" 1567 14963 4959 19190
"1320_at" 10891 10692 15661 1975
"1405_i_at" 2497 9970 16547 12430
"1431_at" 8321 2346 21222 17872
"1438_at" 7349 14822 20562 14047
"1487_at" 21858 21543 2802 18583
"1494_f_at" 11014 1801 21298 5391
"1598_g_at" 16930 3384 10629 4266
"160020_at" 1609 315 21686 18395
"1729_at" 22255 16505 3011 16449
"1773_at" 2740 11575 10557 1190
"177_at" 593 10910 3313 8759
"179_at" 19774 3807 19203 21889
"1861_at" 21551 15464 2079 15240
"200000_s_at" 16215 21405 20153 18531
"200001_at" 19959 18257 8971 14307
"200002_at" 4996 14862 12291 15193
"200003_s_at" 13964 13855 14667 16714
"200004_at" 17969 15181 4337 4069
"200005_at" 19241 16079 11000 18633
"200006_at" 14473 12184 8889 14555
"200007_at" 18067 14821 10139 14588
"200008_s_at" 19946 11977 4961 16932
"200009_at" 15360 11545 10699 15192
"200010_at" 5407 16023 11002 20283
"200011_s_at" 5507 18836 9773 17775
"200012_x_at" 4624 3393 20657 4580
"200013_at" 15356 14183 10600 17192
"200014_s_at" 15301 13001 6112 14641
"200015_s_at" 2334 13854 5528 15615
"200016_x_at" 5116 12687 12120 13337
"200017_at" 4690 11216 19362 5094
"200018_at" 8866 11772 14745 16014
"200019_s_at" 16462 14700 11763 17699
"200020_at" 15966 17929 10023 17257
"200021_at" 16033 6731 19433 8540
"200022_at" 15431 13639 12814 20677
"200023_s_at" 14229 18154 4748 15407
"200024_at" 5212 12083 11731 15719
"200025_s_at" 4537 11688 10847 4046
"200026_at" 9120 4049 19704 4719
"200027_at" 4992 11870 9206 16393
"200028_s_at" 17632 12347 8224 4963
"200029_at" 14858 3750 12301 13794
"200030_s_at" 17223 13006 11325 14435
"200031_s_at" 8841 12164 14738 5830
"200032_s_at" 8899 4560 14759 3860
"200033_at" 3588 16201 5937 13323
"200034_s_at" 14054 13678 11714 14890
"200035_at" 15568 20173 10450 14883
"200036_s_at" 4529 13381 10625 15538
"200037_s_at" 15863 15931 5473 17379
"200038_s_at" 9077 12185 19038 14821
"200039_s_at" 15672 11517 10836 17709
"200040_at" 14402 14179 9626 14744
"200041_s_at" 16048 19837 7082 17583
"200042_at" 20801 16530 8826 19522
"200043_at" 14608 16851 8918 13843
"200044_at" 15689 14938 4292 13389
"200045_at" 18536 19355 9914 20596
"200046_at" 15343 19607 6201 17720
"200047_s_at" 18463 16509 4514 16209
"200048_s_at" 16604 13201 10727 4687
"200049_at" 15490 17434 7035 15723
"200050_at" 5160 14962 8680 14255
"200051_at" 15045 20189 7734 4111
"200052_s_at" 15336 15761 8486 18431
"200053_at" 22096 18966 1095 15747
"200054_at" 4472 19285 11444 13764
"200055_at" 18052 16183 12255 16882
"200056_s_at" 5065 18532 1137 5384
"200057_s_at" 4686 14898 11304 14803
"200058_s_at" 14352 16438 6773 17179
"200059_s_at" 3093 13849 9710 15886
"200060_s_at" 18206 16087 8554 20163
"200061_s_at" 8839 3828 14736 5302
"200062_s_at" 5788 6604 14656 8226
"200063_s_at" 3608 4197 14783 4595
"200064_at" 18017 15035 10966 19089
"200065_s_at" 5749 13897 9782 19413
"200066_at" 2614 14660 4616 20429
"200067_x_at" 16099 12637 9396 17212
"200068_s_at" 15612 14431 9825 3707
"200069_at" 4026 12924 9654 19371
"200070_at" 21821 14448 4379 18277
"200071_at" 14254 14835 3641 13341
"200072_s_at" 17070 17089 8196 18501
"200073_s_at" 4729 11463 4131 17992
"200074_s_at" 4831 14961 8896 17226
"200075_s_at" 18403 20636 4999 18384
"200076_s_at" 20521 15079 7639 19720
"200077_s_at" 5112 15962 18974 14246
"200078_s_at" 14467 19903 3906 17698
"200079_s_at" 17084 14472 12260 18786
"200080_s_at" 3790 12974 7287 4524
"200081_s_at" 5360 11911 11308 18401
"200082_s_at" 4222 11209 12683 14396
"200083_at" 4029 18936 7615 13996
"200084_at" 15615 15712 6027 14512
