"inst_6882" "inst_6887" "inst_6909" "inst_7054" "inst_7058"
"1007_s_at" 13314 15961 18078 4388 7076
"1053_at" 268 13676 17588 6220 9529
"117_at" 11467 6771 9523 12617 11481
"121_at" 13614 16601 2559 1980 21119
"1255_g_at" 8375 8449 9931 13804 13785
"1294_at" 9936 7282 12237 13654 12645
"1316_at" 1825 743 3379 21270 16019
"1320_at" 10013 6380 8890 13701 16023
"1405_i_at" 8490 11686 5082 10509 13941
"1431_at" 9862 12480 13525 7654 20205
"1438_at" 2253 1835 5529 521 20481
"1487_at" 11841 4479 15170 2380 7347
"1494_f_at" 1239 1656 20334 20240 5184
"1598_g_at" 5375 15584 1983 2358 6228
"160020_at" 21881 10789 8380 21474 953
"1729_at" 17479 21144 16791 1983 511
"1773_at" 12213 13242 6943 21123 21943
"177_at" 19042 12358 7464 2317 4735
"179_at" 101 518 2839 15265 2284
"1861_at" 14191 3609 20551 19784 8861
"200000_s_at" 19361 2538 21597 5049 6972
"200001_at" 14783 3162 21898 5954 7364
"200002_at" 18097 15258 17136 15911 8447
"200003_s_at" 5063 14056 17774 15381 9658
"200004_at" 14498 16836 4494 7292 6329
"200005_at" 13365 4331 18234 4436 9555
"200006_at" 13807 12737 6056 17561 5415
"200007_at" 13662 15753 3722 17308 9435
"200008_s_at" 12600 3998 21390 19186 20625
"200009_at" 12141 13334 17711 6002 8156
"200010_at" 5549 13389 15993 16574 19870
"200011_s_at" 16332 17046 18738 6294 5482
"200012_x_at" 4633 3381 5691 6306 19452
"200013_at" 11990 3723 16469 7308 9159
"200014_s_at" 15456 14952 4550 15313 8053
"200015_s_at" 14986 12727 5151 18312 4414
"200016_x_at" 12780 13471 4058 15973 8704
"200017_at" 14518 13514 5063 18683 8782
"200018_at" 5115 12788 5320 5897 18726
"200019_s_at" 5288 4595 5108 4491 18934
"200020_at" 17825 18297 5382 5384 18151
"200021_at" 3998 4678 2628 3965 8866
"200022_at" 13483 3951 18407 3459 19802
"200023_s_at" 18830 14958 16638 16037 8694
"200024_at" 3866 3828 18947 6680 19357
"200025_s_at" 12574 13638 5652 17047 7096
"200026_at" 13408 5384 4262 4104 18600
"200027_at" 17619 14675 14889 16470 7021
"200028_s_at" 14196 15740 15814 4318 6608
"200029_at" 12998 14280 6250 7178 18937
"200030_s_at" 12230 13543 6227 6807 18836
"200031_s_at" 4534 4273 15058 6568 19203
"200032_s_at" 4515 4451 5315 4620 18595
"200033_at" 17899 15697 2616 17721 9115
"200034_s_at" 12427 3877 5853 15415 10157
"200035_at" 3762 16629 19822 2734 8142
"200036_s_at" 12170 13227 6366 5966 18648
