"inst_208" "inst_254" "inst_507" "inst_542"
"1007_s_at" 18191 16075 8135 22225
"1053_at" 19060 15180 7887 11494
"117_at" 15852 8343 8294 7618
"121_at" 17074 14042 7092 4756
"1255_g_at" 7522 14479 12649 16585
"1294_at" 2645 11683 70 9940
"1316_at" 17691 12085 1727 20648
"1320_at" 20594 1933 7685 16208
"1405_i_at" 7028 6368 13088 20775
"1431_at" 8073 8245 14874 14502
"1438_at" 13047 8488 5807 14910
"1487_at" 12818 11018 4318 9666
"1494_f_at" 15393 8274 4554 1628
"1598_g_at" 20068 2379 2854 10498
"160020_at" 2290 16191 7650 4066
"1729_at" 14924 17808 5323 2742
"1773_at" 159 13892 12152 5702
"177_at" 637 8741 4443 6321
"179_at" 19209 16719 4048 6342
"1861_at" 5092 17517 4395 5998
"200000_s_at" 3512 16364 18647 2749
"200001_at" 18365 8022 20310 9835
"200002_at" 12658 2440 12496 22045
"200003_s_at" 4316 1874 10767 20299
"200004_at" 14096 15059 9551 9492
"200005_at" 4683 14535 18900 10458
"200006_at" 3769 10728 9480 11166
"200007_at" 14211 9532 19997 21104
"200008_s_at" 2546 13143 8049 1724
"200009_at" 3973 10131 6965 7368
"200010_at" 3427 17996 4149 21855
"200011_s_at" 17122 13083 10878 8872
"200012_x_at" 4062 1224 20806 11630
"200013_at" 2802 2851 8955 20403
"200014_s_at" 16348 15601 8425 9217
"200015_s_at" 13967 11571 10629 9241
"200016_x_at" 3901 13626 20539 21307
"200017_at" 16349 12931 11369 20449
"200018_at" 5153 7887 10239 11584
"200019_s_at" 2185 2722 10974 21817
"200020_at" 2793 18671 6231 2391
"200021_at" 19049 1104 19206 7431
"200022_at" 12945 2249 10008 10426
"200023_s_at" 5221 9859 10866 20023
"200024_at" 1769 970 21193 21320
"200025_s_at" 13970 2854 9828 20682
"200026_at" 14956 1840 6307 10286
"200027_at" 14349 14955 7113 5233
"200028_s_at" 19050 11467 19658 9375
"200029_at" 4984 1918 18806 20331
"200030_s_at" 14069 8237 11092 9639
"200031_s_at" 3263 2865 12243 20841
"200032_s_at" 12416 10781 6000 20168
"200033_at" 16396 14373 11602 5539
"200034_s_at" 3357 10899 11440 10849
"200035_at" 995 8706 20220 21448
"200036_s_at" 2592 3074 9027 20945
"200037_s_at" 13765 2380 19328 3737
"200038_s_at" 14435 9537 8897 20212
"200039_s_at" 16445 7906 12113 11194
"200040_at" 17215 12029 18589 9662
"200041_s_at" 13788 12662 11774 10981
"200042_at" 17776 13466 9783 6709
"200043_at" 13867 11058 8404 9454
"200044_at" 4786 13034 9530 7992
"200045_at" 2415 16226 7141 6407
"200046_at" 2542 12407 11055 20344
"200047_s_at" 16661 14742 6865 2817
"200048_s_at" 12496 9504 7604 10409
