"inst_1316" "inst_3253" "inst_4236" "inst_4820"
"1007_s_at" 17892 3463 3592 14072
"1053_at" 17887 18685 17888 13270
"117_at" 6960 12363 11688 4993
"121_at" 20558 8046 15749 12390
"1255_g_at" 8913 10687 10395 8326
"1294_at" 17877 19061 21978 11969
"1316_at" 3558 1046 18985 2163
"1320_at" 10758 15307 259 10179
"1405_i_at" 18647 9833 1308 5528
"1431_at" 9683 319 20377 6093
"1438_at" 15502 21761 4913 20886
"1487_at" 21266 7300 5399 20777
"1494_f_at" 16556 20208 19965 14560
"1598_g_at" 17558 2732 6920 13972
"160020_at" 4620 906 7373 883
"1729_at" 18946 17545 4656 14616
"1773_at" 2349 3950 18250 19068
"177_at" 3427 10152 19792 294
"179_at" 19425 21803 19400 21826
"1861_at" 22194 8259 19128 19929
"200000_s_at" 18149 7174 17857 19968
"200001_at" 18097 5794 15388 16867
"200002_at" 5315 8110 7124 12026
"200003_s_at" 5992 7670 9378 16444
"200004_at" 7226 8483 14319 16295
"200005_at" 6974 8314 8112 16928
"200006_at" 3787 8008 8100 12308
"200007_at" 17502 6007 14123 12155
"200008_s_at" 1983 16945 17906 22240
"200009_at" 6227 5283 4434 10738
"200010_at" 6071 17644 13515 20672
"200011_s_at" 6616 7864 14430 14919
"200012_x_at" 7100 5798 8262 2435
"200013_at" 7343 18157 7100 12932
"200014_s_at" 4613 5284 3269 12964
"200015_s_at" 6516 6629 13989 18234
"200016_x_at" 7262 16323 8145 12957
"200017_at" 6373 11835 9423 12784
"200018_at" 17590 11808 9421 14284
"200019_s_at" 17736 18711 13443 13597
"200020_at" 17572 6414 5144 4189
"200021_at" 5595 12041 9476 6438
"200022_at" 18259 16341 5398 13564
"200023_s_at" 6804 6925 6020 13030
"200024_at" 6611 17896 14141 14632
"200025_s_at" 6233 18562 7823 3873
"200026_at" 7003 8943 7748 12019
"200027_at" 4533 7232 4068 11953
"200028_s_at" 6452 6706 4760 2482
"200029_at" 6797 8621 5636 3032
"200030_s_at" 4328 5554 13685 14857
"200031_s_at" 18225 11788 9417 11348
"200032_s_at" 18582 11842 13389 10905
"200033_at" 4942 18490 13673 16011
