"inst_2117" "inst_2281" "inst_7029" "inst_7269"
"1007_s_at" 4597 6332 3708 18929
"1053_at" 18189 19845 19389 4427
"117_at" 10653 4149 9037 11952
"121_at" 20709 19967 1750 1366
"1255_g_at" 10065 8024 15394 8276
"1294_at" 1116 22106 16364 13457
"1316_at" 7241 18088 830 19357
"1320_at" 18047 10229 16016 12710
"1405_i_at" 11269 11548 11601 7221
"1431_at" 8177 14193 16436 12215
"1438_at" 498 21561 10964 1776
"1487_at" 9369 15380 6167 772
"1494_f_at" 20867 19562 16732 7013
"1598_g_at" 19343 7836 21025 16317
"160020_at" 421 251 14088 14062
"1729_at" 18435 16649 6112 14844
"1773_at" 5902 17517 462 611
"177_at" 14148 9465 16427 2800
"179_at" 7182 22089 283 21196
"1861_at" 18450 3441 20299 21106
"200000_s_at" 19683 17554 20679 1932
"200001_at" 8286 14090 7620 17797
"200002_at" 9017 7479 4668 16393
"200003_s_at" 7931 9793 18127 14465
"200004_at" 8074 16032 5427 16261
"200005_at" 4313 14660 6559 17213
"200006_at" 18420 7391 7732 17661
"200007_at" 4872 15682 18180 15350
"200008_s_at" 4654 19654 18729 19845
"200009_at" 6902 17356 7825 14086
"200010_at" 7161 15084 18134 16779
"200011_s_at" 5893 14630 3025 15399
"200012_x_at" 18569 14708 17437 3374
"200013_at" 9339 14209 8352 17025
"200014_s_at" 7712 7955 6182 5275
"200015_s_at" 8696 14592 7517 17936
"200016_x_at" 18834 14617 6014 4449
"200017_at" 6979 9806 6842 16344
"200018_at" 18445 9797 7240 13885
"200019_s_at" 8428 14045 6831 16614
"200020_at" 5598 15662 18194 21584
"200021_at" 18405 9925 6937 3313
"200022_at" 7691 9810 7244 17476
"200023_s_at" 6968 6563 5788 14182
"200024_at" 9237 6149 8404 17383
"200025_s_at" 6788 5674 4877 14580
"200026_at" 8253 9803 7762 4670
"200027_at" 8959 4960 6007 17209
"200028_s_at" 5827 7786 6055 14115
"200029_at" 18498 15872 17623 13952
"200030_s_at" 7960 6696 8236 14536
"200031_s_at" 8951 9835 8023 3820
"200032_s_at" 19817 10014 17723 14629
"200033_at" 6694 6456 4374 4635
"200034_s_at" 17950 6705 17300 4735
"200035_at" 8750 20580 2315 16130
"200036_s_at" 18732 16137 17335 14163
"200037_s_at" 5446 4618 4251 14513
"200038_s_at" 9219 9805 17450 16803
"200039_s_at" 18457 16876 18618 18006
"200040_at" 5566 15232 4872 15338
"200041_s_at" 9464 15581 19499 17319
"200042_at" 7034 16553 4997 4250
"200043_at" 7128 5588 3378 17280
"200044_at" 9007 7692 5801 16605
"200045_at" 8214 17522 5993 18148
"200046_at" 5245 7103 5237 13989
"200047_s_at" 5850 5570 4885 4379
