"inst_1686" "inst_1808" "inst_1850" "inst_7461"
"1007_s_at" 18077 6831 13219 15290
"1053_at" 17223 2898 18073 20885
"117_at" 6049 12199 1812 4723
"121_at" 19740 19765 22056 21741
"1255_g_at" 9346 13384 8520 10161
"1294_at" 13113 11862 3400 1621
"1316_at" 8939 16660 9951 12930
"1320_at" 11663 12198 7719 2579
"1405_i_at" 11825 14801 4560 4477
"1431_at" 10277 19811 2233 9588
"1438_at" 13347 15357 13441 1901
"1487_at" 21350 6210 3773 19963
"1494_f_at" 18562 6786 326 3316
"1598_g_at" 19044 1992 9965 14736
"160020_at" 17762 21265 67 533
"1729_at" 332 4315 1401 17341
"1773_at" 930 4613 2687 22247
"177_at" 11367 18761 4681 10429
"179_at" 17722 4900 21883 1529
"1861_at" 14525 4683 21978 3756
"200000_s_at" 16425 8703 1239 15590
"200001_at" 13280 4586 18108 16924
"200002_at" 13911 8674 18249 18308
"200003_s_at" 13843 20193 14693 13397
"200004_at" 16583 7686 18475 15964
"200005_at" 13646 8148 3873 13903
"200006_at" 13462 9057 14146 15962
"200007_at" 16403 8865 18403 15168
"200008_s_at" 1400 3641 19548 4213
"200009_at" 3745 8546 15955 14925
"200010_at" 13135 7698 15152 14601
"200011_s_at" 17974 5939 15059 16551
"200012_x_at" 12942 21245 4694 3174
"200013_at" 14046 10253 15316 14018
"200014_s_at" 15017 8400 18203 14597
"200015_s_at" 17400 5677 18652 17906
"200016_x_at" 13624 5940 4396 14539
"200017_at" 14555 19785 14800 16231
"200018_at" 13074 7528 15001 13428
"200019_s_at" 13886 9295 4069 14352
"200020_at" 18150 394 18559 15045
"200021_at" 2784 20984 3800 13218
"200022_at" 13372 8676 15196 2712
"200023_s_at" 17659 7070 4113 17269
"200024_at" 2678 8607 3111 13493
"200025_s_at" 15981 19933 16527 14441
"200026_at" 12813 9912 14226 3760
"200027_at" 15425 10048 14940 14368
"200028_s_at" 14467 7580 15035 16825
"200029_at" 13288 20947 15656 4147
"200030_s_at" 3254 9744 15259 14063
"200031_s_at" 14566 20449 4075 12720
"200032_s_at" 3264 19514 14552 4222
"200033_at" 14028 4938 16675 18171
"200034_s_at" 3521 20053 15478 14004
"200035_at" 20003 21359 2117 21632
"200036_s_at" 3037 19380 14563 14127
"200037_s_at" 14610 3768 2149 18585
"200038_s_at" 12976 19542 4682 14266
"200039_s_at" 13777 10210 17833 14889
"200040_at" 17518 6052 16514 19532
"200041_s_at" 13983 19974 18277 15848
