"inst_3111" "inst_5085" "inst_5510" "inst_6490"
"1007_s_at" 5913 3437 18913 13006
"1053_at" 9235 17742 1635 3122
"117_at" 5811 420 10973 10459
"121_at" 10426 15329 4059 2089
"1255_g_at" 13389 9481 3721 9209
"1294_at" 10813 21518 17319 21933
"1316_at" 2921 21343 18928 2840
"1320_at" 13998 5154 9661 10828
"1405_i_at" 10050 13546 8781 9740
"1431_at" 21121 16573 11027 20462
"1438_at" 319 20488 565 4647
"1487_at" 7594 5705 4036 14693
"1494_f_at" 12174 9376 2828 18187
"1598_g_at" 228 5749 2756 1571
"160020_at" 9195 4580 16604 21153
"1729_at" 4040 6558 20022 13633
"1773_at" 21406 18959 400 4378
"177_at" 10717 20411 1035 929
"179_at" 2102 21838 13044 22129
"1861_at" 21911 16099 3158 17401
"200000_s_at" 5980 3125 15619 4473
"200001_at" 3658 14644 18696 4868
"200002_at" 20097 6989 13266 4904
"200003_s_at" 15301 5117 14769 4752
"200004_at" 9581 6461 16662 17779
"200005_at" 7894 15947 16323 16226
"200006_at" 8771 4613 13560 13119
"200007_at" 10855 3724 15520 13830
"200008_s_at" 7525 20494 16166 21972
"200009_at" 5483 18957 11840 12443
"200010_at" 20571 5304 16651 15598
"200011_s_at" 6255 3090 17462 15830
"200012_x_at" 19829 7043 3466 3760
"200013_at" 12416 6526 11972 4229
"200014_s_at" 8618 15558 14460 16180
"200015_s_at" 6955 1892 13344 12573
"200016_x_at" 20413 14907 11980 13340
"200017_at" 15423 1706 3336 3542
"200018_at" 15410 7272 12227 5158
"200019_s_at" 11834 4802 15481 12611
"200020_at" 5489 15875 13715 13986
"200021_at" 13119 14147 6621 7437
"200022_at" 13144 5181 15887 4106
"200023_s_at" 11789 16046 13301 13847
"200024_at" 19915 6318 16710 4701
"200025_s_at" 20340 5926 12488 3675
"200026_at" 15537 14509 11998 4927
"200027_at" 8674 14918 15642 18023
"200028_s_at" 7347 15626 15164 5313
"200029_at" 13128 6981 4117 11965
"200030_s_at" 5482 15140 12506 15163
"200031_s_at" 15398 9250 4387 3806
"200032_s_at" 15426 3631 3367 3864
"200033_at" 12071 14571 16361 14934
"200034_s_at" 20314 7084 11486 5323
"200035_at" 1717 2901 4444 3181
"200036_s_at" 11931 4698 11666 12215
"200037_s_at" 11980 7110 15278 15057
"200038_s_at" 15512 7328 13708 13227
"200039_s_at" 3779 4963 4640 3683
"200040_at" 11164 4640 16573 16638
"200041_s_at" 6436 4279 13993 11910
"200042_at" 8940 4042 20641 17009
"200043_at" 10804 17161 2381 15108
"200044_at" 9244 15983 13222 13374
"200045_at" 8069 15056 15863 11923
"200046_at" 2866 16704 12777 15366
"200047_s_at" 10712 15400 16893 18493
"200048_s_at" 9044 14648 13368 12852
"200049_at" 10214 20204 13095 13506
"200050_at" 10640 5085 18530 15244
"200051_at" 7386 17167 19877 13404
"200052_s_at" 6767 3629 16345 18395
"200053_at" 4147 3852 15818 5131
"200054_at" 7112 14210 14243 4718
"200055_at" 6550 6472 2363 4577
"200056_s_at" 12297 16385 18401 19879
"200057_s_at" 10440 14670 14532 12894
"200058_s_at" 4630 6384 16322 15838
"200059_s_at" 12656 3780 13503 18262
"200060_s_at" 6336 4833 14475 12358
"200061_s_at" 15396 9249 3418 3789
"200062_s_at" 15286 9161 4745 7231
"200063_s_at" 20952 2446 3601 4446
"200064_at" 8567 15570 15683 17106
"200065_s_at" 6198 15245 18720 17629
"200066_at" 10417 2020 12690 12822
"200067_x_at" 12161 16809 14777 17571
"200068_s_at" 7494 16342 15524 13256
"200069_at" 3173 5700 18232 20815
"200070_at" 5662 6498 3733 12368
"200071_at" 2885 18879 12348 20932
"200072_s_at" 5881 16266 3972 17510
"200073_s_at" 21185 6833 12717 14261
"200074_s_at" 13111 6609 11950 14004
"200075_s_at" 9221 4496 14896 13790
"200076_s_at" 4361 2217 16280 13090
"200077_s_at" 20208 6138 12123 5267
"200078_s_at" 11546 15559 16388 15937
"200079_s_at" 3598 7303 14389 16058
"200080_s_at" 20699 14807 14718 15016
"200081_s_at" 20170 5820 14709 4093
"200082_s_at" 12747 5188 11712 5039
"200083_at" 7298 6437 20569 18618
"200084_at" 11355 17694 15575 20805
"200085_s_at" 6331 6329 12962 12411
"200086_s_at" 12068 14294 14930 12747
"200087_s_at" 11541 17986 20179 14077
"200088_x_at" 15295 16233 2995 3480
"200089_s_at" 20653 5827 4550 12332
"200090_at" 3308 15962 13912 12985
"200091_s_at" 20871 3498 12315 4338
"200092_s_at" 20577 3654 3916 2374
"200093_s_at" 10509 15557 14446 14986
"200094_s_at" 12257 4371 15349 12072
"200095_x_at" 15519 14116 4412 7431
"200096_s_at" 8247 5310 20077 4909
"200097_s_at" 8979 5240 18786 17511
"200098_s_at" 11267 5723 12869 14519
"200099_s_at" 15464 4752 11943 7389
"200593_s_at" 9228 17724 11988 13164
"200594_x_at" 6434 6677 15152 14604
"200595_s_at" 9358 16292 15229 16792
"200596_s_at" 19428 1245 12353 13096
"200597_at" 4820 1175 16807 4871
"200598_s_at" 8169 5099 14249 13087
"200599_s_at" 19431 6385 19104 16533
"200600_at" 10782 4800 3265 7992
"200601_at" 20150 6723 19638 13199
"200602_at" 19482 1460 16469 2417
"200603_at" 12286 15732 19781 16040
"200604_s_at" 8077 19501 12732 17091
"200605_s_at" 7191 5933 12753 20700
"200606_at" 15749 3580 16739 20010
"200607_s_at" 7007 17794 13888 15255
"200608_s_at" 19939 14403 16384 19004
"200609_s_at" 3875 2003 13393 17610
"200610_s_at" 13226 5306 11512 5161
"200611_s_at" 6305 5403 13611 13636
"200612_s_at" 19574 16998 1763 2219
"200613_at" 9355 6715 12653 4690
"200614_at" 7841 5482 12573 14299
"200615_s_at" 3716 6711 4440 16690
"200616_s_at" 5002 5058 13120 4925
"200617_at" 8465 4519 18180 12263
"200618_at" 5243 2173 16940 4089
"200619_at" 13020 4185 12802 16507
"200620_at" 9505 3948 20792 17880
"200621_at" 6559 15562 17948 12185
"200622_x_at" 3026 16456 17342 4268
"200623_s_at" 11968 6200 12866 3294
"200624_s_at" 5959 7072 15571 16976
"200625_s_at" 10279 6051 15955 13218
"200626_s_at" 12917 6584 18881 16366
"200627_at" 10961 5931 12825 17457
"200628_s_at" 9990 18320 2079 18543
"200629_at" 2779 19232 11864 14225
"200630_x_at" 10062 5334 13103 12009
"200631_s_at" 7434 3746 15428 15243
"200632_s_at" 8876 2965 2025 3628
"200633_at" 12148 16366 11775 7322
"200634_at" 10987 6577 18073 12336
"200635_s_at" 16474 16124 12246 12775
"200636_s_at" 17661 1256 4540 12585
"200637_s_at" 15161 19833 2282 5279
"200638_s_at" 7455 16578 14350 18768
"200639_s_at" 5918 4267 14312 15587
"200640_at" 6599 15997 16639 15971
"200641_s_at" 9318 19588 16681 20475
"200642_at" 9060 3809 12958 13946
"200643_at" 11768 684 13087 2601
"200644_at" 12353 3836 13630 11927
"200645_at" 6466 14730 18063 12001
"200646_s_at" 21796 2697 13071 2452
"200647_x_at" 5625 3644 4206 12005
"200648_s_at" 7301 5297 2372 3567
"200649_at" 3577 1049 3446 2331
"200650_s_at" 20436 14996 11637 16023
"200651_at" 20440 5687 11565 11968
"200652_at" 13101 17945 13961 12907
"200653_s_at" 10696 2716 12540 2693
"200654_at" 9618 7025 4267 17289
"200655_s_at" 6065 3557 3565 13325
"200656_s_at" 12784 1344 15201 16810
"200657_at" 11577 17037 13554 12850
"200658_s_at" 9940 5113 13032 5248
"200659_s_at" 21760 18176 18597 22228
"200660_at" 13138 14731 4223 4712
"200661_at" 3543 16874 4193 13376
"200662_s_at" 9092 3367 17136 16473
"200663_at" 7619 14193 12730 3440
"200664_s_at" 2149 17183 4698 19950
"200665_s_at" 13617 12105 5182 9729
"200666_s_at" 12718 17257 11501 17793
"200667_at" 6370 6880 15269 14495
"200668_s_at" 7760 14040 15311 15031
