"inst_1586" "inst_3203" "inst_4644" "inst_5242" "inst_5605"
"1007_s_at" 20884 20728 12722 12506 4891
"1053_at" 4348 18965 17704 16717 19211
"117_at" 747 7560 11147 10764 10101
"121_at" 2122 1941 21425 2046 13905
"1255_g_at" 15813 9052 9386 8940 9569
"1294_at" 4526 18001 18200 20511 3947
"1316_at" 792 3125 1693 392 18162
"1320_at" 16145 7473 13749 20681 19895
"1405_i_at" 210 9390 18431 2675 1138
"1431_at" 11906 15574 3629 11461 13771
"1438_at" 17782 1202 22263 16110 3018
"1487_at" 3064 19022 20099 15321 12224
"1494_f_at" 2126 437 4489 13778 14615
"1598_g_at" 4685 4832 14874 4692 2736
"160020_at" 6174 19489 20769 4818 16231
"1729_at" 8273 18597 20020 18217 21453
"1773_at" 4419 4613 20501 21510 4505
"177_at" 8418 6570 1177 14215 2878
"179_at" 3080 19294 21457 2108 5573
"1861_at" 7449 18430 14450 14656 13184
"200000_s_at" 19525 15319 19085 15352 18671
"200001_at" 6863 15060 15860 12100 15417
"200002_at" 7401 14736 11262 11871 5065
"200003_s_at" 7943 8226 7021 11482 7894
"200004_at" 5008 15619 14799 16028 12992
"200005_at" 7391 14071 16099 15230 12130
"200006_at" 5582 5805 11330 4834 13286
"200007_at" 8193 14074 4205 2778 4711
"200008_s_at" 21377 6362 20487 3951 16625
"200009_at" 8126 4486 17172 4257 15149
"200010_at" 7573 14050 18086 13475 14355
"200011_s_at" 6372 19289 14824 13453 14989
"200012_x_at" 19700 5290 4316 4066 4901
"200013_at" 7205 5664 12638 13083 4927
"200014_s_at" 4906 6085 11139 12835 16869
"200015_s_at" 4724 13213 3029 15903 5241
"200016_x_at" 3084 16314 4696 12205 13743
"200017_at" 2428 8320 5061 7382 8014
"200018_at" 5877 8311 7104 14474 8005
"200019_s_at" 19376 14212 5172 15518 5047
"200020_at" 21047 5434 15879 13024 13837
"200021_at" 22126 8398 7213 7562 8142
"200022_at" 7915 13291 12891 12325 7916
"200023_s_at" 5532 13172 3557 13759 14081
"200024_at" 19233 5798 11019 3185 4640
"200025_s_at" 5787 15739 4754 13309 4054
"200026_at" 3013 8400 4371 5063 8148
"200027_at" 6870 14891 4971 12552 12085
"200028_s_at" 20584 5377 11225 12263 14171
"200029_at" 7335 5226 4610 2599 2605
"200030_s_at" 20898 5088 4129 4014 6105
"200031_s_at" 19201 8303 7090 7349 7997
"200032_s_at" 7866 8322 4040 7388 8017
"200033_at" 5212 13402 2883 14346 16975
"200034_s_at" 5201 13000 16482 5046 12243
"200035_at" 20948 21744 21239 21600 14513
"200036_s_at" 6410 4346 3327 12661 5006
"200037_s_at" 1728 6132 4160 17412 15055
"200038_s_at" 7388 14673 4490 4964 8119
"200039_s_at" 7092 14786 12807 13363 14385
"200040_at" 4298 16746 13620 15347 15241
"200041_s_at" 6437 5759 14227 2797 13331
"200042_at" 8188 12766 16806 15125 17433
"200043_at" 6178 13900 4028 13536 4317
"200044_at" 3547 14903 15601 15033 13676
"200045_at" 21739 13923 15669 14779 13823
"200046_at" 22026 14987 11131 14438 13747
"200047_s_at" 2020 15234 2594 13320 6200
"200048_s_at" 5467 16122 2939 14539 16197
"200049_at" 21337 19267 19403 12795 5053
"200050_at" 4218 17084 13584 19058 20990
"200051_at" 1254 19300 21122 19949 13674
"200052_s_at" 7889 14147 17538 4505 12703
"200053_at" 21330 20034 17797 3646 3211
"200054_at" 8381 15734 14306 18587 15856
"200055_at" 20042 17499 12421 3528 4309
"200056_s_at" 640 21014 12232 19649 12338
"200057_s_at" 5172 13511 2708 12425 6027
"200058_s_at" 20075 13968 17664 15722 3534
"200059_s_at" 4000 4120 12658 13619 5716
"200060_s_at" 1115 17241 13191 13662 16189
"200061_s_at" 7550 8301 7089 7347 7995
"200062_s_at" 7094 8212 7005 7211 7881
"200063_s_at" 3971 8355 5123 7440 8052
"200064_at" 20878 4499 18244 14327 14139
"200065_s_at" 21374 14410 15672 11774 12662
"200066_at" 21683 14029 20423 14141 13140
"200067_x_at" 6079 14857 3592 13478 6319
"200068_s_at" 8109 6229 14746 16694 13429
"200069_at" 4998 15794 14319 3430 12423
"200070_at" 863 18677 11494 12723 19854
"200071_at" 1088 3525 3107 14336 14765
"200072_s_at" 7027 6277 19933 16769 14207
"200073_s_at" 3208 17675 12380 4514 13407
"200074_s_at" 4858 15262 12910 16288 14939
"200075_s_at" 7135 16267 14897 11579 12489
"200076_s_at" 21864 15062 18896 3552 17840
"200077_s_at" 7628 15843 12218 14481 15159
"200078_s_at" 7199 15043 11145 16065 17640
"200079_s_at" 21223 13064 14792 3139 13899
"200080_s_at" 3315 13747 3468 15029 8046
"200081_s_at" 20528 4820 15737 11829 4408
"200082_s_at" 5100 5662 13091 3950 8037
"200083_at" 4550 15000 14115 18235 14217
"200084_at" 4070 17051 13329 15917 12227
"200085_s_at" 21134 13472 11589 3137 5218
"200086_s_at" 1844 6489 3471 13985 16896
"200087_s_at" 3669 14998 18204 17965 13481
"200088_x_at" 20206 8222 7015 7227 7891
"200089_s_at" 4619 12994 14426 4663 5466
"200090_at" 1539 15729 12728 13299 13116
"200091_s_at" 1022 13956 16194 15229 6205
"200092_s_at" 3848 12821 13562 12185 8065
"200093_s_at" 3479 19111 11468 14980 5230
"200094_s_at" 5049 5721 18736 14778 6311
"200095_x_at" 7891 8394 7203 7549 8129
"200096_s_at" 3886 17562 4523 13963 16194
"200097_s_at" 1867 5516 11067 19427 16335
"200098_s_at" 6472 6300 2997 13640 4692
"200099_s_at" 6984 8362 2603 7464 8071
"200593_s_at" 4337 2230 17783 14365 6278
"200594_x_at" 3574 16459 16949 18119 13153
"200595_s_at" 2697 14674 15255 18826 13380
"200596_s_at" 8546 4424 20045 18857 5594
"200597_at" 1442 16804 15277 19666 5893
"200598_s_at" 6021 14424 1903 11530 16391
"200599_s_at" 5719 6407 18571 13705 19637
"200600_at" 4441 810 19741 494 7388
"200601_at" 21663 18204 17467 1594 1892
"200602_at" 1476 2139 13446 19111 18040
"200603_at" 1177 13084 12384 17753 13578
"200604_s_at" 7753 15646 20029 18907 17229
