"inst_1678" "inst_1800" "inst_1842" "inst_5052" "inst_5471"
"1007_s_at" 4073 18486 7822 5196 5962
"1053_at" 5578 20887 17059 19613 4531
"117_at" 10064 9300 13256 646 1489
"121_at" 5035 5965 18238 2615 1867
"1255_g_at" 12827 10889 3975 10579 8628
"1294_at" 18339 9197 20851 4544 15501
"1316_at" 11358 13141 6180 3369 21754
"1320_at" 7693 11656 3787 16295 12693
"1405_i_at" 9120 12148 13107 2853 11218
"1431_at" 12067 21440 7710 17196 18687
"1438_at" 343 6387 10047 666 1431
"1487_at" 6069 20849 18365 4540 20982
"1494_f_at" 19163 1111 277 748 20695
"1598_g_at" 21473 2070 7618 1473 14872
"160020_at" 21539 3501 3205 1483 20459
"1729_at" 6848 2287 19839 12940 4896
"1773_at" 1148 5180 11249 21822 15890
"177_at" 9005 3934 14187 20838 8875
"179_at" 1076 21319 21623 21635 2526
"1861_at" 3844 3033 14727 17218 19761
"200000_s_at" 19622 21004 19159 14283 20467
"200001_at" 16087 17144 18270 14439 13487
"200002_at" 6144 6469 512 6584 5138
"200003_s_at" 7047 18588 11462 8684 5878
"200004_at" 5860 7002 14491 6146 16257
"200005_at" 17887 4537 13176 4926 18189
"200006_at" 16875 20083 13161 14049 6549
"200007_at" 3044 4770 13620 15428 4114
"200008_s_at" 1414 3529 14560 20502 5670
"200009_at" 7002 17408 12724 4942 15887
"200010_at" 5932 6252 648 15376 5548
"200011_s_at" 18600 17911 16704 2943 16856
"200012_x_at" 17003 18836 623 4405 6326
"200013_at" 6794 18030 11799 17277 14514
"200014_s_at" 17568 16732 11723 16219 15110
"200015_s_at" 5238 19710 12313 19223 16013
"200016_x_at" 5045 3830 551 6435 6129
"200017_at" 5852 16578 705 20425 6018
"200018_at" 16973 5362 11494 15495 6435
"200019_s_at" 16004 3900 968 13338 15745
"200020_at" 18181 20688 12432 3264 14928
"200021_at" 4440 4769 355 8875 8454
"200022_at" 6666 16486 881 14158 3368
"200023_s_at" 6095 4146 11058 5849 5757
"200024_at" 4612 16483 11601 15137 13706
"200025_s_at" 5430 6940 583 13462 14883
"200026_at" 16097 6523 11016 12981 4901
"200027_at" 18043 18513 13243 15519 15905
"200028_s_at" 16089 3463 12344 14357 14118
"200029_at" 2766 16767 455 6803 5146
"200030_s_at" 16260 6678 12033 5759 14054
"200031_s_at" 6647 6002 964 8761 17227
"200032_s_at" 17441 19434 906 16065 15389
"200033_at" 7017 17084 14573 12713 6350
"200034_s_at" 5499 18831 11149 18181 18723
"200035_at" 21557 4672 19329 2217 21449
"200036_s_at" 4286 6145 486 15509 15342
"200037_s_at" 4095 7128 16703 14113 15125
"200038_s_at" 6788 7563 836 14408 13569
"200039_s_at" 6363 18548 11065 17382 16209
"200040_at" 6059 5984 11030 13104 16532
"200041_s_at" 5146 18977 12740 5349 6119
"200042_at" 6790 17578 17307 15274 15338
"200043_at" 18226 3013 16383 19637 16741
"200044_at" 4480 16461 12096 17650 6512
"200045_at" 19816 20089 17526 3410 17410
"200046_at" 2082 19984 12655 13566 5175
"200047_s_at" 6884 7419 11445 17735 4249
"200048_s_at" 16819 5996 10899 12954 14602
"200049_at" 18758 19724 13901 3209 1788
"200050_at" 4788 2115 14877 13899 2903
"200051_at" 19378 5213 20348 16638 20525
"200052_s_at" 4985 17750 13287 15608 15933
"200053_at" 5727 4664 18219 6274 18371
"200054_at" 20719 17899 19436 14626 20761
"200055_at" 2227 18293 12845 13939 16182
"200056_s_at" 6413 2065 19458 19581 15252
"200057_s_at" 5490 4972 11179 4727 5817
"200058_s_at" 6644 17887 12816 4932 13688
"200059_s_at" 2514 5312 541 17153 14590
"200060_s_at" 5584 3376 13780 17411 18570
"200061_s_at" 6456 17458 417 8760 5487
"200062_s_at" 6538 6934 11071 8674 8327
"200063_s_at" 3140 18329 133 16548 8414
"200064_at" 4836 16760 524 5436 13821
"200065_s_at" 16063 17584 835 6732 18164
"200066_at" 3923 6999 15574 17512 5606
"200067_x_at" 5083 16726 12669 15039 15986
"200068_s_at" 5790 6971 10861 4572 5415
"200069_at" 5297 1307 15811 15795 18152
"200070_at" 19660 5818 21316 3537 17377
"200071_at" 4769 18454 13479 15587 16728
"200072_s_at" 4124 5079 11660 6162 18011
"200073_s_at" 3614 7490 10906 17855 15712
"200074_s_at" 6584 17538 11713 15204 16461
"200075_s_at" 16104 19303 18714 14680 3686
"200076_s_at" 19323 5497 19462 5528 4996
"200077_s_at" 4015 4652 501 16277 5863
"200078_s_at" 6462 4008 11816 13515 13862
"200079_s_at" 18482 17345 15647 13164 5973
"200080_s_at" 4971 17334 11791 5813 6346
"200081_s_at" 3854 6996 826 16913 14182
"200082_s_at" 15974 16936 11395 17284 4503
"200083_at" 4839 4582 12813 3515 5948
"200084_at" 5484 2485 14262 15517 17703
"200085_s_at" 5435 18191 12106 14125 6479
"200086_s_at" 16183 17997 13268 15877 13577
"200087_s_at" 15916 17177 16523 12902 3424
"200088_x_at" 7097 7260 719 13361 5612
"200089_s_at" 5679 17266 10999 16527 14127
"200090_at" 18803 5674 14642 15154 15523
"200091_s_at" 4022 5483 11484 21104 16418
"200092_s_at" 6369 17402 798 13864 4152
"200093_s_at" 4854 6907 16379 17434 15094
"200094_s_at" 4153 17147 720 17399 18968
"200095_x_at" 16319 4411 778 8863 14412
"200096_s_at" 2449 7319 17884 20388 18893
"200097_s_at" 6344 3825 17090 5519 4467
"200098_s_at" 16878 18132 12114 16177 16877
"200099_s_at" 6194 19656 11417 16341 5052
"200593_s_at" 6298 5681 13218 16895 14280
"200594_x_at" 17723 5035 11949 5481 14466
"200595_s_at" 6224 1387 11283 15343 14398
"200596_s_at" 18861 5257 12801 5998 14239
"200597_at" 21684 21229 16123 1730 5834
"200598_s_at" 4934 17924 19245 20396 13618
"200599_s_at" 18221 17508 16022 13782 3837
"200600_at" 9923 19552 12235 6698 8809
"200601_at" 6911 346 159 20175 13563
"200602_at" 1245 6071 16007 3198 2394
"200603_at" 2971 4588 14382 16589 18021
"200604_s_at" 2580 1634 19240 19167 4006
"200605_s_at" 2251 1549 11402 21220 4149
"200606_at" 2613 7063 2866 18906 16262
"200607_s_at" 3739 6552 12562 17092 5108
"200608_s_at" 5043 6290 13338 20834 14131
"200609_s_at" 20744 17675 11248 15565 2791
"200610_s_at" 4942 6064 295 15032 17607
"200611_s_at" 4674 3887 15729 13785 13861
"200612_s_at" 1615 21169 18623 3664 2052
"200613_at" 5522 6751 20977 5012 13872
"200614_at" 16814 5283 11318 15465 6541
"200615_s_at" 6253 6632 12294 14479 4687
"200616_s_at" 19628 4002 16928 5316 14614
"200617_at" 16381 19611 15365 4988 15121
"200618_at" 18649 3498 13864 2739 6234
"200619_at" 5591 4535 15425 3954 5421
"200620_at" 4746 5030 12527 15475 6371
"200621_at" 19293 19426 16277 13589 15447
"200622_x_at" 18606 16629 18390 16851 3369
"200623_s_at" 20513 20261 19136 3597 15670
"200624_s_at" 1203 2362 12615 18153 20298
"200625_s_at" 16325 2236 11504 5774 5001
"200626_s_at" 7034 449 15364 5893 13673
"200627_at" 6022 19274 11991 17459 6008
"200628_s_at" 2562 1536 20055 21181 13787
"200629_at" 19328 5354 19055 1876 5339
"200630_x_at" 4242 19295 12866 6589 4322
"200631_s_at" 6354 3041 670 6478 4207
"200632_s_at" 20196 16731 547 1520 20634
"200633_at" 16415 6415 11456 8759 6043
"200634_at" 4448 3589 11151 16425 15547
"200635_s_at" 18676 21430 2533 2496 18265
"200636_s_at" 19287 18687 4157 19465 19202
