"inst_1426" "inst_2110" "inst_2273" "inst_6345"
"1007_s_at" 912 19826 5370 6306
"1053_at" 20311 17685 8710 6886
"117_at" 1873 13282 1626 13225
"121_at" 4518 18126 19237 3800
"1255_g_at" 7950 10115 10404 10163
"1294_at" 15256 11141 7699 20813
"1316_at" 19179 1203 20853 5804
"1320_at" 6547 14556 992 13102
"1405_i_at" 21254 6304 15220 13595
"1431_at" 7277 19771 16985 19728
"1438_at" 11194 19557 18709 16708
"1487_at" 15457 21411 4597 20113
"1494_f_at" 21584 1404 22176 16869
"1598_g_at" 21489 16992 1692 927
"160020_at" 21372 19854 2580 6765
"1729_at" 1947 2474 2638 22088
"1773_at" 20741 5356 2469 3338
"177_at" 256 11115 12372 10332
"179_at" 4614 18790 20057 327
"1861_at" 15799 2354 5873 3295
"200000_s_at" 18832 20695 16712 2343
"200001_at" 18722 14739 6314 6516
"200002_at" 17073 4896 7634 6996
"200003_s_at" 3688 4392 11832 5642
"200004_at" 17942 16581 7162 6534
"200005_at" 20594 5399 7875 3696
"200006_at" 16796 5414 8117 6373
"200007_at" 15972 3780 17249 16521
"200008_s_at" 14887 1845 17161 16429
"200009_at" 4618 5168 9628 6065
"200010_at" 16698 4919 16290 16131
"200011_s_at" 3555 18472 6571 6912
"200012_x_at" 2980 5625 17925 15748
"200013_at" 15253 4555 16411 6562
"200014_s_at" 20039 15400 4575 16637
"200015_s_at" 16265 14724 8899 16966
"200016_x_at" 3735 16419 16545 7972
"200017_at" 20745 4115 11713 6143
"200018_at" 4066 14429 12066 17222
"200019_s_at" 3719 15040 8249 16376
"200020_at" 4605 20335 4705 7664
"200021_at" 21135 3117 12017 10747
"200022_at" 3227 3479 11930 6391
"200023_s_at" 3748 4006 7643 7371
"200024_at" 4030 5114 8054 6056
"200025_s_at" 17012 4492 7785 4989
"200026_at" 21289 14693 11922 6655
"200027_at" 19808 4584 7551 7414
"200028_s_at" 17349 16287 9342 17732
"200029_at" 14838 14518 16548 15694
"200030_s_at" 16192 4204 9024 16002
"200031_s_at" 15409 15038 11727 15766
"200032_s_at" 19545 14792 11899 4950
"200033_at" 19007 5632 9603 6780
"200034_s_at" 16791 5288 9351 7459
"200035_at" 863 21735 2065 4883
"200036_s_at" 15628 14674 16866 7662
"200037_s_at" 21355 15562 16596 16409
"200038_s_at" 1821 5624 11860 7833
"200039_s_at" 15261 14647 8727 17380
"200040_at" 21247 18571 8901 7136
"200041_s_at" 19127 19584 5575 17609
"200042_at" 4441 15854 4226 5958
"200043_at" 16304 2841 17555 3544
"200044_at" 20457 17870 7291 5521
"200045_at" 3926 15208 4193 16138
"200046_at" 14935 14808 7490 6066
"200047_s_at" 18856 15338 16273 4801
"200048_s_at" 18295 15886 8514 4414
"200049_at" 2574 3994 6110 19179
"200050_at" 20354 15254 16040 5020
"200051_at" 19114 21939 17483 17920
"200052_s_at" 18456 4348 16044 6738
"200053_at" 19233 4677 17775 6400
"200054_at" 16663 21248 5329 5280
"200055_at" 17590 18831 7804 15803
"200056_s_at" 22112 18211 17221 17917
"200057_s_at" 15586 4201 6310 16543
"200058_s_at" 19321 15429 9012 16044
"200059_s_at" 19943 2263 17884 18572
"200060_s_at" 16392 14851 17680 5000
"200061_s_at" 2255 4595 11829 15607
"200062_s_at" 18299 15017 11777 10420
"200063_s_at" 4270 4505 11988 17404
"200064_at" 4163 4730 7708 19220
"200065_s_at" 2855 14594 6911 18585
"200066_at" 18769 17561 17858 20230
"200067_x_at" 4390 4291 9231 16782
"200068_s_at" 3151 14855 9689 5348
"200069_at" 1850 18449 8301 16668
"200070_at" 17628 19206 19097 21778
"200071_at" 21830 2545 9154 7777
"200072_s_at" 16885 14764 17664 18728
"200073_s_at" 21749 4195 5838 16774
"200074_s_at" 18220 15018 16951 8023
"200075_s_at" 17238 17391 7256 5279
"200076_s_at" 16391 18505 2915 5767
"200077_s_at" 18892 3393 9071 6910
"200078_s_at" 3601 17187 8206 4761
"200079_s_at" 17380 16512 7815 16239
"200080_s_at" 20192 5831 16805 15994
"200081_s_at" 2975 14682 9873 4076
"200082_s_at" 18823 4423 9641 16178
"200083_at" 19130 18574 5171 18891
"200084_at" 18372 5122 16191 16522
"200085_s_at" 15128 15683 16957 6331
"200086_s_at" 18594 4099 7554 16191
"200087_s_at" 16325 16178 7801 5709
"200088_x_at" 2583 5025 11835 6572
"200089_s_at" 20048 16710 17177 7146
"200090_at" 21062 2517 3543 18935
"200091_s_at" 20653 5095 17095 2437
"200092_s_at" 2515 14734 18605 4005
"200093_s_at" 15645 4450 5238 15637
"200094_s_at" 19820 17128 8783 4262
"200095_x_at" 3330 14504 11979 10729
"200096_s_at" 4414 3327 7140 6080
"200097_s_at" 20451 18657 9228 2752
"200098_s_at" 18652 18506 8079 5549
"200099_s_at" 18392 16556 12032 7078
"200593_s_at" 3272 16684 16247 3258
"200594_x_at" 18868 18216 8604 16149
"200595_s_at" 19779 19358 17029 3395
"200596_s_at" 3090 18218 16484 4959
"200597_at" 22226 19381 1445 20196
"200598_s_at" 4300 410 7914 3050
"200599_s_at" 16680 14870 17781 5588
"200600_at" 20020 17633 5613 4221
"200601_at" 20179 17939 20217 5624
"200602_at" 22206 3267 4867 842
"200603_at" 15320 16843 7131 6494
"200604_s_at" 18250 1888 6563 20895
"200605_s_at" 676 4936 20252 19772
"200606_at" 6666 1247 3900 7065
"200607_s_at" 17200 1056 19892 2713
"200608_s_at" 22239 16151 16792 16058
"200609_s_at" 19146 15958 6410 2565
"200610_s_at" 20087 15031 18587 6628
"200611_s_at" 2521 14541 6965 6392
"200612_s_at" 185 3345 5263 1732
"200613_at" 17363 15643 6546 7218
"200614_at" 16310 5053 9672 16758
"200615_s_at" 1391 15033 16437 2817
"200616_s_at" 2835 3863 6740 2908
"200617_at" 3615 17981 3997 16276
"200618_at" 16067 17873 3247 7486
"200619_at" 4369 19843 5536 3592
"200620_at" 4168 3588 9139 4878
"200621_at" 1472 14740 7494 15858
"200622_x_at" 18371 3759 7329 3745
"200623_s_at" 16387 20738 16945 17971
"200624_s_at" 3699 15582 16378 17687
"200625_s_at" 17915 5101 5072 4789
"200626_s_at" 21467 5217 3825 2774
"200627_at" 19791 3289 9775 17498
"200628_s_at" 17520 3885 6996 2604
"200629_at" 19886 15403 3107 3374
"200630_x_at" 2653 14745 18558 4635
"200631_s_at" 16134 5735 6343 6661
"200632_s_at" 1011 3302 17886 5225
"200633_at" 14937 3306 12037 16300
"200634_at" 15185 4139 8744 18044
"200635_s_at" 8221 19991 3087 2804
"200636_s_at" 3978 18778 16665 3458
"200637_s_at" 11806 4668 8477 967
"200638_s_at" 18593 5199 8083 7819
"200639_s_at" 17139 20006 17962 3104
"200640_at" 18881 4521 7352 6052
"200641_s_at" 14700 1573 16837 15999
"200642_at" 18846 5087 8503 17681
"200643_at" 19906 21466 3653 16329
"200644_at" 18597 2533 8987 3318
"200645_at" 17767 4209 2761 17243
"200646_s_at" 17048 738 4912 22036
"200647_x_at" 17331 14462 18101 18377
"200648_s_at" 17995 3263 17047 4355
"200649_at" 3476 2931 4601 20796
"200650_s_at" 18165 4761 9098 16039
"200651_at" 17128 4249 11848 16021
"200652_at" 14952 2037 3863 16727
"200653_s_at" 21448 3130 17868 4062
"200654_at" 18493 16506 6658 5258
"200655_s_at" 19379 16379 18462 16465
"200656_s_at" 19903 19782 16371 4912
"200657_at" 15724 5299 9833 16421
"200658_s_at" 18826 14841 7539 18813
"200659_s_at" 19535 5931 7130 17010
"200660_at" 20787 5062 17958 7756
"200661_at" 16148 16841 8641 6649
"200662_s_at" 17903 3292 5537 4399
