"inst_1344" "inst_3280" "inst_4222" "inst_4806"
"1007_s_at" 7607 7858 10663 12378
"1053_at" 18699 5570 4470 12209
"117_at" 5220 9674 21018 14921
"121_at" 20353 16947 9284 7804
"1255_g_at" 13196 11771 13190 15169
"1294_at" 1644 5767 21662 10241
"1316_at" 17362 21045 22195 21055
"1320_at" 11445 12560 5581 1407
"1405_i_at" 4069 11806 21928 19154
"1431_at" 11168 12473 4707 21838
"1438_at" 16266 8258 6539 500
"1487_at" 1638 5341 7426 3762
"1494_f_at" 7885 1034 3117 11268
"1598_g_at" 1611 5155 4164 6404
"160020_at" 4867 50 21818 101
"1729_at" 3814 300 10350 4485
"1773_at" 20762 2252 5189 950
"177_at" 4751 9931 1388 11494
"179_at" 21541 3310 4812 1249
"1861_at" 7358 4275 18237 6923
"200000_s_at" 17923 17540 3843 7680
"200001_at" 5796 2804 6059 5999
"200002_at" 6605 3958 17355 13331
"200003_s_at" 19281 6606 17475 11105
"200004_at" 5490 7495 9007 6320
"200005_at" 5535 7369 7404 4694
"200006_at" 5970 8553 17569 12569
"200007_at" 3657 16953 10277 12385
"200008_s_at" 22048 19959 19339 574
"200009_at" 6051 19224 19088 11290
"200010_at" 17949 5547 11479 10829
"200011_s_at" 2024 3382 5994 8575
"200012_x_at" 8027 20674 19152 21270
"200013_at" 17610 7802 19004 12777
"200014_s_at" 5779 18906 18405 8562
"200015_s_at" 6232 9085 9720 9122
"200016_x_at" 7750 8135 11654 12747
"200017_at" 7848 11946 13962 13041
"200018_at" 17582 11925 11737 12749
"200019_s_at" 6020 6043 11232 11190
"200020_at" 916 16966 9309 10969
"200021_at" 21154 17400 14003 20411
"200022_at" 18168 9148 20670 13546
"200023_s_at" 6146 4268 8923 11088
"200024_at" 18201 8026 10468 11129
"200025_s_at" 6705 16907 17874 20670
"200026_at" 18802 8990 18935 20949
"200027_at" 5917 18033 19268 9545
"200028_s_at" 2303 18707 10172 11891
"200029_at" 17695 17306 18606 20230
"200030_s_at" 6293 17228 9662 12028
"200031_s_at" 18799 11908 13956 20587
"200032_s_at" 17920 11953 11380 21059
"200033_at" 20281 17724 9854 9025
"200034_s_at" 17719 17661 8189 12970
"200035_at" 14 2043 3516 3226
"200036_s_at" 17750 6505 17681 12985
"200037_s_at" 6467 5740 19848 11100
"200038_s_at" 17415 8662 19086 12162
"200039_s_at" 17715 8495 11114 12126
"200040_at" 4144 6394 8944 11064
"200041_s_at" 3258 18637 3864 6381
"200042_at" 18606 4143 6409 9166
"200043_at" 6962 16739 7141 7878
"200044_at" 6550 4534 9985 9956
"200045_at" 3617 18087 6071 10526
"200046_at" 6369 3555 10660 9064
"200047_s_at" 3121 6637 17471 10015
"200048_s_at" 4614 4999 9090 12138
"200049_at" 7191 5395 9140 2921
"200050_at" 19435 17484 18776 10400
