"inst_1618" "inst_3233" "inst_5314" "inst_6715"
"1007_s_at" 4085 5774 13534 5893
"1053_at" 493 4556 14233 20338
"117_at" 9605 15255 12232 7763
"121_at" 19676 17074 13941 7582
"1255_g_at" 10459 14086 4292 15257
"1294_at" 21460 20286 6678 17710
"1316_at" 8074 1446 9187 17007
"1320_at" 7226 14485 5872 18377
"1405_i_at" 1457 14712 6347 19814
"1431_at" 5920 19477 7167 21797
"1438_at" 6740 1143 19001 20994
"1487_at" 20198 2657 4002 9204
"1494_f_at" 2563 903 9309 19430
"1598_g_at" 1019 21103 18630 10230
"160020_at" 20961 20684 6802 18913
"1729_at" 22241 17018 14117 7733
"1773_at" 7595 4570 2392 21811
"177_at" 17228 11578 6311 5940
"179_at" 21783 1021 1586 21058
"1861_at" 12569 3226 223 20318
"200000_s_at" 16477 18416 15927 20648
"200001_at" 19754 4955 19879 20010
"200002_at" 2643 16700 13886 20490
"200003_s_at" 4195 11838 3021 18678
"200004_at" 19550 18054 2666 8979
"200005_at" 4899 8617 19087 18109
"200006_at" 2597 8864 13857 8401
"200007_at" 4547 9641 17318 3430
"200008_s_at" 2855 4100 16818 22232
"200009_at" 19911 7205 15836 16319
"200010_at" 17355 8370 16126 22154
"200011_s_at" 18365 8380 16880 8831
"200012_x_at" 3785 17627 15656 10756
"200013_at" 2599 17390 13728 19236
"200014_s_at" 2052 16881 3154 6934
"200015_s_at" 2311 8622 15057 3403
"200016_x_at" 18497 9957 13622 6916
"200017_at" 1538 11928 2914 9985
"200018_at" 2351 16356 2313 18245
"200019_s_at" 19361 16561 2598 18684
"200020_at" 18931 4550 17766 7926
"200021_at" 17229 12008 13477 12498
"200022_at" 4913 9844 17750 21682
"200023_s_at" 4803 7316 14206 7422
"200024_at" 4249 17222 14691 18081
"200025_s_at" 16707 18769 3149 8290
"200026_at" 752 12011 2184 16243
"200027_at" 4643 7433 17911 4143
"200028_s_at" 4721 6356 15410 2156
"200029_at" 3479 18165 15660 16122
"200030_s_at" 16208 18800 16324 9720
"200031_s_at" 3105 11913 4030 12444
"200032_s_at" 2065 11930 3209 9111
"200033_at" 2641 16974 3393 6687
"200034_s_at" 787 17538 15517 19111
"200035_at" 3440 17727 2456 9059
"200036_s_at" 16380 5442 14460 9816
"200037_s_at" 1427 6069 17147 5383
"200038_s_at" 4815 16552 13880 18565
"200039_s_at" 3217 9833 17190 18258
"200040_at" 21225 9400 16304 6333
"200041_s_at" 3976 4654 15486 19634
"200042_at" 16744 10038 14706 10096
"200043_at" 4228 18335 19636 10044
"200044_at" 4035 7701 3275 10497
"200045_at" 1518 7325 18549 7161
"200046_at" 18210 4777 16887 19057
"200047_s_at" 16101 9449 15529 3244
"200048_s_at" 17284 8658 13676 4262
"200049_at" 21393 18785 2833 16862
"200050_at" 4028 3943 2128 7802
"200051_at" 18074 17133 2653 9189
"200052_s_at" 1514 7387 19430 21192
"200053_at" 21106 8452 18718 21546
"200054_at" 4694 16764 16719 8136
"200055_at" 19249 19474 18019 17659
"200056_s_at" 318 3172 1486 3340
"200057_s_at" 2618 9778 20423 5625
"200058_s_at" 4797 16653 17636 9451
"200059_s_at" 2816 8795 17334 18529
"200060_s_at" 339 7805 17465 7892
"200061_s_at" 18194 11912 3826 18182
"200062_s_at" 16223 11824 3026 12398
"200063_s_at" 18395 17840 16263 12464
"200064_at" 4407 9740 18245 19963
"200065_s_at" 16560 6800 17434 20102
"200066_at" 21354 9363 16788 20601
"200067_x_at" 3659 7231 20642 3826
"200068_s_at" 20826 16448 19513 6494
"200069_at" 4844 19489 17902 4961
"200070_at" 17252 5633 1103 4580
"200071_at" 1347 5367 13481 3358
"200072_s_at" 16348 9060 18011 17560
"200073_s_at" 2456 6915 14828 6314
"200074_s_at" 1389 17204 3260 19815
"200075_s_at" 17583 6945 14739 19324
"200076_s_at" 20056 3230 16069 19206
"200077_s_at" 4596 17140 14844 10072
"200078_s_at" 16970 7704 2717 18588
"200079_s_at" 17413 5740 19092 17978
"200080_s_at" 3322 17687 2166 7805
"200081_s_at" 3509 17536 3399 21776
"200082_s_at" 4529 17917 14171 21065
"200083_at" 17014 17871 14037 5952
"200084_at" 1615 5766 16510 8943
"200085_s_at" 17650 9282 17184 18793
"200086_s_at" 17651 17785 13899 15995
"200087_s_at" 17110 6474 17793 9480
"200088_x_at" 18336 11834 13982 19972
"200089_s_at" 3699 16677 3540 16729
"200090_at" 1803 7024 21881 1657
"200091_s_at" 898 16846 1757 18003
"200092_s_at" 2657 7910 2677 9459
"200093_s_at" 2699 17995 15222 6562
"200094_s_at" 16432 9280 14704 17464
"200095_x_at" 17156 12004 2414 12489
"200096_s_at" 112 7111 19136 20345
"200097_s_at" 16959 6053 14432 8438
"200098_s_at" 2838 8576 19421 3852
"200099_s_at" 16645 11967 3466 9626
"200593_s_at" 20918 5806 14596 17441
"200594_x_at" 16377 18643 2437 9330
"200595_s_at" 3374 9373 16185 2348
"200596_s_at" 16602 17147 16131 16926
"200597_at" 659 20384 18473 6301
"200598_s_at" 2234 4904 15453 8526
"200599_s_at" 20736 8460 2261 17345
"200600_at" 16660 6332 12621 19926
"200601_at" 21598 18653 22004 10461
"200602_at" 2322 1224 16430 5475
"200603_at" 2870 9574 3831 6628
"200604_s_at" 2535 4284 13929 21720
"200605_s_at" 3714 4219 19301 9173
"200606_at" 14813 18462 19738 2220
"200607_s_at" 2468 3222 19483 18988
"200608_s_at" 4043 17764 14846 6458
"200609_s_at" 16504 9128 18496 7861
"200610_s_at" 1703 7796 17224 4968
"200611_s_at" 20304 17345 16644 16392
"200612_s_at" 3761 21647 21929 10688
"200613_at" 1606 8793 16830 19472
"200614_at" 3387 9227 14773 8285
"200615_s_at" 18862 4437 21610 8669
"200616_s_at" 2116 7684 18603 16038
"200617_at" 4537 7318 20543 16423
"200618_at" 21087 17516 18356 10733
"200619_at" 3392 18968 20864 17177
"200620_at" 3224 9076 18769 16888
"200621_at" 20944 19224 16784 8043
"200622_x_at" 19674 18271 19592 21083
"200623_s_at" 89 4355 21476 3747
"200624_s_at" 2107 3989 15447 10594
"200625_s_at" 1712 7987 3143 4991
"200626_s_at" 1451 4812 14910 7102
"200627_at" 1078 8787 14642 18699
"200628_s_at" 4555 3329 18686 21158
"200629_at" 20748 19864 21077 9502
"200630_x_at" 16995 16462 3073 7156
"200631_s_at" 21681 16617 20483 7955
"200632_s_at" 19018 18640 2731 10442
"200633_at" 16639 11911 14715 12442
"200634_at" 3155 8909 16092 21807
"200635_s_at" 12705 19242 19878 6187
"200636_s_at" 5811 9448 19540 4664
"200637_s_at" 11810 9591 19403 18756
"200638_s_at" 1086 9137 15973 16897
"200639_s_at" 3861 17750 19452 8930
"200640_at" 16512 8988 18088 16128
"200641_s_at" 1910 5151 19052 21568
"200642_at" 2536 9346 18505 18816
"200643_at" 21208 19145 19533 19184
"200644_at" 20777 7635 15851 6103
"200645_at" 18653 6207 17974 16149
"200646_s_at" 12006 5542 20443 21676
"200647_x_at" 17974 20106 19283 7388
"200648_s_at" 3886 5108 3670 17475
"200649_at" 19678 21041 20798 16491
"200650_s_at" 3368 7091 14980 12375
"200651_at" 19860 17171 3317 21215
"200652_at" 16412 8935 17025 17896
"200653_s_at" 19170 17703 3566 18872
"200654_at" 20380 8278 20126 9395
"200655_s_at" 4244 9568 15968 6269
"200656_s_at" 1969 6719 3537 21376
"200657_at" 3436 8529 14185 16268
"200658_s_at" 17880 4652 18810 21516
"200659_s_at" 17326 17130 20860 21592
"200660_at" 2431 7372 14478 20506
"200661_at" 2752 5942 18440 18695
"200662_s_at" 1016 6104 17969 4232
"200663_at" 3493 18142 14602 18697
"200664_s_at" 18559 4852 14764 18600
"200665_s_at" 7600 13478 11062 7447
"200666_s_at" 18926 5547 18627 9452
"200667_at" 2174 3533 18821 6281
"200668_s_at" 1813 8026 16227 5137
"200669_s_at" 1081 3536 17215 17096
"200670_at" 18188 6883 805 1464
"200671_s_at" 9230 21682 456 20604
"200672_x_at" 15928 8556 21691 20285
"200673_at" 1771 9831 2045 6202
"200674_s_at" 18958 16550 14736 10359
"200675_at" 17394 16604 15126 10438
"200676_s_at" 17738 21629 22073 22003
"200677_at" 17886 18173 15888 3083
"200678_x_at" 3380 17280 15017 17231
"200679_x_at" 1363 9700 16419 19855
"200680_x_at" 4417 9793 4005 10680
"200681_at" 4752 8893 18687 8125
"200682_s_at" 2576 5722 15285 21402
"200683_s_at" 18760 6671 14136 16721
"200684_s_at" 19448 3693 18967 19487
"200685_at" 18375 5566 13618 5206
"200686_s_at" 78 16494 15931 3968
"200687_s_at" 1848 16795 19519 10459
"200688_at" 1326 8258 536 4921
"200689_x_at" 18599 17980 3341 10605
"200690_at" 4202 4264 20317 1834
"200691_s_at" 4818 6944 18094 7580
"200692_s_at" 2778 3419 2822 18533
"200693_at" 17850 8728 16276 16840
"200694_s_at" 17689 17003 15607 7424
"200695_at" 19343 9358 1561 21553
"200696_s_at" 17387 9748 17770 9361
"200697_at" 21627 9366 18943 16996
"200698_at" 18555 4566 19305 10395
"200699_at" 20019 19525 17833 8958
"200700_s_at" 18023 16672 17736 5573
"200701_at" 18320 4621 21168 21170
"200702_s_at" 18082 4218 1731 18502
"200703_at" 1146 9554 3207 4787
"200704_at" 17885 7774 18932 1126
"200705_s_at" 2163 6603 15159 8394
"200706_s_at" 633 8517 17170 9318
"200707_at" 20104 1499 13904 20083
"200708_at" 19964 17159 18613 7084
"200709_at" 4178 8290 14984 9271
"200710_at" 18250 9356 15737 21341
"200711_s_at" 20095 7911 17565 6850
"200712_s_at" 2341 7203 20756 18216
"200713_s_at" 4526 17575 4012 3576
"200714_x_at" 21061 17281 16582 19279
"200715_x_at" 4605 9559 13839 18801
"200716_x_at" 17197 12000 16816 19498
"200717_x_at" 2738 11908 13759 12439
"200718_s_at" 1508 16991 13924 6405
"200719_at" 20290 4567 15885 6392
"200720_s_at" 20711 17096 14551 21431
"200721_s_at" 20889 5051 2872 10086
"200722_s_at" 1005 16501 17652 19978
"200723_s_at" 1956 6368 19694 16066
"200724_at" 10622 8735 14191 512
"200725_x_at" 4128 8476 13647 10246
"200726_at" 3288 6078 18276 5148
"200727_s_at" 18461 2455 20087 19937
"200728_at" 3752 3913 14666 18854
"200729_s_at" 19325 3458 16524 16212
"200730_s_at" 51 6315 19097 20148
"200731_s_at" 17866 5318 19973 16772
