"inst_2390" "inst_7421" "inst_7463"
"1007_s_at" 1536 19704 17268
"1053_at" 2688 20437 19889
"117_at" 9038 13694 10136
"121_at" 3099 1766 6041
"1255_g_at" 7745 7206 9634
"1294_at" 3969 15703 9644
"1316_at" 21155 8994 17175
"1320_at" 7971 9412 13377
"1405_i_at" 18852 6947 11670
"1431_at" 4364 14079 8988
"1438_at" 6236 491 5744
"1487_at" 19395 18045 1348
"1494_f_at" 20599 7023 270
"1598_g_at" 18138 5765 21519
"160020_at" 1371 3302 10369
"1729_at" 14471 21133 522
"1773_at" 2411 3374 2762
"177_at" 21713 7332 10205
"179_at" 21898 5777 1479
"1861_at" 658 20528 17500
"200000_s_at" 15615 18814 8102
"200001_at" 15595 16444 5738
"200002_at" 13477 6235 8645
"200003_s_at" 7898 18219 18390
"200004_at" 18387 5797 6863
"200005_at" 14245 17153 7374
"200006_at" 14404 5968 6701
"200007_at" 13453 4983 3428
"200008_s_at" 18998 4945 19270
"200009_at" 14317 16372 18469
"200010_at" 14869 16880 7984
"200011_s_at" 2729 17631 4719
"200012_x_at" 4578 6768 6034
"200013_at" 15368 16479 17796
"200014_s_at" 13123 19041 1751
"200015_s_at" 14296 5314 17979
"200016_x_at" 13744 4767 7949
"200017_at" 7703 4387 8405
"200018_at" 7750 5286 17811
"200019_s_at" 5690 16124 17801
"200020_at" 21222 20852 3367
"200021_at" 16238 4269 18442
"200022_at" 4744 6063 7887
"200023_s_at" 13646 17328 7553
"200024_at" 4301 6618 8729
"200025_s_at" 4806 16320 5136
"200026_at" 7919 15758 17611
"200027_at" 15734 16497 5397
"200028_s_at" 17210 5945 4194
"200029_at" 16041 19376 7960
"200030_s_at" 14624 16072 8735
"200031_s_at" 7686 6483 6763
"200032_s_at" 7856 5341 17744
"200033_at" 4995 15760 18121
"200034_s_at" 13564 6472 19435
"200035_at" 13697 18990 21472
"200036_s_at" 15380 6360 17213
"200037_s_at" 2307 16017 19457
"200038_s_at" 7815 15949 17996
"200039_s_at" 17068 16144 18673
"200040_at" 16371 6671 7369
"200041_s_at" 17438 17649 7137
"200042_at" 3030 19141 8248
"200043_at" 15928 2356 3910
"200044_at" 14162 5421 7036
"200045_at" 5328 19507 4764
"200046_at" 5675 5437 17073
"200047_s_at" 4134 4838 7089
"200048_s_at" 16052 15925 7481
"200049_at" 21139 3875 20088
"200050_at" 4185 3757 17497
"200051_at" 3473 21836 6806
"200052_s_at" 16692 17279 8086
"200053_at" 16479 16404 18351
"200054_at" 4058 6762 3560
"200055_at" 13880 15967 18053
"200056_s_at" 4955 2187 17847
"200057_s_at" 4358 16712 7452
"200058_s_at" 14765 19420 5748
"200059_s_at" 14757 16155 8276
"200060_s_at" 13418 5039 8554
"200061_s_at" 7811 17034 8449
"200062_s_at" 7939 6182 18647
"200063_s_at" 7900 17292 19327
"200064_at" 4344 5293 8082
"200065_s_at" 13672 16582 6857
"200066_at" 17431 16117 18337
"200067_x_at" 14275 2034 8475
"200068_s_at" 15871 15875 19379
"200069_at" 5147 2528 420
"200070_at" 18411 1593 2147
"200071_at" 17237 20176 6346
"200072_s_at" 13314 18869 17067
"200073_s_at" 4017 3770 7673
"200074_s_at" 14615 4783 18889
"200075_s_at" 18198 2752 6965
"200076_s_at" 15782 16852 3941
