"inst_3076" "inst_5394" "inst_6294" "inst_6453"
"1007_s_at" 17093 6693 13274 15843
"1053_at" 16386 17348 15118 14976
"117_at" 15303 13542 8742 8259
"121_at" 11178 2150 2185 16374
"1255_g_at" 6820 12349 9034 7921
"1294_at" 17493 20100 7920 2779
"1316_at" 311 2065 12898 5029
"1320_at" 7086 17303 10511 408
"1405_i_at" 14280 13298 5585 10310
"1431_at" 9614 10243 726 17559
"1438_at" 10944 14692 12931 15358
"1487_at" 18794 17713 19543 21124
"1494_f_at" 2103 1029 11664 4470
"1598_g_at" 22105 7324 18907 18248
"160020_at" 16804 49 2665 14185
"1729_at" 9598 5583 21167 16106
"1773_at" 19445 17294 18446 19231
"177_at" 17508 603 9454 1013
"179_at" 9526 20229 2305 1858
"1861_at" 21158 19865 3452 16459
"200000_s_at" 12921 3156 17212 16417
"200001_at" 19087 18520 14897 7065
"200002_at" 10256 16992 13689 7749
"200003_s_at" 4349 16492 11205 5519
"200004_at" 14307 7066 11477 17790
"200005_at" 12816 15105 13115 6828
"200006_at" 11648 17608 11835 5419
"200007_at" 14786 15927 11541 14887
"200008_s_at" 19817 15744 14582 3028
"200009_at" 12133 15833 12214 14416
"200010_at" 2332 14919 11172 18651
"200011_s_at" 16154 3435 19877 16171
"200012_x_at" 2067 6343 2933 7231
"200013_at" 9852 17102 3893 7103
"200014_s_at" 16090 14115 15787 6297
"200015_s_at" 14956 15058 13019 16200
"200016_x_at" 9678 5356 12111 14654
"200017_at" 4468 9372 3519 9789
"200018_at" 4456 13922 3766 6229
"200019_s_at" 9807 15693 13036 7351
"200020_at" 14366 4957 13989 17397
"200021_at" 10548 9457 6604 9874
"200022_at" 9406 14627 14018 6885
"200023_s_at" 10144 15475 11433 4841
"200024_at" 2107 16069 11398 7361
"200025_s_at" 1996 7387 11915 7463
"200026_at" 4605 7547 3469 6863
"200027_at" 11903 7193 13432 6496
"200028_s_at" 17875 4646 15702 15958
"200029_at" 4399 14207 12633 7817
"200030_s_at" 12072 15727 11365 7476
"200031_s_at" 4446 9351 4044 14386
"200032_s_at" 4473 9375 3283 7198
"200033_at" 12007 6010 11206 15114
"200034_s_at" 1903 15856 12161 7204
"200035_at" 18400 4075 16440 14822
"200036_s_at" 11040 16627 12389 14713
"200037_s_at" 13042 6735 12763 14690
"200038_s_at" 4576 15560 11371 14119
"200039_s_at" 16720 17301 13472 6814
"200040_at" 14185 5833 16077 14306
"200041_s_at" 13377 14855 16406 6881
"200042_at" 15126 16694 14886 2861
"200043_at" 17002 18366 12783 17989
"200044_at" 17040 15588 13887 5817
"200045_at" 10672 2893 19081 17585
"200046_at" 19741 5819 16313 16407
"200047_s_at" 18609 15280 14790 14759
"200048_s_at" 14519 17567 13959 15724
"200049_at" 11309 3652 13000 14694
"200050_at" 18282 18962 16642 4882
"200051_at" 17319 14263 4025 19273
"200052_s_at" 16543 16842 13651 7006
"200053_at" 18213 20687 12058 7726
"200054_at" 16527 6712 20657 7678
"200055_at" 15696 17465 14537 16555
"200056_s_at" 15847 18602 17915 16058
"200057_s_at" 10996 13885 14059 6975
"200058_s_at" 13944 14398 15874 15984
"200059_s_at" 9785 16737 15343 5700
"200060_s_at" 18967 17021 21819 15295
"200061_s_at" 4444 9350 3917 15209
"200062_s_at" 4325 9268 6305 9690
"200063_s_at" 9325 9399 6486 9813
"200064_at" 11735 15115 12483 5390
"200065_s_at" 12774 14670 14678 17532
"200066_at" 11847 14309 15248 20172
"200067_x_at" 12377 14594 17120 7187
"200068_s_at" 11591 6519 13648 15592
"200069_at" 13035 15074 12576 6424
"200070_at" 10150 5836 3116 21236
"200071_at" 19151 14070 20735 15998
"200072_s_at" 16228 15125 16360 16443
"200073_s_at" 15330 16174 13222 5410
"200074_s_at" 11412 18382 13164 7443
"200075_s_at" 20845 6408 15868 14881
"200076_s_at" 12380 17922 13065 16755
"200077_s_at" 9603 16198 2661 7653
"200078_s_at" 19671 7313 19822 15513
"200079_s_at" 14973 6122 17470 7377
"200080_s_at" 2108 14913 4050 7729
