"inst_2434" "inst_3296" "inst_4657" "inst_5253" "inst_5618"
"1007_s_at" 21164 3663 14615 6578 4037
"1053_at" 14648 19758 17056 5786 19081
"117_at" 19619 1343 10832 9401 2894
"121_at" 17968 4217 12977 7465 15960
"1255_g_at" 9488 8145 7946 8422 6219
"1294_at" 12477 21327 22008 21006 4561
"1316_at" 12277 669 20983 19335 1264
"1320_at" 9276 12762 4327 21194 18545
"1405_i_at" 17332 8049 19073 9886 9335
"1431_at" 14900 17726 3113 21465 3605
"1438_at" 11404 17660 16439 21538 3947
"1487_at" 4374 6745 19950 6059 17109
"1494_f_at" 21109 21733 16470 17355 876
"1598_g_at" 19722 2740 14479 1469 2153
"160020_at" 20074 19736 3728 16059 186
"1729_at" 1348 21286 18877 1521 20167
"1773_at" 19182 16157 21139 5578 4115
"177_at" 16163 10257 21702 343 6028
"179_at" 22190 4704 2924 5449 883
"1861_at" 2045 19978 4020 3614 16247
"200000_s_at" 3080 16720 15895 3111 16460
"200001_at" 16094 18105 4885 6194 12234
"200002_at" 13268 15386 12722 16171 11642
"200003_s_at" 7330 9153 6806 14488 6454
"200004_at" 15406 19476 14861 16085 15403
"200005_at" 13620 13804 13033 6944 12574
"200006_at" 4431 13891 14743 7646 14248
"200007_at" 12606 5431 12059 7296 13672
"200008_s_at" 18780 16787 20865 18982 15896
"200009_at" 15742 14382 18668 7861 12485
"200010_at" 13085 15061 13763 16579 10869
"200011_s_at" 15456 19486 12045 4720 11665
"200012_x_at" 12078 5104 3883 6812 2749
"200013_at" 12562 16317 12756 17547 13243
"200014_s_at" 19674 15897 13961 15483 15302
"200015_s_at" 12578 6322 17269 18041 17570
"200016_x_at" 7240 4840 11402 14642 11684
"200017_at" 7488 9352 11886 10319 6563
"200018_at" 7473 9328 6897 10306 6555
"200019_s_at" 12230 5387 11577 15314 4388
"200020_at" 14529 20752 16974 5566 11782
"200021_at" 4125 9545 7001 10502 6686
"200022_at" 7355 9190 4146 7205 6475
"200023_s_at" 12392 14438 13626 4950 10863
"200024_at" 12258 4444 4611 5717 10569
"200025_s_at" 7470 9325 10714 16643 10752
"200026_at" 7668 9554 3663 14396 6691
"200027_at" 13598 14943 11742 4294 13200
"200028_s_at" 3887 6759 3328 7227 10647
"200029_at" 7406 6164 11446 4481 4081
"200030_s_at" 4853 5711 11059 6896 10688
"200031_s_at" 7464 9313 6883 10289 6547
"200032_s_at" 7490 9356 11580 10321 6569
"200033_at" 4876 15256 16735 18864 15940
"200034_s_at" 4526 5828 12041 14400 11171
"200035_at" 4688 17951 13064 16367 16417
"200036_s_at" 12162 6683 11270 15456 11327
"200037_s_at" 12204 6741 15550 19468 14818
"200038_s_at" 7632 13818 12822 15760 10533
"200039_s_at" 16834 6460 15268 6440 12020
"200040_at" 15326 13811 13633 7340 14823
"200041_s_at" 17290 19543 17705 15778 12491
"200042_at" 15593 16567 13558 16480 14390
"200043_at" 3940 15265 14840 6158 10675
"200044_at" 13920 17121 19881 14376 16100
"200045_at" 16184 19146 13524 7569 10823
"200046_at" 14231 17055 13031 14560 14589
"200047_s_at" 12703 16732 17109 14711 15672
"200048_s_at" 4889 15273 12887 15171 11978
"200049_at" 13444 17414 13982 6572 17998
"200050_at" 2594 15874 19935 16654 18911
"200051_at" 13014 19368 15119 7511 18625
"200052_s_at" 13701 16766 20429 15348 16405
"200053_at" 15748 13909 13734 18317 3324
"200054_at" 19430 16288 19002 18422 16875
"200055_at" 4648 5591 11134 4188 3964
"200056_s_at" 15687 16077 16019 18683 18469
"200057_s_at" 13686 18288 10830 7388 11575
"200058_s_at" 12819 13869 15212 6617 15210
"200059_s_at" 12155 15958 13641 8129 12926
"200060_s_at" 17796 16349 20405 15751 15198
"200061_s_at" 7461 9311 6882 10286 6545
"200062_s_at" 7308 9125 6791 10128 6441
"200063_s_at" 7539 9412 10751 10378 6604
"200064_at" 14353 16140 14328 5293 12161
"200065_s_at" 13365 6154 12651 16502 11215
"200066_at" 17248 16666 16252 16544 13352
"200067_x_at" 14660 4507 12894 15845 12154
"200068_s_at" 12710 4757 10954 5792 10831
"200069_at" 15096 18109 17609 15409 19401
"200070_at" 3489 4373 4123 4280 19278
"200071_at" 13050 19381 18331 17836 17565
"200072_s_at" 15988 20651 19505 16347 12364
"200073_s_at" 4991 14050 15916 18092 16682
"200074_s_at" 13875 15136 12893 14380 14617
"200075_s_at" 15715 14101 12636 6265 16012
"200076_s_at" 2413 17912 17476 16401 14088
"200077_s_at" 4733 16767 4395 16440 12779
"200078_s_at" 13738 17067 4917 8102 14582
"200079_s_at" 12694 13857 15166 3655 12128
"200080_s_at" 12128 5164 4289 17857 6598
