"inst_3000" "inst_3339" "inst_4000" "inst_4119"
"1007_s_at" 15596 15110 9447 18124
"1053_at" 18102 17864 6218 17911
"117_at" 2088 10763 14687 11838
"121_at" 3041 17640 7635 14506
"1255_g_at" 8651 9569 16885 9651
"1294_at" 7731 1864 22003 3249
"1316_at" 2704 3570 21102 13812
"1320_at" 13356 7929 3069 1172
"1405_i_at" 7088 8384 21564 8395
"1431_at" 7578 1594 20725 16967
"1438_at" 12507 16338 4222 1657
"1487_at" 3872 21774 3823 19763
"1494_f_at" 6626 2250 11815 22099
"1598_g_at" 20618 1625 10558 17379
"160020_at" 1732 22077 6653 20500
"1729_at" 4656 19524 9296 18686
"1773_at" 18597 4684 1500 3854
"177_at" 2491 8524 12020 20552
"179_at" 17576 21992 423 15220
"1861_at" 18673 18559 5363 4297
"200000_s_at" 18089 18332 19766 20603
"200001_at" 4223 15895 1119 16171
"200002_at" 14781 12518 9535 5251
"200003_s_at" 10363 13220 14247 7050
"200004_at" 4577 12134 9209 4431
"200005_at" 7328 12125 9030 16076
"200006_at" 8561 12453 11722 5557
"200007_at" 6657 4166 18210 3566
"200008_s_at" 16407 16150 2993 2325
"200009_at" 14673 12913 7507 7232
"200010_at" 15248 16158 8137 6688
"200011_s_at" 2575 17439 3918 15417
"200012_x_at" 17425 4613 18442 16326
"200013_at" 15857 13840 12656 4948
"200014_s_at" 19353 13659 7636 13982
"200015_s_at" 15652 14170 11878 7188
"200016_x_at" 7044 4645 18111 13658
"200017_at" 10455 7281 14322 9334
"200018_at" 10442 7266 14317 9323
"200019_s_at" 7894 12434 19663 7149
"200020_at" 4867 13336 8309 13705
"200021_at" 16966 7435 14408 9489
"200022_at" 14928 12963 4719 15524
"200023_s_at" 7169 4906 10609 3187
"200024_at" 8596 4348 18932 3607
"200025_s_at" 7892 11568 18363 5287
"200026_at" 10542 5035 18095 5852
"200027_at" 7907 12067 10973 14302
"200028_s_at" 15510 15879 6744 16044
"200029_at" 16302 11765 19678 14544
"200030_s_at" 7197 11558 12729 6794
"200031_s_at" 10431 7255 14309 9311
"200032_s_at" 10458 7285 19709 9339
"200033_at" 5354 4415 12161 4353
"200034_s_at" 5083 14285 18695 5181
"200035_at" 7815 20356 18377 19477
"200036_s_at" 16481 12728 18709 7117
"200037_s_at" 3591 16275 9795 4123
"200038_s_at" 10526 12688 18365 5876
"200039_s_at" 16888 14110 19673 6017
"200040_at" 6406 13207 10288 14042
"200041_s_at" 5042 13712 11079 14471
"200042_at" 7296 12040 10070 4651
"200043_at" 8539 3824 19398 1769
"200044_at" 7750 14795 11044 4319
"200045_at" 15302 18124 6892 15304
"200046_at" 6441 12448 7941 3484
"200047_s_at" 5775 13303 8722 5611
"200048_s_at" 8249 13811 18655 5598
"200049_at" 5761 21145 5849 4929
"200050_at" 6556 4329 3953 5175
"200051_at" 4106 16243 12433 5657
"200052_s_at" 15620 16162 6586 3815
"200053_at" 2926 13447 3927 867
"200054_at" 18327 14733 7332 16508
"200055_at" 17324 14596 18499 17754
"200056_s_at" 14442 17513 8397 2974
"200057_s_at" 7542 11583 18481 13701
"200058_s_at" 15830 19474 8393 14603
"200059_s_at" 7167 12892 7631 4878
"200060_s_at" 8348 16186 8448 14356
"200061_s_at" 10428 12174 14308 14664
"200062_s_at" 10351 7130 14238 9195
"200063_s_at" 10481 7330 14344 9379
"200064_at" 15220 15014 6454 4513
"200065_s_at" 15094 4739 9139 16461
"200066_at" 4437 17078 5567 5914
"200067_x_at" 16622 14623 11412 7143
"200068_s_at" 6043 13605 8806 14562
"200069_at" 21378 15508 2554 16029
"200070_at" 7733 4266 19446 19950
"200071_at" 6566 20104 2838 3100
"200072_s_at" 15264 17045 7999 13934
"200073_s_at" 7367 11539 8411 2967
"200074_s_at" 16556 14084 11189 4588
"200075_s_at" 6292 15035 12420 5419
"200076_s_at" 8096 19494 9554 18068
"200077_s_at" 14775 12315 10674 14889
"200078_s_at" 8330 15389 8966 13607
"200079_s_at" 5100 3664 7732 7462
"200080_s_at" 4416 13122 18144 7358
"200081_s_at" 8488 12754 12674 5087
"200082_s_at" 7980 3203 9863 14224
"200083_at" 3211 17393 6875 3068
"200084_at" 4796 15163 7968 13656
"200085_s_at" 18823 16083 11780 14430
"200086_s_at" 14662 12725 18835 6078
"200087_s_at" 5467 3166 5448 5223
"200088_x_at" 10359 7141 19512 9205
"200089_s_at" 8611 12470 19043 5668
"200090_at" 17436 15103 8243 4041
"200091_s_at" 7516 16090 20581 2971
"200092_s_at" 14755 4955 19194 14098
"200093_s_at" 18439 16197 11932 3358
"200094_s_at" 17018 16809 12429 17103
"200095_x_at" 10531 7419 14395 9475
"200096_s_at" 8226 14559 7225 16804
"200097_s_at" 4624 16027 9858 6034
"200098_s_at" 17259 12538 9958 14568
