"inst_2441" "inst_3303" "inst_5404" "inst_6303"
"1007_s_at" 20395 15759 17007 16004
"1053_at" 4883 18816 2952 18438
"117_at" 19264 2621 168 11471
"121_at" 19792 6830 9001 19644
"1255_g_at" 14415 10104 15019 12945
"1294_at" 21481 14805 17384 824
"1316_at" 18730 420 2903 17167
"1320_at" 14301 8992 19353 8865
"1405_i_at" 17370 11511 15941 12185
"1431_at" 4480 2257 13314 3507
"1438_at" 15735 17608 3488 17618
"1487_at" 5045 16155 3619 15636
"1494_f_at" 21589 1522 15850 22044
"1598_g_at" 6923 15967 20962 2476
"160020_at" 5950 5242 5626 21308
"1729_at" 4820 3653 17844 7629
"1773_at" 22174 5209 8708 20809
"177_at" 20749 10851 12159 756
"179_at" 4532 5211 6737 20155
"1861_at" 5342 20877 7842 19280
"200000_s_at" 10102 5874 17512 16788
"200001_at" 7559 6664 16761 17478
"200002_at" 18406 18638 7833 16154
"200003_s_at" 12841 10079 9799 18135
"200004_at" 8604 16941 9309 16753
"200005_at" 8422 5750 19358 16800
"200006_at" 7315 5358 18187 6581
"200007_at" 6883 4292 16455 15776
"200008_s_at" 1300 6304 9854 18624
"200009_at" 8351 5509 8460 6074
"200010_at" 10067 15761 7661 6439
"200011_s_at" 8941 19296 7854 19134
"200012_x_at" 19229 4890 20062 16782
"200013_at" 7885 7163 9169 6606
"200014_s_at" 19746 6912 7521 15833
"200015_s_at" 8854 7695 5187 5643
"200016_x_at" 12736 19291 16817 6916
"200017_at" 12999 10252 12015 6503
"200018_at" 12985 10227 17200 15172
"200019_s_at" 12944 15210 5772 15762
"200020_at" 17783 16210 9298 6316
"200021_at" 19756 10424 12105 10384
"200022_at" 12866 10108 16839 16906
"200023_s_at" 10080 16411 6777 6499
"200024_at" 18372 15040 18888 15386
"200025_s_at" 12982 15294 9788 7173
"200026_at" 13174 10430 8298 7388
"200027_at" 18141 16297 17527 7210
"200028_s_at" 10195 16994 17053 19099
"200029_at" 12919 3941 9841 6012
"200030_s_at" 8918 6061 9246 15326
