"inst_1491" "inst_1909" "inst_1991" "inst_4089" "inst_4169"
"1007_s_at" 19455 1219 1960 12932 10381
"1053_at" 7490 22069 21141 19158 8983
"117_at" 11502 13238 206 295 17144
"121_at" 20580 18591 16986 13361 13092
"1255_g_at" 13096 6999 7986 7053 17740
"1294_at" 21150 583 15777 3010 12477
"1316_at" 20479 8591 21446 4265 11327
"1320_at" 12233 2638 1265 13871 2567
"1405_i_at" 12761 8880 16368 4323 10014
"1431_at" 1682 9242 8620 919 20921
"1438_at" 21907 1234 10487 20255 1695
"1487_at" 20130 18264 2227 17289 3296
"1494_f_at" 21700 21411 1375 21460 7739
"1598_g_at" 18136 3130 16097 21586 3357
"160020_at" 21658 15540 911 19485 6099
"1729_at" 21206 16728 3601 13620 20147
"1773_at" 4469 281 14888 20944 4788
"177_at" 15325 10428 768 1506 20797
"179_at" 4386 21316 21159 22164 9929
"1861_at" 18557 14821 3688 10637 7538
"200000_s_at" 18869 2511 4475 18450 8359
"200001_at" 17971 20431 21505 16011 10647
"200002_at" 10132 3692 16134 12121 20508
"200003_s_at" 9561 3458 17724 6766 16906
"200004_at" 8335 20289 18246 16373 14680
"200005_at" 4640 3707 17265 14189 10112
"200006_at" 6005 16911 19702 10995 13254
"200007_at" 9644 16743 5004 12305 13588
"200008_s_at" 6508 3695 4189 17595 5495
"200009_at" 8710 15064 18069 13386 12184
"200010_at" 8211 14269 19318 15371 14860
"200011_s_at" 7448 16688 18950 17974 13629
"200012_x_at" 18744 15619 16403 3648 20430
"200013_at" 8139 3739 16217 4481 14006
"200014_s_at" 6729 16314 18448 12322 13345
"200015_s_at" 5542 3135 20086 5192 13188
"200016_x_at" 7757 20139 19639 6720 16842
"200017_at" 18360 17399 16803 6824 17001
"200018_at" 18293 14070 2607 6821 16994
"200019_s_at" 18001 15550 4283 4532 20565
"200020_at" 7890 19110 18260 17945 10972
"200021_at" 18616 1792 4493 6872 17097
"200022_at" 18709 2430 3793 5015 16920
"200023_s_at" 9506 2135 15800 11675 9983
"200024_at" 8861 711 4267 5000 20044
"200025_s_at" 9587 14780 17176 10212 16992
"200026_at" 8333 16336 2379 4179 21057
"200027_at" 4711 17139 19069 5292 11911
"200028_s_at" 9141 17772 16929 14993 13424
"200029_at" 20300 3160 3721 3777 20450
"200030_s_at" 18060 19503 17695 11478 20221
"200031_s_at" 18574 1564 16505 6816 16985
"200032_s_at" 10101 18522 3633 4040 17004
"200033_at" 7830 19428 1540 10827 20139
"200034_s_at" 10067 14048 3737 12244 21023
"200035_at" 19774 21343 1896 17007 14125
"200036_s_at" 7183 3438 4145 4032 14210
"200037_s_at" 7782 16068 3126 12529 20743
"200038_s_at" 18223 15074 3458 4596 17078
"200039_s_at" 19050 2976 4560 4864 9914
"200040_at" 7258 18400 16716 13368 11124
"200041_s_at" 9129 2663 20932 12098 11633
"200042_at" 8217 1812 20879 17081 5820
"200043_at" 18561 14636 17833 4954 21277
"200044_at" 9496 16370 3566 12390 12588
"200045_at" 5242 17197 16050 19637 7131
"200046_at" 7092 18958 19724 12669 13439
"200047_s_at" 17900 19386 2127 5461 14033
"200048_s_at" 6708 1412 4035 12762 20090
"200049_at" 2841 16643 17730 19957 14504
"200050_at" 18156 19908 18770 10470 14816
"200051_at" 2633 1476 2066 14960 11623
"200052_s_at" 18758 14623 16572 17657 8121
"200053_at" 1127 17705 1316 14135 13765
"200054_at" 19761 19408 17350 17223 2356
"200055_at" 19442 2949 17687 10914 5737
"200056_s_at" 9779 15417 16833 15080 9374
"200057_s_at" 18472 16595 3097 11039 14415
"200058_s_at" 9508 1341 17054 14622 6757
"200059_s_at" 19850 14996 4281 11622 11964
"200060_s_at" 18107 20375 17577 16129 13055
"200061_s_at" 18422 1339 4103 6815 16983
"200062_s_at" 12613 2845 3005 6758 16895
"200063_s_at" 20934 21599 710 6837 17036
"200064_at" 9756 15830 17384 15246 14552
"200065_s_at" 7327 15577 4064 13155 10602
"200066_at" 19321 1147 18397 18516 4951
"200067_x_at" 7983 16950 19309 4321 11482
"200068_s_at" 19324 18996 20286 15849 14470
"200069_at" 18978 18927 2613 17950 3076
"200070_at" 4331 19985 21004 11424 4414
"200071_at" 6069 20163 20330 18698 7498
"200072_s_at" 9256 18755 20069 13037 10383
"200073_s_at" 9810 21429 2099 14303 20056
"200074_s_at" 7654 3495 17482 10234 14849
"200075_s_at" 6380 2499 2051 5194 6080
"200076_s_at" 20450 16197 17163 11138 4379
"200077_s_at" 9387 17084 17743 11791 20929
"200078_s_at" 6042 15245 3515 4210 8218
