"inst_1556" "inst_3173" "inst_6775" "inst_7128"
"1007_s_at" 21944 5609 6924 1989
"1053_at" 6130 16644 18175 17107
"117_at" 17145 611 13017 13231
"121_at" 2890 16994 6983 4589
"1255_g_at" 16964 8111 10596 10202
"1294_at" 19203 10192 603 14927
"1316_at" 3385 21394 4443 20746
"1320_at" 7055 9734 20218 9055
"1405_i_at" 5432 95 7502 15117
"1431_at" 7595 2544 3277 15573
"1438_at" 12077 4548 21176 3125
"1487_at" 5503 1896 18793 17043
"1494_f_at" 429 7042 19177 8758
"1598_g_at" 21761 21876 16152 21780
"160020_at" 254 16091 4522 6358
"1729_at" 17064 14240 18452 21569
"1773_at" 5169 19261 4256 4949
"177_at" 18583 8804 9906 9349
"179_at" 313 1469 2092 8851
"1861_at" 4343 19483 17731 18531
"200000_s_at" 20086 15096 20029 1512
"200001_at" 5722 6613 6542 3769
"200002_at" 17459 6201 15747 4341
"200003_s_at" 19031 13801 15253 4837
"200004_at" 4171 16155 6459 5673
"200005_at" 19686 14888 7415 19530
"200006_at" 21500 6501 7697 16195
"200007_at" 18418 5599 15166 5297
"200008_s_at" 21972 15286 15663 18203
"200009_at" 5561 14718 7767 4525
"200010_at" 19526 6818 16128 5432
"200011_s_at" 497 4871 5729 5800
"200012_x_at" 3379 7058 17195 16113
"200013_at" 17545 14054 16469 17045
"200014_s_at" 17196 6976 19371 4782
"200015_s_at" 3290 6772 15575 17415
"200016_x_at" 4495 6575 6477 17379
"200017_at" 5506 9318 10248 16329
"200018_at" 3664 7309 16541 6475
"200019_s_at" 4565 15600 17881 16470
"200020_at" 20473 14730 4360 6711
"200021_at" 1937 9347 10414 20557
"200022_at" 20976 6537 7787 3110
"200023_s_at" 17199 5993 15345 16167
"200024_at" 19561 7013 15473 6397
"200025_s_at" 4962 6983 5889 18628
"200026_at" 18158 7031 10421 17400
"200027_at" 4144 3798 4862 6844
"200028_s_at" 6743 13606 15101 4134
"200029_at" 19001 4562 6671 18118
"200030_s_at" 17776 7886 5371 16769
"200031_s_at" 5734 9311 10226 16068
"200032_s_at" 6740 9320 14933 6665
"200033_at" 18241 7185 4560 5215
