"inst_1414" "inst_2098" "inst_2261" "inst_5053" "inst_5472"
"1007_s_at" 18446 15955 19314 2150 5308
"1053_at" 19729 18707 19413 19158 20286
"117_at" 4416 9273 4557 8 11180
"121_at" 15258 16853 3623 2394 15382
"1255_g_at" 9362 5933 5376 11138 8942
"1294_at" 1802 1259 4205 3581 15610
"1316_at" 606 9297 12610 1169 1624
"1320_at" 7827 12551 655 2763 12428
"1405_i_at" 17591 5111 8762 10162 9017
"1431_at" 11461 2268 1271 4295 15106
"1438_at" 10972 16085 22247 1761 17923
"1487_at" 2260 15767 18439 13996 21931
"1494_f_at" 1071 16462 16852 15030 20175
"1598_g_at" 18361 3696 14657 14681 15201
"160020_at" 1959 20682 2550 4180 22074
"1729_at" 20257 19494 16978 1782 14016
"1773_at" 19768 12749 17793 19281 1418
"177_at" 163 2338 9121 21383 447
"179_at" 4090 17440 11072 15914 5
"1861_at" 17157 15716 19986 15512 19573
"200000_s_at" 20760 20425 10719 20668 18429
"200001_at" 18555 2673 10769 14112 15782
"200002_at" 15936 16434 11983 6999 15373
"200003_s_at" 2050 14557 6394 9122 5325
"200004_at" 20343 13970 15162 12991 16458
"200005_at" 17147 12907 4334 5640 15282
"200006_at" 4170 14609 12131 14817 14114
"200007_at" 4358 13193 11930 4759 14762
"200008_s_at" 16981 16019 11336 16751 20053
"200009_at" 4335 13433 11727 7060 15661
"200010_at" 18541 13333 4420 13956 6273
"200011_s_at" 20432 14974 18927 6960 14763
"200012_x_at" 3419 4301 3698 14356 15403
"200013_at" 4215 17655 10749 17246 6969
"200014_s_at" 16980 13159 11179 14131 18381
"200015_s_at" 16787 17403 14315 16059 5591
"200016_x_at" 19690 15564 13897 13098 14574
"200017_at" 3289 13738 6370 16889 5099
"200018_at" 3674 14006 6460 14018 15673
"200019_s_at" 3774 17725 11730 16224 16474
"200020_at" 20733 20215 15496 7158 17973
"200021_at" 17875 3700 6240 9313 9255
"200022_at" 3341 13799 6174 15791 6897
"200023_s_at" 14546 14014 12307 3633 17329
"200024_at" 15265 13407 3888 13671 17319
"200025_s_at" 14513 14846 10723 13435 14431
"200026_at" 1590 13631 6246 13087 6138
"200027_at" 14836 14373 4089 14139 6615
"200028_s_at" 20041 3602 17967 5758 5219
"200029_at" 15080 2784 11089 16600 5734
"200030_s_at" 17390 3512 3667 6158 6997
"200031_s_at" 3233 13319 6380 9196 16934
"200032_s_at" 14789 15191 6140 6391 5831
"200033_at" 19340 14528 15273 12983 7174
"200034_s_at" 15518 14637 4038 15073 14374
"200035_at" 21330 20506 11411 13219 20448
"200036_s_at" 14688 13244 11760 18500 15341
"200037_s_at" 14919 16429 15106 7019 6056
"200038_s_at" 4048 13188 6206 6873 7228
"200039_s_at" 18562 16702 14941 15940 17012
"200040_at" 15103 17407 13505 17278 14260
"200041_s_at" 20459 14020 12577 4628 15208
"200042_at" 16882 19222 14835 19283 14416
"200043_at" 20274 19081 10616 17649 19760
"200044_at" 21771 15403 14349 16024 15578
"200045_at" 18199 14803 17522 14232 19034
"200046_at" 19895 17400 15005 6421 5843
"200047_s_at" 2294 16689 16552 13418 6807
"200048_s_at" 16625 16145 12209 18432 16308
"200049_at" 1558 17326 15070 15705 2547
"200050_at" 1368 13070 16064 17975 6753
"200051_at" 18691 21323 13905 17601 21131
"200052_s_at" 18675 20186 12862 17384 14863
"200053_at" 2450 2190 12655 6294 2636
"200054_at" 367 15709 18457 5739 14740
"200055_at" 18393 14601 4118 13354 5954
"200056_s_at" 20323 19369 18319 19249 14520
"200057_s_at" 3949 13198 10578 13242 6808
"200058_s_at" 18824 16093 13233 16243 6336
"200059_s_at" 15648 4091 12371 15295 5030
"200060_s_at" 2976 13703 15700 17254 17086
"200061_s_at" 4205 12848 6198 9195 3889
"200062_s_at" 3755 4402 6431 9113 9148
"200063_s_at" 14848 12467 6152 9255 9228
"200064_at" 3048 13655 12960 14133 17104
"200065_s_at" 2416 4124 14917 6174 14907
"200066_at" 20661 19806 15514 19032 18794
"200067_x_at" 16529 14902 12162 5277 7117
"200068_s_at" 20683 3931 13240 13988 7109
"200069_at" 16396 17862 18732 18299 14270
"200070_at" 585 17358 12570 6844 21188
"200071_at" 19811 17878 13206 19541 15078
"200072_s_at" 21601 16735 16877 6299 6870
"200073_s_at" 19591 21227 16065 14961 17236
"200074_s_at" 14665 14177 14072 13121 14126
"200075_s_at" 21971 14941 16161 15875 7247
"200076_s_at" 16424 17212 18627 19217 17637
"200077_s_at" 2165 13066 11877 13630 4924
"200078_s_at" 16796 18677 17834 15567 15225
"200079_s_at" 4298 14594 11955 18059 7108
"200080_s_at" 16363 17886 13664 5523 5367
"200081_s_at" 15787 14267 3092 17462 15798
"200082_s_at" 2201 4039 4181 16472 14596
"200083_at" 17174 18307 17124 16552 3613
"200084_at" 18416 15207 14106 5716 15922
"200085_s_at" 16793 16180 11408 14141 16561
"200086_s_at" 15351 17004 11114 15259 6943
"200087_s_at" 19122 16222 14573 13072 15665
"200088_x_at" 2850 3868 6362 6966 14967
"200089_s_at" 4432 14881 3715 14631 6045
"200090_at" 633 14222 14049 16107 6421
"200091_s_at" 16043 17200 3776 21209 14309
"200092_s_at" 16219 2742 6156 3354 15923
"200093_s_at" 21182 16043 13570 15780 14162
"200094_s_at" 3871 2940 11795 15091 7240
"200095_x_at" 14984 13202 6145 9299 14136
"200096_s_at" 18479 15263 17513 20367 18711
"200097_s_at" 15383 15840 15957 5811 3204
"200098_s_at" 19380 12898 12246 15706 17706
"200099_s_at" 2426 15636 6290 14222 5436
"200593_s_at" 17720 17952 11454 17770 15840
"200594_x_at" 21423 12962 13162 12936 6981
"200595_s_at" 21045 20010 14338 20354 6954
"200596_s_at" 17766 21839 12559 20609 16006
"200597_at" 1510 20663 1833 5458 20283
"200598_s_at" 14728 747 4269 17361 6368
"200599_s_at" 16534 3785 11672 14803 4194
"200600_at" 19818 14720 5834 17537 4295
"200601_at" 17144 3899 21978 3375 5162
"200602_at" 2013 21126 10843 6224 17750
"200603_at" 18202 16360 15641 5077 4859
"200604_s_at" 21547 18157 11696 17910 6935
"200605_s_at" 18398 14475 18016 15716 4347
"200606_at" 5244 14949 13567 13090 2746
"200607_s_at" 777 1941 3234 13461 7059
"200608_s_at" 21384 17277 13451 15401 4355
"200609_s_at" 19934 4231 18900 18586 16331
"200610_s_at" 18909 17357 17349 14948 2656
"200611_s_at" 16600 17794 11614 13720 16636
"200612_s_at" 16914 13373 14135 14732 1566
"200613_at" 20915 16529 14003 5074 6956
"200614_at" 19838 15891 11603 17639 14613
"200615_s_at" 15619 2953 10721 13924 20044
"200616_s_at" 14765 14488 14129 13360 18574
"200617_at" 19269 12856 19087 14914 19386
"200618_at" 19748 18988 16235 13057 14676
"200619_at" 18313 13904 3824 5355 20255
"200620_at" 18483 15943 3372 18376 3626
"200621_at" 18660 16519 14995 13397 4409
"200622_x_at" 3643 15842 10579 5094 19147
"200623_s_at" 20186 15428 20752 19665 17522
"200624_s_at" 17436 13243 12863 17475 5279
"200625_s_at" 19139 19498 17129 5353 6709
"200626_s_at" 16863 20840 13743 17894 15318
"200627_at" 18402 13514 11647 15235 6609
"200628_s_at" 18627 2704 1639 16071 4189
"200629_at" 19401 1949 1649 5386 5139
"200630_x_at" 3993 14460 11308 13134 5109
"200631_s_at" 16710 13533 11611 5635 14437
"200632_s_at" 20613 12542 18237 3406 3213
"200633_at" 3026 3419 6459 9194 6927
"200634_at" 20761 18369 12081 17459 18787
"200635_s_at" 7871 4190 19830 17845 4825
"200636_s_at" 10329 18065 14353 19302 16542
"200637_s_at" 11704 1105 12076 2471 20592
"200638_s_at" 17152 12744 11707 13485 6587
"200639_s_at" 21861 17436 13179 13702 18628
"200640_at" 20548 13176 10904 5849 15856
"200641_s_at" 15986 13721 11518 13738 4815
"200642_at" 18583 13940 11219 6685 6535
"200643_at" 18992 17895 14522 20139 1557
"200644_at" 21816 16309 17180 15511 5034
"200645_at" 15937 12489 14198 6572 17323
"200646_s_at" 16871 984 2833 13174 667
"200647_x_at" 16715 4263 3952 15839 18264
"200648_s_at" 17120 21937 11821 20974 7137
"200649_at" 17137 16652 12325 19346 17704
"200650_s_at" 20590 3128 4407 9076 14228
"200651_at" 15226 12694 6219 17266 17038
"200652_at" 20411 16473 17921 18005 20691
"200653_s_at" 16493 3982 18417 18161 3053
"200654_at" 19835 13292 14530 5348 6156
"200655_s_at" 21473 4084 12825 19800 6042
"200656_s_at" 18641 18309 16762 14119 14089
"200657_at" 15110 3613 11181 4937 3316
"200658_s_at" 3847 13534 12773 17121 18316
"200659_s_at" 17833 18180 19794 4038 6864
"200660_at" 4146 14868 2849 15072 6459
"200661_at" 16636 15194 14756 15041 15652
"200662_s_at" 3206 16339 10677 15476 6398
"200663_at" 4246 4154 15414 14623 14769
"200664_s_at" 20598 18261 21056 5698 14275
"200665_s_at" 11380 11661 9519 12659 11901
"200666_s_at" 19536 15192 17380 5830 6490
"200667_at" 19436 15540 16842 4308 6083
"200668_s_at" 17264 13203 15265 14594 14965
"200669_s_at" 2366 15343 11353 12935 2825
"200670_at" 19749 18585 11299 4118 15082
"200671_s_at" 8504 16220 449 1468 16974
"200672_x_at" 8072 19189 12762 18224 19681
"200673_at" 17042 14308 13848 4755 3610
"200674_s_at" 3663 4368 6312 6350 15882
"200675_at" 21054 20350 17800 16592 5449
"200676_s_at" 641 14480 21427 2243 2908
"200677_at" 17511 13888 16861 14671 14942
"200678_x_at" 15521 12726 12297 14593 17209
"200679_x_at" 18066 17223 10732 5358 5950
"200680_x_at" 17769 20316 6462 3964 5441
"200681_at" 17923 2900 4024 13847 5347
"200682_s_at" 19624 16348 13243 18935 6732
"200683_s_at" 17936 18069 18257 20402 5691
"200684_s_at" 20309 18176 21409 6772 17866
"200685_at" 21298 22121 15233 19762 19256
"200686_s_at" 18683 19635 21164 18337 3632
"200687_s_at" 20407 19051 18496 16909 21873
"200688_at" 17621 13886 19003 17678 3166
"200689_x_at" 15192 2730 3671 5089 14651
"200690_at" 2823 20115 14305 21316 5297
"200691_s_at" 15534 1745 12932 6129 5519
"200692_s_at" 17345 16733 12779 18598 15080
"200693_at" 18723 13124 13198 7088 5873
"200694_s_at" 21117 15679 17455 17398 19136
"200695_at" 18238 2066 20514 17020 20232
"200696_s_at" 15349 2942 15066 20192 20939
"200697_at" 3039 2425 16807 13051 17207
"200698_at" 22033 16209 17040 16547 15692
"200699_at" 20904 15966 15993 12999 17758
"200700_s_at" 21264 14041 13447 15191 16066
"200701_at" 16433 12802 1560 15386 5488
"200702_s_at" 15469 12911 19162 19620 20817
"200703_at" 22063 18526 17067 17846 19459
"200704_at" 19957 15895 13190 17341 4130
"200705_s_at" 1920 3304 3365 16761 5974
"200706_s_at" 17818 1822 14967 6212 18616
"200707_at" 21617 14858 16968 14990 17935
"200708_at" 18283 17545 10601 15821 16237
"200709_at" 19454 15179 17306 18699 14398
"200710_at" 15073 2998 12264 3279 4066
"200711_s_at" 19142 19103 13957 19865 6866
"200712_s_at" 21275 18092 15660 18749 3842
"200713_s_at" 19386 14538 16937 4649 6970
"200714_x_at" 16814 3244 2110 5629 16508
"200715_x_at" 4122 1853 2782 3800 7083
"200716_x_at" 14757 14325 6277 14995 17218
"200717_x_at" 1793 4137 6381 9193 9205
"200718_s_at" 1662 12555 11083 5806 4764
"200719_at" 21599 16829 17668 15050 16024
"200720_s_at" 17693 3424 16892 17566 21373
"200721_s_at" 21326 14380 19685 12973 16078
"200722_s_at" 1233 16600 16929 19682 20822
"200723_s_at" 2272 4290 16579 6798 18141
"200724_at" 451 12553 22121 20283 3428
"200725_x_at" 1911 3449 2670 6127 4629
"200726_at" 21212 17088 13467 19427 18005
"200727_s_at" 18763 13191 3292 3607 19218
"200728_at" 19413 17611 15309 18565 19038
"200729_s_at" 2330 16535 4410 6503 6197
"200730_s_at" 15805 18845 17030 19668 19777
"200731_s_at" 22249 21467 11005 20432 18218
"200732_s_at" 15663 19916 10766 20594 16655
"200733_s_at" 16435 21769 19033 21634 14385
"200734_s_at" 18752 14529 12840 18244 17468
"200735_x_at" 3154 12835 6235 6735 16220
"200736_s_at" 15468 15040 7125 14153 8459
"200737_at" 16456 14274 15186 14235 17593
"200738_s_at" 20710 12392 11806 17265 15745
"200739_s_at" 14843 3321 16462 13409 16722
"200740_s_at" 1979 12480 14987 6869 5083
"200741_s_at" 14615 13095 6323 17079 9149
"200742_s_at" 15746 2485 3184 4671 17007
"200743_s_at" 3334 3800 13271 5164 18161
"200744_s_at" 16446 14785 11009 14279 16675
"200745_s_at" 15740 13064 16625 14654 5212
"200746_s_at" 15914 17731 18894 16893 7021
"200747_s_at" 3704 4141 15643 3595 2649
"200748_s_at" 373 13806 3396 14230 4898
"200749_at" 19406 20977 17645 19955 17525
"200750_s_at" 19039 15089 11538 16525 16093
"200751_s_at" 3275 13464 11055 16453 6321
"200752_s_at" 4047 2909 17760 4156 4725
"200753_x_at" 21276 17664 21154 18251 19244
"200754_x_at" 20421 16967 19610 13488 19423
"200755_s_at" 19427 13648 15653 14275 6460
"200756_x_at" 20375 16230 2754 15025 21994
"200757_s_at" 21113 4024 19540 15563 17208
"200758_s_at" 19194 20774 3069 14967 6035
"200759_x_at" 3099 15147 10924 4249 1863
"200760_s_at" 3436 1875 13306 6372 17606
"200761_s_at" 3829 12616 15153 3591 16480
"200762_at" 20867 14840 11237 7002 4879
"200763_s_at" 15384 12778 6280 6464 6447
"200764_s_at" 12216 9085 17033 12977 17677
"200765_x_at" 11833 9981 13129 9066 15280
"200766_at" 1376 19006 20664 7161 18721
"200767_s_at" 15287 835 14956 17573 18523
"200768_s_at" 20558 20546 20792 15547 20712
"200769_s_at" 20442 20846 19813 3636 19982
"200770_s_at" 21025 12872 13060 21367 15295
"200771_at" 2716 1898 4406 4313 5343
"200772_x_at" 17929 4248 12293 17719 17741
"200773_x_at" 18463 13152 10715 14433 5086
"200774_at" 2886 14518 12390 15564 5154
"200775_s_at" 17170 16397 11905 4379 2033
"200776_s_at" 16073 16975 14418 17252 14904
"200777_s_at" 21179 17795 12589 19203 6548
"200778_s_at" 16069 15030 14659 7122 6883
"200779_at" 15499 13339 526 6199 3593
"200780_x_at" 15670 2790 3609 14749 5818
"200781_s_at" 4259 4348 6358 6613 16915
"200782_at" 19243 18552 12786 6605 17524
"200783_s_at" 21596 17542 19524 19327 14642
"200784_s_at" 7927 14630 9106 2321 8578
"200785_s_at" 10553 1165 9321 2853 11109
"200786_at" 17148 13498 11937 6137 14697
"200787_s_at" 17892 4222 21639 16711 15070
"200788_s_at" 19824 17282 16217 4538 16417
"200789_at" 15584 22016 12323 3313 20806
"200790_at" 16153 13784 16996 16252 5491
"200791_s_at" 21204 17251 3642 4043 4904
"200792_at" 1927 14617 11612 15486 16351
"200793_s_at" 18389 21344 15023 18347 17384
"200794_x_at" 19961 15484 14110 18304 15438
"200795_at" 13369 9024 491 12314 12442
"200796_s_at" 15194 14958 19133 3073 16705
"200797_s_at" 3204 13297 19919 16368 19065
"200798_x_at" 1915 20768 20934 14109 15476
"200799_at" 6037 3015 21320 3405 6394
"200800_s_at" 272 18569 22147 1807 17062
"200801_x_at" 17694 3047 6408 9083 6946
"200802_at" 2146 13020 1440 5410 7034
"200803_s_at" 18533 3416 11043 13577 6098
"200804_at" 15366 14346 4336 17369 14931
"200805_at" 16921 18880 17171 20843 7143
"200806_s_at" 14599 13139 12766 4318 4136
"200807_s_at" 3585 12941 6429 14418 14723
"200808_s_at" 18196 3640 18201 4559 20112
"200809_x_at" 1664 2702 4288 6715 16488
"200810_s_at" 20831 20014 11235 6807 3495
"200811_at" 3816 18099 12642 16865 5521
"200812_at" 15747 16131 15354 5717 18876
"200813_s_at" 20966 21078 18349 19455 21989
"200814_at" 2518 3108 10989 13123 16317
"200815_s_at" 19155 18178 10842 16675 18852
"200816_s_at" 21573 18472 18724 19299 16256
"200817_x_at" 3793 3084 6226 9097 9141
"200818_at" 4421 16476 1188 16228 16363
"200819_s_at" 16833 13441 6368 16723 16449
"200820_at" 16376 14900 12738 19136 18455
"200821_at" 18623 19334 19008 17660 4620
"200822_x_at" 19901 3623 3766 17363 15690
"200823_x_at" 15299 12913 3132 6740 6694
"200824_at" 20360 15635 15577 6320 1823
"200825_s_at" 16206 12882 17808 3748 5695
"200826_at" 17207 16101 4028 17777 16635
"200827_at" 16358 13792 13641 6099 16064
"200828_s_at" 21458 19261 17803 19949 19494
"200829_x_at" 22075 20380 20045 17419 15540
"200830_at" 20848 17226 18811 13865 5141
"200831_s_at" 15496 4005 2845 13833 1596
"200832_s_at" 19171 19981 10733 5868 2736
"200833_s_at" 21741 19434 15177 17389 17068
"200834_s_at" 1619 16076 6464 14805 15858
"200835_s_at" 1772 14627 3345 15340 1086
"200836_s_at" 21426 21736 840 17288 2601
"200837_at" 18226 14258 16310 5198 2847
"200838_at" 16828 12969 12158 20046 16492
"200839_s_at" 20617 15861 13343 7064 14884
"200840_at" 1774 15610 11585 6402 14588
