"inst_441" "inst_443" "inst_604"
"1007_s_at" 5401 4170 16888
"1053_at" 1438 5149 3685
"117_at" 21498 3748 5595
"121_at" 17083 14207 5118
"1255_g_at" 8897 2901 11413
"1294_at" 21001 16304 1543
"1316_at" 1561 2003 15637
"1320_at" 1514 19705 436
"1405_i_at" 11012 9403 12161
"1431_at" 12364 9725 9449
"1438_at" 1316 5133 18566
"1487_at" 2423 1499 15687
"1494_f_at" 5639 2373 18641
"1598_g_at" 17253 3982 21209
"160020_at" 4374 3031 3729
"1729_at" 19408 6279 20707
"1773_at" 7708 13784 19421
"177_at" 17279 9885 9517
"179_at" 16899 3988 16706
"1861_at" 3152 631 18435
"200000_s_at" 7716 14557 14857
"200001_at" 17492 5746 5207
"200002_at" 7385 15683 3170
"200003_s_at" 8018 13778 3402
"200004_at" 15265 17022 4090
"200005_at" 17569 19025 4726
"200006_at" 15631 15582 3885
"200007_at" 18407 15113 4103
"200008_s_at" 17532 16991 3546
"200009_at" 8047 14205 5484
"200010_at" 17050 13838 4004
"200011_s_at" 4276 18443 16749
"200012_x_at" 4135 2232 6328
"200013_at" 17032 14939 5941
"200014_s_at" 16251 15716 4543
"200015_s_at" 5804 5199 4787
"200016_x_at" 6028 3330 5939
"200017_at" 4977 4873 15331
"200018_at" 19106 17307 14556
"200019_s_at" 6459 3938 2228
"200020_at" 16159 18123 14995
"200021_at" 16320 13863 4507
"200022_at" 2857 2886 6706
"200023_s_at" 15622 15674 15079
"200024_at" 6692 1901 17862
"200025_s_at" 17053 14215 4832
"200026_at" 20582 21130 6770
"200027_at" 7706 16374 4627
"200028_s_at" 15965 5760 15494
"200029_at" 5895 2432 4661
"200030_s_at" 17936 16382 6519
"200031_s_at" 6144 5537 5113
"200032_s_at" 15467 14354 5534
"200033_at" 16238 14390 6747
"200034_s_at" 19029 16628 5827
"200035_at" 7558 5673 20753
"200036_s_at" 17720 15442 2831
"200037_s_at" 17453 16037 6671
"200038_s_at" 15441 15402 5765
"200039_s_at" 17521 16661 14658
"200040_at" 15288 17188 15835
"200041_s_at" 6570 4305 16368
"200042_at" 4359 16383 4030
"200043_at" 16076 14953 5344
"200044_at" 15850 5523 5661
"200045_at" 5234 6313 5428
"200046_at" 19807 19248 4738
"200047_s_at" 7729 16056 2670
"200048_s_at" 5934 3633 14167
"200049_at" 7918 14377 17654
"200050_at" 8051 16910 4782
"200051_at" 5052 3319 19016
"200052_s_at" 15384 15642 5014
"200053_at" 4232 5325 19284
"200054_at" 16664 5062 4482
"200055_at" 6312 5498 14978
"200056_s_at" 6543 6272 756
"200057_s_at" 15189 15869 14639
"200058_s_at" 8022 18290 15623
"200059_s_at" 17679 17223 2866
"200060_s_at" 2229 3604 16751
"200061_s_at" 6622 3253 5771
"200062_s_at" 7375 6287 14616
"200063_s_at" 15911 17214 5861
"200064_at" 4600 5541 14623
"200065_s_at" 15566 14281 15573
"200066_at" 16007 18358 3708
"200067_x_at" 17715 13960 5845
"200068_s_at" 17187 16507 13860
"200069_at" 1323 18275 952
"200070_at" 2887 4961 16646
"200071_at" 18764 21169 1600
"200072_s_at" 18515 18020 16411
"200073_s_at" 18997 18461 3869
"200074_s_at" 16265 16721 5565
"200075_s_at" 4828 2618 15686
"200076_s_at" 15475 14431 15612
"200077_s_at" 15403 15653 4608
"200078_s_at" 6313 5803 6670
"200079_s_at" 16640 16456 15076
"200080_s_at" 17090 20664 4253
"200081_s_at" 5391 3680 6188
"200082_s_at" 16125 15352 3878
"200083_at" 16596 17421 15467
"200084_at" 16553 15027 3006
"200085_s_at" 15325 5729 6140
"200086_s_at" 5355 16755 6451
"200087_s_at" 15320 15340 4282
"200088_x_at" 5597 2970 14169
"200089_s_at" 7638 15612 4514
"200090_at" 6658 17813 5034
"200091_s_at" 6688 13690 4296
"200092_s_at" 4805 5180 2752
"200093_s_at" 7688 15850 3122
"200094_s_at" 16614 17546 5198
"200095_x_at" 15940 4528 3866
"200096_s_at" 16084 16109 6778
"200097_s_at" 15964 20293 5903
"200098_s_at" 3922 14384 6011
"200099_s_at" 16416 15338 4050
"200593_s_at" 19312 17028 17208
"200594_x_at" 16528 14381 16327
"200595_s_at" 4400 14032 4990
"200596_s_at" 19978 5233 18527
"200597_at" 17498 5977 556
"200598_s_at" 19054 18212 17329
"200599_s_at" 3545 16303 16961
"200600_at" 12455 11302 13177
"200601_at" 16831 21412 18261
"200602_at" 488 1897 15036
"200603_at" 5734 14785 14614
"200604_s_at" 19049 15786 3794
"200605_s_at" 3669 4599 14962
"200606_at" 7431 17991 15796
"200607_s_at" 19037 21463 4266
"200608_s_at" 5104 13644 2339
"200609_s_at" 7227 15685 15728
"200610_s_at" 5603 5633 5325
"200611_s_at" 5044 5592 6837
"200612_s_at" 3962 4216 4697
