"inst_1303" "inst_2657" "inst_5423" "inst_6322"
"1007_s_at" 20049 7638 20761 9935
"1053_at" 2379 20198 6851 3130
"117_at" 15403 9839 13129 18742
"121_at" 700 3386 5745 12350
"1255_g_at" 9933 15842 16121 17993
"1294_at" 441 3895 19073 193
"1316_at" 17016 21373 21670 11499
"1320_at" 12081 15257 19899 17906
"1405_i_at" 2196 11931 17068 14396
"1431_at" 7965 21695 13950 2049
"1438_at" 7690 5070 20698 20436
"1487_at" 459 2424 1754 7966
"1494_f_at" 11820 2369 2595 19854
"1598_g_at" 21531 18397 11017 7201
"160020_at" 3897 555 3367 20672
"1729_at" 21971 9767 4223 21245
"1773_at" 3563 3325 21569 5759
"177_at" 1037 12092 13534 1489
"179_at" 22067 5297 286 34
"1861_at" 836 9215 9234 7346
"200000_s_at" 1331 3672 4941 4427
"200001_at" 18255 17621 9866 6445
"200002_at" 15440 9805 9349 11097
"200003_s_at" 15778 17977 11086 20555
"200004_at" 16645 9142 8332 10616
"200005_at" 15433 8987 9812 8971
"200006_at" 15620 8497 18816 11064
"200007_at" 4430 7856 9165 12409
"200008_s_at" 21646 20138 8212 10089
"200009_at" 15838 18372 10002 10898
"200010_at" 16212 19142 8410 9267
"200011_s_at" 4113 8340 7601 5766
"200012_x_at" 15376 10626 20005 20753
"200013_at" 16881 8605 10396 11233
"200014_s_at" 5786 9024 8725 9084
"200015_s_at" 5431 6423 7637 9140
"200016_x_at" 3266 7864 10917 11799
"200017_at" 15423 8482 13317 12493
"200018_at" 15413 9616 18162 19754
"200019_s_at" 5084 17801 10009 11661
"200020_at" 18717 8285 7873 8211
"200021_at" 15988 10259 17848 15328
"200022_at" 16363 9229 17799 12509
"200023_s_at" 5739 6324 10130 12572
"200024_at" 5834 10162 18635 20841
"200025_s_at" 4219 6079 18242 11815
"200026_at" 5499 17871 10400 20051
"200027_at" 17241 5166 18603 11676
"200028_s_at" 2154 5229 17811 10646
"200029_at" 15411 18705 9940 19857
"200030_s_at" 16436 7957 11310 12062
"200031_s_at" 4370 9861 13300 20474
"200032_s_at" 15819 17865 13320 20351
"200033_at" 18448 7331 9536 9726
"200034_s_at" 5666 17768 9839 11836
"200035_at" 1676 2177 3549 3222
"200036_s_at" 17197 9577 10683 12387
"200037_s_at" 3282 8172 8538 7751
"200038_s_at" 4925 18364 18694 12110
"200039_s_at" 4074 18028 18723 10886
"200040_at" 4647 8787 7439 10235
"200041_s_at" 2292 9801 10517 8610
"200042_at" 16650 4969 18202 10726
"200043_at" 5744 8220 18518 9517
"200044_at" 16056 7418 10575 5445
"200045_at" 15565 8607 6614 12243
"200046_at" 17667 5362 9447 7702
"200047_s_at" 15597 7040 19085 10393
"200048_s_at" 5136 8301 11236 10922
"200049_at" 16070 2492 4442 8269
"200050_at" 19811 9887 17614 4340
"200051_at" 1244 4622 5058 8508
"200052_s_at" 18646 10164 10321 10682
"200053_at" 3081 19097 19509 11370
"200054_at" 18674 7090 5380 10649
"200055_at" 2441 5567 17947 11396
"200056_s_at" 19146 2809 9499 4429
"200057_s_at" 4145 7779 17734 10608
"200058_s_at" 16316 5250 5839 6776
"200059_s_at" 17049 7236 7636 12487
"200060_s_at" 5655 7074 17916 5769
"200061_s_at" 16216 8652 13298 20938
"200062_s_at" 5750 12969 13224 15019
"200063_s_at" 4804 7233 13348 20710
"200064_at" 17002 9524 11139 10648
"200065_s_at" 5329 19089 7414 11406
"200066_at" 19364 19586 4135 10301
"200067_x_at" 17722 17842 6551 11209
"200068_s_at" 17873 9730 9134 6925
"200069_at" 3409 6904 5475 558
"200070_at" 15915 1481 5818 7917
"200071_at" 18624 6514 7322 4582
"200072_s_at" 15388 10497 6777 8680
"200073_s_at" 4642 6359 10902 5646
"200074_s_at" 16175 7797 17696 11193
"200075_s_at" 3106 8146 8148 9831
"200076_s_at" 18494 9033 10001 6957
"200077_s_at" 5549 7866 11282 9887
"200078_s_at" 3640 10269 8620 2614
"200079_s_at" 17921 10419 18359 11029
"200080_s_at" 5284 6699 9999 10580
"200081_s_at" 16703 18000 10875 11011
"200082_s_at" 16955 10762 18153 12329
"200083_at" 3558 18348 8298 3026
"200084_at" 16932 7600 7963 10191
"200085_s_at" 17501 18166 17743 11040
"200086_s_at" 5109 9674 8222 19738
"200087_s_at" 15334 5259 8091 4407
"200088_x_at" 5780 12982 13234 20245
"200089_s_at" 5074 10117 8376 12242
"200090_at" 16759 8211 19982 8341
"200091_s_at" 3686 7124 10362 11965
"200092_s_at" 15370 9773 10062 19920
"200093_s_at" 5277 6712 17987 9602
"200094_s_at" 4765 17622 18794 5479
"200095_x_at" 4932 13186 13402 15307
"200096_s_at" 19841 6438 8308 9351
"200097_s_at" 4496 8916 4794 9676
"200098_s_at" 5461 8708 7580 5812
"200099_s_at" 15569 18151 13359 11675
"200593_s_at" 16856 17597 4236 6828
"200594_x_at" 5156 8305 6760 3632
"200595_s_at" 4750 3945 7156 2856
"200596_s_at" 2261 17916 5843 7418
"200597_at" 3824 2223 19482 19863
"200598_s_at" 17664 6135 11291 4394
"200599_s_at" 15805 18939 10305 1951
"200600_at" 3249 15274 13062 5334
"200601_at" 585 6965 1338 3951
"200602_at" 15444 1623 8351 19998
"200603_at" 5292 3592 9395 5315
"200604_s_at" 22269 18731 4489 8886
"200605_s_at" 21447 7275 5858 7103
"200606_at" 9967 5559 8507 10538
"200607_s_at" 20570 10493 8565 12626
"200608_s_at" 16360 8213 9954 4338
"200609_s_at" 20379 3728 10212 3310
"200610_s_at" 3150 6605 9001 10781
"200611_s_at" 20156 8038 5841 10271
"200612_s_at" 20324 21068 22059 4190
"200613_at" 2559 18560 8546 9818
"200614_at" 15716 10042 17765 10798
"200615_s_at" 16804 4555 7672 21629
"200616_s_at" 2894 8218 19536 11373
"200617_at" 4758 6106 10484 5619
"200618_at" 3235 5830 8759 7683
"200619_at" 2719 8478 2196 6257
"200620_at" 17518 17744 5807 7930
"200621_at" 2794 6346 17646 2575
"200622_x_at" 21285 7831 18893 10392
"200623_s_at" 669 5111 4148 6777
"200624_s_at" 21874 6544 5140 3558
"200625_s_at" 4905 7599 11278 7049
"200626_s_at" 3487 5203 8528 4736
"200627_at" 17554 9644 19752 10776
"200628_s_at" 20744 5162 3824 21440
"200629_at" 15913 17882 4825 3626
"200630_x_at" 5280 18688 9535 9956
"200631_s_at" 4928 8733 10392 10269
"200632_s_at" 1582 19457 972 900
"200633_at" 4748 10435 13297 20326
"200634_at" 2305 9314 10006 10324
