"inst_1714" "inst_7007" "inst_7247"
"1007_s_at" 2985 16295 4043
"1053_at" 16466 16094 16888
"117_at" 21256 7249 6407
"121_at" 19871 1352 2168
"1255_g_at" 7426 11313 7114
"1294_at" 18936 1408 12132
"1316_at" 16387 13064 3671
"1320_at" 7797 5486 6014
"1405_i_at" 2752 2436 12707
"1431_at" 8183 11811 12569
"1438_at" 8446 10461 14465
"1487_at" 20843 21337 21551
"1494_f_at" 21717 10980 11518
"1598_g_at" 1632 17235 4151
"160020_at" 5871 13020 2882
"1729_at" 4372 2284 2247
"1773_at" 9002 20438 665
"177_at" 21993 10818 12669
"179_at" 4275 20836 20922
"1861_at" 10990 19907 17236
"200000_s_at" 1390 2922 2086
"200001_at" 3454 4170 14998
"200002_at" 17052 2825 3909
"200003_s_at" 18952 4382 13368
"200004_at" 3580 15223 14312
"200005_at" 4849 16797 15309
"200006_at" 5127 13238 13323
"200007_at" 5673 15141 2338
"200008_s_at" 17061 14150 17243
"200009_at" 3461 4299 16616
"200010_at" 3782 4435 2913
"200011_s_at" 1907 15647 2122
"200012_x_at" 3483 3497 3708
"200013_at" 3969 14384 14770
"200014_s_at" 17511 14815 4116
"200015_s_at" 19847 18398 18647
"200016_x_at" 3904 13564 2981
"200017_at" 5334 4325 3509
"200018_at" 17965 15606 14557
"200019_s_at" 17213 14658 3177
"200020_at" 3869 20122 1719
"200021_at" 19123 2455 2811
"200022_at" 20201 14452 4032
"200023_s_at" 17757 17666 15453
"200024_at" 3848 4254 13335
"200025_s_at" 16869 15582 14237
"200026_at" 2425 13718 13187
"200027_at" 18054 4655 16796
"200028_s_at" 17840 19792 4058
"200029_at" 17510 3467 2385
"200030_s_at" 5660 13850 16594
"200031_s_at" 5542 13892 14295
"200032_s_at" 16676 13554 15560
"200033_at" 19131 16334 14003
"200034_s_at" 4908 15088 13566
"200035_at" 16751 15956 20399
"200036_s_at" 19041 3320 2928
"200037_s_at" 17886 15903 17160
"200038_s_at" 16299 3424 3179
"200039_s_at" 16008 4598 13401
"200040_at" 20559 15748 4138
"200041_s_at" 3837 3704 2631
"200042_at" 5081 4095 15900
"200043_at" 18164 16051 19770
"200044_at" 17575 14976 15428
"200045_at" 16950 19130 17302
