"inst_1768" "inst_2761" "inst_5865" "inst_7219"
"1007_s_at" 4986 17536 4107 17908
"1053_at" 21309 12354 13297 18071
"117_at" 19707 9578 3927 11153
"121_at" 4974 13810 20719 20589
"1255_g_at" 8298 4869 11167 3301
"1294_at" 17739 1285 2938 6775
"1316_at" 17971 21548 15490 18275
"1320_at" 7257 5752 7636 9439
"1405_i_at" 21566 6180 7509 12499
"1431_at" 12202 6513 2105 6872
"1438_at" 8175 15379 12741 21766
"1487_at" 16280 20527 5787 18769
"1494_f_at" 1638 1117 452 12363
"1598_g_at" 4490 18451 19587 18047
"160020_at" 4207 19891 19275 17448
"1729_at" 19769 18300 6079 13370
"1773_at" 3532 10876 5037 2051
"177_at" 17863 9463 10004 12065
"179_at" 2014 16745 20773 2395
"1861_at" 9693 1717 18467 16081
"200000_s_at" 3890 17443 19140 3175
"200001_at" 20909 16078 14112 3416
"200002_at" 2319 2652 14602 14226
"200003_s_at" 5753 2296 16983 14595
"200004_at" 21300 12978 16992 17471
"200005_at" 3510 15190 15973 15198
"200006_at" 16367 12347 14729 12811
"200007_at" 20578 14572 16565 14382
"200008_s_at" 3459 12083 6109 2360
"200009_at" 6306 11582 5351 4369
"200010_at" 17161 1933 17094 13774
"200011_s_at" 21570 11442 16148 17949
"200012_x_at" 3981 2437 3582 3939
"200013_at" 3912 10886 13601 4423
"200014_s_at" 16653 13397 14429 16281
"200015_s_at" 21564 12605 17154 15072
"200016_x_at" 18490 10349 15699 15679
"200017_at" 18421 5222 15608 13366
"200018_at" 5052 2533 5673 3651
"200019_s_at" 3181 11608 15294 13477
"200020_at" 5296 13969 13533 12876
"200021_at" 22279 1810 6039 4419
"200022_at" 1907 1887 14052 4265
"200023_s_at" 6301 14784 13206 14420
"200024_at" 2866 11904 5216 4131
"200025_s_at" 17443 2439 14994 15947
"200026_at" 21114 2015 5324 4687
"200027_at" 1571 17484 14507 15103
"200028_s_at" 19035 13627 5010 15674
"200029_at" 3650 11660 4497 15926
"200030_s_at" 3256 11200 5795 13994
"200031_s_at" 2283 5185 4896 4894
"200032_s_at" 18319 5225 4360 3210
"200033_at" 19174 10309 14305 14227
"200034_s_at" 1786 1712 4362 4895
"200035_at" 5779 15438 21890 21877
"200036_s_at" 4004 2737 14341 4533
"200037_s_at" 20969 11681 15506 14388
"200038_s_at" 5751 10392 6360 3374
"200039_s_at" 18299 17671 15392 13375
"200040_at" 19679 12506 15354 14724
"200041_s_at" 18979 19603 4354 12980
"200042_at" 3511 15053 15046 15225
"200043_at" 20804 12307 20429 4953
"200044_at" 16403 14941 14554 14220
"200045_at" 930 19987 16969 14370
"200046_at" 5124 17665 17652 17070
"200047_s_at" 18666 13794 17254 15272
"200048_s_at" 18118 12581 17065 14585
"200049_at" 21595 18573 19758 13904
"200050_at" 17456 1935 13704 19411
"200051_at" 2246 13741 20647 16140
"200052_s_at" 2856 21453 15837 15334
"200053_at" 1543 21863 5154 4463
"200054_at" 3099 16954 3386 18861
"200055_at" 18700 20506 4920 17535
"200056_s_at" 20673 2731 15759 20134
"200057_s_at" 5384 13528 13053 14277
"200058_s_at" 6307 17658 19478 18568
"200059_s_at" 5182 12770 14897 4775
"200060_s_at" 16576 15388 16591 18591
"200061_s_at" 2744 5183 4389 5105
"200062_s_at" 18250 5024 4740 13194
"200063_s_at" 16633 5277 3085 3087
"200064_at" 2405 10742 4759 4003
"200065_s_at" 2748 15929 13781 4834
"200066_at" 1008 11373 13869 4943
"200067_x_at" 3254 18501 5737 12818
"200068_s_at" 21175 11947 17024 15819
"200069_at" 17920 13936 17557 20144
"200070_at" 5000 12094 6208 21646
"200071_at" 20063 15521 16958 19135
"200072_s_at" 2520 11831 14518 14061
"200073_s_at" 17300 11412 15191 17885
"200074_s_at" 17561 10630 15783 13473
"200075_s_at" 900 18591 14937 13335
"200076_s_at" 3339 21068 5120 13762
"200077_s_at" 6048 2128 16496 13650
"200078_s_at" 3842 18622 13700 16857
"200079_s_at" 4259 17263 15944 4705
"200080_s_at" 19116 1809 5746 16317
"200081_s_at" 4728 10720 16856 3553
"200082_s_at" 6327 10336 14024 4171
"200083_at" 19928 12879 17447 17601
"200084_at" 5465 13312 17091 16646
"200085_s_at" 3176 13686 14666 13617
"200086_s_at" 2930 14039 17059 14603
"200087_s_at" 19201 14074 16801 17391
"200088_x_at" 3865 2386 13214 4605
"200089_s_at" 20477 2316 14010 18558
"200090_at" 6155 19141 6132 17155
"200091_s_at" 16489 1819 16103 13448
"200092_s_at" 6344 2631 18817 4172
"200093_s_at" 20377 12676 16067 18445
"200094_s_at" 4385 14986 15421 14047
"200095_x_at" 4362 2367 5350 12885
"200096_s_at" 1662 14571 17654 14034
"200097_s_at" 21619 12328 19433 19299
"200098_s_at" 19122 13019 17746 17434
"200099_s_at" 17913 5293 14547 5088
"200593_s_at" 1853 12856 5141 4586
"200594_x_at" 20738 1759 18248 16909
"200595_s_at" 4729 12756 19530 18838
"200596_s_at" 6124 11438 16301 17568
"200597_at" 4624 11644 17336 17711
"200598_s_at" 4505 12707 5628 4114
"200599_s_at" 17915 13308 15970 3286
"200600_at" 18084 5493 21869 11856
"200601_at" 17924 18647 5588 21585
"200602_at" 4928 20248 20264 15267
"200603_at" 22261 10565 19299 19896
"200604_s_at" 21074 12359 16915 3588
"200605_s_at" 21522 14467 15011 14360
"200606_at" 8279 16155 13519 18268
"200607_s_at" 1594 10759 3158 14657
"200608_s_at" 22076 10389 4750 17619
"200609_s_at" 19400 15142 15869 3968
"200610_s_at" 17377 12406 17358 18515
"200611_s_at" 3113 15711 16080 17401
