"inst_338" "inst_1528" "inst_1945" "inst_2028" "inst_4667" "inst_5262" "inst_5627"
"1007_s_at" 2906 14369 5914 16634 8438 4410 17232
"1053_at" 12768 15572 21061 18766 4262 17956 14389
"117_at" 11666 7132 16154 5460 8 12098 8471
"121_at" 13171 19203 18920 18951 18904 7835 4433
"1255_g_at" 7397 8098 14004 13352 13581 11652 7810
"1294_at" 16765 12197 19810 4289 19590 20877 327
"1316_at" 17397 18649 14509 823 21438 21746 15455
"1320_at" 18714 8913 17618 12182 9010 19408 4246
"1405_i_at" 7435 6043 11340 15954 21164 4301 8508
"1431_at" 7271 9328 9977 6224 1141 17254 13475
"1438_at" 14222 1645 12704 12876 17547 22235 2293
"1487_at" 1446 17499 4596 4863 3517 4232 17117
"1494_f_at" 20498 20151 22230 21554 1587 14750 13883
"1598_g_at" 10307 5555 6142 20407 18201 1581 17585
"160020_at" 19581 20501 5834 3080 1418 430 19441
"1729_at" 2309 18376 3147 1043 5772 747 16141
"1773_at" 16573 3262 4188 18425 5150 18683 20009
"177_at" 16118 7380 15123 5291 4343 2851 8182
"179_at" 8844 5394 541 3153 570 18990 2643
"1861_at" 3026 4120 20574 10098 3501 3234 15641
"200000_s_at" 8969 13335 20770 1009 6320 14609 12729
"200001_at" 974 5923 2576 17417 17768 7659 13711
"200002_at" 9474 16205 5128 18040 9370 17836 13263
"200003_s_at" 8585 15205 6044 5279 11085 10199 7391
"200004_at" 13786 15549 2441 18459 8429 8031 14962
"200005_at" 9009 13738 6754 4529 18017 7397 14890
"200006_at" 9567 14540 2719 17889 8753 5392 12391
"200007_at" 9934 14035 5449 18522 9264 4995 16635
"200008_s_at" 3059 17256 7364 1936 6188 16935 13952
"200009_at" 3450 14853 6641 3872 15414 15148 13551
"200010_at" 8775 15522 1232 5290 6612 6962 12444
"200011_s_at" 13152 15129 19537 18173 15765 15388 12007
"200012_x_at" 1970 5971 19403 20555 18021 6027 5239
"200013_at" 10219 14046 5869 3479 5743 15113 14465
"200014_s_at" 13373 5355 3832 18851 15706 7936 12852
"200015_s_at" 12441 19664 3901 19323 8491 5473 17267
"200016_x_at" 3849 5679 3828 20778 16061 7666 14034
"200017_at" 3945 15466 5438 20693 9187 10371 7494
"200018_at" 3803 5057 19260 4846 11178 10351 7487
"200019_s_at" 3709 5482 6871 5252 7611 5869 13948
