"inst_1435" "inst_2118" "inst_2282" "inst_5110" "inst_5535"
"1007_s_at" 15863 2380 17795 5990 18921
"1053_at" 20012 5537 6571 6219 16413
"117_at" 16847 8343 11090 12409 3780
"121_at" 18223 2712 7342 20253 6066
"1255_g_at" 7946 9726 10722 8767 9734
"1294_at" 17326 10429 926 1092 2024
"1316_at" 18667 11018 14611 19018 20720
"1320_at" 14475 15562 4970 2839 12084
"1405_i_at" 21705 11901 13317 10360 13978
"1431_at" 7951 18404 18659 18231 447
"1438_at" 8455 19896 6386 1967 11275
"1487_at" 1505 16977 21605 4449 6343
"1494_f_at" 2193 19551 21851 4361 20538
"1598_g_at" 20708 6049 2372 5934 22207
"160020_at" 18995 21653 510 20154 21696
"1729_at" 20262 17379 17909 17697 5222
"1773_at" 18265 21765 1846 20163 21729
"177_at" 1873 14680 5562 5796 14528
"179_at" 17470 16028 19915 16932 18127
"1861_at" 16959 5284 4442 19559 6271
"200000_s_at" 20440 19348 19810 5812 9049
"200001_at" 4950 18074 15189 17452 7466
"200002_at" 17302 6406 7158 15758 6741
"200003_s_at" 3038 17000 9897 8204 6197
"200004_at" 3211 4450 16478 5202 9456
"200005_at" 4053 16147 15289 4807 7686
"200006_at" 18610 6909 7943 17442 16684
"200007_at" 15253 5553 6249 7892 7223
"200008_s_at" 2405 19077 5859 20110 7565
"200009_at" 3793 7098 17166 7900 8604
"200010_at" 16465 16043 14798 15828 7599
"200011_s_at" 2074 4006 18743 4632 7033
"200012_x_at" 16170 18374 14944 15691 19361
"200013_at" 18250 6899 14547 18128 9370
"200014_s_at" 16047 5805 6602 15398 19630
"200015_s_at" 21813 15886 7952 15301 6409
"200016_x_at" 20427 5629 13890 7449 16563
"200017_at" 21858 6526 9964 18186 6850
"200018_at" 16531 7040 10002 15886 6571
"200019_s_at" 15508 6001 6001 16389 19455
"200020_at" 763 3206 15110 7401 4311
"200021_at" 22145 17559 10013 17310 18529
"200022_at" 2480 4871 9959 17938 17002
"200023_s_at" 20221 6532 13901 16818 18935
"200024_at" 2708 5853 6238 16236 3349
"200025_s_at" 17942 4619 5616 16773 8131
"200026_at" 21456 5505 10033 8362 6325
"200027_at" 18539 5417 6736 8065 17509
"200028_s_at" 15818 3596 15022 4616 8401
"200029_at" 2046 6287 6768 17129 16175
"200030_s_at" 18349 5804 14482 7458 8201
"200031_s_at" 3676 7062 10131 10563 18314
"200032_s_at" 20146 18464 10099 15537 17493
"200033_at" 18483 6509 7585 6983 7745
"200034_s_at" 18226 15732 7696 17231 20946
"200035_at" 15256 3475 18466 2038 1964
"200036_s_at" 1686 17429 13895 15055 6853
"200037_s_at" 18024 4736 7993 15271 7238
"200038_s_at" 19047 6278 9859 7735 9243
"200039_s_at" 4953 17433 14146 16397 6728
"200040_at" 3949 5207 19106 3251 9336
"200041_s_at" 18407 17478 16044 15875 8192
"200042_at" 16672 15810 18250 16183 7928
"200043_at" 20642 2711 6636 4816 5601
"200044_at" 18691 15530 14916 16712 7263
"200045_at" 3556 15372 19781 5356 16462
"200046_at" 21788 1773 6882 18813 3640
"200047_s_at" 15427 4598 6715 15146 5755
"200048_s_at" 20964 19144 6328 7469 6172
"200049_at" 16114 1353 7186 8612 19512
"200050_at" 19314 4972 5650 8281 6752
"200051_at" 4544 18639 19977 7975 8215
"200052_s_at" 2827 4314 14634 19836 4487
"200053_at" 16050 19266 17668 2755 4115
"200054_at" 1769 15753 20213 15269 16925
"200055_at" 17202 4522 15835 6352 16264
"200056_s_at" 22101 7139 5048 17900 7949
"200057_s_at" 3898 16196 5840 6581 17865
"200058_s_at" 2374 6984 18747 5679 8063
"200059_s_at" 19162 5841 14041 18059 5463
"200060_s_at" 16434 6412 7695 15208 7833
"200061_s_at" 3312 15598 9947 10562 16932
"200062_s_at" 18225 16629 9958 10488 9506
"200063_s_at" 16248 7060 9926 16436 6645
"200064_at" 2146 3667 15061 17481 17380
"200065_s_at" 1556 6593 15631 15166 7080
"200066_at" 17046 19587 19495 2329 8567
"200067_x_at" 21893 5142 6250 15497 9226
"200068_s_at" 19331 3618 18654 5176 17730
"200069_at" 22013 5281 19250 3701 9086
"200070_at" 20002 20911 16842 16993 19195
"200071_at" 21692 2632 16729 16050 9136
"200072_s_at" 2056 6091 18935 6478 17166
"200073_s_at" 21548 5209 6544 15115 5339
"200074_s_at" 18283 5923 6197 14984 4550
