"inst_3001" "inst_4403" "inst_4580"
"1007_s_at" 221 12411 8538
"1053_at" 17084 19472 7644
"117_at" 21685 9607 7405
"121_at" 10355 3038 13354
"1255_g_at" 4416 8488 16243
"1294_at" 17723 18991 8300
"1316_at" 21628 18130 1873
"1320_at" 3339 3546 13940
"1405_i_at" 19536 10372 4163
"1431_at" 19421 18284 13263
"1438_at" 3903 19575 3267
"1487_at" 20199 4221 5391
"1494_f_at" 10001 4634 20679
"1598_g_at" 21614 15934 10864
"160020_at" 17548 15105 20241
"1729_at" 11279 5918 10744
"1773_at" 16532 15680 3532
"177_at" 21754 461 5597
"179_at" 11853 1302 13649
"1861_at" 11184 12489 10156
"200000_s_at" 9942 15791 13762
"200001_at" 18370 4866 9648
"200002_at" 9636 4607 11748
"200003_s_at" 3425 7747 16227
"200004_at" 12945 12235 10338
"200005_at" 12488 14611 5708
"200006_at" 12687 14965 12573
"200007_at" 11395 4022 11684
"200008_s_at" 20049 4777 1916
"200009_at" 13272 5885 11441
"200010_at" 8742 5774 11758
"200011_s_at" 15940 15890 12348
"200012_x_at" 1612 5723 20915
"200013_at" 9484 12591 13370
"200014_s_at" 12328 13498 8322
"200015_s_at" 16761 20211 10729
"200016_x_at" 1902 7660 20273
"200017_at" 3532 7877 20201
"200018_at" 3518 7867 20105
"200019_s_at" 8769 12982 20358
"200020_at" 12906 18028 10986
"200021_at" 1234 8008 20403
"200022_at" 3441 7771 13877
"200023_s_at" 11300 15181 8905
"200024_at" 8705 12691 13951
"200025_s_at" 1898 7864 13128
"200026_at" 3640 8012 21043
"200027_at" 12599 12170 9687
"200028_s_at" 10881 14970 13031
"200029_at" 1905 12872 20097
"200030_s_at" 10905 12824 20197
"200031_s_at" 3510 7854 16310
"200032_s_at" 3536 7881 20916
"200033_at" 12823 19110 20171
"200034_s_at" 8771 5512 20395
"200035_at" 13365 18727 20412
"200036_s_at" 9448 11927 13058
"200037_s_at" 11464 15648 10897
"200038_s_at" 3620 7985 13935
"200039_s_at" 18091 14238 11707
"200040_at" 11477 14535 11986
"200041_s_at" 16554 13223 8965
"200042_at" 14138 12133 7030
"200043_at" 14681 13975 12063
"200044_at" 17712 17584 5231
"200045_at" 15139 17165 8988
"200046_at" 19024 16467 7961
"200047_s_at" 16843 16989 11213
"200048_s_at" 12063 15760 10592
"200049_at" 11894 5852 13362
"200050_at" 10837 5120 9168
"200051_at" 10664 11886 9841
"200052_s_at" 13888 12671 7557
"200053_at" 8949 17720 13080
"200054_at" 18617 17275 1814
"200055_at" 15429 13237 8436
"200056_s_at" 17888 14967 2409
"200057_s_at" 11093 14993 20124
"200058_s_at" 14211 13816 7295
"200059_s_at" 10805 16839 13390
"200060_s_at" 16412 15692 6790
"200061_s_at" 3508 7852 16309
"200062_s_at" 3412 7733 16215
"200063_s_at" 3562 7915 20389
"200064_at" 12423 12940 12702
"200065_s_at" 14372 13193 13209
"200066_at" 19811 15921 4440
"200067_x_at" 13744 13698 6157
"200068_s_at" 11047 5591 9696
"200069_at" 19390 14104 6449
"200070_at" 12059 20682 5881
"200071_at" 19088 17067 1251
"200072_s_at" 15588 14110 7109
"200073_s_at" 11070 5296 11635
"200074_s_at" 8869 12879 12742
"200075_s_at" 21240 13165 9856
"200076_s_at" 15004 16210 8746
"200077_s_at" 1575 12912 20099
"200078_s_at" 15733 12920 8113
"200079_s_at" 18389 14102 7533
"200080_s_at" 1422 7909 21120
"200081_s_at" 8478 3762 12539
"200082_s_at" 8707 7905 14062
"200083_at" 17531 17714 13053
"200084_at" 14655 5223 9975
"200085_s_at" 13395 12831 10220
"200086_s_at" 13489 4231 11106
"200087_s_at" 18306 17806 10094
"200088_x_at" 3421 7741 20006
"200089_s_at" 1697 14487 10713
"200090_at" 15039 5289 5489
"200091_s_at" 1210 11781 13147
"200092_s_at" 1817 7921 21289
"200093_s_at" 15727 12830 2833
"200094_s_at" 10271 4060 7980
"200095_x_at" 3626 7996 16427
"200096_s_at" 14577 19603 11807
"200097_s_at" 12468 19449 10938
"200098_s_at" 12912 14005 7786
"200099_s_at" 3575 7925 20878
"200593_s_at" 18022 12468 7151
"200594_x_at" 12914 17516 11501
"200595_s_at" 11321 17695 3810
"200596_s_at" 15910 16320 11519
"200597_at" 18230 4609 10619
"200598_s_at" 16928 5545 9814
"200599_s_at" 19135 1941 11535
"200600_at" 13227 8537 11318
"200601_at" 20889 16403 8982
"200602_at" 18259 12714 13781
"200603_at" 14039 13210 13462
"200604_s_at" 22219 4755 3987
"200605_s_at" 21025 17945 6893
"200606_at" 9046 15477 8744
"200607_s_at" 16425 3845 7696
"200608_s_at" 13263 17589 10944
"200609_s_at" 16552 18488 11390
"200610_s_at" 11480 13688 12904
