"inst_1266" "inst_2621" "inst_5327" "inst_6727"
"1007_s_at" 19611 2062 17305 16372
"1053_at" 20061 17925 7368 4047
"117_at" 17804 14435 15883 9004
"121_at" 17906 8872 18283 11512
"1255_g_at" 7882 11805 8837 9671
"1294_at" 1920 19253 4978 21658
"1316_at" 15606 16669 18284 20544
"1320_at" 11576 9660 13360 721
"1405_i_at" 1660 586 17 2970
"1431_at" 5693 6011 13251 21866
"1438_at" 11850 21214 20332 4886
"1487_at" 1855 2374 19376 1347
"1494_f_at" 7128 1373 5481 630
"1598_g_at" 21025 19285 17585 14905
"160020_at" 20164 552 20367 1665
"1729_at" 21410 20581 17371 21382
"1773_at" 14306 18734 21545 16269
"177_at" 543 350 9946 20993
"179_at" 19194 19662 19404 2867
"1861_at" 19088 18665 19722 4289
"200000_s_at" 3515 16319 18137 18606
"200001_at" 15276 16491 19610 13596
"200002_at" 3160 6591 18168 4544
"200003_s_at" 14219 7826 17885 7374
"200004_at" 2608 7981 5176 5249
"200005_at" 16237 19206 8200 12768
"200006_at" 15920 7479 5513 5255
"200007_at" 15564 17158 17715 3604
"200008_s_at" 19725 21377 21948 13557
"200009_at" 4104 7833 6697 12859
"200010_at" 16118 7703 18223 2684
"200011_s_at" 2985 2888 20695 13460
"200012_x_at" 3836 15976 7906 12136
"200013_at" 15582 7087 7580 5180
"200014_s_at" 15524 8082 1597 15473
"200015_s_at" 3543 17221 4324 15121
"200016_x_at" 3745 16693 5134 11640
"200017_at" 14641 6778 7483 5274
"200018_at" 3309 16060 17864 4437
"200019_s_at" 15165 17516 20308 4396
"200020_at" 19386 5375 2010 5908
"200021_at" 16870 8393 17811 7489
"200022_at" 14696 6967 18366 12068
"200023_s_at" 14922 6915 6932 5035
"200024_at" 3964 16257 8215 4337
"200025_s_at" 14185 5883 7218 4456
"200026_at" 2422 16702 18890 5271
"200027_at" 16176 7493 2741 4943
"200028_s_at" 16732 8525 1540 14755
"200029_at" 4039 7510 20580 5315
"200030_s_at" 4178 16723 19421 5450
"200031_s_at" 3512 7920 18530 7414
"200032_s_at" 3118 8517 4856 5370
"200033_at" 14554 16790 5847 4528
"200034_s_at" 2735 8361 6719 2859
"200035_at" 2255 2656 20651 16406
"200036_s_at" 17719 7454 5500 12354
"200037_s_at" 4284 8621 2288 11947
"200038_s_at" 4274 17514 18042 5502
"200039_s_at" 19157 16948 7946 3545
"200040_at" 3793 5417 1831 5705
"200041_s_at" 15034 7428 19090 3850
"200042_at" 17109 8185 6577 12782
"200043_at" 17447 20410 19578 16523
"200044_at" 14513 7217 19656 1691
"200045_at" 4137 5112 17727 5439
"200046_at" 14947 4677 20033 3488
"200047_s_at" 2886 8348 1769 11607
"200048_s_at" 2379 16278 2947 5432
"200049_at" 16084 5133 19518 3093
"200050_at" 18145 18934 1774 12737
"200051_at" 15931 5356 18698 17111
"200052_s_at" 18950 16231 19883 4256
"200053_at" 2387 6918 3637 2824
"200054_at" 16259 4779 3731 15832
"200055_at" 14561 5801 21307 4056
"200056_s_at" 18872 7730 2432 14384
"200057_s_at" 14088 17043 5831 5566
"200058_s_at" 16096 3211 7781 14416
"200059_s_at" 17557 17483 21287 4805
"200060_s_at" 17018 5610 6135 3087
"200061_s_at" 14089 5985 17700 7413
"200062_s_at" 3254 11019 7714 7366
"200063_s_at" 1829 5026 18126 7440
"200064_at" 18308 6643 17615 4793
"200065_s_at" 17411 16691 19641 3775
"200066_at" 17329 17728 7266 13870
"200067_x_at" 17152 17042 3037 15401
"200068_s_at" 19228 7032 2308 3789
"200069_at" 16590 4654 496 19114
"200070_at" 16786 2923 7740 16763
