"inst_2475" "inst_2836" "inst_4196" "inst_4781"
"1007_s_at" 20439 13559 14747 12133
"1053_at" 4203 21451 19713 15563
"117_at" 4363 4617 511 8483
"121_at" 20461 13917 3562 1924
"1255_g_at" 10919 4953 9414 6818
"1294_at" 7421 16095 21945 2099
"1316_at" 6859 14482 5078 441
"1320_at" 12679 2145 11406 1641
"1405_i_at" 7552 5854 21591 4190
"1431_at" 2697 3015 2603 17872
"1438_at" 12771 21178 2004 14883
"1487_at" 1507 14836 13461 17005
"1494_f_at" 20665 405 11614 13426
"1598_g_at" 22167 16017 6461 17277
"160020_at" 21508 20996 3919 3753
"1729_at" 19949 11782 5454 5545
"1773_at" 19430 19762 18812 13485
"177_at" 8388 6655 21579 13447
"179_at" 2897 21318 20963 18486
"1861_at" 19264 18154 14998 14665
"200000_s_at" 4618 19013 17305 15028
"200001_at" 8114 18494 14822 14612
"200002_at" 5869 13142 5661 13041
"200003_s_at" 10905 11577 8639 4649
"200004_at" 6527 12506 14228 21526
"200005_at" 5671 13426 13468 13001
"200006_at" 3701 14329 13652 13185
"200007_at" 5256 13721 6006 15939
"200008_s_at" 19708 13373 6538 22051
"200009_at" 16954 12181 13824 15248
"200010_at" 10907 11284 18633 20455
"200011_s_at" 3853 14672 18699 5031
"200012_x_at" 17517 11713 4656 3947
"200013_at" 10824 13869 13023 13153
"200014_s_at" 4971 14621 3149 19162
"200015_s_at" 6919 19945 13755 17153
"200016_x_at" 10822 11947 14709 12814
"200017_at" 11051 11676 8694 15267
"200018_at" 11036 12537 15122 14488
"200019_s_at" 10995 17224 6542 4283
"200020_at" 17993 12806 13190 13094
"200021_at" 16917 13716 8743 7772
"200022_at" 10924 3153 4965 4833
"200023_s_at" 5657 16695 15821 15443
"200024_at" 10999 15706 13393 13528
"200025_s_at" 11033 12185 5446 4097
"200026_at" 11200 11755 7293 13802
"200027_at" 4333 15411 4753 18981
"200028_s_at" 7654 3188 15359 14040
"200029_at" 10971 2047 3228 4985
"200030_s_at" 8732 2570 12901 17469
"200031_s_at" 11020 3327 8686 12246
"200032_s_at" 11054 3255 13019 7687
"200033_at" 6498 11399 14521 19775
"200034_s_at" 7817 3259 16626 5548
"200035_at" 5553 15658 16975 1354
"200036_s_at" 17272 16207 5924 13594
"200037_s_at" 6036 12794 13440 18209
"200038_s_at" 11170 3207 13840 14197
"200039_s_at" 8438 15266 16393 13682
"200040_at" 4670 14155 15589 17977
"200041_s_at" 6146 13284 19801 13258
"200042_at" 3396 19509 6360 16598
"200043_at" 1819 12175 19226 19182
"200044_at" 7126 17168 7326 15687
"200045_at" 6820 15639 5854 3363
"200046_at" 16474 15528 14772 16583
"200047_s_at" 5543 3065 13081 19799
"200048_s_at" 6588 17090 13947 13940
"200049_at" 16437 12604 7341 12351
"200050_at" 3088 20617 5061 19200
"200051_at" 17610 21072 15268 4216
"200052_s_at" 8898 16381 15815 18080
"200053_at" 6974 19144 15022 18883
"200054_at" 1975 2403 6792 15621
"200055_at" 6509 18790 16430 3710
"200056_s_at" 3646 19616 15996 21740
"200057_s_at" 7147 3026 5827 14673
"200058_s_at" 5272 19432 16695 14686
"200059_s_at" 7586 13766 13090 21595
"200060_s_at" 6870 3422 19909 14566
"200061_s_at" 11018 3485 8685 4303
"200062_s_at" 10885 6145 8629 7575
"200063_s_at" 11087 6401 8708 12289
"200064_at" 5751 14058 6245 16516
"200065_s_at" 5669 14992 13421 14340
"200066_at" 17866 17394 18193 20575
"200067_x_at" 8071 12680 4855 17809
"200068_s_at" 15826 3133 4883 12134
"200069_at" 5018 11345 3299 18876
"200070_at" 20261 22066 21771 3835
"200071_at" 6579 17000 13442 20206
"200072_s_at" 7809 15069 15409 16158
"200073_s_at" 3390 16572 4909 19385
"200074_s_at" 6311 12944 5851 16563
"200075_s_at" 6204 19951 14245 15146
"200076_s_at" 6166 18671 14850 12685
"200077_s_at" 5601 11489 7247 4386
"200078_s_at" 17912 15084 14652 15502
"200079_s_at" 6085 16488 13335 18666
"200080_s_at" 5481 1754 4032 12671
"200081_s_at" 8590 13236 14924 12769
"200082_s_at" 11077 3552 5899 13085
"200083_at" 4544 16093 12966 16669
"200084_at" 7932 15521 15192 21478
"200085_s_at" 5345 15612 13568 4449
"200086_s_at" 4056 16345 13518 12528
"200087_s_at" 16807 14937 14431 16382
"200088_x_at" 10898 6163 5759 7586
"200089_s_at" 16741 12208 7258 13246
"200090_at" 7855 20637 3727 20283
"200091_s_at" 4264 16879 17409 16355
"200092_s_at" 11099 2342 5281 4176
"200093_s_at" 3254 21081 5847 17018
"200094_s_at" 7531 17778 15398 5255
"200095_x_at" 11181 6514 8737 7765
"200096_s_at" 16134 19228 12749 19428
"200097_s_at" 8540 12958 15193 19417
"200098_s_at" 15810 19122 6107 14464
"200099_s_at" 11102 6424 12651 13143
"200593_s_at" 19119 19246 14516 14964
"200594_x_at" 5339 14774 5758 15981
"200595_s_at" 3623 19755 19959 17814
"200596_s_at" 2502 15618 17163 15104
"200597_at" 4762 14582 6793 13352
"200598_s_at" 8042 18846 3474 16171
"200599_s_at" 17850 14275 6826 14909
"200600_at" 2311 10744 6264 10220
"200601_at" 911 18777 19149 5114
"200602_at" 4128 21407 15526 18838
"200603_at" 4873 17491 14095 20295
"200604_s_at" 21713 14623 6207 15532
"200605_s_at" 20157 2842 7116 22250
"200606_at" 21379 13595 12906 21046
"200607_s_at" 8574 15500 14931 16036
"200608_s_at" 4510 17447 15289 21493
"200609_s_at" 8349 3212 20281 20118
"200610_s_at" 5590 2815 6759 12546
"200611_s_at" 4857 19442 7285 16071
"200612_s_at" 20328 1260 15569 3343
"200613_at" 7877 15238 15505 12280
"200614_at" 5104 12718 14573 15661
"200615_s_at" 7753 15374 15743 16813
"200616_s_at" 17807 14790 13275 12178
"200617_at" 4466 19486 18162 12140
"200618_at" 8293 13770 13815 12225
"200619_at" 16067 20556 6083 13777
"200620_at" 8739 12077 15119 18783
"200621_at" 7872 18827 14647 12999
"200622_x_at" 2322 15233 14333 15465
"200623_s_at" 2369 19220 21266 1842
"200624_s_at" 17380 15051 7114 20796
"200625_s_at" 4326 16550 19498 14508
"200626_s_at" 3204 13140 19319 21890
"200627_at" 7634 3398 15554 21253
"200628_s_at" 3269 15515 6762 21456
"200629_at" 1359 16825 5463 5058
"200630_x_at" 7974 3481 15519 4537
"200631_s_at" 7959 11854 6281 18591
"200632_s_at" 19227 1219 3405 5522
"200633_at" 6722 3265 8684 7668
"200634_at" 3234 16367 20704 12382
"200635_s_at" 20841 16491 6401 4131
"200636_s_at" 696 20403 6929 4563
"200637_s_at" 11859 12106 5502 15162
"200638_s_at" 16765 12598 16389 22116
"200639_s_at" 6101 19100 13579 16064
"200640_at" 6596 14351 16052 17508
"200641_s_at" 18447 11708 4962 22255
"200642_at" 7310 16089 14859 14604
"200643_at" 4930 19282 19230 12367
"200644_at" 21119 16284 16340 16715
"200645_at" 6641 15319 16504 13877
"200646_s_at" 17291 11787 21243 3747
"200647_x_at" 15820 13298 5765 13057
"200648_s_at" 8138 20541 13446 4560
"200649_at" 5113 18152 17913 3186
"200650_s_at" 16239 12477 8608 18858
"200651_at" 11160 11642 15903 14126
"200652_at" 5300 15343 13999 12199
"200653_s_at" 16186 18468 19788 12805
"200654_at" 5277 14780 15378 4492
"200655_s_at" 16320 13773 17117 12739
"200656_s_at" 4216 19541 6975 17271
"200657_at" 16114 11795 14259 13907
"200658_s_at" 4689 19196 15884 3858
"200659_s_at" 5354 20036 16364 13276
"200660_at" 3732 17933 21386 17321
"200661_at" 6954 16428 19606 16066
"200662_s_at" 4672 13295 17324 19996
"200663_at" 1754 14647 6270 13576
"200664_s_at" 7977 19916 3511 19035
"200665_s_at" 10522 9008 11544 7411
"200666_s_at" 18388 15106 4934 16032
"200667_at" 7937 2753 16160 15604
"200668_s_at" 6379 16048 16866 18283
"200669_s_at" 17747 13533 6408 19130
"200670_at" 1153 18431 1187 21518
"200671_s_at" 1839 1372 17075 1610
"200672_x_at" 18635 1124 17025 19503
"200673_at" 4096 13441 6509 18626
"200674_s_at" 11108 2335 5823 4667
"200675_at" 2632 20089 20423 5514
"200676_s_at" 2883 18816 16653 3485
"200677_at" 4382 11995 13474 19091
"200678_x_at" 17006 20159 18492 1297
"200679_x_at" 2865 13414 17309 5010
"200680_x_at" 6772 1739 6277 5014
"200681_at" 8752 3152 7001 17473
"200682_s_at" 7371 16300 16846 17938
"200683_s_at" 16080 15839 20110 13612
"200684_s_at" 19662 12552 3555 18673
"200685_at" 7500 21298 12982 20011
"200686_s_at" 1464 19183 2784 21348
"200687_s_at" 16610 17057 17416 5381
"200688_at" 19858 1846 19144 1849
"200689_x_at" 16517 2271 6840 4812
"200690_at" 17620 20904 6616 15701
"200691_s_at" 5476 15381 14058 19630
"200692_s_at" 18469 20806 18404 12862
"200693_at" 8485 12565 15971 18446
"200694_s_at" 8299 17100 14418 13823
"200695_at" 19929 2799 16575 15804
"200696_s_at" 15906 19222 14983 4480
"200697_at" 15972 16452 12458 12854
"200698_at" 16426 14107 12589 19487
"200699_at" 7166 17812 5775 13796
"200700_s_at" 5341 17519 13803 17565
"200701_at" 17500 1148 5969 2806
"200702_s_at" 19074 14936 12715 3535
"200703_at" 1870 17132 18983 17570
"200704_at" 4130 12801 17850 14865
"200705_s_at" 15862 13321 5819 5448
"200706_s_at" 20052 1752 4981 20024
"200707_at" 15655 21862 19949 3169
"200708_at" 4040 13519 5543 15442
"200709_at" 16482 19014 20107 15982
"200710_at" 7958 18582 19019 5013
"200711_s_at" 6743 16750 19595 20635
"200712_s_at" 1600 19485 5517 21630
"200713_s_at" 1690 11273 2573 15765
"200714_x_at" 16155 15725 20289 2504
"200715_x_at" 17293 14180 3673 14684
"200716_x_at" 11171 3037 16076 2045
"200717_x_at" 11015 6308 8682 7665
"200718_s_at" 5248 2023 4088 5544
"200719_at" 8860 1753 13527 17173
"200720_s_at" 1954 14629 12798 16934
"200721_s_at" 17721 11665 6894 12621
"200722_s_at" 7617 20472 14653 21863
"200723_s_at" 17200 12221 6771 21012
"200724_at" 21582 12952 1106 15973
"200725_x_at" 18912 2127 5540 4067
"200726_at" 6057 18463 6886 18707
"200727_s_at" 16625 2436 6889 12625
"200728_at" 8092 17348 6136 21388
"200729_s_at" 19146 18403 17226 16459
"200730_s_at" 15988 12421 4464 21585
"200731_s_at" 7683 20788 3574 17769
"200732_s_at" 18465 13858 5526 19345
"200733_s_at" 19052 16830 13495 21335
"200734_s_at" 18531 21422 14153 5121
"200735_x_at" 11097 11839 5031 16737
"200736_s_at" 5752 8949 3301 10083
"200737_at" 7523 20664 13118 22226
"200738_s_at" 16428 16321 5776 16920
"200739_s_at" 1566 18794 18571 18598
"200740_s_at" 7279 3079 13876 17972
"200741_s_at" 10887 13569 8630 7576
"200742_s_at" 18643 13990 3853 17715
"200743_s_at" 4861 13305 14933 12948
"200744_s_at" 6692 17721 14869 18266
"200745_s_at" 8366 14023 13974 13763
"200746_s_at" 16381 12116 17118 15139
"200747_s_at" 15770 16791 17988 3655
"200748_s_at" 6883 12097 13339 12154
"200749_at" 8163 19976 16132 19618
"200750_s_at" 5522 14835 6596 19136
"200751_s_at" 4876 12744 2849 22094
"200752_s_at" 3826 16890 13223 13498
"200753_x_at" 17244 14371 5938 21112
"200754_x_at" 5967 11303 12592 19588
"200755_s_at" 8115 17529 14322 20451
"200756_x_at" 8847 13041 2735 19989
"200757_s_at" 17249 16280 14743 21410
"200758_s_at" 5336 19901 12565 15843
"200759_x_at" 20861 13082 15703 5438
"200760_s_at" 19268 15354 6934 13864
"200761_s_at" 16032 13347 16415 19032
"200762_at" 19610 18749 5279 15371
"200763_s_at" 11117 11316 6255 4215
"200764_s_at" 2071 18723 8099 17101
"200765_x_at" 1071 15800 8604 15705
"200766_at" 18308 19150 20533 14959
"200767_s_at" 20481 17423 15804 19574
"200768_s_at" 2123 19489 15904 15895
"200769_s_at" 18201 17097 4520 21042
"200770_s_at" 16502 2933 18670 19376
"200771_at" 5145 2516 14976 15618
"200772_x_at" 6752 13227 12628 4306
"200773_x_at" 7866 2807 15966 14184
"200774_at" 3240 13923 16771 20096
"200775_s_at" 18227 2391 13413 13663
"200776_s_at" 17618 13920 3781 21226
"200777_s_at" 8429 15261 14414 19737
"200778_s_at" 19541 12300 4156 19514
"200779_at" 7964 13167 1289 15852
"200780_x_at" 15669 11709 19752 4977
"200781_s_at" 10992 1874 7147 4401
"200782_at" 3733 16422 13368 20696
"200783_s_at" 17245 18647 19971 16000
"200784_s_at" 13276 8063 17433 6020
"200785_s_at" 13543 4864 10 5835
"200786_at" 16797 12665 5612 13469
"200787_s_at" 18823 18573 17046 14342
"200788_s_at" 4550 12430 14756 16063
"200789_at" 7435 841 18926 13098
"200790_at" 1828 15575 12594 20493
"200791_s_at" 17627 14355 7025 18190
"200792_at" 5863 14818 6419 5225
"200793_s_at" 18355 20720 19624 15378
"200794_x_at" 6465 14380 17875 19738
"200795_at" 5163 8300 16518 13277
"200796_s_at" 21801 2463 2049 14902
"200797_s_at" 8760 2572 16607 3628
"200798_x_at" 7042 12717 13073 21445
"200799_at" 9850 11883 5679 1891
"200800_s_at" 20754 3093 18678 14810
"200801_x_at" 10854 12360 8611 5046
"200802_at" 4609 13060 14391 14229
"200803_s_at" 8711 11616 7161 15639
"200804_at" 6948 12852 17036 13056
"200805_at" 6758 21222 18612 3792
"200806_s_at" 8350 2190 3199 18510
"200807_s_at" 7783 12107 7040 13304
"200808_s_at" 17689 21834 20912 2875
"200809_x_at" 10872 2621 4640 3617
"200810_s_at" 4389 18543 15314 13945
"200811_at" 17714 20981 18250 17951
"200812_at" 5073 15388 14238 16695
"200813_s_at" 3195 18764 20850 21882
"200814_at" 17030 14274 12418 15659
"200815_s_at" 8670 13866 17902 15679
"200816_s_at" 19267 13490 16711 19590
"200817_x_at" 10869 6122 8620 7555
"200818_at" 6128 11463 15261 18141
"200819_s_at" 11023 11951 14373 3850
"200820_at" 17967 16789 7355 13364
"200821_at" 2775 20326 6659 19767
"200822_x_at" 7674 12192 13866 3514
"200823_x_at" 16779 17318 13811 12604
"200824_at" 16743 7272 15222 517
"200825_s_at" 3122 3063 3168 1901
"200826_at" 8707 11906 13151 12227
"200827_at" 21990 12933 5051 4099
"200828_s_at" 7926 16241 12721 21235
"200829_x_at" 7618 11748 2446 19875
"200830_at" 3952 12323 4200 5504
"200831_s_at" 18951 1912 13772 14109
"200832_s_at" 6093 11688 6772 15194
"200833_s_at" 4659 16406 2884 21452
"200834_s_at" 10925 12879 13936 4791
"200835_s_at" 16850 3001 19338 14093
"200836_s_at" 22279 16144 20971 15568
"200837_at" 6590 1844 1961 14799
"200838_at" 5524 19317 19437 17382
"200839_s_at" 7955 14600 17501 12911
"200840_at" 5268 2523 12791 4295
"200841_s_at" 18156 13085 3691 3901
"200842_s_at" 5654 14924 17371 14979
"200843_s_at" 5464 19855 12753 16529
"200844_s_at" 8577 13488 6638 4796
"200845_s_at" 5323 12322 13991 17536
"200846_s_at" 7428 15999 16963 15799
"200847_s_at" 8914 12518 5287 18595
"200848_at" 2418 16374 14713 19656
"200849_s_at" 3321 17135 16394 5529
"200850_s_at" 2876 13863 17037 16987
"200851_s_at" 7377 2783 3412 14895
"200852_x_at" 19212 17414 20729 12689
"200853_at" 7638 2700 14673 17906
"200854_at" 6710 14164 12867 19821
"200855_at" 5611 3261 13545 1163
"200856_x_at" 18872 19558 6109 3630
"200857_s_at" 17738 3069 16948 4498
"200858_s_at" 5962 19323 13710 15485
"200859_x_at" 16174 13692 20681 4549
"200860_s_at" 6160 11582 4170 16140
"200861_at" 3434 20174 19039 12410
"200862_at" 17106 3205 4972 4238
"200863_s_at" 16525 12966 4820 16379
"200864_s_at" 16443 15659 15301 21646
"200865_at" 9992 4404 18666 1219
"200866_s_at" 16991 19126 14804 14935
"200867_at" 21348 17163 2731 17355
"200868_s_at" 7135 14257 12731 16301
"200869_at" 10900 11913 13939 12172
"200870_at" 16665 12887 17131 19157
"200871_s_at" 8597 16755 15793 5536
"200872_at" 18089 18194 5378 14052
"200873_s_at" 7327 14163 7188 12812
"200874_s_at" 20514 2867 18427 15594
"200875_s_at" 5660 19369 19147 12389
"200876_s_at" 5505 3495 14216 14998
"200877_at" 15897 2976 6655 16895
"200878_at" 7963 19708 15869 15348
"200879_s_at" 14909 6579 21298 11749
"200880_at" 3319 16337 5842 19842
"200881_s_at" 6529 18787 13028 18421
"200882_s_at" 5517 17183 13780 14058
"200883_at" 4114 15596 6636 21270
"200884_at" 8343 21429 18970 5056
"200885_at" 2268 17185 19438 19717
"200886_s_at" 8647 3329 4642 17265
"200887_s_at" 6656 12671 17481 18843
"200888_s_at" 8634 2173 18841 13219
"200889_s_at" 7558 16487 16796 19687
"200890_s_at" 16278 18824 6697 16212
"200891_s_at" 19124 13394 2080 13400
"200892_s_at" 8007 17838 6377 21562
"200893_at" 6360 15447 13522 18935
"200894_s_at" 5667 16533 18098 20393
"200895_s_at" 3013 14710 16193 3059
"200896_x_at" 7356 13815 13155 4809
"200897_s_at" 19470 11531 5943 20193
"200898_s_at" 19811 18522 15700 17475
"200899_s_at" 17289 20192 17886 17110
"200900_s_at" 18099 14651 18790 18114
"200901_s_at" 5513 13014 6306 4115
"200902_at" 4957 17875 13170 21886
"200903_s_at" 4566 15290 14535 14000
"200904_at" 17516 11785 21105 16406
"200905_x_at" 3412 19912 18058 3886
"200906_s_at" 10250 15006 14445 14846
"200907_s_at" 11569 3100 15682 19265
"200908_s_at" 912 14134 15849 5084
"200909_s_at" 10950 14998 4113 12561
"200910_at" 6070 16880 15128 12263
"200911_s_at" 5309 13598 1327 20752
"200912_s_at" 6763 13648 3502 20382
"200913_at" 16905 13072 17699 16366
"200914_x_at" 2130 18908 5183 18038
"200915_x_at" 5861 15827 4335 16146
"200916_at" 7748 15025 6410 1176
"200917_s_at" 18522 1493 20819 12727
"200918_s_at" 5504 15135 4420 14987
"200919_at" 19998 14302 15855 15150
"200920_s_at" 4465 20288 18844 17287
"200921_s_at" 2931 11491 18062 21897
"200922_at" 8263 15903 20415 20378
"200923_at" 14973 22120 21028 15377
"200924_s_at" 18586 17079 19169 17130
"200925_at" 7256 2702 6790 13366
"200926_at" 11118 6440 8720 7734
"200927_s_at" 17122 16459 17556 22275
"200928_s_at" 21059 20845 8817 17648
"200929_at" 17838 14947 13554 16719
"200930_s_at" 15596 5404 3982 8727
"200931_s_at" 7576 12681 12861 17811
"200932_s_at" 21346 2046 2304 18395
"200933_x_at" 11071 12216 8699 13348
"200934_at" 3624 16494 13743 20976
"200935_at" 6011 19098 22246 22109
"200936_at" 11079 6386 8701 14793
"200937_s_at" 8035 16601 13945 17576
"200938_s_at" 4816 8682 470 8821
"200939_s_at" 15442 5374 21265 9617
"200940_s_at" 4522 12170 17350 13947
"200941_at" 17881 16785 6316 13850
"200942_s_at" 5740 12440 13270 20634
"200943_at" 16029 2297 5693 14044
"200944_s_at" 7048 12609 13725 15743
"200945_s_at" 7100 12041 19973 16503
"200946_x_at" 3827 14680 14898 20542
"200947_s_at" 8819 13625 20065 19778
"200948_at" 7573 15805 20994 12247
"200949_x_at" 16598 12932 12787 12211
"200950_at" 7359 17316 4723 21216
"200951_s_at" 16544 5638 10872 7607
"200952_s_at" 252 7550 11058 10896
"200953_s_at" 7504 9320 10663 11445
"200954_at" 7293 20422 4887 4004
"200955_at" 16312 15762 18448 17514
"200956_s_at" 18116 18089 16977 4397
"200957_s_at" 3509 15026 12425 15335
"200958_s_at" 5285 12804 5699 20263
"200959_at" 5617 18858 17346 17216
"200960_x_at" 8428 16451 15264 18506
"200961_at" 6381 20250 5426 17032
"200962_at" 3051 14110 13434 17774
"200963_x_at" 11123 12761 13148 12239
"200964_at" 5713 2586 17206 3069
"200965_s_at" 10598 11289 19604 14760
"200966_x_at" 16352 11301 6294 2915
"200967_at" 18848 2447 6372 15177
"200968_s_at" 19201 19822 3136 14439
"200969_at" 3028 16389 1605 21259
"200970_s_at" 4922 15560 2514 20759
"200971_s_at" 8430 14784 3968 4995
"200972_at" 7243 20232 5914 21299
"200973_s_at" 2525 20140 7384 22188
"200974_at" 5102 14202 17756 1060
"200975_at" 3722 13933 5549 14919
"200976_s_at" 16103 14160 7002 16752
"200977_s_at" 4172 12230 3742 17068
"200978_at" 5572 13587 15363 16717
"200979_at" 4409 18318 17225 3989
"200980_s_at" 15942 16581 15694 16990
"200981_x_at" 8024 12949 16852 12270
"200982_s_at" 827 19079 4500 13096
"200983_x_at" 1775 16077 12716 17059
"200984_s_at" 8049 3241 17789 19570
"200985_s_at" 445 15914 18377 20555
"200986_at" 13608 3729 9528 9246
"200987_x_at" 15802 17613 3603 17442
"200988_s_at" 6484 2588 18549 4280
"200989_at" 2827 3246 4791 15646
"200990_at" 3684 20670 19620 4616
"200991_s_at" 20421 16253 16390 5325
"200992_at" 17954 14020 6362 20788
"200993_at" 16022 15439 13071 21330
"200994_at" 8519 19374 19132 21324
"200995_at" 18254 16678 7222 20248
"200996_at" 4908 13102 14645 16110
"200997_at" 17251 14759 2232 3063
"200998_s_at" 7365 16357 15941 15933
"200999_s_at" 17526 16738 13460 4146
"201000_at" 4323 11703 4839 12175
"201001_s_at" 17800 16443 17091 15098
"201002_s_at" 5823 18269 18391 12362
"201003_x_at" 4703 13806 5598 12763
"201004_at" 5201 15173 13212 15051
"201005_at" 20509 14620 17078 19299
"201006_at" 8526 7846 22049 1099
"201007_at" 16087 16554 16647 18768
"201008_s_at" 20572 16251 6335 21995
"201009_s_at" 19620 21146 14726 18205
"201010_s_at" 16707 20489 14599 21554
"201011_at" 17670 16745 15011 14233
"201012_at" 6364 14091 20400 20523
"201013_s_at" 3168 16123 14307 16595
"201014_s_at" 6051 16565 5557 20223
"201015_s_at" 20604 17944 16908 12726
"201016_at" 16366 20609 15837 20626
"201017_at" 5140 19176 15147 21936
"201018_at" 7233 18669 14232 21963
"201019_s_at" 3631 17791 5550 17245
"201020_at" 7340 19816 14694 21019
"201021_s_at" 16107 14884 14036 19987
