"inst_2508" "inst_6070" "inst_7207"
"1007_s_at" 1661 3336 14137
"1053_at" 2979 17301 17705
"117_at" 20707 3659 10255
"121_at" 19470 3405 2461
"1255_g_at" 15031 6133 6501
"1294_at" 1005 1754 10802
"1316_at" 18576 17754 3577
"1320_at" 15834 17221 5986
"1405_i_at" 4239 6638 7695
"1431_at" 1126 3951 1498
"1438_at" 4158 22218 21258
"1487_at" 18723 18147 20207
"1494_f_at" 21226 16956 10766
"1598_g_at" 18395 22281 2130
"160020_at" 19942 21849 14909
"1729_at" 18477 13937 19677
"1773_at" 7211 14747 3114
"177_at" 1725 10518 5514
"179_at" 2224 13287 1234
"1861_at" 4402 4691 20230
"200000_s_at" 19079 5172 3794
"200001_at" 9056 5760 12526
"200002_at" 5776 4751 12464
"200003_s_at" 12489 7281 2728
"200004_at" 17468 14889 15954
"200005_at" 7905 13636 17485
"200006_at" 9786 5733 14358
"200007_at" 7429 4851 13727
"200008_s_at" 4174 3811 13855
"200009_at" 7769 12187 12310
"200010_at" 9452 5409 12151
"200011_s_at" 7354 17229 18047
"200012_x_at" 18999 4266 3862
"200013_at" 5838 5284 12817
"200014_s_at" 7118 13144 16605
"200015_s_at" 4499 14173 18642
"200016_x_at" 10660 12815 13752
"200017_at" 12574 7363 12222
"200018_at" 12565 7357 3808
"200019_s_at" 8221 12977 12740
"200020_at" 10072 16836 19759
"200021_at" 19151 7446 2304
"200022_at" 12498 7291 11993
"200023_s_at" 5669 12053 13313
"200024_at" 8254 4378 12154
"200025_s_at" 12564 11621 14270
"200026_at" 12658 7449 3291
"200027_at" 6018 5797 12842
"200028_s_at" 19578 20008 20591
"200029_at" 12528 5845 3433
"200030_s_at" 9333 4779 12178
"200031_s_at" 12559 7351 3640
"200032_s_at" 12576 7364 3154
"200033_at" 6055 16309 20595
"200034_s_at" 7181 4604 12863
"200035_at" 9568 19879 13627
"200036_s_at" 4911 12919 4141
"200037_s_at" 7084 12153 17176
"200038_s_at" 12641 7426 4154
"200039_s_at" 18356 12508 15514
"200040_at" 7630 12843 14261
"200041_s_at" 9794 12212 12516
"200042_at" 8331 12202 14621
"200043_at" 18095 16466 15434
"200044_at" 6428 12072 18819
"200045_at" 17774 17680 19358
"200046_at" 7706 11936 16972
"200047_s_at" 4759 15200 16651
"200048_s_at" 6245 12898 14841
"200049_at" 2039 4546 16321
"200050_at" 9763 14347 19468
"200051_at" 7202 16717 17632
"200052_s_at" 7518 12935 17039
"200053_at" 4766 21702 19681
"200054_at" 8576 14687 18630
"200055_at" 10992 11465 13323
"200056_s_at" 8780 19414 20574
"200057_s_at" 8413 13670 12286
