"inst_2167" "inst_2822" "inst_4224" "inst_4808"
"1007_s_at" 140 6713 8698 3793
"1053_at" 3373 1657 6237 7819
"117_at" 5382 12091 542 12389
"121_at" 12379 12728 16554 2523
"1255_g_at" 17136 17958 12696 11541
"1294_at" 9002 883 1889 21488
"1316_at" 9891 278 8079 4113
"1320_at" 16645 18136 2750 13083
"1405_i_at" 2068 17914 8251 13222
"1431_at" 19849 4705 2297 4434
"1438_at" 13632 9008 2684 20842
"1487_at" 5815 4945 17369 2091
"1494_f_at" 21745 5110 182 21596
"1598_g_at" 9736 4226 4511 10344
"160020_at" 21888 7057 20219 353
"1729_at" 6836 8790 2713 6455
"1773_at" 8281 4265 3430 3862
"177_at" 20579 14516 21651 21573
"179_at" 11683 14528 22066 773
"1861_at" 2389 11372 14910 10953
"200000_s_at" 9293 5649 3579 482
"200001_at" 10413 9780 5362 7319
"200002_at" 11235 14752 17497 10263
"200003_s_at" 14903 14949 12190 7167
"200004_at" 7752 11452 9195 17932
"200005_at" 9666 12634 7204 5483
"200006_at" 9248 13596 16152 19511
"200007_at" 9886 12376 9312 9092
"200008_s_at" 8572 11886 20767 8340
"200009_at" 11484 13986 18427 18566
"200010_at" 12269 14708 6136 5987
"200011_s_at" 2646 7491 6732 5966
"200012_x_at" 20244 21996 17359 19137
"200013_at" 10619 14483 17841 9827
"200014_s_at" 10482 11591 18201 19744
"200015_s_at" 6485 7317 15447 9246
"200016_x_at" 12446 14750 16280 19037
"200017_at" 15050 17689 15419 19488
"200018_at" 14861 21407 9949 10620
"200019_s_at" 11807 14134 15026 8610
"200020_at" 21727 12086 9609 10503
"200021_at" 20087 21952 12274 13713
"200022_at" 19420 21574 19344 8744
"200023_s_at" 6250 9344 10135 11298
"200024_at" 10580 14673 9909 7920
"200025_s_at" 12243 14630 16711 19178
"200026_at" 15048 21765 18351 19686
"200027_at" 10956 10374 19123 10848
"200028_s_at" 11860 10708 16172 19959
"200029_at" 19621 21734 15536 10554
"200030_s_at" 10725 14811 7807 18259
"200031_s_at" 15063 17654 12225 18078
"200032_s_at" 14695 17692 15346 18245
"200033_at" 3326 13373 8240 19339
"200034_s_at" 11602 21714 6046 10134
"200035_at" 4143 2275 3702 2608
"200036_s_at" 19722 13876 9842 8669
"200037_s_at" 5798 12660 18767 19360
