"inst_3089" "inst_4668" "inst_5263" "inst_5628" "inst_6466"
"1007_s_at" 21099 16210 16894 17103 15368
"1053_at" 17872 5842 18855 17597 18157
"117_at" 13907 1787 8279 8872 11934
"121_at" 3084 19717 2988 3744 6076
"1255_g_at" 9665 12014 5657 7977 11457
"1294_at" 17459 22063 20674 707 5711
"1316_at" 280 16086 1570 21545 22081
"1320_at" 9071 503 17485 18031 14043
"1405_i_at" 12009 801 420 8882 13402
"1431_at" 18010 3437 3960 22018 330
"1438_at" 16919 1511 12894 20871 16137
"1487_at" 3458 15138 13688 19966 6230
"1494_f_at" 12373 19891 14414 1374 18062
"1598_g_at" 20838 19178 2741 2356 20636
"160020_at" 21106 17954 1290 12 21931
"1729_at" 14598 19855 18794 20358 3370
"1773_at" 21881 5224 12371 15484 826
"177_at" 12016 19076 328 9141 20329
"179_at" 22275 899 1188 10352 20162
"1861_at" 2096 4813 20031 20356 8533
"200000_s_at" 12194 14636 13919 18460 7017
"200001_at" 18009 14495 15480 15581 3207
"200002_at" 12092 6850 12251 10846 7685
"200003_s_at" 7276 9860 7341 6357 8100
"200004_at" 14310 6599 15126 16835 17335
"200005_at" 13144 15365 17395 16531 6942
"200006_at" 15461 16741 11923 14876 15499
"200007_at" 16644 15433 13671 4485 8003
"200008_s_at" 16281 3843 5129 11712 3479
"200009_at" 13035 14447 11774 12045 6933
"200010_at" 4950 3650 11617 11953 4085
"200011_s_at" 16055 16783 15164 15014 5926
"200012_x_at" 12382 15047 3083 3287 7374
"200013_at" 13212 6986 12678 10893 8385
"200014_s_at" 12827 16444 14872 13412 8297
"200015_s_at" 13398 15221 18536 10576 17690
"200016_x_at" 4578 14625 14391 11288 17040
"200017_at" 7397 14449 7506 6458 10410
"200018_at" 7386 9946 13304 6452 16060
"200019_s_at" 13048 16532 14592 16613 15897
"200020_at" 12111 6556 14571 18228 8282
"200021_at" 4072 10055 7662 6575 10504
"200022_at" 13138 5511 11794 10310 5302
"200023_s_at" 17110 18187 15946 19048 5516
"200024_at" 4792 14876 5120 12078 5639
"200025_s_at" 5067 17487 13830 13250 15662
"200026_at" 7542 7997 4243 6579 18016
"200027_at" 12892 15230 15752 14250 8233
"200028_s_at" 12768 16851 16107 14804 8558
"200029_at" 14596 16676 3484 2963 17118
"200030_s_at" 4532 15292 4326 13692 7437
"200031_s_at" 7375 9935 7475 6446 8099
"200032_s_at" 7402 7099 7509 6463 8575
"200033_at" 14205 15942 16803 12864 15559
"200034_s_at" 13362 4272 11611 3954 15502
"200035_at" 18787 18788 5023 18080 5171
"200036_s_at" 13956 7485 13433 11423 5879
"200037_s_at" 14720 19553 17775 15086 15138
"200038_s_at" 7516 6052 5040 6555 7658
