"inst_2975" "inst_3537" "inst_5114" "inst_5539"
"1007_s_at" 624 8343 5324 15754
"1053_at" 4910 4869 6875 18848
"117_at" 21248 15010 18893 10797
"121_at" 17228 18393 20562 4678
"1255_g_at" 10503 13897 14763 11346
"1294_at" 17463 12959 19805 1365
"1316_at" 13683 18810 20875 21467
"1320_at" 9177 16330 426 11735
"1405_i_at" 15959 10638 13450 10750
"1431_at" 4089 6826 2195 472
"1438_at" 9573 17149 1463 12096
"1487_at" 13544 4815 5437 2296
"1494_f_at" 7034 654 370 603
"1598_g_at" 14224 9072 2700 4777
"160020_at" 2637 11915 12214 1213
"1729_at" 22268 18705 20338 4386
"1773_at" 17465 20652 20553 1190
"177_at" 1821 16639 4681 9516
"179_at" 15627 19741 19738 6465
"1861_at" 16115 7529 21048 19823
"200000_s_at" 13701 17688 6387 14559
"200001_at" 15891 16746 19687 4009
"200002_at" 13777 19227 10064 5555
"200003_s_at" 13913 8756 11460 2868
"200004_at" 14534 10010 9289 18890
"200005_at" 17834 8134 11122 15921
"200006_at" 13430 9525 8951 14131
"200007_at" 15608 6868 8950 14965
"200008_s_at" 17373 7764 12624 2631
"200009_at" 16528 9990 11492 4909
"200010_at" 4845 17919 11536 6314
"200011_s_at" 20012 17153 5487 6434
"200012_x_at" 15259 17914 20663 13863
"200013_at" 13844 8382 11071 14003
"200014_s_at" 13240 16759 10359 15700
"200015_s_at" 3724 9310 3598 19259
"200016_x_at" 13396 9201 11744 14052
"200017_at" 13367 8964 6399 6967
"200018_at" 7985 17299 11617 5266
"200019_s_at" 4106 17156 8843 6053
"200020_at" 14906 9215 11258 15059
"200021_at" 13201 17168 20068 9015
"200022_at" 15667 17359 12136 6573
"200023_s_at" 18325 6880 9781 17131
"200024_at" 13221 16701 12179 3608
"200025_s_at" 4552 16850 10933 14779
"200026_at" 8219 17873 9935 4635
"200027_at" 16502 3570 9199 15817
"200028_s_at" 13873 8505 8507 6914
"200029_at" 13479 16869 12693 6159
"200030_s_at" 16287 17850 19245 6331
"200031_s_at" 7957 17271 14532 13896
"200032_s_at" 8014 8768 9930 6628
"200033_at" 16371 8148 9405 6496
"200034_s_at" 3893 18510 11709 6172
"200035_at" 14674 2967 9228 3402
"200036_s_at" 14611 19413 10184 14562
"200037_s_at" 15789 9481 8008 15405
"200038_s_at" 8180 10219 12005 6819
"200039_s_at" 14430 7001 7210 6719
"200040_at" 14640 7606 5384 16567
"200041_s_at" 18373 8345 10096 5804
"200042_at" 13987 8516 5056 19347
"200043_at" 4657 3280 10441 2939
"200044_at" 14754 7740 4125 6991
"200045_at" 4831 18859 7661 5096
"200046_at" 19521 3339 9280 16516
"200047_s_at" 18569 18563 4977 16896
"200048_s_at" 16081 8475 9288 16506
"200049_at" 17019 19764 12504 14870
"200050_at" 3824 19625 4123 14724
"200051_at" 2255 8772 3755 1623
"200052_s_at" 14460 9598 7591 5042
"200053_at" 15792 19029 3976 15120
"200054_at" 14757 7461 3694 4195
"200055_at" 15360 19349 8472 5326
"200056_s_at" 17005 3867 8000 15593
"200057_s_at" 14511 7871 11953 18624
"200058_s_at" 18832 20133 5373 17467
"200059_s_at" 15080 5712 9005 6658
"200060_s_at" 3391 20724 5471 5754
"200061_s_at" 7955 16799 19056 6505
"200062_s_at" 14151 11993 14454 7024
"200063_s_at" 3044 10225 11971 15141
"200064_at" 13168 5691 12417 4149
"200065_s_at" 15791 17266 12401 4037
