"inst_1345" "inst_3281" "inst_4101" "inst_4181"
"1007_s_at" 18721 3336 7141 12370
"1053_at" 8349 6138 20030 3448
"117_at" 21911 1958 2 1359
"121_at" 6230 5086 5758 7608
"1255_g_at" 13864 15232 8964 17996
"1294_at" 18641 11692 1339 21069
"1316_at" 18048 21742 7049 5335
"1320_at" 9744 14970 16635 20900
"1405_i_at" 6144 13129 598 15789
"1431_at" 14005 4283 1528 21910
"1438_at" 16996 3447 18317 2194
"1487_at" 5826 2167 2965 3889
"1494_f_at" 1078 21593 4080 21807
"1598_g_at" 19898 10174 7005 14251
"160020_at" 2933 1042 14224 21558
"1729_at" 19744 1262 14655 8029
"1773_at" 5435 20640 21372 7360
"177_at" 203 14671 4117 20205
"179_at" 1075 11342 22119 6414
"1861_at" 19609 3387 18585 1181
"200000_s_at" 4555 8608 17908 20220
"200001_at" 4248 5297 7798 8310
"200002_at" 6317 9795 16666 14047
"200003_s_at" 18353 10642 9569 16319
"200004_at" 6205 9581 16081 14007
"200005_at" 7376 7434 16592 10539
"200006_at" 4445 10381 6065 13490
"200007_at" 4898 12324 4179 13964
"200008_s_at" 21210 20078 21068 4769
"200009_at" 8302 12402 16887 13720
"200010_at" 7564 10997 18448 14174
"200011_s_at" 4556 5106 7461 13165
"200012_x_at" 20097 20913 4338 20302
"200013_at" 8191 10812 13601 13982
"200014_s_at" 4344 9344 13681 12642
"200015_s_at" 18568 10168 7881 13508
"200016_x_at" 7767 11190 9521 16247
"200017_at" 7631 15420 9623 16432
"200018_at" 18677 15395 9621 16422
"200019_s_at" 5057 10269 14454 19919
"200020_at" 2673 9453 17795 11243
"200021_at" 5715 20638 9668 16547
"200022_at" 19103 20187 17470 16337
"200023_s_at" 5011 7688 7877 14419
"200024_at" 8329 11645 13052 19812
"200025_s_at" 6031 12035 7752 16419
"200026_at" 18515 20260 14870 16551
"200027_at" 6024 6419 6427 11113
"200028_s_at" 4526 11128 5254 12443
"200029_at" 18457 12261 5515 13860
"200030_s_at" 6555 12317 7641 14181
"200031_s_at" 18478 15379 9615 16413
"200032_s_at" 18686 15427 13083 16437
"200033_at" 6724 12082 15330 20140
"200034_s_at" 18594 20022 12955 16325
"200035_at" 1240 1164 14722 11039
"200036_s_at" 6467 10698 13672 19708
"200037_s_at" 6087 6495 14325 20259
"200038_s_at" 8380 19992 12843 16526
"200039_s_at" 5400 10954 6832 12801
"200040_at" 4318 6627 7672 13686
"200041_s_at" 4215 12276 14392 11516
"200042_at" 6029 4369 6380 8066
"200043_at" 5827 5078 4865 12363
"200044_at" 5895 5005 12851 10832
"200045_at" 3729 7226 6139 11056
"200046_at" 3643 8030 14970 12492
"200047_s_at" 2505 8102 7117 19752
"200048_s_at" 4872 7738 7832 14513
"200049_at" 3291 5319 15690 14228
"200050_at" 3064 1899 19139 11982
"200051_at" 1425 1837 6351 10296
"200052_s_at" 5005 6155 14170 9011
"200053_at" 4858 11222 19479 6988
"200054_at" 2989 1840 17949 7317
"200055_at" 1817 7884 6512 11559
"200056_s_at" 5430 3838 13646 9979
"200057_s_at" 7042 10971 5280 12904
"200058_s_at" 3105 7655 6863 8247
"200059_s_at" 7874 9442 15695 10925
"200060_s_at" 2763 8447 13908 12387
"200061_s_at" 18681 15376 9614 16411
"200062_s_at" 18678 15179 9559 16304
"200063_s_at" 19496 19898 9634 16470
"200064_at" 4374 10503 5701 13577
"200065_s_at" 6268 8807 13630 12532
"200066_at" 8014 11830 6522 7191
"200067_x_at" 7435 12320 6165 12153
"200068_s_at" 4957 7469 4871 12182
"200069_at" 18387 4282 16009 9732
"200070_at" 1869 2939 5124 7565
"200071_at" 2956 4677 14215 8486
"200072_s_at" 7911 8888 14555 10520
"200073_s_at" 4052 4154 5006 12144
"200074_s_at" 6750 8118 15883 13189
"200075_s_at" 3460 4328 16839 12303
"200076_s_at" 8123 8898 3004 7566
"200077_s_at" 6305 12345 16345 19899
"200078_s_at" 2986 4210 14058 12375
"200079_s_at" 5322 8322 15681 13252
"200080_s_at" 6867 10934 12731 16464
"200081_s_at" 8256 12153 16034 13777
"200082_s_at" 8503 12335 15841 16457
"200083_at" 6906 3342 14295 11835
"200084_at" 5547 9542 13398 9052
"200085_s_at" 4089 10170 14828 13512
"200086_s_at" 5110 9159 6443 13863
"200087_s_at" 4352 8437 17288 10731
"200088_x_at" 18447 15198 12951 16316
"200089_s_at" 18271 12166 7172 20098
"200090_at" 8039 8877 4503 11620
"200091_s_at" 5314 8597 13923 19911
"200092_s_at" 18194 20274 4088 16482
"200093_s_at" 824 6094 6933 10318
"200094_s_at" 7698 11212 13856 20035
"200095_x_at" 7880 15630 9661 16536
"200096_s_at" 7986 12388 14069 6352
"200097_s_at" 7997 6427 6098 13497
"200098_s_at" 1930 8719 13376 10671
"200099_s_at" 18141 15517 13277 16484
"200593_s_at" 5125 10847 13222 12389
"200594_x_at" 3532 5156 12788 11414
"200595_s_at" 4497 4346 15753 13834
"200596_s_at" 3710 20249 17577 13843
"200597_at" 1561 9525 3727 4187
"200598_s_at" 6510 7728 6622 8480
"200599_s_at" 7003 3356 16068 7934
"200600_at" 3905 15956 5240 4959
"200601_at" 152 1831 15353 13534
"200602_at" 1039 1845 1191 13152
"200603_at" 4685 3660 15388 13054
"200604_s_at" 21150 9323 20001 5109
"200605_s_at" 18531 5857 16265 9191
"200606_at" 13315 6296 6666 13307
"200607_s_at" 8590 19977 18248 11226
"200608_s_at" 8488 6142 13594 13838
"200609_s_at" 4721 3405 14829 13503
"200610_s_at" 2225 20373 4195 9227
"200611_s_at" 5189 5243 14512 9164
"200612_s_at" 4437 9211 16622 6321
"200613_at" 4153 10321 15693 14094
"200614_at" 7282 11293 15133 19928
"200615_s_at" 1592 7415 17915 5342
"200616_s_at" 1987 10203 18749 7716
"200617_at" 1350 4721 6687 12071
"200618_at" 5868 1488 5364 8784
"200619_at" 4308 11683 15166 12407
"200620_at" 19125 8941 14439 6557
"200621_at" 890 1546 12938 3389
"200622_x_at" 587 6830 14604 6926
"200623_s_at" 4439 12311 5499 11858
