"inst_837" "inst_954"
"1007_s_at" 15436 2202
"1053_at" 17566 18332
"117_at" 10123 8089
"121_at" 15631 2384
"1255_g_at" 5854 7224
"1294_at" 11406 6065
"1316_at" 6037 12439
"1320_at" 5788 13212
"1405_i_at" 11608 5329
"1431_at" 7133 8425
"1438_at" 1303 2903
"1487_at" 15792 21426
"1494_f_at" 1781 1760
"1598_g_at" 2046 992
"160020_at" 10648 8888
"1729_at" 21163 18898
"1773_at" 22158 17950
"177_at" 10078 9742
"179_at" 17542 14832
"1861_at" 19881 19572
"200000_s_at" 15710 20172
"200001_at" 3703 17281
"200002_at" 4281 14770
"200003_s_at" 7700 3702
"200004_at" 15826 15124
"200005_at" 4218 15297
"200006_at" 14446 3440
"200007_at" 15999 14446
"200008_s_at" 15268 2620
"200009_at" 15202 1935
"200010_at" 14205 3839
"200011_s_at" 17434 16103
"200012_x_at" 4137 2725
"200013_at" 3734 3099
"200014_s_at" 16722 14631
"200015_s_at" 16271 16560
"200016_x_at" 15337 3977
"200017_at" 7436 16426
"200018_at" 13886 14634
"200019_s_at" 2854 14641
"200020_at" 16804 3952
"200021_at" 7894 16912
"200022_at" 14393 2221
"200023_s_at" 20069 18003
"200024_at" 15240 14093
"200025_s_at" 16360 15092
"200026_at" 3132 2537
"200027_at" 14816 16789
"200028_s_at" 16248 15479
"200029_at" 4686 3941
"200030_s_at" 14572 3456
"200031_s_at" 7466 14172
"200032_s_at" 7831 2651
"200033_at" 17440 2479
"200034_s_at" 18018 3052
"200035_at" 3949 15233
"200036_s_at" 4156 18234
"200037_s_at" 15900 16790
"200038_s_at" 7407 2716
"200039_s_at" 17596 18464
"200040_at" 14063 17028
"200041_s_at" 14048 14315
"200042_at" 17360 15868
"200043_at" 18448 15546
"200044_at" 16661 16933
"200045_at" 16365 17390
"200046_at" 18362 18312
"200047_s_at" 20109 2043
"200048_s_at" 13969 17280
"200049_at" 18286 2616
"200050_at" 3791 14087
"200051_at" 1771 18724
"200052_s_at" 4609 15426
"200053_at" 20116 18433
"200054_at" 19406 19002
"200055_at" 14301 17414
"200056_s_at" 15601 20946
"200057_s_at" 14952 3301
"200058_s_at" 16537 14199
"200059_s_at" 18161 16686
"200060_s_at" 15469 3665
"200061_s_at" 7717 3264
"200062_s_at" 7541 13762
"200063_s_at" 7933 2320
"200064_at" 15094 3520
"200065_s_at" 17492 3260
"200066_at" 14545 1866
"200067_x_at" 16249 21838
"200068_s_at" 14809 14376
"200069_at" 14544 20793
"200070_at" 1314 20406
"200071_at" 18775 15055
"200072_s_at" 4190 3141
"200073_s_at" 3111 18108
"200074_s_at" 3951 2229
"200075_s_at" 15964 18155
"200076_s_at" 20331 19920
"200077_s_at" 15575 3171
"200078_s_at" 17662 19312
"200079_s_at" 2336 15218
"200080_s_at" 2853 15151
"200081_s_at" 14388 13923
"200082_s_at" 4235 2408
"200083_at" 16861 1657
"200084_at" 16750 15247
"200085_s_at" 4498 15391
"200086_s_at" 16723 13674
"200087_s_at" 19115 3899
"200088_x_at" 7659 13692
"200089_s_at" 3899 3476
"200090_at" 16498 20104
"200091_s_at" 3577 3829
"200092_s_at" 3342 2206
"200093_s_at" 14166 18930
"200094_s_at" 19207 16215
"200095_x_at" 7802 15736
"200096_s_at" 20816 14600
"200097_s_at" 4072 19470
"200098_s_at" 15196 17710
"200099_s_at" 7832 3752
"200593_s_at" 17809 13957
"200594_x_at" 14462 2233
"200595_s_at" 17136 16854
"200596_s_at" 4114 17377
"200597_at" 3565 1138
"200598_s_at" 18491 17215
"200599_s_at" 13943 2323
"200600_at" 9276 9723
"200601_at" 22103 19377
"200602_at" 14742 19663
"200603_at" 16122 19787
"200604_s_at" 14943 2719
"200605_s_at" 20449 1175
"200606_at" 18624 13749
"200607_s_at" 16057 15535
"200608_s_at" 19017 18364
"200609_s_at" 3564 18665
"200610_s_at" 17338 14443
"200611_s_at" 4348 3176
"200612_s_at" 19734 4085
"200613_at" 4555 17964
"200614_at" 3418 13742
"200615_s_at" 4697 15325
"200616_s_at" 16799 19374
"200617_at" 4443 19309
"200618_at" 19031 14421
"200619_at" 3697 17355
"200620_at" 14463 14186
"200621_at" 14017 2600
"200622_x_at" 15588 2850
"200623_s_at" 14706 14311
"200624_s_at" 17310 16563
"200625_s_at" 4307 14586
"200626_s_at" 19293 21007
"200627_at" 17078 3579
"200628_s_at" 4296 14593
"200629_at" 2602 3942
"200630_x_at" 15234 2829
"200631_s_at" 14151 3890
"200632_s_at" 17462 21009
"200633_at" 7605 2158
"200634_at" 15023 18204
"200635_s_at" 18095 18727
"200636_s_at" 15585 18177
"200637_s_at" 21123 20805
"200638_s_at" 17720 3597
"200639_s_at" 4202 14863
"200640_at" 14217 3491
"200641_s_at" 14780 1909
"200642_at" 15280 14961
"200643_at" 1003 15198
"200644_at" 17865 19761
"200645_at" 17475 18819
"200646_s_at" 2189 17362
"200647_x_at" 13903 17496
"200648_s_at" 19560 20410
"200649_at" 3211 2418
"200650_s_at" 4252 17548
"200651_at" 4616 3503
"200652_at" 4053 16589
"200653_s_at" 20196 15427
"200654_at" 17224 17064
"200655_s_at" 15739 2499
"200656_s_at" 3804 17810
"200657_at" 14218 2500
"200658_s_at" 15518 16825
"200659_s_at" 15171 17856
"200660_at" 14461 15416
"200661_at" 3115 15903
"200662_s_at" 3633 15305
"200663_at" 16591 4027
"200664_s_at" 19664 17237
"200665_s_at" 13361 6129
"200666_s_at" 16321 17544
"200667_at" 13944 18360
"200668_s_at" 14676 3342
"200669_s_at" 17962 3257
"200670_at" 14016 17161
"200671_s_at" 22097 983
"200672_x_at" 16018 18747
"200673_at" 15314 15189
"200674_s_at" 14534 1961
"200675_at" 18245 18957
"200676_s_at" 3944 1311
"200677_at" 3228 3892
"200678_x_at" 3305 14044
"200679_x_at" 18552 3903
"200680_x_at" 4357 2987
"200681_at" 16107 14277
"200682_s_at" 15910 17354
"200683_s_at" 18588 17350
"200684_s_at" 17239 3247
"200685_at" 4007 3785
"200686_s_at" 19498 17527
"200687_s_at" 4610 19116
"200688_at" 4013 21136
"200689_x_at" 3233 15073
"200690_at" 14195 17637
"200691_s_at" 16151 14874
"200692_s_at" 14877 17365
"200693_at" 18259 3790
"200694_s_at" 17667 16928
"200695_at" 20971 3574
"200696_s_at" 216 14930
"200697_at" 19952 19336
"200698_at" 17624 16982
"200699_at" 17468 17709
"200700_s_at" 19026 17272
"200701_at" 18711 2985
"200702_s_at" 20157 20852
"200703_at" 15483 15766
"200704_at" 3414 2650
"200705_s_at" 3859 14108
"200706_s_at" 19742 1770
"200707_at" 17640 21264
"200708_at" 3824 14238
"200709_at" 19106 18461
"200710_at" 17483 17978
"200711_s_at" 13986 14684
"200712_s_at" 18039 20286
"200713_s_at" 16115 4033
"200714_x_at" 4181 14282
"200715_x_at" 16146 3428
"200716_x_at" 3992 14235
"200717_x_at" 7664 7650
"200718_s_at" 17148 14464
"200719_at" 3352 15839
"200720_s_at" 20006 22098
"200721_s_at" 17841 17586
"200722_s_at" 17092 3192
"200723_s_at" 4584 2355
"200724_at" 12138 1394
"200725_x_at" 3141 3705
"200726_at" 13889 20737
"200727_s_at" 19478 1922
"200728_at" 19578 13997
"200729_s_at" 19213 19283
"200730_s_at" 16882 2847
"200731_s_at" 2968 16321
"200732_s_at" 3740 17311
"200733_s_at" 16594 3871
"200734_s_at" 19087 2709
"200735_x_at" 7702 3660
"200736_s_at" 5029 4144
"200737_at" 18509 18821
"200738_s_at" 15000 18568
"200739_s_at" 2031 20270
"200740_s_at" 18462 17171
"200741_s_at" 7980 15354
"200742_s_at" 2575 18214
"200743_s_at" 1506 18106
"200744_s_at" 17966 15695
"200745_s_at" 14489 16715
"200746_s_at" 14460 18358
"200747_s_at" 15544 3395
"200748_s_at" 3676 3929
"200749_at" 19833 14537
"200750_s_at" 3255 3057
"200751_s_at" 15540 18919
"200752_s_at" 4732 3499
"200753_x_at" 15903 14336
"200754_x_at" 14370 1585
"200755_s_at" 15364 16468
"200756_x_at" 20940 4101
"200757_s_at" 15810 15629
"200758_s_at" 18831 21130
"200759_x_at" 732 16229
"200760_s_at" 19774 15707
"200761_s_at" 16936 17849
"200762_at" 14315 16577
"200763_s_at" 4054 14710
"200764_s_at" 3480 2705
"200765_x_at" 16424 13817
"200766_at" 17418 1950
"200767_s_at" 19515 16291
"200768_s_at" 19825 15248
"200769_s_at" 19002 1743
"200770_s_at" 17458 1190
"200771_at" 1398 18144
"200772_x_at" 3826 13938
"200773_x_at" 14422 3214
"200774_at" 15580 17158
"200775_s_at" 3737 2688
"200776_s_at" 15996 1399
"200777_s_at" 14621 14550
"200778_s_at" 15340 1756
"200779_at" 1335 15104
"200780_x_at" 3100 3165
"200781_s_at" 3902 3438
"200782_at" 16956 20810
"200783_s_at" 16142 17915
"200784_s_at" 10376 9517
"200785_s_at" 287 6256
"200786_at" 2962 3817
"200787_s_at" 2341 2105
"200788_s_at" 18454 19507
"200789_at" 1545 17730
"200790_at" 18610 15039
"200791_s_at" 3229 14929
"200792_at" 14659 15614
"200793_s_at" 2394 18863
"200794_x_at" 17431 14719
"200795_at" 1902 9646
"200796_s_at" 17077 19045
"200797_s_at" 20581 14253
"200798_x_at" 19070 1221
"200799_at" 17948 16594
"200800_s_at" 20678 15569
"200801_x_at" 7815 7686
"200802_at" 2285 1788
"200803_s_at" 18458 19625
"200804_at" 15315 15770
"200805_at" 16488 19269
"200806_s_at" 14805 14735
"200807_s_at" 15092 3478
"200808_s_at" 826 1027
"200809_x_at" 3573 13715
"200810_s_at" 18751 15155
"200811_at" 21026 21321
"200812_at" 14731 16636
"200813_s_at" 4288 18704
"200814_at" 20438 17745
"200815_s_at" 14944 13964
"200816_s_at" 20357 2683
"200817_x_at" 8083 7193
"200818_at" 18667 1533
"200819_s_at" 7878 14851
"200820_at" 14308 17404
"200821_at" 20163 13883
"200822_x_at" 15942 15877
"200823_x_at" 3299 1339
"200824_at" 13005 9586
"200825_s_at" 18198 17594
"200826_at" 3408 14059
"200827_at" 14606 19083
"200828_s_at" 3471 14411
"200829_x_at" 17059 19742
"200830_at" 18583 17274
"200831_s_at" 15760 13791
"200832_s_at" 15931 15326
"200833_s_at" 3813 14624
"200834_s_at" 4382 3760
"200835_s_at" 22041 14387
"200836_s_at" 1918 4017
"200837_at" 17526 3983
"200838_at" 17923 17207
"200839_s_at" 17986 15680
"200840_at" 14723 2167
"200841_s_at" 21412 13803
"200842_s_at" 4463 14361
"200843_s_at" 3470 2970
"200844_s_at" 14043 2264
"200845_s_at" 16054 15098
"200846_s_at" 14035 16202
"200847_s_at" 3548 16446
"200848_at" 15720 18920
"200849_s_at" 19769 19366
"200850_s_at" 19298 4082
"200851_s_at" 20026 14360
"200852_x_at" 2279 17209
"200853_at" 3871 15457
"200854_at" 3559 14002
"200855_at" 969 3652
"200856_x_at" 552 21486
"200857_s_at" 822 21070
"200858_s_at" 15045 18400
"200859_x_at" 2641 1010
"200860_s_at" 15849 15328
"200861_at" 797 18478
"200862_at" 17425 433
"200863_s_at" 14852 14569
"200864_s_at" 20492 13771
"200865_at" 12809 11493
"200866_s_at" 4638 19728
"200867_at" 14909 17331
"200868_s_at" 14298 2077
"200869_at" 7459 1867
"200870_at" 15505 15422
"200871_s_at" 22118 19705
"200872_at" 2957 3563
"200873_s_at" 14086 13813
"200874_s_at" 19570 21032
"200875_s_at" 3596 14338
"200876_s_at" 13937 14475
"200877_at" 4195 3506
"200878_at" 17401 16940
"200879_s_at" 13033 11539
"200880_at" 20071 17291
"200881_s_at" 16491 17407
"200882_s_at" 3869 1661
"200883_at" 17386 14800
"200884_at" 4483 877
"200885_at" 20515 20021
"200886_s_at" 4579 1962
"200887_s_at" 18613 16205
"200888_s_at" 15884 3739
"200889_s_at" 17945 16497
"200890_s_at" 16135 19966
"200891_s_at" 4208 19560
"200892_s_at" 17311 13999
"200893_at" 14425 16988
